query_id,task,reference_eligible,original_label,reviewed_label,query_material_label,original_status,core_order,original_mask,reviewed_mask,mask_changed,original_flags,reviewed_flags,original_bucket,input_control_eligible,explanation_status
7646,hate,True,non-hate,hate,hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,0011,True,"[""SD_loses_S_correctness""]",[],H_removal_harm,False,behavior_description_only
1292,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,1100,False,"[""SD_loses_S_correctness""]","[""SD_loses_S_correctness""]",H_removal_harm,False,behavior_description_only
7960,hate,True,non-hate,hate,hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,0010,True,"[""SD_gains_over_D""]","[""SD_loses_D_correctness""]",G_category_support,False,behavior_description_only
7244,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",G_category_support,False,behavior_description_only
554,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,1100,False,"[""SD_loses_S_correctness""]","[""SD_loses_S_correctness""]",G_category_support,False,behavior_description_only
1746,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,1010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",G_category_support,False,behavior_description_only
2297,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0001,False,"[""joint_only"",""SD_gains_over_D""]","[""joint_only"",""SD_gains_over_D""]",H_joint_only,False,behavior_description_only
1900,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,1110,True,"[""joint_only"",""SD_gains_over_D""]","[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]",H_joint_only,False,behavior_description_only
4756,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0001,False,"[""joint_only"",""SD_gains_over_D""]","[""joint_only"",""SD_gains_over_D""]",H_joint_only,False,behavior_description_only
7285,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,1110,True,"[""joint_only"",""SD_gains_over_D""]","[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]",H_joint_only,False,behavior_description_only
6037,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0000,False,"[""stable_wrong""]","[""stable_wrong""]",G_joint_only,False,behavior_description_only
2802,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0011,False,[],[],G_joint_only,False,behavior_description_only
376,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",G_joint_only,False,behavior_description_only
4080,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,1100,True,[],"[""SD_loses_S_correctness""]",G_joint_only,False,behavior_description_only
1128,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_correct,False,behavior_description_only
4189,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,1000,True,"[""S_and_D_each_correct""]",[],Stable_correct,False,behavior_description_only
3919,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_correct,False,behavior_description_only
3950,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",Stable_correct,False,behavior_description_only
4026,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,1111,True,"[""stable_wrong""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_wrong,False,behavior_description_only
4137,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_wrong,False,behavior_description_only
4450,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0000,False,"[""stable_wrong""]","[""stable_wrong""]",Stable_wrong,False,behavior_description_only
2011,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0001,False,"[""joint_only"",""SD_gains_over_D""]","[""joint_only"",""SD_gains_over_D""]",Stable_wrong,False,behavior_description_only
3683,group,True,"[""Region""]",[],[],suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,0000,True,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_wrong""]",H_rescue,False,behavior_description_only
541,group,True,[],"[""LGBTQ"",""Sexism""]","[""LGBTQ"",""Sexism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0011,True,"[""stable_wrong""]",[],H_rescue,False,behavior_description_only
4615,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]","[""Sexism""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",H_rescue,False,behavior_description_only
7903,group,True,[],[],[],accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,1100,False,"[""SD_loses_S_correctness""]","[""SD_loses_S_correctness""]",H_rescue,False,behavior_description_only
5086,group,True,"[""LGBTQ"",""others""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,1100,True,[],"[""SD_loses_S_correctness""]",H_residual,False,behavior_description_only
3169,group,True,[],[],[],accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,1010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",H_residual,False,behavior_description_only
1160,group,True,"[""Sexism""]",[],[],suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,1100,True,"[""stable_wrong""]","[""SD_loses_S_correctness""]",H_residual,False,behavior_description_only
3898,group,True,"[""Racism""]","[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,0000,True,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_wrong""]",H_residual,False,behavior_description_only
61,group,True,"[""Racism""]","[""Sexism""]","[""Sexism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,0000,True,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_wrong""]",H_removal_harm,False,behavior_description_only
5423,group,True,"[""Racism""]","[""Racism"",""others""]","[""Racism"",""others""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,0000,True,"[""S_and_D_each_correct""]","[""stable_wrong""]",H_removal_harm,False,behavior_description_only
7646,group,True,[],"[""others""]","[""others""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,0000,True,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_wrong""]",H_removal_harm,False,behavior_description_only
1292,group,True,[],"[""Racism""]","[""Racism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,1111,True,"[""stable_wrong""]","[""stable_correct"",""S_and_D_each_correct""]",H_removal_harm,False,behavior_description_only
7960,group,True,[],"[""others""]","[""others""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,0000,True,[],"[""stable_wrong""]",G_category_support,False,behavior_description_only
7244,group,True,"[""Region""]","[""Region""]","[""Region""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,1001,False,"[""SD_gains_over_D""]","[""SD_gains_over_D""]",G_category_support,False,behavior_description_only
554,group,True,[],"[""Racism""]","[""Racism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0000,False,"[""stable_wrong""]","[""stable_wrong""]",G_category_support,False,behavior_description_only
1746,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism"",""others""]","[""Racism"",""Sexism"",""others""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0000,False,"[""stable_wrong""]","[""stable_wrong""]",G_category_support,False,behavior_description_only
2297,group,True,"[""Region""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0000,True,"[""joint_only"",""SD_gains_over_D""]","[""stable_wrong""]",H_joint_only,False,behavior_description_only
1900,group,True,"[""Region""]","[""Region""]","[""Region""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",H_joint_only,False,behavior_description_only
4756,group,True,"[""Racism""]","[""Racism""]","[""Racism""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",H_joint_only,False,behavior_description_only
7285,group,True,"[""Racism""]","[""Sexism""]","[""Sexism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,1011,True,"[""stable_wrong""]",[],H_joint_only,False,behavior_description_only
6037,group,True,"[""Sexism""]","[""Sexism""]","[""Sexism""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0001,False,"[""joint_only"",""SD_gains_over_D""]","[""joint_only"",""SD_gains_over_D""]",G_joint_only,False,behavior_description_only
2802,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0001,False,"[""joint_only"",""SD_gains_over_D""]","[""joint_only"",""SD_gains_over_D""]",G_joint_only,False,behavior_description_only
376,group,True,"[""LGBTQ"",""others""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0000,True,"[""joint_only"",""SD_gains_over_D""]","[""stable_wrong""]",G_joint_only,False,behavior_description_only
4080,group,True,"[""Region""]","[""Racism"",""Region""]","[""Racism"",""Region""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0000,True,"[""joint_only"",""SD_gains_over_D""]","[""stable_wrong""]",G_joint_only,False,behavior_description_only
1128,group,True,[],[],[],accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_correct,False,behavior_description_only
4189,group,True,"[""Sexism""]","[""Sexism""]","[""Sexism""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_correct,False,behavior_description_only
3919,group,True,[],[],"[""others""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,1010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",Stable_correct,False,behavior_description_only
3950,group,True,"[""Sexism""]","[""Sexism""]","[""Sexism"",""others""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_correct,False,behavior_description_only
4026,group,True,"[""Region""]","[""Region""]","[""Region""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_wrong,False,behavior_description_only
4137,group,True,[],"[""LGBTQ"",""Sexism""]","[""LGBTQ"",""Sexism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0000,False,"[""stable_wrong""]","[""stable_wrong""]",Stable_wrong,False,behavior_description_only
4450,group,True,"[""Region""]","[""Region""]","[""Region""]",accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_wrong,False,behavior_description_only
2011,group,True,"[""Racism"",""Region""]","[""Racism""]","[""Racism""]",suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,1111,True,"[""stable_wrong""]","[""stable_correct"",""S_and_D_each_correct""]",Stable_wrong,False,behavior_description_only
