object_id,kind,hate,group,attack_severity,definition_verdict,adopted_definition,source_fit,query_fit,topic_hate,topic_group,rule_hate,rule_group,lexicon_risk,acceptance_mode,pre_acceptance_field_provenance,source_snapshot
definition:lex-0327:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0333:sense:01,definition,,,,other_problem,‘理性、中立、客观’的缩略称呼，常用于讽刺被认为自称中立却偏袒、回避立场或忽略事实的人；也可能按字面使用，具体含义与褒贬依语境判断。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0334:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0335:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0335:sense:02,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0338:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0340:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0343:sense:01,definition,,,,too_narrow,以欺骗手段使他人进入婚姻，或利用婚姻关系实施欺骗；在部分性取向讨论中，可特指隐瞒性取向与异性结婚，不应将该情形等同所有骗婚或所有同性恋者。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0378:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0378:sense:02,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0380:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0381:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0382:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0383:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0411:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0419:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0427:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0437:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
