query_id,task,original_label,reviewed_label,original_mask,reviewed_mask,observed_behavior,proposed_roles,strict_u_candidate_demo_ids,demo_answer_difference_ids,dictionary_effective_single_demo_options,protocol_ids,next_action,pending_work
1160,hate,hate,non-hate,0010,1101,仅 C0、S、SD 正确,"[""词典增量对照候选"",""参考切换敏感案例""]",[],"[""6658"",""7959""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1160,group,"[""Sexism""]",[],0000,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]","[""7464""]","[""6852"",""6658"",""6114"",""1509"",""2298"",""2682"",""718"",""7959""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
3898,hate,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]",[],"[""1466"",""5211"",""4652""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3898,group,"[""Racism""]","[""Racism"",""Sexism""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",[],"[""1466"",""2785"",""5211"",""3845"",""6525"",""6183"",""6624""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
61,hate,hate,hate,1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]","[""5713"",""3517"",""5900"",""1294""]","[""996"",""7910""]",2,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
61,group,"[""Racism""]","[""Sexism""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]","[""5713"",""7253"",""3463"",""1294""]","[""1815"",""996"",""924"",""3517"",""7910"",""5900""]",3,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
5423,hate,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]","[""4690""]",[],1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared""]"
5423,group,"[""Racism""]","[""Racism"",""others""]",0111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]","[""1376"",""4690""]","[""5998"",""5690"",""771"",""2531""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7646,hate,non-hate,hate,1100,0011,仅 D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",[],"[""1240"",""43""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7646,group,[],"[""others""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]","[""43""]","[""7161"",""5466"",""5666""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1292,hate,non-hate,non-hate,1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]","[""465"",""1915"",""2759""]","[""5865"",""857"",""2351""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1292,group,[],"[""Racism""]",0000,1111,四个核心条件均正确,"[""稳定正确对照候选"",""参考切换敏感案例""]","[""465"",""857"",""2759""]","[""5865"",""6554"",""1915"",""2351""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7960,hate,non-hate,hate,1101,0010,仅 D 正确,"[""词典增量对照候选"",""参考切换敏感案例""]","[""5365"",""51""]","[""7852"",""7823"",""7641"",""6224""]",2,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7960,group,[],"[""others""]",1000,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",[],"[""5365"",""7852"",""72"",""7823"",""7641"",""2750"",""6224"",""51""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7244,hate,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]","[""6263"",""2054"",""2101""]","[""309"",""7232""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7244,group,"[""Region""]","[""Region""]",1001,1001,仅 C0、SD 正确,"[""词典增量对照候选"",""示例增量对照候选""]","[""2054""]","[""7434"",""6263"",""179"",""309"",""4392"",""7232"",""2101""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
554,hate,non-hate,non-hate,1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]",[],"[""5535"",""796"",""1242""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
554,group,[],"[""Racism""]",0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]",[],"[""649"",""5535"",""796"",""5868"",""6553""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1746,hate,hate,hate,1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]",[],"[""1859"",""7927"",""7880"",""2840"",""1653""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1746,group,"[""Racism"",""Sexism""]","[""Racism"",""Sexism"",""others""]",0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]","[""1653""]","[""867"",""2445"",""7927"",""7880"",""2840""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
2297,hate,hate,hate,0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",[],"[""5865"",""4352"",""3502"",""4272"",""7823""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
2297,group,"[""Region""]","[""LGBTQ""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",[],"[""5865"",""2800"",""4352"",""924"",""3502"",""5394"",""4272"",""7499"",""7823""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1900,hate,hate,non-hate,0001,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选"",""参考切换敏感案例""]","[""936"",""3749"",""3492"",""6083""]","[""3619"",""7694"",""191"",""5135""]",3,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1900,group,"[""Region""]","[""Region""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""3749"",""6083""]","[""7694"",""191"",""2416"",""936"",""5135"",""3492""]",2,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4756,hate,hate,hate,0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",[],"[""4374"",""7633"",""4652""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4756,group,"[""Racism""]","[""Racism""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",[],"[""3911"",""4374"",""5788"",""7633"",""6525"",""5919""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7285,hate,hate,non-hate,0001,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选"",""参考切换敏感案例""]",[],"[""2517"",""2091""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7285,group,"[""Racism""]","[""Sexism""]",0000,1011,仅 C0、D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",[],"[""4344"",""6442"",""1035"",""6074"",""2517"",""100"",""2091"",""1660""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
6037,hate,hate,hate,0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]","[""6469"",""3194"",""5230"",""2655""]",[],1,"[""EA-6037-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
6037,group,"[""Sexism""]","[""Sexism""]",0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]","[""6469"",""3194"",""877""]","[""3529"",""478"",""5230"",""2655""]",0,"[""EA-6037-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
2802,hate,hate,hate,0011,0011,仅 D、SD 正确,"[""示例增量对照候选""]","[""3612"",""3281""]","[""7836"",""7819"",""7678"",""159""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
2802,group,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]","[""3612"",""159"",""3281""]","[""1729"",""7836"",""5425"",""7819"",""7678"",""6629""]",2,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
376,hate,hate,hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",[],[],0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed""]"
376,group,"[""LGBTQ"",""others""]","[""LGBTQ""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",[],"[""7485"",""5416"",""4956"",""6764"",""2496"",""2747"",""7350"",""7248"",""5125""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4080,hate,hate,non-hate,0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]","[""717""]","[""5535"",""796"",""6458"",""4891"",""6631""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4080,group,"[""Region""]","[""Racism"",""Region""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]","[""4891""]","[""5535"",""796"",""2824"",""4351"",""6458"",""7519"",""6631"",""717""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1128,hate,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""2945"",""387""]","[""2218"",""1986"",""1180"",""3456""]",1,"[""EA-1128-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
1128,group,[],[],1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""2945"",""387"",""1180"",""6282""]","[""1986"",""3456""]",2,"[""EA-1128-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
4189,hate,hate,non-hate,0111,1000,仅 C0 正确,"[""单资源差异诊断候选"",""参考切换敏感案例""]",[],"[""7235"",""3212"",""2075""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4189,group,"[""Sexism""]","[""Sexism""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",[],"[""7235"",""3372"",""6291"",""3212"",""2025"",""4810"",""2075""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
3919,hate,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""255""]","[""7782"",""3882"",""2117""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3919,group,[],[],1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]","[""255""]","[""2593"",""7782"",""4839"",""2117"",""2800"",""3252""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
3950,hate,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]","[""7212""]","[""7235"",""2349""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3950,group,"[""Sexism""]","[""Sexism""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",[],"[""7235"",""6835"",""2349"",""6291"",""2101""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4026,hate,hate,non-hate,0000,1111,四个核心条件均正确,"[""稳定正确对照候选"",""参考切换敏感案例""]","[""6334""]","[""5135"",""5855"",""1242""]",0,"[""EA-4026-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
4026,group,"[""Region""]","[""Region""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""5855"",""6334""]","[""5135"",""6307"",""2792"",""4448"",""5297""]",0,"[""EA-4026-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
