job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J08-D02-restore-L26-attention	J08	jctx-J08-D01	jctx-J08-D02	restore-L26-attention	-11.826148986816406	0.6349563598632812	0.6349563598632812	有	unchanged	36.88207878536937
J08-D02-preceding	J08	jctx-J08-D01	jctx-J08-D02	preceding	-12.451988220214844	0.00911712646484375	0.00911712646484375	有	unchanged	28.891651375183702
J09-D01-upstream	J09	jctx-J09-D02	jctx-J09-D01	upstream	-22.957263946533203	0.2957496643066406	-0.2957496643066406	有	unchanged	39.32701632665586
J09-D01-restore-L26-attention	J09	jctx-J09-D02	jctx-J09-D01	restore-L26-attention	-22.97079086303711	0.2822227478027344	-0.2822227478027344	有	unchanged	39.32701632665586
J09-D01-preceding	J09	jctx-J09-D02	jctx-J09-D01	preceding	-23.295246124267578	-0.042232513427734375	0.042232513427734375	有	unchanged	27.52207316700536
J09-D02-upstream	J09	jctx-J09-D01	jctx-J09-D02	upstream	-21.586669921875	-0.44915771484375	0.44915771484375	有	unchanged	39.32701632665586
J09-D02-restore-L26-attention	J09	jctx-J09-D01	jctx-J09-D02	restore-L26-attention	-21.507423400878906	-0.36991119384765625	0.36991119384765625	有	unchanged	39.32701632665586
J09-D02-preceding	J09	jctx-J09-D01	jctx-J09-D02	preceding	-21.141632080078125	-0.004119873046875	0.004119873046875	有	unchanged	27.52207316700536
J10-D01-upstream	J10	jctx-J10-D02	jctx-J10-D01	upstream	-21.417369842529297	-0.04822540283203125	0.04822540283203125	有	unchanged	36.88207878536937
J10-D01-restore-L26-attention	J10	jctx-J10-D02	jctx-J10-D01	restore-L26-attention	-21.427448272705078	-0.0583038330078125	0.0583038330078125	有	unchanged	36.88207878536937
J10-D01-preceding	J10	jctx-J10-D02	jctx-J10-D01	preceding	-21.33684539794922	0.032299041748046875	-0.032299041748046875	有	unchanged	28.891651375183702
J10-D02-upstream	J10	jctx-J10-D01	jctx-J10-D02	upstream	-19.218795776367188	0.11800003051757812	-0.11800003051757812	有	unchanged	36.88207878536937
J10-D02-restore-L26-attention	J10	jctx-J10-D01	jctx-J10-D02	restore-L26-attention	-19.200218200683594	0.13657760620117188	-0.13657760620117188	有	unchanged	36.88207878536937
J10-D02-preceding	J10	jctx-J10-D01	jctx-J10-D02	preceding	-19.383277893066406	-0.046482086181640625	0.046482086181640625	有	unchanged	28.891651375183702
