rank	term	category	confidence	total_count	hate_count	non_hate_count	annotation_count	definition	reason
28	留在中国	Racism	0.95	16	16	0	15	该短语在仇恨言论中用于表达希望特定群体（如外国人、女性）离开中国，常与种族主义、性别歧视等结合，具有明显的排斥和贬低意味。	数据集显示所有16个样本均为仇恨标签，且类别涵盖种族主义、性别歧视和地域歧视；网络证据也支持其常用于歧视性语境。
29	烂裤裆	Sexism	0.95	10	10	0	11	用于侮辱女性，暗示其性行为不检点、私生活混乱，属于性别歧视性仇恨言论。	数据集所有样本均为仇恨标注，网络证据一致确认其侮辱性，且无任何非仇恨用法。
30	歧视黑人	Racism	0.95	16	16	0	6	该短语用于表达对黑人群体的歧视、仇恨或贬低，常与种族主义言论、侮辱性称呼（如“黑鬼”）以及煽动性内容相关联。	该术语在数据集中100%用于仇恨语境，所有标注样本均为仇恨言论，主要类别为种族主义；网络证据显示其常与种族歧视、侮辱性内容关联，属于明确的仇恨/攻击性用语。
31	黑人的女	Racism	0.95	15	15	0	14	指代与黑人男性有关系的女性，常带有种族主义和性别主义的污名化含义，如暗示其携带疾病、污染血统等。	该术语在数据集和网络证据中均被证实用于仇恨言论，结合种族主义和性别歧视，具有高度冒犯性。
32	黑人都	Racism	0.95	17	17	0	4	该短语用于表达对黑人群体的负面刻板印象、歧视性言论或仇恨情绪，常与低等、暴力、入赘等负面特征关联，或直接表达对黑人的厌恶。	数据集和网络证据均强烈支持该短语在仇恨语境中使用，所有标注样本均为仇恨言论，主要类别为种族主义，且网络搜索显示其与种族歧视词汇关联。
34	洋垃圾	Racism	0.95	10	10	0	12	指在华外国人，尤其是黑人和白人，被贬低为品行不端、低素质的人，带有种族歧视和排外意味。	该词在数据集和网络证据中均被用于贬低外国人，尤其是黑人和白人，带有明显的种族歧视色彩，且维基百科将其列为歧视语。
35	鬼子	Racism	0.96	23	22	1	24	用于指代日本人或非中国人群体，带有强烈的历史仇恨和种族歧视色彩，常与贬损性表述连用，如“国际鬼子虫类”。	数据集显示22/23为仇恨标注，主要归类为种族主义；网络证据确认其作为侮辱性用语广泛使用，用于种族歧视。
36	黑猩猩	Racism	0.95	12	12	0	13	将黑人比作黑猩猩，暗示其低等、野蛮、非人化，是一种种族歧视性侮辱。	数据集所有12个样本均为仇恨言论，标注为种族歧视；网络证据显示该词在中文语境中常被用作针对黑人的种族侮辱，具有明确的仇恨含义。
37	黑鬼	Racism	1.0	8	8	0	12	该词是英语中针对黑人的种族歧视词汇'Nigger'的中文翻译，用于贬低、侮辱黑人群体，常出现在仇恨言论中。	所有样本均被标注为仇恨言论，且网络证据明确显示该词是种族歧视用语，具有高度冒犯性。
38	跪虫族	Racism	0.95	11	11	0	13	对特定种族群体的侮辱性称呼，通过'跪'（贬低为奴性）和'虫'（非人化）的组合，攻击和贬低该群体。	该词在数据集和网络证据中均用于仇恨语境，全部样本标注为仇恨，且结合'跪'和'虫'的贬义，明确针对种族群体进行侮辱，符合仇恨言论标准。
39	很恶心	hate	0.9	14	14	0	6	用于表达对特定群体（如同性恋、女性、地域群体）的厌恶和歧视，暗示这些群体令人反感或低劣。	数据集所有标注样本均为仇恨言论，类别覆盖LGBTQ、性别歧视、地域歧视和种族歧视，且网络证据支持其作为歧视性侮辱用语。
40	黑北方的	Region	1.0	10	10	0	10	用于贬低、攻击中国北方地区人群的歧视性用语，常与“黑河南”等并列，暗示北方人低劣或应被歧视。	数据集所有标注均为仇恨言论，样本明确用于地域攻击，如“广州就是黑河南、黑北方的总部”；网络证据虽未直接匹配，但结合上下文确认其仇恨用法。
41	郭楠	Sexism	0.95	14	14	0	16	该词是'国男'的谐音变体，被极端女权用作对中国男性的侮辱性称呼，常与'蝈蝻'等变体混用，意在贬低中国男性为低等、令人厌恶的群体。	数据集显示该词在14个样本中全部标注为仇恨，且主要涉及性别歧视和种族歧视；网络证据明确将其定义为侮辱性称呼，用于贬低中国男性。
42	欢黑人	Racism	0.95	19	19	0	15	该词用于表达对黑人群体的厌恶、歧视和负面刻板印象，如认为黑人懒惰、不安分、缺乏国家认同等，属于种族歧视性用语。	数据集全部19个样本均为仇恨标注，上下文明确表达对黑人的歧视和排斥；网络证据显示相关词汇具有种族歧视含义。
43	跪虫	Racism	0.95	12	12	0	14	该词用于贬低特定种族群体，常与'跪虫族'等组合使用，暗示该群体卑躬屈膝、低人一等，具有强烈的种族歧视和侮辱性。	数据集显示该词100%用于仇恨语境，且与种族主义高度相关；网络证据进一步证实其作为种族歧视用语的普遍性。
44	虫族	Racism	0.95	12	12	0	14	该词在中文网络语境中被用作种族歧视性称呼，常与'Ching chong'等侮辱性词汇关联，用于贬低和攻击华人或特定种族群体。	数据集显示所有标注样本均为仇恨言论，且与种族歧视高度相关；网络证据表明该词与'Ching chong'等歧视性用语关联，用于侮辱华人。
45	嘿畜	Racism	1.0	8	8	0	7	嘿畜是一个种族歧视性侮辱词汇，由'嘿'（可能指代黑人）和'畜'（畜生）组成，用于将特定种族群体非人化，贬低为动物或寄生虫，煽动仇恨和暴力。	所有数据集样本均标注为仇恨，且网络证据确认该词为歧视语，用于种族攻击。
47	你们同性恋	LGBTQ	0.95	10	10	0	5	用于指代同性恋群体，常伴随贬低、污名化（如与艾滋病、不道德、不正常等关联）和排斥性言论，构成歧视性仇恨言论。	该术语在数据集和网络证据中均被高度一致地用于仇恨言论，针对LGBTQ群体进行攻击和污名化，符合纳入标准。
48	黑安徽	Region	0.95	10	10	0	7	指对安徽人进行地域歧视和负面刻板印象的攻击性言论，如素质差、小偷多等。	所有样本均为仇恨言论，类别一致为地域歧视，且网络证据显示该词广泛用于侮辱安徽人。
49	舔狗龟男	Sexism	0.95	7	7	0	7	用于贬低那些被认为对女性过度讨好、顺从或失去尊严的男性，暗示其缺乏骨气和主见，属于性别歧视性侮辱。	数据集全部7个样本均标注为仇恨言论，主要归类为性别歧视；网络证据显示该词常用于侮辱和贬低男性，具有明确的歧视性。
50	女人不	Sexism	0.95	15	15	0	3	该短语在仇恨言论中常作为性别歧视性表达的开头，用于贬低女性、强化性别刻板印象或物化女性，例如“女人不能光膀子是传统的刻板印象”、“跟黑人的女人不能找”等。	数据集所有15个样本均为仇恨言论，主要类别为性别歧视；网络证据显示该短语常与侮辱性、歧视性用语关联，如“捅女人”等黑话。综合判断为性别歧视性仇恨用语。
51	黑人男友	Racism	0.95	11	11	0	9	该术语在仇恨言论中用于贬低黑人男性，常与性滥交、低道德、恨国等负面刻板印象关联，并常与性别歧视结合攻击女性。	数据集和网络证据均显示该术语几乎全部用于仇恨语境，结合种族和性别歧视，构成明确的仇恨言论。
52	黑人和	Racism	0.95	12	12	0	5	该术语在中文网络语境中常被用于指代黑人群体，并伴随歧视性、仇恨性言论，如要求黑人离开中国、禁止通婚等，构成种族主义仇恨言论。	数据集显示该词在12个样本中全部被标注为仇恨言论，主要涉及种族主义；网络证据也表明该词常出现在歧视性表述中。综合判断应纳入研究词典。
53	裤裆	Sexism	0.95	12	12	0	15	用于侮辱女性，暗示其性行为不检点，常与“烂”连用为“烂裤裆”。	数据集所有样本均为仇恨言论，主要类别为性别歧视；网络证据显示该词常用于侮辱女性。
55	出轨	Sexism	0.9	13	13	0	8	在仇恨言论中，“出轨”常被用于性别歧视语境，尤其是针对女性，暗示女性出轨更应受谴责，并与侮辱性词汇关联，强化对女性的负面刻板印象。	数据集显示该词在13个样本中全部被标注为仇恨言论，主要涉及性别歧视（Sexism），且上下文明确针对女性进行攻击或双重标准。网络证据进一步证实该词在性别歧视语境中的侮辱性使用。
56	滚出	Racism	0.95	8	8	0	6	用于驱逐或排斥特定群体（如外国人、地域群体、LGBTQ群体）的侮辱性用语，常与种族歧视、地域歧视或性取向歧视结合，表达强烈的敌意和仇恨。	数据集所有样本均为仇恨标注，且网络证据显示该词常用于种族歧视和排外言论，如“低等的黑杂种！滚出中国！”和“浙江滚出中国”。
57	腐癌	LGBTQ	0.95	13	13	0	14	用于贬低对男同性恋关系（BL）过度痴迷、行为极端且排斥其他性取向（如BG、GL）的群体，常带有侮辱性和歧视性。	数据集和网络证据均显示该词在多数语境中用于攻击和贬低特定群体，具有明确的仇恨/攻击性含义。
58	去非洲	Racism	0.95	44	42	2	26	该短语在中文网络语境中常被用作种族歧视性表达，意指将黑人群体驱逐出中国，带有强烈的仇恨和排斥意味。	数据集显示该短语在44个样本中有42个被标注为仇恨言论，主要涉及种族歧视、地域歧视和性别歧视。样本中大量出现如'去非洲生活'、'去非洲采棉花'等用法，结合'黑鬼'、'黑族'等歧视性词汇，明确指向对黑人群体的攻击。网络证据进一步证实该短语在中文互联网上被广泛用于仇黑言论，与排外情绪紧密相关。
59	理中客	Sexism	0.9	10	10	0	7	理中客原为“理性、中立、客观”的缩写，但在网络语境中常被用作贬义词，指代那些假装理性中立、实则偏袒一方或和稀泥的人，尤其在性别对立讨论中用于攻击对方，带有性别歧视色彩。	数据集证据显示该词在10个样本中全部被标注为仇恨言论，且主要归类为性别歧视；网络证据也表明其常被用作贬义，尤其在性别议题中用于攻击。综合判断应纳入研究词典。
60	嘿人	Racism	0.95	11	11	0	12	嘿人是“黑人”的谐音变体，用于指代黑人群体，常带有贬低、歧视或攻击性，如描述黑人外貌为“血盆大嘴”、主张反对黑人留在中国、将黑人与负面行为关联等。	数据集所有样本均为仇恨言论，主要类别为种族主义；网络证据显示该词用于规避审查，具有种族歧视含义。
61	女拳	Sexism	0.95	154	140	14	174	对女权主义者的侮辱性称呼，常用来攻击那些被认为过于激进或挑战传统性别角色的女性，暗示她们使用暴力或极端手段。	数据集和网络证据均显示该词被广泛用于攻击和贬低女性，尤其是女权主义者，90%以上标注为仇恨言论，符合仇恨/攻击性/编码群体指称词特征。
62	南大人	Region	0.95	9	9	0	7	用于贬低或嘲讽中国南方人的称呼，常出现在南北地域对立语境中，带有攻击性。	数据集样本中该词全部用于仇恨语境，指代中国南方人并带有贬低、嘲讽或对立情绪，如'唱衰东北的急先锋'、'内部瓦解'、'一生要强的南大人'等，构成地域歧视。虽然网络搜索未发现外部证据，但数据集内部证据充分，且上下文判断支持。
63	崇洋媚外	Racism	0.95	10	10	0	7	用于指责他人或群体盲目崇拜外国（尤其是西方）文化、制度或人种，并贬低本国或本民族，常与种族歧视、民族自卑感相关联，具有侮辱性和攻击性。	数据集和网络证据均显示该词几乎全部用于仇恨言论，常与种族主义、性别歧视关联，用于贬低和攻击崇拜外国文化或与外国人交往的行为，具有明显的侮辱性和歧视性。
64	出中国	Racism	0.95	10	10	0	8	用于表达对特定群体（如黑人、浙江人、东北人）的排斥，要求其离开中国，具有明显的歧视性和仇恨性。	该术语在样本中用于表达对特定群体（如黑人、浙江人、东北人）的排斥和歧视，如'默滚出中国'、'浙江滚出中国'等，具有明显的仇恨和侮辱性含义。证据显示其与种族歧视相关，且所有标注样本均为仇恨类别。
65	黑东北的	Region	0.95	9	9	0	3	用于贬低、攻击东北地区及其居民的歧视性用语，常带有敌意和仇恨。	该术语在数据集和网络证据中均被用于表达对东北地区的歧视和仇恨，符合仇恨/攻击性/编码群体指称词汇的定义。
67	媚黑女	Sexism	0.95	10	10	0	10	用于贬低和侮辱与黑人男性交往或表现出对黑人文化偏好的中国女性，常暗示其性行为放荡、思想臣服于黑人，结合了性别歧视和种族歧视。	该术语在数据集和网络证据中均被明确用于仇恨言论，结合性别歧视和种族歧视，符合纳入标准。
68	黑哥	Racism	0.95	11	11	0	14	该词在中文网络语境中常被用于贬低、侮辱黑人群体，带有种族歧视色彩，类似于英文中的'Nigger'。	数据集显示所有11条标注均为仇恨言论，主要涉及种族歧视；网络证据表明该词与种族歧视用语关联，且样本中明确用于贬低黑人群体。
69	排外	Region	0.95	26	25	1	21	用于表达对特定地域人群（如外地人、外国人）的排斥、歧视或贬低，常带有地域优越感或仇外情绪。	数据集显示该词在26个样本中有25个被标注为仇恨言论，主要涉及地域歧视；网络证据表明该词常被用于仇外和歧视语境，且被列为歧视语。
72	嘿畜狌	Racism	1.0	6	6	0	5	嘿畜狌是中文网络黑话，由“嘿”（谐音“黑”）和“畜狌”（畜牲的变体）组成，用于非人化地指代黑人群体，将其贬低为动物，煽动仇恨和歧视。	数据集所有6个样本均标注为仇恨言论，且全部归类为种族主义；网络证据确认该词为针对黑人的侮辱性黑话，具有强烈的种族歧视色彩。
73	黑上海	Region	0.95	8	8	0	7	用于表达对上海地区的负面评价、攻击或歧视，常出现在地域歧视语境中，如“全国黑上海”、“黑上海的都很上头”等。	该术语在数据集和网络证据中均明确用于针对上海地区的仇恨言论，所有标注样本均为仇恨，类别一致为地区歧视，且无已知的非仇恨用法。
74	的地域黑	Region	0.95	8	8	0	5	指针对特定地域或地区人群的歧视性、侮辱性言论或刻板印象，通常以贬低、嘲讽或攻击该地域人群为目的。	该术语在数据集中全部用于仇恨言论，主要针对地域进行歧视性攻击，且网络证据显示其普遍用于贬低特定地区人群，符合仇恨/攻击性/编码群体指称词汇的定义。
75	人接盘	Sexism	0.95	10	10	0	8	该术语用于贬低与黑人男性有过关系的中国女性，暗示她们会寻找中国男性“接盘”，即承担她们过去关系的后果，带有性别歧视和种族歧视色彩。	数据集所有样本均为仇恨标注，且网络证据显示该词具有侮辱性，用于歧视女性和特定种族群体。
76	龟男	Sexism	0.95	23	22	1	26	用于贬低男性，暗示其懦弱、顺从、缺乏骨气，常与性别歧视相关。	数据集证据显示该词在23个样本中有22个被标注为仇恨，且主要归类为性别歧视；网络证据也确认其为侮辱性用语，用于贬低男性。
77	寄生虫	Racism	0.95	8	8	0	7	用于贬低特定种族或性别群体，暗示其像寄生虫一样依赖他人、低等或有害。	数据集样本中该词被用于种族歧视（如指代“国际鬼子虫类”）和性别歧视（如贬低女性依赖男性），且网络证据显示其作为侮辱性词汇使用，符合仇恨言论特征。
78	反黑	Racism	0.98	9	9	0	9	指反对黑人或煽动对黑人仇恨的种族主义行为或言论。	数据集所有9个样本均标注为仇恨言论，类别为种族主义，且上下文明确指向反黑人活动；网络证据显示该词在中文网络中被用于煽动对黑人的仇恨和歧视。
81	的优越感	Region	0.9	10	10	0	3	用于贬低特定地域群体，指责其表现出不合理的优越感，常伴随地域歧视和攻击性。	该短语在数据集和网络证据中均频繁用于地域歧视语境，具有明确的仇恨/攻击性用法，符合纳入标准。
82	过黑人	Racism	0.95	23	22	1	22	用于贬低与黑人发生性关系的人，暗示其低人一等、不洁或携带疾病，常与种族歧视和性别歧视结合。	该词在数据集中22/23为仇恨样本，网络证据显示其用于攻击跨种族关系，带有强烈种族歧视色彩。
83	视黑	Racism	0.95	17	17	0	9	用于表达对黑人群体的歧视、仇恨或贬低，常出现在仇视黑人的言论中。	该术语在数据集和网络证据中均明确用于表达对黑人的歧视和仇恨，所有标注样本均为仇恨言论，主要类别为种族主义。
84	黑人男友的	Racism	0.95	8	8	0	7	该短语用于贬低和污名化与黑人男性有恋爱关系的女性，暗示她们道德低下、恨国或行为不端，同时带有种族歧视和性别歧视色彩。	该短语在数据集和网络证据中几乎全部用于仇恨语境，常与种族歧视和性别歧视关联，如将黑人男友与性乱、背叛、恨国等负面刻板印象绑定，且网络证据显示其用于贬低和侮辱。
85	普信	Sexism	0.95	47	44	3	44	普信是“普通却自信”的缩写，常用于贬低那些被认为能力普通却过度自信的人，尤其针对男性（普信男）或女性（普信女），带有性别歧视和侮辱性。	数据集显示44条标注中有43条为仇恨言论，主要涉及性别歧视；网络证据也确认其性别歧视属性。
86	让她们	Sexism	0.9	10	10	0	2	该短语在仇恨言论中用于贬低、嘲讽或物化女性群体，常出现在性别歧视语境中，暗示女性应服从或接受不利安排。	数据集显示该短语在10个样本中全部标注为仇恨，主要涉及性别歧视；网络证据也支持其常用于厌女语境。短语本身非固定黑话，但结合上下文具有高度仇恨倾向。
87	同性恋都	LGBTQ	0.95	9	9	0	2	用于贬低、侮辱同性恋群体的短语，常与负面刻板印象或攻击性言论结合，如'同性恋都是群脑子不正常的玩意'。	该短语在数据集和网络证据中均被用于仇恨言论，全部9个样本均为仇恨标签，且网络搜索确认其常被用于侮辱性语境。
89	别人黑	Region	0.9	8	8	0	3	用于指代对特定地区（如荷兰、上海、东北等）进行负面评价或攻击的地域歧视性表达。	所有标注样本均为仇恨言论，类别为Region，且上下文明确用于地域攻击。网络证据虽未直接定义该短语，但相关搜索结果显示了种族歧视词汇，结合样本语境，该短语被用作地域攻击的固定表达。
90	传播艾滋	LGBTQ	0.95	9	9	0	7	该短语被用于将同性恋群体与艾滋病传播错误关联，对LGBTQ群体进行污名化和仇恨攻击，暗示同性恋是艾滋病的传播源。	数据集和网络证据均显示该短语几乎全部用于攻击同性恋群体，构成仇恨言论，缺乏非仇恨性使用。
92	说黑人	Racism	0.95	10	10	0	1	指在中文语境中，使用“说黑人”这一短语来贬低、攻击或歧视黑人群体，常与种族主义言论相关联。	所有10个数据集样本均标注为仇恨言论，且主要归类为种族主义；网络证据显示该词常被用于种族歧视语境。
93	交往	Racism	0.9	26	25	1	25	在仇恨言论中，“交往”常被用于表达对跨种族（尤其是与黑人）交往的排斥、贬低和歧视，暗示这种交往是低劣的、有风险的，或是对女性的一种侮辱。	数据集显示该词在25个仇恨样本中频繁出现，主要与种族歧视（针对黑人）和性别歧视相关，且网络证据支持其在种族歧视语境中的使用。
94	嘿蛆	Racism	1.0	5	5	0	6	对黑人群体的侮辱性称呼，将黑人比作蛆虫，表达极端的厌恶和歧视。	该词在所有样本中均用于仇恨语境，指向黑人群体，且网络证据显示'蛆'作为后缀常用于歧视性称呼，如'蓝蛆''绿蛆'，表明其为仇恨/歧视用语。
95	国国籍	Racism	0.85	9	9	0	7	该术语在仇恨语境中用于指代中国国籍，常出现在针对外国人、特定种族或性别群体的歧视性言论中，例如建议剥夺嫁给外国人的女性的中国国籍，或排斥黑人等。	数据集证据显示该词在9个样本中全部标注为仇恨，涉及种族、性别和地域歧视，且上下文明确表达歧视意图。网络证据虽未发现该词本身为侮辱性黑话，但数据集中的使用模式表明其在特定语境中已成为仇恨言论的一部分。综合判断，该词在仇恨语境中具有明确的歧视性含义，应纳入研究词典。
96	偷井盖	Region	0.95	29	27	2	25	用于对河南人进行地域歧视的侮辱性标签，暗示河南人具有偷窃井盖的负面刻板印象。	数据集和网络证据均强烈支持该词作为针对河南人的地域歧视用语，样本中93%标注为仇恨言论，且网络来源明确将其与地域歧视关联。
97	鬼母	Sexism	0.95	5	5	0	5	用于贬低或侮辱女性的词汇，常与'阿娜'连用，指代特定女性个体，带有性别歧视和攻击性。	所有5个样本均用于仇恨语境，全部针对女性进行侮辱，结合'鬼'字贬义和'母'指代女性，构成性别歧视性侮辱。网络证据显示该词与'鬼佬'等歧视语类似，具有侮辱性。
98	黑人男朋友	Racism	0.95	8	8	0	7	该术语用于贬低和歧视与黑人男性有恋爱关系的女性，并暗示黑人男性携带艾滋病、不洁等负面刻板印象，属于种族歧视和性别歧视的交叉仇恨言论。	数据集所有样本均为仇恨标签，且与种族和性别歧视高度相关；网络证据进一步证实其侮辱性用法。
100	配不上中国	Sexism	0.95	7	7	0	7	该短语用于贬低中国女性，声称她们认为中国男性配不上她们，从而强化性别刻板印象和敌意。	数据集证据显示该短语在7个样本中全部被标注为仇恨言论，主要涉及性别歧视（Sexism），且网络证据支持其用于侮辱性语境。
