object_id,query_id,demo_id,query_text,demo_text,topic_hate,topic_group,rule_hate,rule_group,lexicon_risk,topic_hate_provenance,topic_group_provenance,rule_hate_provenance,rule_group_provenance,lexicon_risk_provenance,assessment_status,note_ai
relation:5086:1517,5086,1517,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,partial,partial,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 词典来源：变态=yes；同志=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:2747,5086,2747,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,她得艾滋了你别去碰她不就好了，得个艾滋而已总好过去非洲送死吧。再说了，她可以嫁给男艾滋病人嘛，解决中国男艾滋病人的结婚需求不是挺好？中国同胞干嘛便宜非洲佬！,partial,none,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,都有艾滋和伴侣选择；示例是异性婚配及非洲人评价，没有确认同性恋，疾病不能替代性取向证据。 词典来源：非洲佬=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:3602,3169,3602,我想回个嘿嘿嘿嘿。。。感觉好押韵,😆哈哈哈哈答主为啥不回你呢,partial,none,partial,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,查询没有身份议题，不能以共同回复、笑声或普通人称建立group关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:6493,3169,6493,我想回个嘿嘿嘿嘿。。。感觉好押韵,哈哈哈，没想到现在妹子都挺聪明，也知道嘿人那些手段了,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,笑声只附着于示例的其他攻击，不能仅凭“笑声外还有攻击”给普通押韵句建立规则关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:3660,3169,3660,我想回个嘿嘿嘿嘿。。。感觉好押韵,主要是被嘿嘿玩过的，那不是一般的思想，那得多么的。。。,none,none,partial,partial,yes,user_discussion,ai_note,ai_note,ai_note,ai_note,user_participated,用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q4-reply02-3660。 词典来源：嘿嘿=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:7611,3169,7611,我想回个嘿嘿嘿嘿。。。感觉好押韵,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,partial,none,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,共同涉及网络回复和笑声，示例另有fw等能力辱骂；可比较是否存在具体辱骂，而非以笑声定性。 词典来源：fw=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:5780,3169,5780,我想回个嘿嘿嘿嘿。。。感觉好押韵,互联网没记忆，我记一辈子呢。以后反正梗就天天玩着，诶谁提到我就提这个事情,partial,none,partial,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,查询没有身份议题，不能以共同回复、笑声或普通人称建立group关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:7640,3169,7640,我想回个嘿嘿嘿嘿。。。感觉好押韵,哈哈你看看自己说的是什么破玩意，先学学语文吧😆,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,共同笑声不足以连接押韵与贬评语文能力的主旨或具体规则。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:3519,3169,3519,我想回个嘿嘿嘿嘿。。。感觉好押韵,和女生相关违法问题不是女生问题是TM谁的问题？主语都有问题还发个鸡毛声，发什么声？÷生？你一个男，怎么还性别歧视？管你你是什么玩意儿,none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,示例是性别争辩和个人辱骂，与查询的笑声押韵没有具体话题或推理对应。 词典来源：鸡=yes；tm=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:3582,3169,3582,我想回个嘿嘿嘿嘿。。。感觉好押韵,泼妇男，你贴出我拉黑你？你怎么不贴出你持续不断满篇脏话的撒泼言语呢？嗯？那帖子还能正常回吗？嗯？下作的剑人，哈哈哈[表情],none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,笑声只附着于示例的其他攻击，不能仅凭“笑声外还有攻击”给普通押韵句建立规则关联。 词典来源：剑人=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:6035,3169,6035,我想回个嘿嘿嘿嘿。。。感觉好押韵,哈哈雀食，上大人果然都是你这样😄,partial,none,partial,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,查询没有身份议题，不能以共同回复、笑声或普通人称建立group关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3169:3585,3169,3585,我想回个嘿嘿嘿嘿。。。感觉好押韵,这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女....,none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,示例贬评个人判断力并讨论妻子，与押韵回复无具体关联。 词典来源：仙女=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:6852,1160,6852,为什么不找外星优质男人呢，人家有太空战舰呢,小仙女不是说中国男人配不上中国女人吗？男人只好找外国女人了，合情合理,direct,direct,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,同用夸张比较讨论择偶标准；示例有小仙女和跨国男女评价，查询没有给出这些现实身份或贬损命题。 词典来源：小仙女=yes；国女=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:6658,1160,6658,为什么不找外星优质男人呢，人家有太空战舰呢,人家那是和全世界联系起来的，眼界比我们开阔多了，有这种优势哪个女的不想嫁给他们？,direct,direct,partial,partial,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,同谈男性优势与选择伴侣，示例通过眼界优越表达现实性别评价；可对照玩笑与实际贬损。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:6114,1160,6114,为什么不找外星优质男人呢，人家有太空战舰呢,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,direct,direct,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,都是择偶及竞争话题；示例有多重身份辱称和个人嘲讽，不能反推查询也在骂同样群体。 词典来源：国男=yes；国女=yes；eg=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:1509,1160,1509,为什么不找外星优质男人呢，人家有太空战舰呢,EG都不是找那种老g吗。优秀的别人看不上,direct,direct,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,共同以优秀与否讨论择偶；示例明确贬低一类女性被优秀者拒绝，查询的荒诞设问已判无攻击。 词典来源：eg=yes；老g=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:2298,1160,2298,为什么不找外星优质男人呢，人家有太空战舰呢,你不后悔就好，如果他确实洁身自好品学兼优问题不大。不过你既然说出来了，少不得要有人评论，比如我思想上就接受不了这种事（虽然这是种族歧视，但是我确实歧视有狐臭的人，价值观定型了改不了的，仍然庆幸自己没被公知洗脑觉得外国更好，宁可做一个种族歧视者😅）你不用管评论里说什么，没有狐臭长得好品学兼优的外国人是可以谈恋爱的，但社会到了一个关键节点，迫切需要破除迷信权威，就比如今天拜登拉稀这件事，真假不重要，让美利坚成为笑话，挖苦他在金毛面前标记领地的行为，可以破除人们思想上的枷锁。如果不是激烈的反对劣质外国人，公知的声音就会占领舆论😆你要谈个小李子或者孔雀那个颜值的外国人，评论区将铺满酸柠檬并祝贺你为国争光，,direct,direct,partial,partial,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,同属伴侣条件与异国比较，示例含身份偏见和政治讽刺；其复杂负面对象不由查询的外星设定继承。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:5616,1160,5616,为什么不找外星优质男人呢，人家有太空战舰呢,很明显火星人是人好吧？火星人名字都带人字了，选错的自己反省,partial,none,partial,partial,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,共同使用外星或火星人的假设，但示例讨论人这一称谓的分类而非择偶；只部分关联字面设定与实际身份对象的区别。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:7464,1160,7464,为什么不找外星优质男人呢，人家有太空战舰呢,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,partial,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,只有婚恋对象选择的宽泛联系；示例同性恋疾病污名与外星择偶设问无具体推理对应。 词典来源：基佬=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:2682,1160,2682,为什么不找外星优质男人呢，人家有太空战舰呢,男的比女的多几千万呢！这些光棍当然要找外国女人，找中国的没有了啊。这叫双标吗？,direct,direct,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,都谈选择何种伴侣，示例在解释人口差异和跨国选择；可对照中性解释与攻击命题，群体对象不能照搬。 词典来源：国女=yes；双标=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:718,1160,718,为什么不找外星优质男人呢，人家有太空战舰呢,按照你的逻辑你可以和男人doi的，只是你不想罢了,partial,partial,partial,partial,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,同以推论挑战亲密关系选择，但示例直接指受话者与男性发生性行为；对象及论证不完全相同。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:1160:7959,1160,7959,为什么不找外星优质男人呢，人家有太空战舰呢,一位优秀的接盘侠👍👍,none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,接盘侠的婚恋义仍未确定；缺少可见婚恋依据时不建立关系，不把词义未决改成已知其他义。 词典来源：接盘侠=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:1466,3898,1466,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,如果那个黑人对中国友好，那么我倒可以忍受，就像快手上有个嫁黑人的，那个黑人对中国很友好，我倒也可以忍受。虽然还是不喜欢，但只要是与中国友好的黑人，哪怕不喜欢，我也可以忍受,direct,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:7319,3898,7319,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,黑人吧早被我们反黑站了，你还洗,direct,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,user_discussion,user_participated,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q8-reply05-7319。 词典来源：反黑=no。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:2785,3898,2785,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,抖音上的某几个黑人，挺EX的，说实话，直播只连女的，也就算了，还拍视频连续剧：小黑寻花记😲,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 词典来源：小黑=yes；ex=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:5211,3898,5211,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,这个不是有视频吗，再怎么样黑黑在中国打中国女人那两个男的不出手说不过去，如果在非洲中国人打黑女人估计命都不保,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 词典来源：国女=yes；打黑=yes；黑黑=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:3742,3898,3742,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,网上喷黑喷同胞的成万上亿，现实中敢和黑人硬碰硬的寥寥无几，看来还是上网喷同胞安全又不犯法😆,direct,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:3845,3898,3845,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,短视频不少公的黑人跟中国女孩交往的人啊爆出来的新闻也很多啊,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,短视频黑人男性称谓相关，但动物称谓与赞许奴役并非同一攻击命题，hate规则取部分；示例现有group仅Racism，不借此补成Sexism。 词典来源：国女=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:4652,3898,4652,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,渣的人不分性别不分人种，犯罪就是犯罪，就事论事，上升到群体就不好了，还有黑女受教育程度高这个不准确吧，重男轻女男尊女卑严重的地方女性就是生育价值啊,partial,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 词典来源：黑女=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:6525,3898,6525,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,说个最简单的，回家打开电视，调到cctv3，每天都有宣传黑人的节目,partial,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:6183,3898,6183,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,以前有个爱狗人士的ID，支持黑人,partial,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两文的黑人这一具体种族所指对应，足以支持关键Racism判断；不据此复制男性或其他完整类别。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:3898:6624,3898,6624,不是已经入狱了吗，话说回来，我心中反黑领导人是快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人。当地黑社会一霸，并且每个黑人工资一个月只有一千块人民币。真正实现了心理生理双重奴役黑人喃。,结果那个泼男就是他们另外反同吧的吧主？哎哟，我都兴奋了！打的就是你们窝里的老杂毛！把话带到，我回重庆的时候约他不要怂,none,none,partial,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,不同网络社群中的对骂不能为本查询的种族或男性身份判定提供具体规则。 词典来源：反同=yes；杂毛=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:1815,61,1815,因为种族优势，中国人普遍都很小,中国尺寸是真的小,direct,direct,direct,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,均概括中国男性生殖器尺寸；两例的隐含身体指向已有用户裁决，可直接比较污名及Sexism归类。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:5713,61,5713,因为种族优势，中国人普遍都很小,不希望以后中国遍地都是黑人小孩，怕但是治安社会矛盾突出，大家过都过不好，大家都是中国人，感觉大家还是不一样的…没有那么懒，没有那么多政治正确，没有那么多暴力和低素质，5000年的道德约束还是有的,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,尺寸、生殖器污名与示例的治安、社会地位、历史或性取向议题不同；群体比较这一个共同点不足以建立规则关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:996,61,996,因为种族优势，中国人普遍都很小,关键在国外主流国家，中国男人性吸引力都是最低的，尤其在欧美国家，不光中国人，亚裔地位都最低😅😅,direct,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,示例直接涉及中国男性的性吸引力或生物化评价，可支持查询隐含男性身体维度的关键Sexism判断；不追加种族。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:924,61,924,因为种族优势，中国人普遍都很小,中国男人超强的繁殖欲，也许我们的基因就决定了我们不团结，所以才需要高喊团结的口号，而国外大多数人泽不需要这些毒鸡汤就能看破实物的本质,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,两句均有对中国男性的生物化污名，但尺寸与繁殖、团结命题不同，hate规则取部分。 示例直接涉及中国男性的性吸引力或生物化评价，可支持查询隐含男性身体维度的关键Sexism判断；不追加种族。 词典来源：鸡=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:3517,61,3517,因为种族优势，中国人普遍都很小,弱势与强势都是相对而言的，在美国社会由于白人站了主体，它们属于少数民族，所以只能说相对来说它们属于弱势群体。不过它们只是相对于白人来说属于弱势而已。在美国对比其他族裔它们还是强势的，因为人口。亚裔中东裔对于它们来说它们就是强势而亚裔与中东裔就是弱势群体。,none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,尺寸、生殖器污名与示例的治安、社会地位、历史或性取向议题不同；群体比较这一个共同点不足以建立规则关联。 词典来源：它们=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:7910,61,7910,因为种族优势，中国人普遍都很小,这不就是中国人口吧那群人吗？老大聪明了,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,中国人口吧这一社群及大聪明讥讽，不能与中国人身体概括建立具体话题或规则对应。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:61:5900,61,5900,因为种族优势，中国人普遍都很小,东南亚小国，人家肤色都跟我们一样！说的不好听点，好多小国以前还被中国统治过～这能一样吗？混淆概念呢,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,尺寸、生殖器污名与示例的治安、社会地位、历史或性取向议题不同；群体比较这一个共同点不足以建立规则关联。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
