object_id,review_kind,text,hate,group,uncertainties,note
demo:1376,ai_note,小管家还会威胁你⁉⁉⁉匿名也能逮到啊⁉⁉,non-hate,[],,惊讶于具体账号或管理者的威胁与识别行为，没有身份群体评价。
demo:1456,ai_note,上广东待几天就看到了,non-hate,null,省略对象会改变完整 group 集合,句面是前往地点观察的建议，无明确攻击；省略的观察对象可能改变group，不能只凭广东赋类。
demo:1466,ai_note,如果那个黑人对中国友好，那么我倒可以忍受，就像快手上有个嫁黑人的，那个黑人对中国很友好，我倒也可以忍受。虽然还是不喜欢，但只要是与中国友好的黑人，哪怕不喜欢，我也可以忍受,hate,"[""Racism""]",,把黑人身份作为默认不喜欢、仅有条件容忍的对象。
demo:1509,ai_note,EG都不是找那种老g吗。优秀的别人看不上,null,null,缩写或隐语所指未确定；缩写或隐语所指未确定,已确认demo:4928及eg义项表明EG为对女性的性污名；老g在本句的确切含义仍不清，可能改变完整group集合。
demo:1517,ai_note,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,null,"[""LGBTQ"", ""others""]",个体辱骂的 hate 范围,反对污名同性恋，同时辱骂具体异性恋男性；反仇恨立场不能自动覆盖另行个体攻击。
demo:159,ai_note,还有我们🐶“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,null,"[""Region""]",反讽、转述与实际认可未分清,明确出现江浙群体优越性命题，但作者主动悬置自嘲、反讽和认可之间的读法。
demo:1653,ai_note,偶然看到，就评论一下。都是人类，性取向就是萝卜白菜，各有所爱，没有什么高低贵贱。只是想到男男，生理上超级排斥，也就是感觉恶心,non-hate,"[""LGBTQ""]",,参照已确认demo:2430：明确主张性取向平等，将不适限定为想到男男亲密关系的个人反应；没有提出群体低等或应受排斥。
demo:1660,ai_note,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,hate,"[""LGBTQ"", ""Sexism""]",,将厌恶女性与同性恋身份等同并正常化，形成性少数与女性两方面的群体评价。
demo:1729,ai_note,主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd,null,null,缩写或隐语所指未确定；省略对象会改变完整 group 集合,具体人被末尾缩写贬称，但lkd含义及白男是否实际贬损对象不清。
demo:1786,ai_note,个人觉得吧，挑头的有错，但是跟后头闹事儿的就无辜？,non-hate,[],,针对参与闹事的责任作批评，行为集合没有被另行当作身份角色。
demo:179,ai_note,圆圈吧出了名的鸡窝都不知道？里面都是卖的还有陪玩的，好多在里明卖。,null,"[""others""]",社会角色或社群贬损的 hate 范围,对特定网络社群成员作性污名泛化；社群属于others，其攻击是否纳入hate待明确。
demo:1815,ai_note,中国尺寸是真的小,null,null,省略的命题或事件会改变 hate 判断；省略对象会改变完整 group 集合,尺寸的被比较对象省略；可能为身体刻板印象，也可能为物品规格，不能直接补出中国男性。
demo:1833,ai_note,雄性基因是排外，雌性基因是择优，如果思想上升就不必去骂黑人，但在这个世界大染缸里，清醒的人毕竟是少数，大部分人靠本能去抉择，即使我明白我也一定排黑的，同族群能容我，而异族必不容我,hate,"[""Racism"", ""Sexism""]",,明确认可排斥黑人及异族，并对男女赋予本质化行为属性。
demo:1859,ai_note,那要知道这些女人男人塑造的，不过是男人怕其他男人变成舔狗罢了,null,"[""Sexism""]",个体辱骂的 hate 范围,男女被作为解释单位，舔狗为贬称；对讨好行为的辱称是否达到hate仍属冒犯范围问题。
demo:191,ai_note,先自己调查下好吧，南方系更多好像说的是广东，而且这也是实话，南方系媒体系统性BBC操作还少吗？你一个南方老百姓跟着他们冲锋陷阵啥？大家都是普通老百姓没必要。,non-hate,"[""Region"", ""others""]",,批评媒体操作，并以南方居民及普通民众身份劝说对方；BBC在此为媒体比较，非种族缩写。
demo:1915,ai_note,所谓批判作用不大的失足妇女和所谓的婚恋中介都是逆向民族主义者，自愿投向BBC的也谈不上受害者，图片来自百度图片,hate,null,缩写或隐语所指未确定,以性污名和民族背叛指责一类女性与婚恋中介；BBC的性化种族缩写读法会影响完整group集合，需要确认。
demo:1986,ai_note,真的一上知乎全都是骂的，从女权骂到了女性，然而在现实生活中根本见不着，是我层次太低？,non-hate,"[""Sexism"", ""others""]",,质疑从女权参与者扩大到女性的网络辱骂，明确区分角色群体与性别群体。
demo:2004,ai_note,这个吧里都是**有个女的喷我然后让我教育了自己外地的去新一线然后瞧不起我大连土著说我是18线小县城的房子不稀罕殊不知她连户口都没落自称当地人,null,"[""Region"", ""others""]",省略的命题或事件会改变 hate 判断,涉及论坛成员与地域居民身份，但开头攻击词被屏蔽，后文亦是特定争执，hate需核对缺失内容。
demo:2025,ai_note,已经完全失去了对中国年轻女性的信任（35以下），反正我现在看任何一个我不是很熟的年轻女的都先贴上两个标签 女拳王 媚黑，就像女的说男的都是潜在强奸犯一样，互相戴帽子呗，两性之间的信任会越来越少，直至完全对立🤔,hate,"[""Sexism""]",,主动把负面属性赋给年轻女性，并以对男性的泛化作理由；实际被评价的身份维度为性别。
demo:2054,ai_note,爱马仕不香么？,non-hate,[],,对品牌的简短偏好表达，没有实际人群对象。
