comparison_id	query_id	family_id	scope	contrast_type	effect	bound	raw_direction	reference_aligned_change	reference_aligned_resolution	verified_classification_transition	terms
CTDJ-G2-same_A-interaction-L_absent	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_absent	8.638328552246094	0.001800537109375	positive	8.638328552246094	positive		"[{""condition_id"":""CTDJ-G2-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":1}]"
CTDJ-G2-same_A-interaction-N_absent	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-N_absent	1.3779964447021484	0.001800537109375	positive	1.3779964447021484	positive		"[{""condition_id"":""CTDJ-G2-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":1}]"
CTDJ-G2-same_A-interaction-L_N	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_N	7.260332107543945	0.001800537109375	positive	7.260332107543945	positive		"[{""condition_id"":""CTDJ-G2-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-N-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":1}]"
CTDJ-G2-same_B-interaction-L_absent	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_absent	5.248493194580078	0.001800537109375	positive	5.248493194580078	positive		"[{""condition_id"":""CTDJ-G2-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":1}]"
CTDJ-G2-same_B-interaction-N_absent	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-N_absent	-1.1807937622070312	0.001800537109375	negative	-1.1807937622070312	negative		"[{""condition_id"":""CTDJ-G2-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":1}]"
CTDJ-G2-same_B-interaction-L_N	CTD-G2-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_N	6.429286956787109	0.001800537109375	positive	6.429286956787109	positive		"[{""condition_id"":""CTDJ-G2-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-N-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":1}]"
CTDJ-G3-none-L_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	none-L_absent	13.573326110839844	0.0009002685546875	positive	13.573326110839844	positive	stable_wrong	"[{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":-1}]"
CTDJ-G3-none-N_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	none-N_absent	15.394664764404297	0.0009002685546875	positive	15.394664764404297	positive	stable_wrong	"[{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":-1}]"
CTDJ-G3-none-L_N	CTD-G3-v2	CTD-family-01	within_query_fixed_D	none-L_N	-1.8213386535644531	0.0009002685546875	negative	-1.8213386535644531	negative	stable_wrong	"[{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":-1}]"
CTDJ-G3-same_A-L_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_A-L_absent	13.944599151611328	0.0009002685546875	positive	13.944599151611328	positive	repair	"[{""condition_id"":""CTDJ-G3-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_A"",""coefficient"":-1}]"
CTDJ-G3-same_A-N_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_A-N_absent	5.662605285644531	0.0009002685546875	positive	5.662605285644531	positive	stable_wrong	"[{""condition_id"":""CTDJ-G3-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_A"",""coefficient"":-1}]"
CTDJ-G3-same_A-L_N	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_A-L_N	8.281993865966797	0.0009002685546875	positive	8.281993865966797	positive	repair	"[{""condition_id"":""CTDJ-G3-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-N-same_A"",""coefficient"":-1}]"
CTDJ-G3-same_B-L_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_B-L_absent	1.7606239318847656	0.0009002685546875	positive	1.7606239318847656	positive	stable_wrong	"[{""condition_id"":""CTDJ-G3-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_B"",""coefficient"":-1}]"
CTDJ-G3-same_B-N_absent	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_B-N_absent	-0.6590690612792969	0.0009002685546875	negative	-0.6590690612792969	negative	stable_wrong	"[{""condition_id"":""CTDJ-G3-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_B"",""coefficient"":-1}]"
CTDJ-G3-same_B-L_N	CTD-G3-v2	CTD-family-01	within_query_fixed_D	same_B-L_N	2.4196929931640625	0.0009002685546875	positive	2.4196929931640625	positive	stable_wrong	"[{""condition_id"":""CTDJ-G3-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-N-same_B"",""coefficient"":-1}]"
CTDJ-G3-same_A-interaction-L_absent	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_absent	0.3712730407714844	0.001800537109375	positive	0.3712730407714844	positive		"[{""condition_id"":""CTDJ-G3-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":1}]"
CTDJ-G3-same_A-interaction-N_absent	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-N_absent	-9.732059478759766	0.001800537109375	negative	-9.732059478759766	negative		"[{""condition_id"":""CTDJ-G3-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":1}]"
CTDJ-G3-same_A-interaction-L_N	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_N	10.10333251953125	0.001800537109375	positive	10.10333251953125	positive		"[{""condition_id"":""CTDJ-G3-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G3-N-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":1}]"
CTDJ-G3-same_B-interaction-L_absent	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_absent	-11.812702178955078	0.001800537109375	negative	-11.812702178955078	negative		"[{""condition_id"":""CTDJ-G3-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":1}]"
CTDJ-G3-same_B-interaction-N_absent	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-N_absent	-16.053733825683594	0.001800537109375	negative	-16.053733825683594	negative		"[{""condition_id"":""CTDJ-G3-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-absent-none"",""coefficient"":1}]"
CTDJ-G3-same_B-interaction-L_N	CTD-G3-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_N	4.241031646728516	0.001800537109375	positive	4.241031646728516	positive		"[{""condition_id"":""CTDJ-G3-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G3-N-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G3-N-none"",""coefficient"":1}]"
CTDJ-G4-none-L_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	none-L_absent	3.090923309326172	0.0009002685546875	positive	-3.090923309326172	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":-1}]"
CTDJ-G4-none-N_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	none-N_absent	4.387931823730469	0.0009002685546875	positive	-4.387931823730469	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":-1}]"
CTDJ-G4-none-L_N	CTD-G4-v2	CTD-family-01	within_query_fixed_D	none-L_N	-1.2970085144042969	0.0009002685546875	negative	1.2970085144042969	positive	stable_correct	"[{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":-1}]"
CTDJ-G4-same_A-L_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_A-L_absent	2.3720951080322266	0.0009002685546875	positive	-2.3720951080322266	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_A"",""coefficient"":-1}]"
CTDJ-G4-same_A-N_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_A-N_absent	2.7214107513427734	0.0009002685546875	positive	-2.7214107513427734	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_A"",""coefficient"":-1}]"
CTDJ-G4-same_A-L_N	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_A-L_N	-0.3493156433105469	0.0009002685546875	negative	0.3493156433105469	positive	stable_correct	"[{""condition_id"":""CTDJ-G4-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-N-same_A"",""coefficient"":-1}]"
CTDJ-G4-same_B-L_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_B-L_absent	2.8782615661621094	0.0009002685546875	positive	-2.8782615661621094	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_B"",""coefficient"":-1}]"
CTDJ-G4-same_B-N_absent	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_B-N_absent	2.3811798095703125	0.0009002685546875	positive	-2.3811798095703125	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_B"",""coefficient"":-1}]"
CTDJ-G4-same_B-L_N	CTD-G4-v2	CTD-family-01	within_query_fixed_D	same_B-L_N	0.4970817565917969	0.0009002685546875	positive	-0.4970817565917969	negative	stable_correct	"[{""condition_id"":""CTDJ-G4-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-N-same_B"",""coefficient"":-1}]"
CTDJ-G4-same_A-interaction-L_absent	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_absent	-0.7188282012939453	0.001800537109375	negative	0.7188282012939453	positive		"[{""condition_id"":""CTDJ-G4-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":1}]"
CTDJ-G4-same_A-interaction-N_absent	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-N_absent	-1.6665210723876953	0.001800537109375	negative	1.6665210723876953	positive		"[{""condition_id"":""CTDJ-G4-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":1}]"
CTDJ-G4-same_A-interaction-L_N	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_N	0.94769287109375	0.001800537109375	positive	-0.94769287109375	negative		"[{""condition_id"":""CTDJ-G4-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G4-N-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":1}]"
CTDJ-G4-same_B-interaction-L_absent	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_absent	-0.2126617431640625	0.001800537109375	negative	0.2126617431640625	positive		"[{""condition_id"":""CTDJ-G4-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":1}]"
CTDJ-G4-same_B-interaction-N_absent	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-N_absent	-2.0067520141601562	0.001800537109375	negative	2.0067520141601562	positive		"[{""condition_id"":""CTDJ-G4-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-absent-none"",""coefficient"":1}]"
CTDJ-G4-same_B-interaction-L_N	CTD-G4-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_N	1.7940902709960938	0.001800537109375	positive	-1.7940902709960938	negative		"[{""condition_id"":""CTDJ-G4-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G4-N-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G4-N-none"",""coefficient"":1}]"
CTDJ-J1-none-L_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	none-L_absent	1.2270088195800781	0.0009002685546875	positive	-1.2270088195800781	negative	stable_correct	"[{""condition_id"":""CTDJ-J1-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-none"",""coefficient"":-1}]"
CTDJ-J1-none-N_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	none-N_absent	2.871917724609375	0.0009002685546875	positive	-2.871917724609375	negative	stable_correct	"[{""condition_id"":""CTDJ-J1-N-none"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-none"",""coefficient"":-1}]"
CTDJ-J1-none-L_N	CTD-J1-v2	CTD-family-02	within_query_fixed_D	none-L_N	-1.6449089050292969	0.0009002685546875	negative	1.6449089050292969	positive	stable_correct	"[{""condition_id"":""CTDJ-J1-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-J1-N-none"",""coefficient"":-1}]"
CTDJ-J1-same_A-L_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_A-L_absent	-1.0931758880615234	0.0009002685546875	negative	1.0931758880615234	positive	stable_correct	"[{""condition_id"":""CTDJ-J1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_A"",""coefficient"":-1}]"
CTDJ-J1-same_A-N_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_A-N_absent	0.7447414398193359	0.0009002685546875	positive	-0.7447414398193359	negative	stable_correct	"[{""condition_id"":""CTDJ-J1-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_A"",""coefficient"":-1}]"
CTDJ-J1-same_A-L_N	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_A-L_N	-1.8379173278808594	0.0009002685546875	negative	1.8379173278808594	positive	stable_correct	"[{""condition_id"":""CTDJ-J1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-J1-N-same_A"",""coefficient"":-1}]"
CTDJ-J1-same_B-L_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_B-L_absent	1.2297286987304688	0.0009002685546875	positive	-1.2297286987304688	negative	stable_correct	"[{""condition_id"":""CTDJ-J1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_B"",""coefficient"":-1}]"
CTDJ-J1-same_B-N_absent	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_B-N_absent	1.8458938598632812	0.0009002685546875	positive	-1.8458938598632812	negative	stable_correct	"[{""condition_id"":""CTDJ-J1-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_B"",""coefficient"":-1}]"
CTDJ-J1-same_B-L_N	CTD-J1-v2	CTD-family-02	within_query_fixed_D	same_B-L_N	-0.6161651611328125	0.0009002685546875	negative	0.6161651611328125	positive	stable_correct	"[{""condition_id"":""CTDJ-J1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-J1-N-same_B"",""coefficient"":-1}]"
CTDJ-J1-same_A-interaction-L_absent	CTD-J1-v2	CTD-family-02	fixed_pack_lexicon_interaction	same_A-interaction-L_absent	-2.3201847076416016	0.001800537109375	negative	2.3201847076416016	positive		"[{""condition_id"":""CTDJ-J1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-J1-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-J1-absent-none"",""coefficient"":1}]"
CTDJ-J1-same_A-interaction-N_absent	CTD-J1-v2	CTD-family-02	fixed_pack_lexicon_interaction	same_A-interaction-N_absent	-2.127176284790039	0.001800537109375	negative	2.127176284790039	positive		"[{""condition_id"":""CTDJ-J1-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-J1-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-J1-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-J1-absent-none"",""coefficient"":1}]"
