condition_id	query_id	family_id	lexicon_arm	demo_arm	adopted_reference	adopted_severity	m	margin_error_bound	reference_aligned_margin	raw_prediction	resolution	raw_correct	conservative_correct	pair_support_no	legal_mass	log_legal_mass	z_yes	z_no	log_p_yes	log_p_no	physical_score_id	prompt_sha256
CTDJ-G2-L-none	CTD-G2-v2	CTD-family-01	L	none	无	0	22.67304039001465	0.00045013427734375	22.67304039001465	无	resolved_no	True	True	0.9999999998576938	0.9999984277363364	-1.5722648996074895e-06	31.165037155151367	53.838077545166016	-22.673041962421856	-1.5724072071066075e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-011	e0f76c126683bc7e7dc21281ae769eacde521af8bbdb58784ac60e9580143aa6
CTDJ-G2-N-none	CTD-G2-v2	CTD-family-01	N	none	无	0	28.913047790527344	0.00045013427734375	28.913047790527344	无	resolved_no	True	True	0.9999999999997224	0.9999984249085229	-1.5750927175872675e-06	23.518325805664062	52.431373596191406	-28.91304936562034	-1.5750929946989345e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-012	3f4284993a289f3caf1296a42476065df0e63b5fdb9076af25fa9625a7ef6927
CTDJ-G2-absent-same_A	CTD-G2-v2	CTD-family-01	absent	same_A	无	0	28.836984634399414	0.00045013427734375	28.836984634399414	无	resolved_no	True	True	0.9999999999997007	0.9999998309905608	-1.6900945354336727e-07	25.83902931213379	54.6760139465332	-28.836984803409166	-1.690097519713163e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-013	713696ab1000855a65f71bcbdfa887157d30981c0d69c18499e96311051ba525
CTDJ-G2-L-same_A	CTD-G2-v2	CTD-family-01	L	same_A	无	0	29.73406410217285	0.00045013427734375	29.73406410217285	无	resolved_no	True	True	0.9999999999998779	0.999999745116544	-2.5488348853741627e-07	24.569841384887695	54.30390548706055	-29.73406435705646	-2.5488360932968135e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-014	dd3ab30358228f1bdd0ca5600a541c687c99814177cdc91418c6d97a3f2ab762
CTDJ-G2-N-same_A	CTD-G2-v2	CTD-family-01	N	same_A	无	0	28.7137393951416	0.00045013427734375	28.7137393951416	无	resolved_no	True	True	0.9999999999996614	0.999999820230075	-1.7976994115542766e-07	25.977392196655273	54.691131591796875	-28.713739574911884	-1.7977028221594082e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-015	a12035c0934dc2c23451809db4e36fb524c002fccb8c2a5fd7013831e239bcaf
CTDJ-G2-absent-same_B	CTD-G2-v2	CTD-family-01	absent	same_B	无	0	30.53644371032715	0.00045013427734375	30.53644371032715	无	resolved_no	True	True	0.9999999999999454	0.9999993973956091	-6.026045724638607e-07	21.705663681030273	52.24210739135742	-30.536444312931778	-6.026046293072795e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-016	7491416dc47bd958b357cad01bf1865d4d37966ba04646e10dadff351dd0e31f
CTDJ-G2-L-same_B	CTD-G2-v2	CTD-family-01	L	same_B	无	0	28.04368782043457	0.00045013427734375	28.04368782043457	无	resolved_no	True	True	0.9999999999993381	0.9999993393736141	-6.606266040876108e-07	24.542295455932617	52.58598327636719	-28.043688481061835	-6.60627264892355e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-017	4b553114c82c09979fbe08521bdaf56c6cc95b3a660dec7bdbe71591bd532f35
CTDJ-G2-N-same_B	CTD-G2-v2	CTD-family-01	N	same_B	无	0	27.854408264160156	0.00045013427734375	27.854408264160156	无	resolved_no	True	True	0.9999999999992002	0.9999995422714303	-4.577286745188758e-07	25.196640014648438	53.051048278808594	-27.854408721889634	-4.577294774321672e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-018	81ae218884166307381e35d63f3a9202796316652a05ecd2142ef67098c978a5
CTDJ-G3-absent-none	CTD-G3-v2	CTD-family-01	absent	none	无	0	-17.878421783447266	0.00045013427734375	-17.878421783447266	有	resolved_yes	False	False	1.7198876059394593e-08	0.9999999999849152	-1.5084822280186927e-11	54.75605392456055	36.87763214111328	-1.7213963587892067e-08	-17.87842180066123	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-019	d433775ad749a9bf50941e1bbfbad5999ea5975dafa6252ad3e8c0929329ce82
CTDJ-G3-L-none	CTD-G3-v2	CTD-family-01	L	none	无	0	-4.305095672607422	0.00045013427734375	-4.305095672607422	有	resolved_yes	False	False	0.013319782286447989	0.9999999972578877	-2.7421123149906634e-09	53.24987030029297	48.94477462768555	-0.013409288999426394	-4.318504961606848	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-020	afe9ac893dd3ba94ef19d636bb13579bdfc0c17f176365f47d9cf6e7f78644d3
CTDJ-G3-N-none	CTD-G3-v2	CTD-family-01	N	none	无	0	-2.4837570190429688	0.00045013427734375	-2.4837570190429688	有	resolved_yes	False	False	0.07700474722251102	0.9999999817050453	-1.8294954884368053e-08	51.953765869140625	49.470008850097656	-0.08013120604045554	-2.5638882250834243	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-021	575f48c544b7329ab0b05ce3839784d8ef30ca8d3b1fe8484ebc79236abe50c8
CTDJ-G3-absent-same_A	CTD-G3-v2	CTD-family-01	absent	same_A	无	0	-10.159080505371094	0.00045013427734375	-10.159080505371094	有	resolved_yes	False	False	3.8721357859759875e-05	0.9999999999588596	-4.11404244005098e-11	53.56987762451172	43.410797119140625	-3.872214869460322e-05	-10.159119227519788	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-022	bc710f64cb7d486e70f9ed99fce00a18db7c52f6456b8a835c75a250d3b5993b
CTDJ-G3-L-same_A	CTD-G3-v2	CTD-family-01	L	same_A	无	0	3.7855186462402344	0.00045013427734375	3.7855186462402344	无	resolved_no	True	True	0.9778066367536462	0.9999999460656724	-5.393432900291373e-08	51.1486930847168	54.93421173095703	-3.80796204160049	-0.022443395360255636	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-023	43d360eb44ab2577acdb69e89dd8cc2197771afb9bfad6d91fde95a7b4a1eb62
CTDJ-G3-N-same_A	CTD-G3-v2	CTD-family-01	N	same_A	无	0	-4.4964752197265625	0.00045013427734375	-4.4964752197265625	有	resolved_yes	False	False	0.01102530979512578	0.9999999989715462	-1.0284537665938842e-09	53.94898986816406	49.4525146484375	-0.011086540014758839	-4.507561759741321	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-024	dcb7199179b9f2d03e59420671beda736044ee4ddba9b08ff705698392e482b6
CTDJ-G3-absent-same_B	CTD-G3-v2	CTD-family-01	absent	same_B	无	0	-3.0465126037597656	0.00045013427734375	-3.0465126037597656	有	resolved_yes	False	False	0.045368273347311416	0.9999999965748003	-3.4251996794409933e-09	53.066097259521484	50.01958465576172	-0.046429642841332	-3.0929422466010976	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-025	94b6bb54baff7a8abe3c8f8b0b1cab2e71f241052abf378cd0894ac04fc2e4b6
CTDJ-G3-L-same_B	CTD-G3-v2	CTD-family-01	L	same_B	无	0	-1.285888671875	0.00045013427734375	-1.285888671875	有	resolved_yes	False	False	0.21654950867885278	0.9999999811656652	-1.8834334980510903e-08	52.74607467651367	51.46018600463867	-0.24404742714116878	-1.5299360990161688	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-026	6199790527aa53e8b1b5eb0f18a90cae30b3f11d7c0b141a080a64dbfb409876
CTDJ-G3-N-same_B	CTD-G3-v2	CTD-family-01	N	same_B	无	0	-3.7055816650390625	0.00045013427734375	-3.7055816650390625	有	resolved_yes	False	False	0.023995950113529663	0.9999999976085974	-2.391402631474193e-09	53.18233108520508	49.476749420166016	-0.0242885454952102	-3.7298702105342727	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-027	6c6e55391b4db46b61ab5b720e8b8b8673ff5ecb49fae01724685751504b080c
CTDJ-G4-absent-none	CTD-G4-v2	CTD-family-01	absent	none	有	1	-25.643508911132812	0.00045013427734375	25.643508911132812	有	resolved_yes	True	True	7.297356832060633e-12	0.9999999999928164	-7.183587058534613e-12	55.752471923828125	30.108963012695312	-1.4480860954790842e-11	-25.643508911147293	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-028	ee2dbc6242057bb774be0eb51303184d894d2fa1132fde4537ee3dae052f819f
CTDJ-G4-L-none	CTD-G4-v2	CTD-family-01	L	none	有	1	-22.55258560180664	0.00045013427734375	22.55258560180664	有	resolved_yes	True	True	1.6052272381678916e-10	0.9999999999899032	-1.0096812275151024e-11	54.70961380004883	32.15702819824219	-1.7062262713807286e-10	-22.552585601977263	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-029	38921be0de16dad37d6738ce834231fd8654defd0effef1963e9144c71d40ac1
CTDJ-G4-N-none	CTD-G4-v2	CTD-family-01	N	none	有	1	-21.255577087402344	0.00045013427734375	21.255577087402344	有	resolved_yes	True	True	5.872461267466358e-10	0.999999999979515	-2.0484947071963688e-11	53.187923431396484	31.93234634399414	-6.077343073229713e-10	-21.255577088010078	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-030	2fbc8839a4dcfbe67c5c89621c0823089ccf60072df974c1a1aea6e1ee59f27c
CTDJ-G4-absent-same_A	CTD-G4-v2	CTD-family-01	absent	same_A	有	1	-25.034006118774414	0.00045013427734375	25.034006118774414	有	resolved_yes	True	True	1.34236086614148e-11	0.9999999999946354	-5.364597654988756e-12	55.92621612548828	30.892210006713867	-1.878674993349705e-11	-25.0340061187932	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-031	43617a5bf90e70470980d9557c7dd316ed988378c0391d9dc4ed2c7b0c2ecb20
CTDJ-G4-L-same_A	CTD-G4-v2	CTD-family-01	L	same_A	有	1	-22.661911010742188	0.00045013427734375	22.661911010742188	有	resolved_yes	True	True	1.4389877558157043e-10	0.9999999999838636	-1.6136425529111875e-11	53.78293991088867	31.121028900146484	-1.6003554037524736e-10	-22.661911010902223	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-032	b85263f58628e85bf8bb15d0783aa4c6924f5de5fcf00e3aa6b9c7ecf34ad4be
CTDJ-G4-N-same_A	CTD-G4-v2	CTD-family-01	N	same_A	有	1	-22.31259536743164	0.00045013427734375	22.31259536743164	有	resolved_yes	True	True	2.0406238344404206e-10	0.9999999999845102	-1.5489831639570184e-11	53.77939224243164	31.466796875	-2.1955059992251336e-10	-22.31259536765119	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-033	c91e03e539ddc3c83ceb85f1e66f56207f1f2cd52bdb139238beb951b5599d91
CTDJ-G4-absent-same_B	CTD-G4-v2	CTD-family-01	absent	same_B	有	1	-22.811988830566406	0.00045013427734375	22.811988830566406	有	resolved_yes	True	True	1.2384518595773085e-10	0.999999999991573	-8.427036846114788e-12	55.19769287109375	32.385704040527344	-1.3227463568910025e-10	-22.81198883069868	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-034	444fcb4eba228f3c6a9ab50546b7f2450b44197626162cd8a1ba00ba6e340f6f
CTDJ-G4-L-same_B	CTD-G4-v2	CTD-family-01	L	same_B	有	1	-19.933727264404297	0.00045013427734375	19.933727264404297	有	resolved_yes	True	True	2.202379948326107e-09	0.9999999999905	-9.49995637711254e-12	54.88859558105469	34.95486831665039	-2.2118769038570463e-09	-19.933727266616174	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-035	20aaec1f78b281586ef61c6e55778cfd19f460bcd8cbef06ab968735f23aabcb
CTDJ-G4-N-same_B	CTD-G4-v2	CTD-family-01	N	same_B	有	1	-20.430809020996094	0.00045013427734375	20.430809020996094	有	resolved_yes	True	True	1.3397148792058648e-09	0.9999999999882334	-1.1766587704187259e-11	54.53106689453125	34.100257873535156	-1.351480705125141e-09	-20.430809022347574	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-036	be4c6fe382856ce8e8211dde103b3d76d96a3c579f35f9c9cf5e31b8deafb14a
CTDJ-J1-absent-none	CTD-J1-v2	CTD-family-02	absent	none	有	2	-24.084075927734375	0.00045013427734375	24.084075927734375	有	resolved_yes	True	True	3.470713162462448e-11	0.9999999999930651	-6.934897101018578e-12	56.07533264160156	31.991256713867188	-4.164490974289947e-11	-24.08407592777602	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-037	f508c10dfb8608cca9dd4355c1a9ee86234ae831e849d9df0f029e54b0744adb
CTDJ-J1-L-none	CTD-J1-v2	CTD-family-02	L	none	有	2	-22.857067108154297	0.00045013427734375	22.857067108154297	有	resolved_yes	True	True	1.183864185473973e-10	0.9999999999942091	-5.7909232964448165e-12	55.81390380859375	32.95683670043945	-1.241744485014351e-10	-22.85706710827847	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-038	ddb8e41f70b817100bfbf317331ecbdd1c8b51aef2042eb5092ce9e50536fc31
CTDJ-J1-N-none	CTD-J1-v2	CTD-family-02	N	none	有	2	-21.212158203125	0.00045013427734375	21.212158203125	有	resolved_yes	True	True	6.133053354623164e-10	0.9999999999845954	-1.5404566511278972e-11	54.00517272949219	32.79301452636719	-6.287095288826094e-10	-21.21215820375371	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-039	129b957cd170e7c3645bd5f8c083034f464660b13a7c5e0a3196508228822f09
CTDJ-J1-absent-same_A	CTD-J1-v2	CTD-family-02	absent	same_A	有	2	-25.379100799560547	0.00045013427734375	25.379100799560547	有	resolved_yes	True	True	9.505972795451366e-12	0.9999999999940385	-5.9614535530272406e-12	56.87501907348633	31.49591827392578	-1.546851535749738e-11	-25.379100799576015	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-040	70104ace565fcd63b1b0c28e1a87cc474c46e544c6ad52bae0f459cc40239f86
CTDJ-J1-L-same_A	CTD-J1-v2	CTD-family-02	L	same_A	有	2	-26.47227668762207	0.00045013427734375	26.47227668762207	有	resolved_yes	True	True	3.185930599529861e-12	0.9999999999977689	-2.2311041902867146e-12	57.54194641113281	31.069669723510742	-5.4143356464919634e-12	-26.472276687627485	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-041	3547b00266578893b8adaf82d1db99cef39efda65589ef4e3d3f463269ae8822
CTDJ-J1-N-same_A	CTD-J1-v2	CTD-family-02	N	same_A	有	2	-24.63435935974121	0.00045013427734375	24.63435935974121	有	resolved_yes	True	True	2.0018598294323177e-11	0.999999999995751	-4.249045559845399e-12	56.3639030456543	31.729543685913086	-2.426503442620742e-11	-24.634359359765476	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-042	08cee8674c1894d2a0cd1de181b6de4d261289fbc217ce1cb8f8118f99de593e
CTDJ-J1-absent-same_B	CTD-J1-v2	CTD-family-02	absent	same_B	有	2	-24.28902816772461	0.00045013427734375	24.28902816772461	有	resolved_yes	True	True	2.8275422040704846e-11	0.9999999999926104	-7.389644451905042e-12	56.541412353515625	32.252384185791016	-3.566213990779943e-11	-24.28902816776027	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-043	ee628469fe3a5f1dbd1bbe77c60a52f81398f15101d0fb1dcd877d3f5c4a6b65
CTDJ-J1-L-same_B	CTD-J1-v2	CTD-family-02	L	same_B	有	2	-23.05929946899414	0.00045013427734375	23.05929946899414	有	resolved_yes	True	True	9.67104677979259e-11	0.9999999999947633	-5.236699962551938e-12	55.721038818359375	32.661739349365234	-1.0194867172685917e-10	-23.05929946909609	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-044	f15ecde7b6fc782938441b20a19cfddc221922123830e76b843bf5dc042a1691
CTDJ-J1-N-same_B	CTD-J1-v2	CTD-family-02	N	same_B	有	2	-22.443134307861328	0.00045013427734375	22.443134307861328	有	resolved_yes	True	True	1.7908970183500543e-10	0.999999999993392	-6.608047442568932e-12	55.33936309814453	32.8962287902832	-1.8570034399090218e-10	-22.44313430804703	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-045	28d9c6a9c44f2cc7491f5652c3c53c896b0aadee0872c7cf541fee534d342cec
CTDJ-J2-absent-none	CTD-J2-v2	CTD-family-02	absent	none	无	0	22.465961456298828	0.00045013427734375	22.465961456298828	无	resolved_no	True	True	0.999999999824952	0.9999980106729075	-1.9893290712502676e-06	29.819965362548828	52.285926818847656	-22.46596344580295	-1.9895041205586494e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-046	df5d2fc835cc6ef82c721f19523502678fe8015752b69c07c46080151819b55a
CTDJ-J2-L-none	CTD-J2-v2	CTD-family-02	L	none	无	0	-10.785945892333984	0.00045013427734375	-10.785945892333984	有	resolved_yes	False	False	2.0687796339857744e-05	0.9999999999116866	-8.831335662762285e-11	51.96525192260742	41.17930603027344	-2.0688098651078235e-05	-10.785966580432635	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-047	4975ae7d3487bd68114ae637cf922f6d7cfa93175a2a8fd8e195cc148da6b544
CTDJ-J2-N-none	CTD-J2-v2	CTD-family-02	N	none	无	0	17.076854705810547	0.00045013427734375	17.076854705810547	无	resolved_no	True	True	0.9999999616631684	0.9999979832339976	-2.016768036128269e-06	35.94811248779297	53.024967193603516	-17.076856760915412	-2.055104864950863e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-048	7cb10b94196f9ce5e5a2e3d88034ade74348b4e3f1d83379204b5032538e71c3
CTDJ-J2-absent-same_A	CTD-J2-v2	CTD-family-02	absent	same_A	无	0	29.222402572631836	0.00045013427734375	29.222402572631836	无	resolved_no	True	True	0.9999999999997964	0.9999993560813903	-6.439188169338195e-07	23.739591598510742	52.96199417114258	-29.22240321655086	-6.439190229912128e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-049	3578cffcc42fe25d4e811189d8b8a5e24566184a92b90eebbd8cad45b1e96b8f
CTDJ-J2-L-same_A	CTD-J2-v2	CTD-family-02	L	same_A	无	0	24.24947166442871	0.00045013427734375	24.24947166442871	无	resolved_no	True	True	0.9999999999705838	0.9999962005774337	-3.7994297841237312e-06	25.674482345581055	49.923954010009766	-24.24947546388791	-3.7994592005929917e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-050	99723658946928ce05fef8cf305f9bb06c046ad048e3c1ec3133d23e901513c5
CTDJ-J2-N-same_A	CTD-J2-v2	CTD-family-02	N	same_A	无	0	24.915264129638672	0.00045013427734375	24.915264129638672	无	resolved_no	True	True	0.9999999999848839	0.9999987856342029	-1.2143665344410692e-06	26.976932525634766	51.89219665527344	-24.91526534402032	-1.2143816476850589e-06	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-051	c097b373f614a6eebc458b2d49abb4d046cd83680c5292506b9dbde399b8a3bc
CTDJ-J2-absent-same_B	CTD-J2-v2	CTD-family-02	absent	same_B	无	0	23.555461883544922	0.00045013427734375	23.555461883544922	无	resolved_no	True	True	0.9999999999411167	0.9999996552435729	-3.4475648647003254e-07	32.21753692626953	55.77299880981445	-23.55546222836029	-3.44815369146545e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-052	ee42c55596451be05af32aef301d681db33e5c1dd1a099142a79f94365c97e9d
CTDJ-J2-L-same_B	CTD-J2-v2	CTD-family-02	L	same_B	无	0	21.85126495361328	0.00045013427734375	21.85126495361328	无	resolved_no	True	True	0.9999999996763198	0.9999990523852786	-9.476151703324831e-07	32.05670166015625	53.90796661376953	-21.851265901552132	-9.479388509703313e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-053	1e5b7449427ad91404e1f520ac3ebdc98c8080f939401dc2c3cadf183e09ee6d
CTDJ-J2-N-same_B	CTD-J2-v2	CTD-family-02	N	same_B	无	0	19.53054428100586	0.00045013427734375	19.53054428100586	无	resolved_no	True	True	0.9999999967039606	0.9999997035300452	-2.964699987728636e-07	36.58975601196289	56.12030029296875	-19.530544580771895	-2.9976603599379814e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-054	218921d26aaf2d7ef04757560e64c8448db9cf34c994eb77e40add012748b3c8
CTDJ-J3-absent-none	CTD-J3-v2	CTD-family-02	absent	none	无	0	-19.27337646484375	0.00045013427734375	-19.27337646484375	有	resolved_yes	False	False	4.262642903689934e-09	0.9999999999893987	-1.0601297617540695e-11	54.51537322998047	35.24199676513672	-4.273246645425388e-09	-19.273376469116997	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-055	affb1968b424d6a821bf1e896400931aec136cdce05060b669cf62e158b29476
CTDJ-J3-L-none	CTD-J3-v2	CTD-family-02	L	none	无	0	-0.5213470458984375	0.00045013427734375	-0.5213470458984375	有	resolved_yes	False	False	0.3725373032900681	0.9999998763183916	-1.236816160599119e-07	50.16645050048828	49.645103454589844	-0.4660711808990996	-0.9874182267975371	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-056	2d8ed0097db277c9c42336352b746cda771ceffe399c0a967246d2d1c593196d
CTDJ-J3-N-none	CTD-J3-v2	CTD-family-02	N	none	无	0	-9.583694458007812	0.00045013427734375	-9.583694458007812	有	resolved_yes	False	False	6.883740401267461e-05	0.9999999999458069	-5.419309445642284e-11	52.805301666259766	43.22160720825195	-6.883982760541585e-05	-9.583763297835418	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-057	d50707eb0609084c3a25264ae2349c7775a85a8185303332e2860268eae7a023
CTDJ-J3-absent-same_A	CTD-J3-v2	CTD-family-02	absent	same_A	无	0	-21.064678192138672	0.00045013427734375	-21.064678192138672	有	resolved_yes	False	False	7.107657593132035e-10	0.9999999999953673	-4.632738637155853e-12	56.82090377807617	35.7562255859375	-7.153957426453417e-10	-21.064678192854068	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-058	efbc97b2810fbcd8ba8b6f53ba631cf1e16a13ae69ad5296085a0f5fdb56c184
CTDJ-J3-L-same_A	CTD-J3-v2	CTD-family-02	L	same_A	无	0	-8.749065399169922	0.00045013427734375	-8.749065399169922	有	resolved_yes	False	False	0.00015858433944801475	0.9999999999565432	-4.345679371908773e-11	54.75128173828125	46.00221633911133	-0.0001585969587338809	-8.749223996128656	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-059	96982960512302913e5c264d0c772a7d64ba9df0b4e3a669d8e4c4535b4f2880
