contrast_id,query_id,kind,terms,main_effects,main_directions,original_background_effect,mean_to_ncc_direction_preserved,ab_directions_agree_resolved,all_five_directions_agree_resolved,single_probe_directions,leave_one_out_directions,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc
EPL-541:semantic-P0-1,541,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":1.2786178588867188,""ab_reverse/answer_sum"":1.8256645202636719,""ncc"":0.9475554021840771,""original/answer_mean"":0.03873875935872395,""original/answer_sum"":0.22609329223632812}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.9088166428253532,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:semantic-P1-1,541,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""}]","{""ab_forward/answer_sum"":1.2663497924804688,""ab_reverse/answer_sum"":1.5186576843261719,""ncc"":0.2820298302688631,""original/answer_mean"":0.005946350097656233,""original/answer_sum"":0.0457000732421875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.2760834801712071,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:position-semantic-1,541,position_by_semantic_interaction,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-D1""},{""coefficient"":1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":-0.01226806640625,""ab_reverse/answer_sum"":-0.3070068359375,""ncc"":-0.665525571915214,""original/answer_mean"":-0.03279240926106772,""original/answer_sum"":-0.18039321899414062}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.6327331626541461,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:semantic-P0-2,541,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":1.5473098754882812,""ab_reverse/answer_sum"":2.2539634704589844,""ncc"":1.2543276606425438,""original/answer_mean"":-0.004122670491536473,""original/answer_sum"":0.059642791748046875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""positive""}",-1.25845033113408,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:semantic-P1-2,541,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P1-C2""}]","{""ab_forward/answer_sum"":0.5189628601074219,""ab_reverse/answer_sum"":0.4884033203125,""ncc"":0.7144797933552769,""original/answer_mean"":-0.052883148193359375,""original/answer_sum"":-0.19483566284179688}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.7673629415486363,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:position-semantic-2,541,position_by_semantic_interaction,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-D2""},{""coefficient"":1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":-1.0283470153808594,""ab_reverse/answer_sum"":-1.7655601501464844,""ncc"":-0.5398478672872669,""original/answer_mean"":-0.0487604777018229,""original/answer_sum"":-0.25447845458984375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.49108738958544373,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:length-S,541,length_wording_sensitivity,"[{""coefficient"":1,""condition"":""S""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":2.78167724609375,""ab_reverse/answer_sum"":1.9107017517089844,""ncc"":-0.29258749506434567,""original/answer_mean"":-0.3873123168945312,""original/answer_sum"":-1.1139297485351562}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.09472482183018549,True,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:length-L,541,length_wording_sensitivity,"[{""coefficient"":1,""condition"":""L""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":-0.5012550354003906,""ab_reverse/answer_sum"":0.6002769470214844,""ncc"":-0.07312249109713154,""original/answer_mean"":-0.19064407348632806,""original/answer_sum"":-0.4021949768066406}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.11752158238919641,True,False,False,"{""empty"":""negative"",""lorem"":""positive"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-541:length-L-S,541,length_wording_sensitivity,"[{""coefficient"":1,""condition"":""L""},{""coefficient"":-1,""condition"":""S""}]","{""ab_forward/answer_sum"":-3.2829322814941406,""ab_reverse/answer_sum"":-1.3104248046875,""ncc"":0.21946500396721413,""original/answer_mean"":0.19666824340820316,""original/answer_sum"":0.7117347717285156}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.02279676055901092,True,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-3169:position-A,3169,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]","{""ab_forward/answer_sum"":0.7425079345703125,""ab_reverse/answer_sum"":-0.5832252502441406,""ncc"":0.008294792720208832,""original/answer_mean"":0.1403327941894531,""original/answer_sum"":0.7050361633300781}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.13203800146924438,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""negative"",""space"":""positive""}",False,False
EPL-3169:background-A,3169,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":0.4470634460449219,""ab_reverse/answer_sum"":1.4822425842285156,""ncc"":-0.028054663586894346,""original/answer_mean"":0.02192764282226567,""original/answer_sum"":0.12282180786132812}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.049982306409159794,False,True,False,"{""empty"":""negative"",""lorem"":""positive"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-3169:position-C1,3169,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":3.3137893676757812,""ab_reverse/answer_sum"":0.3514671325683594,""ncc"":0.30170181186492107,""original/answer_mean"":0.21874440511067705,""original/answer_sum"":0.8212203979492188}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.08295740675424401,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-3169:background-C1,3169,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":2.0045509338378906,""ab_reverse/answer_sum"":-0.23723602294921875,""ncc"":-0.1841280492699613,""original/answer_mean"":-0.1333635965983073,""original/answer_sum"":-0.5106391906738281}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.05076445267165397,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:position-C2,3169,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":0.5513992309570312,""ab_reverse/answer_sum"":-0.56280517578125,""ncc"":0.27561400435017713,""original/answer_mean"":0.09951807657877604,""original/answer_sum"":0.3703193664550781}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.17609592777140115,True,False,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-3169:background-C2,3169,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":1.4946060180664062,""ab_reverse/answer_sum"":-0.8985557556152344,""ncc"":-0.2361189534285315,""original/answer_mean"":-0.21251449584960944,""original/answer_sum"":-0.7747535705566406}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.023604457578922045,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:position-D1,3169,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]","{""ab_forward/answer_sum"":0.21647262573242188,""ab_reverse/answer_sum"":-0.506439208984375,""ncc"":-0.025513838107134923,""original/answer_mean"":0.090552012125651,""original/answer_sum"":0.4608039855957031}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.11606585023278582,False,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-3169:background-D1,3169,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""R-D1""}]","{""ab_forward/answer_sum"":0.46198272705078125,""ab_reverse/answer_sum"":1.2233734130859375,""ncc"":-0.02909342568829576,""original/answer_mean"":0.02706654866536462,""original/answer_sum"":0.14336395263671875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.05615997435366049,False,True,False,"{""empty"":""negative"",""lorem"":""positive"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-3169:position-D2,3169,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P0-D2""}]","{""ab_forward/answer_sum"":-0.11320114135742188,""ab_reverse/answer_sum"":0.042236328125,""ncc"":0.01981592160814305,""original/answer_mean"":0.12321955362955739,""original/answer_sum"":0.6140632629394531}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.10340363202141445,True,False,False,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""negative"",""space"":""positive""}",False,False
EPL-3169:background-D2,3169,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""R-D2""}]","{""ab_forward/answer_sum"":0.31551361083984375,""ab_reverse/answer_sum"":1.5503044128417969,""ncc"":-0.030504386755110247,""original/answer_mean"":0.019534556070963438,""original/answer_sum"":0.10873031616210938}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.05003894282607346,False,True,False,"{""empty"":""negative"",""lorem"":""positive"",""mask"":""negative"",""na"":""positive"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-3169:semantic-P0-1,3169,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":-7.5206756591796875,""ab_reverse/answer_sum"":-5.460659027099609,""ncc"":-0.4202342682359408,""original/answer_mean"":-0.6215835571289062,""original/answer_sum"":-2.8057098388671875}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.20134928889296555,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:semantic-P1-1,3169,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""}]","{""ab_forward/answer_sum"":-10.617992401123047,""ab_reverse/answer_sum"":-6.318565368652344,""ncc"":-0.7474499182079968,""original/answer_mean"":-0.7497759501139323,""original/answer_sum"":-3.166126251220703}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.0023260319059357215,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:position-semantic-1,3169,position_by_semantic_interaction,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-D1""},{""coefficient"":1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":-3.0973167419433594,""ab_reverse/answer_sum"":-0.8579063415527344,""ncc"":-0.327215649972056,""original/answer_mean"":-0.12819239298502605,""original/answer_sum"":-0.3604164123535156}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.19902325698702983,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:semantic-P0-2,3169,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":-8.690208435058594,""ab_reverse/answer_sum"":-5.836177825927734,""ncc"":-0.5345011966775552,""original/answer_mean"":-0.7248863220214844,""original/answer_sum"":-3.233478546142578}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.19038512534392904,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:semantic-P1-2,3169,paired_content_paraphrase_comparison,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P1-C2""}]","{""ab_forward/answer_sum"":-9.354808807373047,""ab_reverse/answer_sum"":-5.231136322021484,""ncc"":-0.7902992794195893,""original/answer_mean"":-0.7011848449707031,""original/answer_sum"":-2.989734649658203}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.08911443444888656,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-3169:position-semantic-2,3169,position_by_semantic_interaction,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-D2""},{""coefficient"":1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":-0.6646003723144531,""ab_reverse/answer_sum"":0.60504150390625,""ncc"":-0.2557980827420341,""original/answer_mean"":0.02370147705078135,""original/answer_sum"":0.243743896484375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.2794995597928156,False,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
