request_id	role	span_id	all_layer_head_mean_mass	all_layer_head_mean_density	late_18_35_mean_mass	late_18_35_mean_density	mean_visible_tokens
hsc-Q02-D03	pre_answer	lex-0419:component:ordinary	0.0023159113887160276	0.00011028149470076323	0.0014191777059050245	6.757989075738212e-05	21.0
hsc-Q02-D03	pre_answer	lex-0419:component:boundary	0.0008967784086779207	0.0008967784086779207	0.0012038882105417609	0.0012038882105417609	1.0
hsc-Q02-D03	lexicon_end	lex-0419:component:original	0.007463385272159819	0.0003553992986742771	0.0037966052547380993	0.00018079072641609994	21.0
hsc-Q02-D03	lexicon_end	lex-0419:component:ordinary	0.006514883298265058	0.0003102325380126218	0.0028713023189969465	0.00013672868185699743	21.0
hsc-Q02-D03	lexicon_end	lex-0419:component:boundary	0.006763658046094547	0.006763658046094547	0.005058362775616689	0.005058362775616689	1.0
hsc-Q02-D03	query_end	lex-0419:component:original	0.008772981932919045	0.00041776104442471646	0.0071928323488841045	0.00034251582613733833	21.0
hsc-Q02-D03	query_end	lex-0419:component:ordinary	0.006169371769392539	0.0002937796080663114	0.005213536197158936	0.0002482636284361398	21.0
hsc-Q02-D03	query_end	lex-0419:component:boundary	0.00113637472712842	0.00113637472712842	0.0008915873332576831	0.0008915873332576831	1.0
hsc-Q02-D03	query_all	lex-0419:component:original	0.010961813560893229	0.0005219911219472965	0.009941380306475171	0.00047339906221310343	21.0
hsc-Q02-D03	query_all	lex-0419:component:ordinary	0.006992959743817824	0.00033299808303894403	0.0048920826146579745	0.0002329563149837131	21.0
hsc-Q02-D03	query_all	lex-0419:component:boundary	0.001250524224088516	0.001250524224088516	0.0011289364277919751	0.0011289364277919751	1.0
hsc-Q02-D03	query_focal	lex-0419:component:original	0.033640933537024936	0.0016019492160488065	0.03199809487898517	0.0015237188037611985	21.0
hsc-Q02-D03	query_focal	lex-0419:component:ordinary	0.023337090148514594	0.0011112900070721237	0.02047722281415051	0.0009751058482928816	21.0
hsc-Q02-D03	query_focal	lex-0419:component:boundary	0.006397932163985991	0.006397932163985991	0.007097840776273056	0.007097840776273056	1.0
hsc-Q03-D03	pre_answer	lex-0419:component:original	0.002897909595940319	0.0001379956950447771	0.0017877533816710034	8.513111341290494e-05	21.0
hsc-Q03-D03	pre_answer	lex-0419:component:ordinary	0.001997747212559496	9.513081964569027e-05	0.001027550200276864	4.89309619179459e-05	21.0
hsc-Q03-D03	pre_answer	lex-0419:component:boundary	0.0005523462927384082	0.0005523462927384082	0.0005806737699615675	0.0005806737699615675	1.0
hsc-Q03-D03	lexicon_end	lex-0419:component:original	0.007463385272159819	0.0003553992986742771	0.0037966052547380993	0.00018079072641609994	21.0
hsc-Q03-D03	lexicon_end	lex-0419:component:ordinary	0.006514883298265058	0.0003102325380126218	0.0028713023189969465	0.00013672868185699743	21.0
hsc-Q03-D03	lexicon_end	lex-0419:component:boundary	0.006763658046094547	0.006763658046094547	0.005058362775616689	0.005058362775616689	1.0
hsc-Q03-D03	query_end	lex-0419:component:original	0.004002960688829868	0.00019061717565856513	0.0018766001279238937	8.936191085351874e-05	21.0
hsc-Q03-D03	query_end	lex-0419:component:ordinary	0.0032680301763703696	0.00015562048458906522	0.001215126990059801	5.786319000284767e-05	21.0
hsc-Q03-D03	query_end	lex-0419:component:boundary	0.0012780151026146648	0.0012780151026146648	0.0007789579818502553	0.0007789579818502553	1.0
hsc-Q03-D03	query_all	lex-0419:component:original	0.008424200923531145	0.0004011524249300546	0.006631429362700997	0.00031578235060480937	21.0
hsc-Q03-D03	query_all	lex-0419:component:ordinary	0.005175504057048798	0.0002464525741451808	0.0031890108747981627	0.00015185766070467444	21.0
hsc-Q03-D03	query_all	lex-0419:component:boundary	0.0009042514004624866	0.0009042514004624866	0.0007057012508793463	0.0007057012508793463	1.0
hsc-Q03-D03	query_focal	lex-0419:component:original	0.035632317396450564	0.0016967770188785981	0.0377165190248965	0.0017960247154712615	21.0
hsc-Q03-D03	query_focal	lex-0419:component:ordinary	0.02405961418698633	0.0011456959136660156	0.023881104458429114	0.0011371954504013865	21.0
hsc-Q03-D03	query_focal	lex-0419:component:boundary	0.006454725524222542	0.006454725524222542	0.007265699139393132	0.007265699139393132	1.0
