query_id,condition,family,prompt_tokens,demo_order,query_span,proof
541,P1-C2,position_swapped,930,"[""2129"",""4041"",""1573"",""5612"",""3156"",""1289"",""2430"",""7499"",""826"",""4956""]","[888,921]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":930,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":9,""target_slot_before"":5}"
541,P0-D1,position_common_background,930,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[888,921]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":12,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":12}"
541,P1-D1,position_swapped,930,"[""2129"",""4041"",""1573"",""5612"",""3156"",""1289"",""2430"",""7499"",""826"",""4956""]","[888,921]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":930,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":9,""target_slot_before"":5}"
541,P0-D2,position_common_background,930,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[888,921]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":12,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":12}"
541,P1-D2,position_swapped,930,"[""2129"",""4041"",""1573"",""5612"",""3156"",""1289"",""2430"",""7499"",""826"",""4956""]","[888,921]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":930,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":9,""target_slot_before"":5}"
541,S,length_short,907,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[865,898]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":-11,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":-11}"
541,L,length_long,938,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[896,929]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":20,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":20}"
3169,R-A,first_batch_reference,742,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[711,733]",historical_replay
3169,R-B,first_batch_reference,712,"[""3602"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[681,703]",historical_replay
3169,R-C1,first_batch_reference,742,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[711,733]",historical_replay
3169,R-C2,first_batch_reference,742,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[711,733]",historical_replay
3169,R-D1,first_batch_reference,742,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[711,733]",historical_replay
3169,R-D2,first_batch_reference,742,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[711,733]",historical_replay
3169,P0-A,position_common_background,743,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":1,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":1}"
3169,P1-A,position_swapped,743,"[""3602"",""3660"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":743,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":2,""target_slot_before"":3}"
3169,P0-C1,position_common_background,743,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":1,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":1}"
3169,P1-C1,position_swapped,743,"[""3602"",""3660"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":743,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":2,""target_slot_before"":3}"
3169,P0-C2,position_common_background,743,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":1,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":1}"
3169,P1-C2,position_swapped,743,"[""3602"",""3660"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":743,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":2,""target_slot_before"":3}"
3169,P0-D1,position_common_background,743,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":1,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":1}"
3169,P1-D1,position_swapped,743,"[""3602"",""3660"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":743,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":2,""target_slot_before"":3}"
3169,P0-D2,position_common_background,743,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":1,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":1}"
3169,P1-D2,position_swapped,743,"[""3602"",""3660"",""6493"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[712,734]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":743,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":2,""target_slot_before"":3}"
3169,S,length_short,736,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[705,727]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":-6,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":-6}"
3169,L,length_long,749,"[""3602"",""6493"",""3660"",""7611"",""5780"",""7640"",""3519"",""3582"",""6035"",""3585""]","[718,740]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":7,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":7}"
