group,module,layer,role,view,direction,surface,recipient_margin,recipient_label,recipient_resolved,donor_under_estimand_margin,donor_under_estimand_label,donor_under_estimand_resolved,patched_margin,patched_label,patched_resolved,matches_donor_under_estimand_label,changed_recipient_label
F1:O-N1,attention,35,pre_answer,ab_forward/answer_mean,K,A,7.358548164367676,non-hate,True,-4.102296829223633,hate,True,6.99725341796875,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_mean,K,H,6.672069549560547,non-hate,True,-3.643453598022461,hate,True,6.295528411865234,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/total_with_eos,R,A,-8.204593658447266,hate,True,14.717100143432617,non-hate,True,-8.250106811523438,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/total_with_eos,R,H,-7.286907196044922,hate,True,13.344139099121094,non-hate,True,-7.350276947021484,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/total_with_eos,K,A,14.717100143432617,non-hate,True,-8.204593658447266,hate,True,13.994510650634766,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/total_with_eos,K,H,13.344139099121094,non-hate,True,-7.286907196044922,hate,True,12.591056823730469,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/mean_with_eos,R,A,-2.734864552815755,hate,True,4.905700047810873,non-hate,True,-2.750035603841146,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/mean_with_eos,R,H,-2.428969065348307,hate,True,4.448046366373698,non-hate,True,-2.450092315673828,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/mean_with_eos,K,A,4.905700047810873,non-hate,True,-2.734864552815755,hate,True,4.664836883544922,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/mean_with_eos,K,H,4.448046366373698,non-hate,True,-2.428969065348307,hate,True,4.19701894124349,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_sum,R,A,7.946067810058594,non-hate,True,23.133039474487305,non-hate,True,8.010116577148438,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_sum,R,H,10.204700469970703,non-hate,True,22.316198348999023,non-hate,True,10.28664779663086,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_sum,K,A,23.133039474487305,non-hate,True,7.946067810058594,non-hate,True,22.238590240478516,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_sum,K,H,22.316198348999023,non-hate,True,10.204700469970703,non-hate,True,21.6494083404541,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_mean,R,A,3.973033905029297,non-hate,True,11.566519737243652,non-hate,True,4.005058288574219,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_mean,R,H,5.102350234985352,non-hate,True,11.158099174499512,non-hate,True,5.14332389831543,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_mean,K,A,11.566519737243652,non-hate,True,3.973033905029297,non-hate,True,11.119295120239258,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/answer_mean,K,H,11.158099174499512,non-hate,True,5.102350234985352,non-hate,True,10.82470417022705,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/total_with_eos,R,A,7.946067810058594,non-hate,True,23.133039474487305,non-hate,True,8.010116577148438,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/total_with_eos,R,H,10.204700469970703,non-hate,True,22.316198348999023,non-hate,True,10.28664779663086,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/total_with_eos,K,A,23.133039474487305,non-hate,True,7.946067810058594,non-hate,True,22.238590240478516,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/total_with_eos,K,H,22.316198348999023,non-hate,True,10.204700469970703,non-hate,True,21.6494083404541,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/mean_with_eos,R,A,2.6486892700195312,non-hate,True,7.711013158162435,non-hate,True,2.670038859049479,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/mean_with_eos,R,H,3.401566823323568,non-hate,True,7.438732782999675,non-hate,True,3.428882598876953,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/mean_with_eos,K,A,7.711013158162435,non-hate,True,2.6486892700195312,non-hate,True,7.412863413492839,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_reverse/mean_with_eos,K,H,7.438732782999675,non-hate,True,3.401566823323568,non-hate,True,7.216469446818034,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ncc_fixed_recipient,R,A,-2.845691594233388,hate,True,1.6245741121468207,non-hate,True,-2.716426762690419,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_fixed_recipient,R,H,-2.5744707901783346,hate,True,1.7402328332754413,non-hate,True,-2.3844416458912256,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_fixed_recipient,K,A,1.5646330688914576,non-hate,True,-2.905632637488751,hate,True,1.248100679568541,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_fixed_recipient,K,H,1.6054331111167626,non-hate,True,-2.7092705123370133,hate,True,1.2298428502931946,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_recalibrated,R,A,-2.845691594233388,hate,True,1.5646330688914576,non-hate,True,-2.733338696075861,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_recalibrated,R,H,-2.5744707901783346,hate,True,1.6054331111167626,non-hate,True,-2.4141435230317114,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_recalibrated,K,A,1.5646330688914576,non-hate,True,-2.845691594233388,hate,True,1.2647124987418188,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_recalibrated,K,H,1.6054331111167626,non-hate,True,-2.5744707901783346,hate,True,1.2593771967930096,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/empty,R,A,-3.4852142333984375,hate,True,0.8568359375000001,non-hate,True,-3.3940246582031253,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/empty,R,H,-3.1893290201822917,hate,True,0.9059435526529951,non-hate,True,-3.058042653401693,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/empty,K,A,0.8568359375000001,non-hate,True,-3.4852142333984375,hate,True,0.5786941528320315,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/empty,K,H,0.9059435526529951,non-hate,True,-3.1893290201822917,hate,True,0.5900650024414062,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/space,R,A,-2.99975102742513,hate,True,1.3602368672688803,non-hate,True,-2.889809163411458,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/space,R,H,-2.6759193420410154,hate,True,1.4155654907226562,non-hate,True,-2.527333323160807,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/space,K,A,1.3602368672688803,non-hate,True,-2.99975102742513,hate,True,1.0632479349772135,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/space,K,H,1.4155654907226562,non-hate,True,-2.6759193420410154,hate,True,1.0826138814290363,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/na,R,A,-1.8976760864257811,hate,True,2.556903076171875,non-hate,True,-1.7781634012858074,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/na,R,H,-1.6321978251139322,hate,True,2.602385457356771,non-hate,True,-1.458533223470052,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/na,K,A,2.556903076171875,non-hate,True,-1.8976760864257811,hate,True,2.2501469930013025,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/na,K,H,2.602385457356771,non-hate,True,-1.6321978251139322,hate,True,2.243325551350911,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/mask,R,A,-2.839042154947917,hate,True,1.5784016927083333,non-hate,True,-2.7238296508789066,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/mask,R,H,-2.5716056823730464,hate,True,1.6087415059407553,non-hate,True,-2.412730153401693,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/mask,K,A,1.5784016927083333,non-hate,True,-2.839042154947917,hate,True,1.2761746724446619,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/mask,K,H,1.6087415059407553,non-hate,True,-2.5716056823730464,hate,True,1.2649513244628903,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_single/lorem,R,A,-4.409940338134765,hate,True,-0.1701950073242191,hate,True,-4.330880737304687,hate,True,True,False
F1:O-N1,attention,35,pre_answer,ncc_single/lorem,R,H,-4.2497291564941415,hate,True,-0.17353897094726545,hate,True,-4.115127563476563,hate,True,True,False
F1:O-N1,attention,35,pre_answer,ncc_single/lorem,K,A,-0.1701950073242191,hate,True,-4.409940338134765,hate,True,-0.43564605712890625,hate,True,True,False
F1:O-N1,attention,35,pre_answer,ncc_single/lorem,K,H,-0.17353897094726545,hate,True,-4.2497291564941415,hate,True,-0.49274419148763027,hate,True,True,False
F1:O-N1,attention,35,pre_answer,ncc_loo/empty,R,A,-2.730395704286147,hate,True,1.6879802797823493,non-hate,True,-2.6154720792945407,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/empty,R,H,-2.4618890198993486,hate,True,1.727983697171732,non-hate,True,-2.29795805660288,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/empty,K,A,1.6879802797823493,non-hate,True,-2.730395704286147,hate,True,1.3855513135160882,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/empty,K,H,1.727983697171732,non-hate,True,-2.4618890198993486,hate,True,1.3784207241023814,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/space,R,A,-2.810266940659084,hate,True,1.6103656292602189,non-hate,True,-2.697411543411001,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/space,R,H,-2.5504572870189777,hate,True,1.6482645092433392,non-hate,True,-2.3875234717747507,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/space,K,A,1.6103656292602189,non-hate,True,-2.810266940659084,hate,True,1.309867660920042,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/space,K,H,1.6482645092433392,non-hate,True,-2.5504572870189777,hate,True,1.2995424533163829,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/na,R,A,-3.284731000627224,hate,True,1.0849343575270387,non-hate,True,-3.1791083233106323,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/na,R,H,-3.002468596010314,hate,True,1.1244023164558712,non-hate,True,-2.854334176129652,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/na,K,A,1.0849343575270387,non-hate,True,-3.284731000627224,hate,True,0.7919545304422582,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/na,K,H,1.1244023164558712,non-hate,True,-3.002468596010314,hate,True,0.7913742215642872,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/mask,R,A,-2.847360096204689,hate,True,1.5611643124152557,non-hate,True,-2.7357285588988347,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/mask,R,H,-2.5751881881981387,hate,True,1.6046044913904653,non-hate,True,-2.41449713918053,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/mask,K,A,1.5611643124152557,non-hate,True,-2.847360096204689,hate,True,1.2618285734496668,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/mask,K,H,1.6046044913904653,non-hate,True,-2.5751881881981387,hate,True,1.257979358533278,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/lorem,R,A,-2.6555472882977815,hate,True,1.761769117000822,non-hate,True,-2.5417707206396343,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/lorem,R,H,-2.3779232820104164,hate,True,1.8047891521915123,non-hate,True,-2.2168210854953685,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/lorem,K,A,1.761769117000822,non-hate,True,-2.6555472882977815,hate,True,1.4605886172100346,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ncc_loo/lorem,K,H,1.8047891521915123,non-hate,True,-2.3779232820104164,hate,True,1.45798456391182,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,original/answer_sum,R,A,-0.517822265625,hate,True,13.309013366699219,non-hate,True,3.0718307495117188,non-hate,True,True,True
F1:O-N1,mlp,34,pre_answer,original/answer_sum,R,H,0.0672607421875,non-hate,True,13.29477310180664,non-hate,True,3.2091102600097656,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/answer_sum,K,A,13.309013366699219,non-hate,True,-0.517822265625,hate,True,12.285297393798828,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,original/answer_sum,K,H,13.29477310180664,non-hate,True,0.0672607421875,non-hate,True,12.771953582763672,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/answer_mean,R,A,-0.03392588297526042,hate,True,4.436339823404948,non-hate,True,1.0302073160807292,non-hate,True,True,True
F1:O-N1,mlp,34,pre_answer,original/answer_mean,R,H,0.11689097086588543,non-hate,True,4.4315945943196615,non-hate,True,1.0751991271972656,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/answer_mean,K,A,4.436339823404948,non-hate,True,-0.03392588297526042,hate,True,4.0951388041178385,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,original/answer_mean,K,H,4.4315945943196615,non-hate,True,0.11689097086588543,non-hate,True,4.25736821492513,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/total_with_eos,R,A,-0.517822265625,hate,True,13.309013366699219,non-hate,True,3.0718307495117188,non-hate,True,True,True
F1:O-N1,mlp,34,pre_answer,original/total_with_eos,R,H,0.0672607421875,non-hate,True,13.29477310180664,non-hate,True,3.2091102600097656,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/total_with_eos,K,A,13.309013366699219,non-hate,True,-0.517822265625,hate,True,12.285297393798828,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,original/total_with_eos,K,H,13.29477310180664,non-hate,True,0.0672607421875,non-hate,True,12.771953582763672,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/mean_with_eos,R,A,-0.04277960459391275,hate,True,3.32725461324056,non-hate,True,0.7718725204467773,non-hate,True,True,True
F1:O-N1,mlp,34,pre_answer,original/mean_with_eos,R,H,0.07585938771565755,non-hate,True,3.323695500691732,non-hate,True,0.8057123819986979,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,original/mean_with_eos,K,A,3.32725461324056,non-hate,True,-0.04277960459391275,hate,True,3.0713491439819336,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,original/mean_with_eos,K,H,3.323695500691732,non-hate,True,0.07585938771565755,non-hate,True,3.1930198669433594,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_sum,R,A,-8.204593658447266,hate,True,14.717096328735352,non-hate,True,-5.316493988037109,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_sum,R,H,-7.286907196044922,hate,True,13.344139099121094,non-hate,True,-4.8004608154296875,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_sum,K,A,14.717096328735352,non-hate,True,-8.204593658447266,hate,True,11.107978820800781,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_sum,K,H,13.344139099121094,non-hate,True,-7.286907196044922,hate,True,10.377368927001953,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_mean,R,A,-4.102296829223633,hate,True,7.358548164367676,non-hate,True,-2.6582469940185547,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_mean,R,H,-3.643453598022461,hate,True,6.672069549560547,non-hate,True,-2.4002304077148438,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_mean,K,A,7.358548164367676,non-hate,True,-4.102296829223633,hate,True,5.553989410400391,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/answer_mean,K,H,6.672069549560547,non-hate,True,-3.643453598022461,hate,True,5.188684463500977,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/total_with_eos,R,A,-8.204593658447266,hate,True,14.717100143432617,non-hate,True,-5.316493988037109,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/total_with_eos,R,H,-7.286907196044922,hate,True,13.344139099121094,non-hate,True,-4.8004608154296875,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/total_with_eos,K,A,14.717100143432617,non-hate,True,-8.204593658447266,hate,True,11.107982635498047,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/total_with_eos,K,H,13.344139099121094,non-hate,True,-7.286907196044922,hate,True,10.377368927001953,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/mean_with_eos,R,A,-2.734864552815755,hate,True,4.905700047810873,non-hate,True,-1.7721646626790366,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/mean_with_eos,R,H,-2.428969065348307,hate,True,4.448046366373698,non-hate,True,-1.6001536051432292,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/mean_with_eos,K,A,4.905700047810873,non-hate,True,-2.734864552815755,hate,True,3.702660878499349,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_forward/mean_with_eos,K,H,4.448046366373698,non-hate,True,-2.428969065348307,hate,True,3.459122975667318,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_sum,R,A,7.946067810058594,non-hate,True,23.133039474487305,non-hate,True,10.184318542480469,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_sum,R,H,10.204700469970703,non-hate,True,22.316198348999023,non-hate,True,11.844406127929688,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_sum,K,A,23.133039474487305,non-hate,True,7.946067810058594,non-hate,True,20.818603515625,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_sum,K,H,22.316198348999023,non-hate,True,10.204700469970703,non-hate,True,20.8016357421875,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_mean,R,A,3.973033905029297,non-hate,True,11.566519737243652,non-hate,True,5.092159271240234,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_mean,R,H,5.102350234985352,non-hate,True,11.158099174499512,non-hate,True,5.922203063964844,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_mean,K,A,11.566519737243652,non-hate,True,3.973033905029297,non-hate,True,10.4093017578125,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/answer_mean,K,H,11.158099174499512,non-hate,True,5.102350234985352,non-hate,True,10.40081787109375,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/total_with_eos,R,A,7.946067810058594,non-hate,True,23.133039474487305,non-hate,True,10.184318542480469,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/total_with_eos,R,H,10.204700469970703,non-hate,True,22.316198348999023,non-hate,True,11.844406127929688,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/total_with_eos,K,A,23.133039474487305,non-hate,True,7.946067810058594,non-hate,True,20.818603515625,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/total_with_eos,K,H,22.316198348999023,non-hate,True,10.204700469970703,non-hate,True,20.8016357421875,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/mean_with_eos,R,A,2.6486892700195312,non-hate,True,7.711013158162435,non-hate,True,3.3947728474934897,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/mean_with_eos,R,H,3.401566823323568,non-hate,True,7.438732782999675,non-hate,True,3.9481353759765625,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/mean_with_eos,K,A,7.711013158162435,non-hate,True,2.6486892700195312,non-hate,True,6.939534505208333,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ab_reverse/mean_with_eos,K,H,7.438732782999675,non-hate,True,3.401566823323568,non-hate,True,6.933878580729167,non-hate,True,True,False
F1:O-N1,mlp,34,pre_answer,ncc_fixed_recipient,R,A,-2.845691594233388,hate,True,1.6245741121468207,non-hate,True,-1.7815583951773981,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_fixed_recipient,R,H,-2.5744707901783346,hate,True,1.7402328332754413,non-hate,True,-1.6161626338469546,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_fixed_recipient,K,A,1.5646330688914576,non-hate,True,-2.905632637488751,hate,True,1.223432049604348,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_fixed_recipient,K,H,1.6054331111167626,non-hate,True,-2.7092705123370133,hate,True,1.4312067317222308,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_recalibrated,R,A,-2.845691594233388,hate,True,1.5646330688914576,non-hate,True,-1.8050331694913455,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_recalibrated,R,H,-2.5744707901783346,hate,True,1.6054331111167626,non-hate,True,-1.6801082635703,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_recalibrated,K,A,1.5646330688914576,non-hate,True,-2.845691594233388,hate,True,1.2471906269486777,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_recalibrated,K,H,1.6054331111167626,non-hate,True,-2.5744707901783346,hate,True,1.495359721729665,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/empty,R,A,-3.4852142333984375,hate,True,0.8568359375000001,non-hate,True,-2.4477872212727867,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/empty,R,H,-3.1893290201822917,hate,True,0.9059435526529951,non-hate,True,-2.2881754557291667,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/empty,K,A,0.8568359375000001,non-hate,True,-3.4852142333984375,hate,True,0.5424428304036457,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/empty,K,H,0.9059435526529951,non-hate,True,-3.1893290201822917,hate,True,0.7885322570800777,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/space,R,A,-2.99975102742513,hate,True,1.3602368672688803,non-hate,True,-1.9632512410481768,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/space,R,H,-2.6759193420410154,hate,True,1.4155654907226562,non-hate,True,-1.7842063903808594,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/space,K,A,1.3602368672688803,non-hate,True,-2.99975102742513,hate,True,1.046301015218099,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/space,K,H,1.4155654907226562,non-hate,True,-2.6759193420410154,hate,True,1.3065427144368487,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/na,R,A,-1.8976760864257811,hate,True,2.556903076171875,non-hate,True,-0.8716794331868489,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/na,R,H,-1.6321978251139322,hate,True,2.602385457356771,non-hate,True,-0.7621287027994792,hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/na,K,A,2.556903076171875,non-hate,True,-1.8976760864257811,hate,True,2.253571065266927,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/na,K,H,2.602385457356771,non-hate,True,-1.6321978251139322,hate,True,2.5156115214029944,non-hate,True,False,False
F1:O-N1,mlp,34,pre_answer,ncc_single/mask,R,A,-2.839042154947917,hate,True,1.5784016927083333,non-hate,True,-1.7666473388671873,hate,True,False,False
