module,layer,role,view,direction,correlated_arms,recipient_non_hate,recipient_resolved,donor_under_estimand_non_hate,donor_under_estimand_resolved,patched_non_hate,patched_resolved,donor_label_mismatches,changed_recipient_label
mlp,34,pre_answer,ncc_loo/mask,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_loo/na,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_loo/na,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_loo/space,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_loo/space,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_recalibrated,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_recalibrated,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_single/empty,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_single/empty,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_single/lorem,K,8,1,8,0,8,1,8,1,0
mlp,34,pre_answer,ncc_single/lorem,R,8,0,8,1,8,0,8,1,0
mlp,34,pre_answer,ncc_single/mask,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_single/mask,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_single/na,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_single/na,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,ncc_single/space,K,8,8,8,0,8,8,8,8,0
mlp,34,pre_answer,ncc_single/space,R,8,0,8,8,8,0,8,8,0
mlp,34,pre_answer,original/answer_mean,K,8,8,8,4,8,8,8,4,0
mlp,34,pre_answer,original/answer_mean,R,8,4,8,8,8,8,8,0,4
mlp,34,pre_answer,original/answer_sum,K,8,8,8,4,8,8,8,4,0
mlp,34,pre_answer,original/answer_sum,R,8,4,8,8,8,8,8,0,4
mlp,34,pre_answer,original/mean_with_eos,K,8,8,8,4,8,8,8,4,0
mlp,34,pre_answer,original/mean_with_eos,R,8,4,8,8,8,8,8,0,4
mlp,34,pre_answer,original/total_with_eos,K,8,8,8,4,8,8,8,4,0
mlp,34,pre_answer,original/total_with_eos,R,8,4,8,8,8,8,8,0,4
