schema_version,stratum,n,contrast,before,after,task,label,00,01,10,11,FN_to_TP,TP_to_FN,FP_to_TN,TN_to_FP
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,Region,29,39,54,521,34,3,5,51
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,LGBTQ,13,21,6,603,13,0,8,6
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,Sexism,35,81,48,479,66,1,15,47
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,others,29,10,9,595,10,0,0,9
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,80,35,6,102,34,4,1,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,5,7,5,206,6,2,1,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,Region,13,3,3,204,1,1,2,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,8,1,1,213,0,0,1,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,15,5,18,185,2,6,3,12
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,others,11,29,6,177,0,4,29,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,hate,hate,138,13,9,63,13,8,0,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,Racism,16,11,21,175,8,11,3,10
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,Region,10,5,9,199,2,7,3,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,12,4,11,196,2,4,2,7
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,Sexism,21,8,42,152,8,22,0,20
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,others,12,23,3,185,0,3,23,0
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,hate,hate,33,7,53,130,3,50,4,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,Racism,4,21,6,192,11,3,10,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,Region,8,8,8,199,3,3,5,5
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,LGBTQ,7,2,2,212,0,0,2,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,Sexism,19,16,14,174,9,4,7,10
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,others,10,3,7,203,1,0,2,7
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,hate,hate,139,41,8,35,41,7,0,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,Racism,11,17,26,169,12,16,5,10
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,Region,8,6,11,198,5,5,1,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,LGBTQ,9,5,14,195,5,4,0,10
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,Sexism,37,29,26,131,27,8,2,18
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,others,14,0,1,208,0,0,0,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,hate,hate,23,157,17,26,157,1,0,16
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,Racism,13,15,12,183,12,3,3,9
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,Region,6,8,10,199,8,1,0,9
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,LGBTQ,5,9,4,205,9,0,0,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,Sexism,16,50,19,138,47,2,3,17
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,others,11,3,2,207,3,0,0,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,hate,hate,66,81,20,56,81,6,0,14
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,Racism,5,32,5,181,22,1,10,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,Region,7,12,9,195,10,3,2,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,LGBTQ,8,15,1,199,8,0,7,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,Sexism,20,43,13,147,32,1,11,12
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,others,11,4,6,202,4,0,0,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,105,22,21,272,20,10,2,11
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,29,7,6,378,2,3,5,3
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,Region,54,8,13,345,1,0,7,13
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,10,1,0,409,0,0,1,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,40,9,10,361,4,2,5,8
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,others,18,16,3,383,0,3,16,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,hate,hate,189,1,1,229,1,1,0,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,Racism,27,5,2,386,2,2,3,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,Region,39,8,10,363,3,4,5,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,7,3,4,406,0,3,3,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,Sexism,35,9,18,358,2,12,7,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,others,22,4,2,392,0,2,4,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,hate,hate,76,53,50,241,6,49,47,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,Racism,30,12,5,373,1,5,11,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,Region,54,11,13,342,0,1,11,12
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,LGBTQ,8,6,2,404,2,0,4,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,Sexism,39,20,11,350,4,3,16,8
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,others,14,7,7,392,2,6,5,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,hate,hate,178,3,12,227,2,12,1,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,Racism,15,22,14,369,2,13,20,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,Region,28,22,21,349,2,13,20,8
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,LGBTQ,7,5,4,404,1,2,4,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,Sexism,30,19,23,348,6,17,13,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,others,24,0,0,396,0,0,0,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,hate,hate,37,144,92,147,144,0,0,92
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,Racism,20,17,22,361,7,6,10,16
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,Region,29,21,36,334,14,0,7,36
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,LGBTQ,8,4,6,402,2,0,2,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,Sexism,20,29,39,332,23,1,6,38
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,others,14,10,7,389,10,0,0,7
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,hate,hate,79,111,47,183,111,0,0,47
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,Racism,19,10,16,375,10,2,0,14
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,Region,22,27,45,326,24,0,3,45
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,LGBTQ,5,6,5,404,5,0,1,5
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,Sexism,15,38,35,332,34,0,4,35
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,others,18,6,3,393,6,0,0,3
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,136,54,14,186,54,14,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,23,11,9,347,8,5,3,4
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,Region,27,4,11,348,2,1,2,10
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,6,2,1,381,0,0,2,1
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,29,12,16,333,6,8,6,8
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,others,23,26,9,332,0,7,26,2
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,hate,hate,327,14,9,40,14,9,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,Racism,40,14,23,313,10,13,4,10
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,Region,38,8,15,329,5,11,3,4
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,13,4,15,358,2,7,2,8
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,Sexism,55,13,47,275,10,34,3,13
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,others,33,15,5,337,0,5,15,0
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,hate,hate,51,9,99,231,9,99,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,Racism,22,22,10,336,12,8,10,2
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,Region,25,9,13,343,3,4,6,9
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,LGBTQ,6,5,1,378,2,0,3,1
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,Sexism,29,26,16,319,13,7,13,9
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,others,22,7,10,351,3,6,4,4
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,hate,hate,317,43,19,11,43,19,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,Racism,24,28,39,299,14,29,14,10
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,Region,29,9,24,328,7,18,2,6
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,LGBTQ,12,6,16,356,6,6,0,10
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,Sexism,65,37,37,251,33,24,4,13
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,others,38,0,0,352,0,0,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,hate,hate,59,301,1,29,301,1,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,Racism,22,30,22,316,19,9,11,13
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,Region,14,24,20,332,22,1,2,19
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,LGBTQ,7,11,4,368,11,0,0,4
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,Sexism,27,75,28,260,70,3,5,25
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,others,25,13,4,348,13,0,0,4
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,hate,hate,144,192,6,48,192,6,0,0
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,Racism,21,42,11,316,32,3,10,8
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,Region,16,37,22,315,34,3,3,19
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,LGBTQ,7,21,0,362,13,0,8,0
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,Sexism,26,76,19,269,65,1,11,18
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,others,28,10,4,348,10,0,0,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,49,3,13,188,0,0,3,13
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,11,3,2,237,0,0,3,2
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,Region,40,7,5,201,0,0,7,5
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,12,0,0,241,0,0,0,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,26,2,12,213,0,0,2,12
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,others,6,19,0,228,0,0,19,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,hate,hate,0,0,1,252,0,0,0,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,Racism,3,2,0,248,0,0,2,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,Region,11,5,4,233,0,0,5,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,6,3,0,244,0,0,3,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,Sexism,1,4,13,235,0,0,4,13
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,others,1,12,0,240,0,0,12,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,hate,hate,58,51,4,140,0,0,51,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,Racism,12,11,1,229,0,0,11,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,Region,37,10,8,198,0,0,10,8
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,LGBTQ,9,3,3,238,0,0,3,3
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,Sexism,29,10,9,205,0,0,10,9
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,others,2,3,4,244,0,0,3,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,hate,hate,0,1,1,251,0,0,1,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,Racism,2,11,1,239,0,0,11,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,Region,7,19,8,219,0,0,19,8
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,LGBTQ,4,4,2,243,0,0,4,2
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,Sexism,2,11,12,228,0,1,11,11
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,others,0,0,1,252,0,0,0,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,hate,hate,1,0,108,144,0,0,0,108
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,Racism,11,2,12,228,0,0,2,12
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,Region,21,5,26,201,0,0,5,26
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,LGBTQ,6,2,6,239,0,0,2,6
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,Sexism,9,4,30,210,0,0,4,30
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,others,0,0,5,248,0,0,0,5
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,hate,hate,1,0,61,191,0,0,0,61
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,Racism,3,0,10,240,0,0,0,10
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,Region,13,2,32,206,0,0,2,32
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,LGBTQ,6,0,6,241,0,0,0,6
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,Sexism,9,5,29,210,1,0,4,29
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,others,1,0,5,247,0,0,0,5
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,49,3,13,187,0,0,3,13
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,11,3,2,236,0,0,3,2
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,Region,40,7,5,200,0,0,7,5
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,12,0,0,240,0,0,0,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,26,2,12,212,0,0,2,12
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,others,6,19,0,227,0,0,19,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,hate,hate,0,0,1,251,0,0,0,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,Racism,3,2,0,247,0,0,2,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,Region,11,5,4,232,0,0,5,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,6,3,0,243,0,0,3,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,Sexism,0,4,13,235,0,0,4,13
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,others,1,12,0,239,0,0,12,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,hate,hate,58,51,4,139,0,0,51,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,Racism,12,11,1,228,0,0,11,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,Region,37,10,8,197,0,0,10,8
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,LGBTQ,9,3,3,237,0,0,3,3
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,Sexism,29,10,9,204,0,0,10,9
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,others,2,3,4,243,0,0,3,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_vs_0,C0,CLnewNoCat,hate,hate,0,1,1,250,0,0,1,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_vs_0,C0,CLnewNoCat,group,Racism,2,11,1,238,0,0,11,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_vs_0,C0,CLnewNoCat,group,Region,7,19,8,218,0,0,19,8
