schema_version,stratum,n,gold_hate_n,gold_non_hate_n,Lq_hit_n,gold_Racism_n,gold_Region_n,gold_LGBTQ_n,gold_Sexism_n,gold_others_n,gold_group_0_n,gold_group_1_n,gold_group_2plus_n,condition,hate_accuracy,hate_precision,hate_recall,hate_f1,hate_macro_f1,group_micro_f1,group_macro_f1,group_exact_match,group_sample_f1,joint_exact_match,joint_correct,missing_reason
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,C0,0.9960474308300395,0.0,0.0,0.0,0.499009900990099,0.03225806451612903,0.026666666666666665,0.7628458498023716,0.7628458498023716,0.758893280632411,192,null
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,CLnew,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8142292490118577,0.8142292490118577,0.8142292490118577,206,null
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,CD,0.5691699604743083,0.0,0.0,0.0,0.36272040302267,0.015625,0.00975609756097561,0.5217391304347826,0.5217391304347826,0.40711462450592883,103,null
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,CLDnew,0.7944664031620553,0.0,0.0,0.0,0.44273127753303965,0.015625,0.013333333333333332,0.525691699604743,0.525691699604743,0.49407114624505927,125,null
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,CLnewNoCat,0.9960474308300395,0.0,0.0,0.0,0.499009900990099,0.0,0.0,0.8458498023715415,0.8458498023715415,0.8458498023715415,214,null
general-model-nolabel-paired-cases/v1,gold_non_hate,253,0,253,29,0,0,0,1,0,252,1,0,CLDnewNoCat,0.7549407114624506,0.0,0.0,0.0,0.43018018018018017,0.017241379310344827,0.01,0.5691699604743083,0.5691699604743083,0.5177865612648221,131,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,C0,0.996031746031746,0.0,0.0,0.0,0.4990059642147117,0.0,0.0,0.7619047619047619,0.7619047619047619,0.7579365079365079,191,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,CLnew,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8174603174603174,0.8174603174603174,0.8174603174603174,206,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,CD,0.5674603174603174,0.0,0.0,0.0,0.3620253164556962,0.0,0.0,0.5198412698412699,0.5198412698412699,0.40476190476190477,102,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,CLDnew,0.7936507936507936,0.0,0.0,0.0,0.4424778761061947,0.0,0.0,0.5238095238095238,0.5238095238095238,0.49206349206349204,124,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,CLnewNoCat,0.996031746031746,0.0,0.0,0.0,0.4990059642147117,0.0,0.0,0.8492063492063492,0.8492063492063492,0.8492063492063492,214,null
general-model-nolabel-paired-cases/v1,gold_group_0,252,0,252,29,0,0,0,0,0,252,0,0,CLDnewNoCat,0.753968253968254,0.0,0.0,0.0,0.4298642533936652,0.0,0.0,0.5674603174603174,0.5674603174603174,0.5158730158730159,130,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,C0,0.06707317073170732,1.0,0.06422018348623854,0.1206896551724138,0.06359158083296014,0.7026022304832714,0.5949845120277533,0.5701219512195121,0.5741869918699186,0.057926829268292686,19,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,CLnew,0.12195121951219512,1.0,0.11926605504587157,0.21311475409836064,0.11000565291124928,0.7482517482517482,0.6816957817429146,0.6067073170731707,0.6366869918699186,0.0975609756097561,32,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,CD,0.8475609756097561,1.0,0.8470948012232415,0.9172185430463576,0.47784004075394804,0.8192771084337349,0.7576505525497954,0.7652439024390244,0.8074186991869918,0.676829268292683,222,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,CLDnew,0.5457317073170732,1.0,0.5443425076452599,0.7049504950495049,0.3590977640810438,0.8320950965824666,0.7670328710837185,0.7652439024390244,0.8236788617886178,0.4451219512195122,146,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,CLnewNoCat,0.13719512195121952,1.0,0.1345565749235474,0.2371967654986523,0.1221071546791507,0.6642468239564429,0.5544499886114644,0.5365853658536586,0.5508130081300813,0.08841463414634146,29,null
general-model-nolabel-paired-cases/v1,gold_group_1,328,327,1,154,78,80,37,112,21,0,328,0,CLDnewNoCat,0.625,1.0,0.6238532110091743,0.768361581920904,0.392180790960452,0.8419452887537994,0.7457486063959093,0.7957317073170732,0.8282520325203253,0.5396341463414634,177,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,C0,0.14285714285714285,1.0,0.14285714285714285,0.25,0.125,0.5416666666666666,0.44026074700493306,0.015873015873015872,0.5317460317460316,0.0,0,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,CLnew,0.15873015873015872,1.0,0.15873015873015872,0.273972602739726,0.136986301369863,0.5360824742268041,0.4496535190652837,0.15873015873015872,0.4608465608465609,0.015873015873015872,1,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,CD,0.8412698412698413,1.0,0.8412698412698413,0.9137931034482759,0.45689655172413796,0.774468085106383,0.7238823900114222,0.38095238095238093,0.7548752834467118,0.3333333333333333,21,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,CLDnew,0.3492063492063492,1.0,0.3492063492063492,0.5176470588235295,0.25882352941176473,0.7933884297520661,0.7600116332757082,0.4603174603174603,0.773922902494331,0.1746031746031746,11,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,CLnewNoCat,0.15873015873015872,1.0,0.15873015873015872,0.273972602739726,0.136986301369863,0.4444444444444444,0.3678038601982264,0.031746031746031744,0.39153439153439157,0.015873015873015872,1,null
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,63,0,40,47,15,9,45,17,0,0,63,CLDnewNoCat,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,0.36363636363636365,0.7899159663865546,0.7467535601849181,0.4444444444444444,0.7708994708994708,0.25396825396825395,16,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,C0,0.07216494845360824,1.0,0.07216494845360824,0.1346153846153846,0.0673076923076923,0.6576819407008087,0.5713301947349375,0.4536082474226804,0.5652920962199313,0.041237113402061855,8,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,CLnew,0.22164948453608246,1.0,0.22164948453608246,0.3628691983122363,0.18143459915611815,0.7638888888888888,0.6842112514855507,0.6443298969072165,0.7372852233676978,0.14948453608247422,29,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,CD,0.8762886597938144,1.0,0.8762886597938144,0.9340659340659341,0.46703296703296704,0.8369098712446352,0.7558830997323318,0.7268041237113402,0.8320814923907706,0.6597938144329897,128,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,CLDnew,0.4793814432989691,1.0,0.4793814432989691,0.6480836236933798,0.3240418118466899,0.8640973630831643,0.7985213750042418,0.7422680412371134,0.8863770250368188,0.3917525773195876,76,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,CLnewNoCat,0.24742268041237114,1.0,0.24742268041237114,0.39669421487603307,0.19834710743801653,0.6682808716707022,0.5587103384602152,0.5567010309278351,0.6494845360824743,0.13917525773195877,27,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,194,0,194,65,38,29,93,14,0,154,40,CLDnewNoCat,0.634020618556701,1.0,0.634020618556701,0.7760252365930599,0.38801261829652994,0.8763102725366876,0.793723713805606,0.788659793814433,0.893127147766323,0.5309278350515464,103,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,C0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6896551724137931,0.6896551724137931,0.6896551724137931,20,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,CLnew,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3103448275862069,0.3103448275862069,0.3103448275862069,9,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,CD,0.4482758620689655,0.0,0.0,0.0,0.30952380952380953,0.0,0.0,0.3103448275862069,0.3103448275862069,0.1724137931034483,5,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,CLDnew,0.5172413793103449,0.0,0.0,0.0,0.3409090909090909,0.0,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,2,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,CLnewNoCat,0.9655172413793104,0.0,0.0,0.0,0.49122807017543857,0.0,0.0,0.3103448275862069,0.3103448275862069,0.3103448275862069,9,null
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,0,29,29,0,0,0,0,0,29,0,0,CLDnewNoCat,0.4827586206896552,0.0,0.0,0.0,0.32558139534883723,0.0,0.0,0.20689655172413793,0.20689655172413793,0.10344827586206896,3,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,C0,0.08163265306122448,1.0,0.08163265306122448,0.1509433962264151,0.07547169811320754,0.6610644257703081,0.5727442468543692,0.5051020408163265,0.5671768707482993,0.05102040816326531,10,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,CLnew,0.030612244897959183,1.0,0.030612244897959183,0.0594059405940594,0.0297029702970297,0.6066066066066066,0.5680304821262269,0.42857142857142855,0.48384353741496594,0.02040816326530612,4,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,CD,0.8163265306122449,1.0,0.8163265306122449,0.898876404494382,0.449438202247191,0.7749419953596288,0.748268539320408,0.6785714285714286,0.7651360544217687,0.5816326530612245,114,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,CLDnew,0.5459183673469388,1.0,0.5459183673469388,0.7062706270627063,0.35313531353135313,0.7714285714285715,0.7459546092298563,0.6887755102040817,0.7447278911564624,0.40816326530612246,80,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,CLnewNoCat,0.030612244897959183,1.0,0.030612244897959183,0.0594059405940594,0.0297029702970297,0.5362776025236593,0.4776482054855669,0.35714285714285715,0.4047619047619047,0.015306122448979591,3,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,196,0,0,60,57,17,63,24,0,173,23,CLDnewNoCat,0.5969387755102041,1.0,0.5969387755102041,0.7476038338658147,0.3738019169329074,0.7721822541966427,0.7352068861371187,0.6887755102040817,0.7447278911564625,0.45408163265306123,89,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,C0,0.9955357142857143,0.0,0.0,0.0,0.4988814317673378,0.03773584905660377,0.03333333333333333,0.7723214285714286,0.7723214285714286,0.7678571428571429,172,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,CLnew,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8794642857142857,0.8794642857142857,0.8794642857142857,197,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,CD,0.5848214285714286,0.0,0.0,0.0,0.36901408450704226,0.018867924528301886,0.0125,0.5491071428571429,0.5491071428571429,0.4375,98,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,CLDnew,0.8303571428571429,0.0,0.0,0.0,0.45365853658536587,0.02040816326530612,0.016666666666666666,0.5848214285714286,0.5848214285714286,0.5491071428571429,123,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,CLnewNoCat,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.9151785714285714,0.9151785714285714,0.9151785714285714,205,null
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,0,224,0,0,0,0,1,0,223,1,0,CLDnewNoCat,0.7901785714285714,0.0,0.0,0.0,0.44139650872817954,0.022222222222222223,0.013793103448275862,0.6160714285714286,0.6160714285714286,0.5714285714285714,128,null
