schema_version,stratum,n,task,core_order,core_mask,count
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,11
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,45
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,47
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,134
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,55
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,8
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,7
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,31
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,30
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,4
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,11
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,9
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,4
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,29
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,39
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,17
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,171
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,49
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,9
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,90
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,169
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,1
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,5
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,37
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,1
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,4
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,14
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,0
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,0
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,0
general-model-nolabel-paired-cases/v1,gold_hate,390,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,11
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,70
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,17
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,10
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,58
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,0
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,7
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,1
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,40
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,6
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,5
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,7
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,39
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,7
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,4
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,gold_hate,390,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,118
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,56
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,51
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,140
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,19
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,32
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,3
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,2
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,13
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,4
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,2
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,38
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,15
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,119
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,56
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,51
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,139
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,19
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,32
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,3
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,2
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,13
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,4
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,38
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,15
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,119
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,42
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,7
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,76
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,146
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,0
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,gold_group_1,328,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,3
