category,kind,module,layer,role,encoding,probe_id,requests,candidates
engineering,self_patch,block,34,pre_answer,original,,12,24
engineering,self_patch,block,35,pre_answer,ab_forward,,12,24
engineering,self_patch,block,35,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,35,pre_answer,original,empty,12,24
engineering,self_patch,block,35,pre_answer,original,lorem,12,24
engineering,self_patch,block,35,pre_answer,original,mask,12,24
engineering,self_patch,block,35,pre_answer,original,na,12,24
engineering,self_patch,block,35,pre_answer,original,space,12,24
engineering,self_patch,block,35,pre_answer,original,,12,24
engineering,self_patch,embedding,,lexicon_slot,ab_forward,,12,24
engineering,self_patch,embedding,,lexicon_slot,ab_reverse,,12,24
engineering,self_patch,embedding,,lexicon_slot,original,empty,12,24
engineering,self_patch,embedding,,lexicon_slot,original,lorem,12,24
engineering,self_patch,embedding,,lexicon_slot,original,mask,12,24
engineering,self_patch,embedding,,lexicon_slot,original,na,12,24
engineering,self_patch,embedding,,lexicon_slot,original,space,12,24
engineering,self_patch,embedding,,lexicon_slot,original,,12,24
engineering,self_patch,mlp,33,pre_answer,ab_forward,,12,24
engineering,self_patch,mlp,33,pre_answer,ab_reverse,,12,24
engineering,self_patch,mlp,33,pre_answer,original,empty,12,24
engineering,self_patch,mlp,33,pre_answer,original,lorem,12,24
engineering,self_patch,mlp,33,pre_answer,original,mask,12,24
engineering,self_patch,mlp,33,pre_answer,original,na,12,24
engineering,self_patch,mlp,33,pre_answer,original,space,12,24
engineering,self_patch,mlp,33,pre_answer,original,,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,empty,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,mask,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,na,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,space,12,24
engineering,self_patch,mlp,33,unrelated_demo_end,original,,12,24
engineering,self_patch,mlp,34,pre_answer,ab_forward,,12,24
engineering,self_patch,mlp,34,pre_answer,ab_reverse,,12,24
engineering,self_patch,mlp,34,pre_answer,original,empty,12,24
engineering,self_patch,mlp,34,pre_answer,original,lorem,12,24
engineering,self_patch,mlp,34,pre_answer,original,mask,12,24
engineering,self_patch,mlp,34,pre_answer,original,na,12,24
engineering,self_patch,mlp,34,pre_answer,original,space,12,24
engineering,self_patch,mlp,34,pre_answer,original,,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,empty,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,mask,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,na,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,space,12,24
engineering,self_patch,mlp,34,unrelated_demo_end,original,,12,24
engineering,self_patch,mlp,35,pre_answer,ab_forward,,12,24
engineering,self_patch,mlp,35,pre_answer,ab_reverse,,12,24
engineering,self_patch,mlp,35,pre_answer,original,empty,12,24
engineering,self_patch,mlp,35,pre_answer,original,lorem,12,24
engineering,self_patch,mlp,35,pre_answer,original,mask,12,24
engineering,self_patch,mlp,35,pre_answer,original,na,12,24
engineering,self_patch,mlp,35,pre_answer,original,space,12,24
engineering,self_patch,mlp,35,pre_answer,original,,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,empty,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,mask,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,na,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,space,12,24
engineering,self_patch,mlp,35,unrelated_demo_end,original,,12,24
engineering,terminal_nonpropagation,attention,35,lexicon_end,ab_forward,,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,ab_reverse,,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,empty,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,lorem,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,mask,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,na,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,space,16,32
engineering,terminal_nonpropagation,attention,35,lexicon_end,original,,16,32
engineering,terminal_nonpropagation,attention,35,query_hehe,ab_forward,,16,32
engineering,terminal_nonpropagation,attention,35,query_hehe,ab_reverse,,16,32
engineering,terminal_nonpropagation,attention,35,query_hehe,original,,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,ab_forward,,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,ab_reverse,,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,empty,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,lorem,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,mask,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,na,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,space,16,32
engineering,terminal_nonpropagation,mlp,35,lexicon_end,original,,16,32
engineering,terminal_nonpropagation,mlp,35,query_hehe,ab_forward,,16,32
engineering,terminal_nonpropagation,mlp,35,query_hehe,ab_reverse,,16,32
engineering,terminal_nonpropagation,mlp,35,query_hehe,original,,16,32
neutral_benchmark,patch,block,34,pre_answer,ab_forward,,8,16
neutral_benchmark,patch,block,34,pre_answer,ab_reverse,,8,16
neutral_benchmark,patch,block,34,pre_answer,original,empty,8,16
neutral_benchmark,patch,block,34,pre_answer,original,lorem,8,16
neutral_benchmark,patch,block,34,pre_answer,original,mask,8,16
neutral_benchmark,patch,block,34,pre_answer,original,na,8,16
neutral_benchmark,patch,block,34,pre_answer,original,space,8,16
neutral_benchmark,patch,block,34,pre_answer,original,,8,16
neutral_control,patch,attention,33,pre_answer,ab_forward,,8,16
neutral_control,patch,attention,33,pre_answer,ab_reverse,,8,16
neutral_control,patch,attention,33,pre_answer,original,empty,8,16
neutral_control,patch,attention,33,pre_answer,original,lorem,8,16
neutral_control,patch,attention,33,pre_answer,original,mask,8,16
neutral_control,patch,attention,33,pre_answer,original,na,8,16
neutral_control,patch,attention,33,pre_answer,original,space,8,16
neutral_control,patch,attention,33,pre_answer,original,,8,16
neutral_control,patch,attention,34,pre_answer,ab_forward,,8,16
neutral_control,patch,attention,34,pre_answer,ab_reverse,,8,16
neutral_control,patch,attention,34,pre_answer,original,empty,8,16
neutral_control,patch,attention,34,pre_answer,original,lorem,8,16
neutral_control,patch,attention,34,pre_answer,original,mask,8,16
neutral_control,patch,attention,34,pre_answer,original,na,8,16
neutral_control,patch,attention,34,pre_answer,original,space,8,16
neutral_control,patch,attention,34,pre_answer,original,,8,16
neutral_control,patch,attention,35,pre_answer,ab_forward,,8,16
neutral_control,patch,attention,35,pre_answer,ab_reverse,,8,16
neutral_control,patch,attention,35,pre_answer,original,empty,8,16
neutral_control,patch,attention,35,pre_answer,original,lorem,8,16
neutral_control,patch,attention,35,pre_answer,original,mask,8,16
neutral_control,patch,attention,35,pre_answer,original,na,8,16
neutral_control,patch,attention,35,pre_answer,original,space,8,16
neutral_control,patch,attention,35,pre_answer,original,,8,16
neutral_control,patch,mlp,33,pre_answer,ab_forward,,8,16
neutral_control,patch,mlp,33,pre_answer,ab_reverse,,8,16
neutral_control,patch,mlp,33,pre_answer,original,empty,8,16
neutral_control,patch,mlp,33,pre_answer,original,lorem,8,16
neutral_control,patch,mlp,33,pre_answer,original,mask,8,16
neutral_control,patch,mlp,33,pre_answer,original,na,8,16
neutral_control,patch,mlp,33,pre_answer,original,space,8,16
neutral_control,patch,mlp,33,pre_answer,original,,8,16
neutral_control,patch,mlp,34,pre_answer,ab_forward,,8,16
neutral_control,patch,mlp,34,pre_answer,ab_reverse,,8,16
neutral_control,patch,mlp,34,pre_answer,original,empty,8,16
neutral_control,patch,mlp,34,pre_answer,original,lorem,8,16
neutral_control,patch,mlp,34,pre_answer,original,mask,8,16
neutral_control,patch,mlp,34,pre_answer,original,na,8,16
neutral_control,patch,mlp,34,pre_answer,original,space,8,16
neutral_control,patch,mlp,34,pre_answer,original,,8,16
neutral_control,patch,mlp,35,pre_answer,ab_forward,,8,16
neutral_control,patch,mlp,35,pre_answer,ab_reverse,,8,16
neutral_control,patch,mlp,35,pre_answer,original,empty,8,16
neutral_control,patch,mlp,35,pre_answer,original,lorem,8,16
neutral_control,patch,mlp,35,pre_answer,original,mask,8,16
neutral_control,patch,mlp,35,pre_answer,original,na,8,16
neutral_control,patch,mlp,35,pre_answer,original,space,8,16
neutral_control,patch,mlp,35,pre_answer,original,,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,attention,33,unrelated_demo_end,original,,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,attention,34,unrelated_demo_end,original,,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,attention,35,unrelated_demo_end,original,,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,mlp,33,unrelated_demo_end,original,,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,mlp,34,unrelated_demo_end,original,,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,ab_forward,,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,ab_reverse,,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,empty,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,lorem,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,mask,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,na,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,space,8,16
neutral_site_control,patch,mlp,35,unrelated_demo_end,original,,8,16
output_diagnostic,patch,block,35,pre_answer,ab_forward,,16,32
output_diagnostic,patch,block,35,pre_answer,ab_reverse,,16,32
output_diagnostic,patch,block,35,pre_answer,original,empty,16,32
output_diagnostic,patch,block,35,pre_answer,original,lorem,16,32
output_diagnostic,patch,block,35,pre_answer,original,mask,16,32
output_diagnostic,patch,block,35,pre_answer,original,na,16,32
output_diagnostic,patch,block,35,pre_answer,original,space,16,32
output_diagnostic,patch,block,35,pre_answer,original,,16,32
primary,patch,attention,33,pre_answer,ab_forward,,16,32
primary,patch,attention,33,pre_answer,ab_reverse,,16,32
primary,patch,attention,33,pre_answer,original,empty,16,32
primary,patch,attention,33,pre_answer,original,lorem,16,32
primary,patch,attention,33,pre_answer,original,mask,16,32
primary,patch,attention,33,pre_answer,original,na,16,32
primary,patch,attention,33,pre_answer,original,space,16,32
primary,patch,attention,33,pre_answer,original,,16,32
primary,patch,attention,34,pre_answer,ab_forward,,16,32
primary,patch,attention,34,pre_answer,ab_reverse,,16,32
primary,patch,attention,34,pre_answer,original,empty,16,32
primary,patch,attention,34,pre_answer,original,lorem,16,32
primary,patch,attention,34,pre_answer,original,mask,16,32
primary,patch,attention,34,pre_answer,original,na,16,32
primary,patch,attention,34,pre_answer,original,space,16,32
primary,patch,attention,34,pre_answer,original,,16,32
primary,patch,attention,35,pre_answer,ab_forward,,16,32
primary,patch,attention,35,pre_answer,ab_reverse,,16,32
primary,patch,attention,35,pre_answer,original,empty,16,32
primary,patch,attention,35,pre_answer,original,lorem,16,32
primary,patch,attention,35,pre_answer,original,mask,16,32
primary,patch,attention,35,pre_answer,original,na,16,32
primary,patch,attention,35,pre_answer,original,space,16,32
primary,patch,attention,35,pre_answer,original,,16,32
primary,patch,mlp,33,pre_answer,ab_forward,,16,32
primary,patch,mlp,33,pre_answer,ab_reverse,,16,32
primary,patch,mlp,33,pre_answer,original,empty,16,32
primary,patch,mlp,33,pre_answer,original,lorem,16,32
primary,patch,mlp,33,pre_answer,original,mask,16,32
primary,patch,mlp,33,pre_answer,original,na,16,32
primary,patch,mlp,33,pre_answer,original,space,16,32
primary,patch,mlp,33,pre_answer,original,,16,32
primary,patch,mlp,34,pre_answer,ab_forward,,16,32
primary,patch,mlp,34,pre_answer,ab_reverse,,16,32
primary,patch,mlp,34,pre_answer,original,empty,16,32
primary,patch,mlp,34,pre_answer,original,lorem,16,32
primary,patch,mlp,34,pre_answer,original,mask,16,32
primary,patch,mlp,34,pre_answer,original,na,16,32
primary,patch,mlp,34,pre_answer,original,space,16,32
primary,patch,mlp,34,pre_answer,original,,16,32
primary,patch,mlp,35,pre_answer,ab_forward,,16,32
primary,patch,mlp,35,pre_answer,ab_reverse,,16,32
primary,patch,mlp,35,pre_answer,original,empty,16,32
primary,patch,mlp,35,pre_answer,original,lorem,16,32
primary,patch,mlp,35,pre_answer,original,mask,16,32
primary,patch,mlp,35,pre_answer,original,na,16,32
primary,patch,mlp,35,pre_answer,original,space,16,32
primary,patch,mlp,35,pre_answer,original,,16,32
site_control,patch,attention,33,unrelated_demo_end,ab_forward,,16,32
site_control,patch,attention,33,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,attention,33,unrelated_demo_end,original,empty,16,32
site_control,patch,attention,33,unrelated_demo_end,original,lorem,16,32
site_control,patch,attention,33,unrelated_demo_end,original,mask,16,32
site_control,patch,attention,33,unrelated_demo_end,original,na,16,32
site_control,patch,attention,33,unrelated_demo_end,original,space,16,32
site_control,patch,attention,33,unrelated_demo_end,original,,16,32
site_control,patch,attention,34,unrelated_demo_end,ab_forward,,16,32
site_control,patch,attention,34,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,attention,34,unrelated_demo_end,original,empty,16,32
site_control,patch,attention,34,unrelated_demo_end,original,lorem,16,32
site_control,patch,attention,34,unrelated_demo_end,original,mask,16,32
site_control,patch,attention,34,unrelated_demo_end,original,na,16,32
site_control,patch,attention,34,unrelated_demo_end,original,space,16,32
site_control,patch,attention,34,unrelated_demo_end,original,,16,32
site_control,patch,attention,35,unrelated_demo_end,ab_forward,,16,32
site_control,patch,attention,35,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,attention,35,unrelated_demo_end,original,empty,16,32
site_control,patch,attention,35,unrelated_demo_end,original,lorem,16,32
site_control,patch,attention,35,unrelated_demo_end,original,mask,16,32
site_control,patch,attention,35,unrelated_demo_end,original,na,16,32
site_control,patch,attention,35,unrelated_demo_end,original,space,16,32
site_control,patch,attention,35,unrelated_demo_end,original,,16,32
site_control,patch,mlp,33,unrelated_demo_end,ab_forward,,16,32
site_control,patch,mlp,33,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,empty,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,lorem,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,mask,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,na,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,space,16,32
site_control,patch,mlp,33,unrelated_demo_end,original,,16,32
site_control,patch,mlp,34,unrelated_demo_end,ab_forward,,16,32
site_control,patch,mlp,34,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,empty,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,lorem,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,mask,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,na,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,space,16,32
site_control,patch,mlp,34,unrelated_demo_end,original,,16,32
site_control,patch,mlp,35,unrelated_demo_end,ab_forward,,16,32
site_control,patch,mlp,35,unrelated_demo_end,ab_reverse,,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,empty,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,lorem,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,mask,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,na,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,space,16,32
site_control,patch,mlp,35,unrelated_demo_end,original,,16,32
