relation_id	source	target	sense_fit	semantic_reference_fit	rule_fit	source_quality	word_overlap	adoption
CMAD-demo_to_query-HP-D-L-P-SWAP-HP-Q3-adopt01	CMAD-HP-D-L-P-SWAP	CMAD-HP-Q3		none	direct	disputed	present	bulk
CMAD-lexicon_to_query-HP-L1-HP-Q4-adopt01	CMAD-HP-L1	CMAD-HP-Q4	none			accepted	present	bulk
CMAD-lexicon_to_query-HP-L2-HP-Q4-adopt01	CMAD-HP-L2	CMAD-HP-Q4	direct			accepted	present	bulk
CMAD-demo_to_query-HP-D-ANCHOR-HP-Q4-adopt01	CMAD-HP-D-ANCHOR	CMAD-HP-Q4		none	none	accepted	absent	bulk
CMAD-demo_to_query-HP-D-ANCHOR-SWAP-HP-Q4-adopt01	CMAD-HP-D-ANCHOR-SWAP	CMAD-HP-Q4		none	none	disputed	absent	bulk
CMAD-demo_to_query-HP-D-F-A-HP-Q4-adopt01	CMAD-HP-D-F-A	CMAD-HP-Q4		direct	direct	accepted	absent	bulk
CMAD-demo_to_query-HP-D-F-A-SWAP-HP-Q4-adopt01	CMAD-HP-D-F-A-SWAP	CMAD-HP-Q4		direct	direct	disputed	absent	bulk
CMAD-demo_to_query-HP-D-F-P-HP-Q4-adopt01	CMAD-HP-D-F-P	CMAD-HP-Q4		direct	direct	accepted	present	bulk
CMAD-demo_to_query-HP-D-L-A-HP-Q4-adopt01	CMAD-HP-D-L-A	CMAD-HP-Q4		none	direct	accepted	absent	bulk
CMAD-demo_to_query-HP-D-L-P-HP-Q4-adopt01	CMAD-HP-D-L-P	CMAD-HP-Q4		none	direct	accepted	present	bulk
CMAD-demo_to_query-HP-D-L-P-SWAP-HP-Q4-adopt01	CMAD-HP-D-L-P-SWAP	CMAD-HP-Q4		none	direct	disputed	present	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-L-P-adopt01	CMAD-HP-L1	CMAD-HP-D-L-P	direct			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-L-P-SWAP-adopt01	CMAD-HP-L1	CMAD-HP-D-L-P-SWAP	direct			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-L-A-adopt01	CMAD-HP-L1	CMAD-HP-D-L-A	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-L-A-SWAP-adopt01	CMAD-HP-L1	CMAD-HP-D-L-A-SWAP	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-F-P-adopt01	CMAD-HP-L1	CMAD-HP-D-F-P	none			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-F-P-SWAP-adopt01	CMAD-HP-L1	CMAD-HP-D-F-P-SWAP	none			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-F-A-adopt01	CMAD-HP-L1	CMAD-HP-D-F-A	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-F-A-SWAP-adopt01	CMAD-HP-L1	CMAD-HP-D-F-A-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-ANCHOR-adopt01	CMAD-HP-L1	CMAD-HP-D-ANCHOR	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L1-HP-D-ANCHOR-SWAP-adopt01	CMAD-HP-L1	CMAD-HP-D-ANCHOR-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-L-P-adopt01	CMAD-HP-L2	CMAD-HP-D-L-P	none			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-L-P-SWAP-adopt01	CMAD-HP-L2	CMAD-HP-D-L-P-SWAP	none			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-L-A-adopt01	CMAD-HP-L2	CMAD-HP-D-L-A	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-L-A-SWAP-adopt01	CMAD-HP-L2	CMAD-HP-D-L-A-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-F-P-adopt01	CMAD-HP-L2	CMAD-HP-D-F-P	direct			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-F-P-SWAP-adopt01	CMAD-HP-L2	CMAD-HP-D-F-P-SWAP	direct			accepted	present	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-F-A-adopt01	CMAD-HP-L2	CMAD-HP-D-F-A	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-F-A-SWAP-adopt01	CMAD-HP-L2	CMAD-HP-D-F-A-SWAP	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-ANCHOR-adopt01	CMAD-HP-L2	CMAD-HP-D-ANCHOR	none			accepted	absent	bulk
CMAD-lexicon_to_demo-HP-L2-HP-D-ANCHOR-SWAP-adopt01	CMAD-HP-L2	CMAD-HP-D-ANCHOR-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_query-XC-L1-XC-Q1-adopt01	CMAD-XC-L1	CMAD-XC-Q1	direct			accepted	present	bulk
CMAD-lexicon_to_query-XC-L2-XC-Q1-adopt01	CMAD-XC-L2	CMAD-XC-Q1	none			accepted	present	bulk
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q1-adopt01	CMAD-XC-D-ANCHOR	CMAD-XC-Q1		none	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q1-adopt01	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q1		none	direct	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-A-XC-Q1-adopt01	CMAD-XC-D-F-A	CMAD-XC-Q1		none	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-F-P-XC-Q1-adopt01	CMAD-XC-D-F-P	CMAD-XC-Q1		none	none	accepted	present	bulk
CMAD-demo_to_query-XC-D-F-P-SWAP-XC-Q1-adopt01	CMAD-XC-D-F-P-SWAP	CMAD-XC-Q1		none	none	disputed	present	bulk
CMAD-demo_to_query-XC-D-L-A-XC-Q1-adopt01	CMAD-XC-D-L-A	CMAD-XC-Q1		direct	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-L-A-SWAP-XC-Q1-adopt01	CMAD-XC-D-L-A-SWAP	CMAD-XC-Q1		direct	none	disputed	absent	bulk
CMAD-demo_to_query-XC-D-L-P-XC-Q1-adopt01	CMAD-XC-D-L-P	CMAD-XC-Q1		direct	none	accepted	present	bulk
CMAD-lexicon_to_query-XC-L1-XC-Q2-adopt01	CMAD-XC-L1	CMAD-XC-Q2	direct			accepted	present	bulk
CMAD-lexicon_to_query-XC-L2-XC-Q2-adopt01	CMAD-XC-L2	CMAD-XC-Q2	none			accepted	present	bulk
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q2-adopt01	CMAD-XC-D-ANCHOR	CMAD-XC-Q2		none	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q2-adopt01	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q2		none	direct	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-A-XC-Q2-adopt01	CMAD-XC-D-F-A	CMAD-XC-Q2		none	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-F-P-XC-Q2-adopt01	CMAD-XC-D-F-P	CMAD-XC-Q2		none	none	accepted	present	bulk
CMAD-demo_to_query-XC-D-F-P-SWAP-XC-Q2-adopt01	CMAD-XC-D-F-P-SWAP	CMAD-XC-Q2		none	none	disputed	present	bulk
CMAD-demo_to_query-XC-D-L-A-XC-Q2-adopt01	CMAD-XC-D-L-A	CMAD-XC-Q2		direct	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-L-A-SWAP-XC-Q2-adopt01	CMAD-XC-D-L-A-SWAP	CMAD-XC-Q2		direct	none	disputed	absent	bulk
CMAD-demo_to_query-XC-D-L-P-XC-Q2-adopt01	CMAD-XC-D-L-P	CMAD-XC-Q2		direct	none	accepted	present	bulk
CMAD-lexicon_to_query-XC-L1-XC-Q3-adopt01	CMAD-XC-L1	CMAD-XC-Q3	none			accepted	present	bulk
CMAD-lexicon_to_query-XC-L2-XC-Q3-adopt01	CMAD-XC-L2	CMAD-XC-Q3	direct			accepted	present	bulk
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q3-adopt01	CMAD-XC-D-ANCHOR	CMAD-XC-Q3		none	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q3-adopt01	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q3		none	none	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-A-XC-Q3-adopt01	CMAD-XC-D-F-A	CMAD-XC-Q3		direct	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-F-A-SWAP-XC-Q3-adopt01	CMAD-XC-D-F-A-SWAP	CMAD-XC-Q3		direct	direct	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-P-XC-Q3-adopt01	CMAD-XC-D-F-P	CMAD-XC-Q3		direct	direct	accepted	present	bulk
CMAD-demo_to_query-XC-D-L-A-XC-Q3-adopt01	CMAD-XC-D-L-A	CMAD-XC-Q3		none	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-L-P-XC-Q3-adopt01	CMAD-XC-D-L-P	CMAD-XC-Q3		none	direct	accepted	present	bulk
CMAD-demo_to_query-XC-D-L-P-SWAP-XC-Q3-adopt01	CMAD-XC-D-L-P-SWAP	CMAD-XC-Q3		none	direct	disputed	present	bulk
CMAD-lexicon_to_query-XC-L1-XC-Q4-adopt01	CMAD-XC-L1	CMAD-XC-Q4	none			accepted	present	bulk
CMAD-lexicon_to_query-XC-L2-XC-Q4-adopt01	CMAD-XC-L2	CMAD-XC-Q4	direct			accepted	present	bulk
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q4-adopt01	CMAD-XC-D-ANCHOR	CMAD-XC-Q4		none	none	accepted	absent	bulk
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q4-adopt01	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q4		none	none	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-A-XC-Q4-adopt01	CMAD-XC-D-F-A	CMAD-XC-Q4		direct	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-F-A-SWAP-XC-Q4-adopt01	CMAD-XC-D-F-A-SWAP	CMAD-XC-Q4		direct	direct	disputed	absent	bulk
CMAD-demo_to_query-XC-D-F-P-XC-Q4-adopt01	CMAD-XC-D-F-P	CMAD-XC-Q4		direct	direct	accepted	present	bulk
CMAD-demo_to_query-XC-D-L-A-XC-Q4-adopt01	CMAD-XC-D-L-A	CMAD-XC-Q4		none	direct	accepted	absent	bulk
CMAD-demo_to_query-XC-D-L-P-XC-Q4-adopt01	CMAD-XC-D-L-P	CMAD-XC-Q4		none	direct	accepted	present	bulk
CMAD-demo_to_query-XC-D-L-P-SWAP-XC-Q4-adopt01	CMAD-XC-D-L-P-SWAP	CMAD-XC-Q4		none	direct	disputed	present	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-L-P-adopt01	CMAD-XC-L1	CMAD-XC-D-L-P	direct			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-L-P-SWAP-adopt01	CMAD-XC-L1	CMAD-XC-D-L-P-SWAP	direct			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-L-A-adopt01	CMAD-XC-L1	CMAD-XC-D-L-A	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-L-A-SWAP-adopt01	CMAD-XC-L1	CMAD-XC-D-L-A-SWAP	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-F-P-adopt01	CMAD-XC-L1	CMAD-XC-D-F-P	none			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-F-P-SWAP-adopt01	CMAD-XC-L1	CMAD-XC-D-F-P-SWAP	none			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-F-A-adopt01	CMAD-XC-L1	CMAD-XC-D-F-A	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-F-A-SWAP-adopt01	CMAD-XC-L1	CMAD-XC-D-F-A-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-ANCHOR-adopt01	CMAD-XC-L1	CMAD-XC-D-ANCHOR	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L1-XC-D-ANCHOR-SWAP-adopt01	CMAD-XC-L1	CMAD-XC-D-ANCHOR-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-L-P-adopt01	CMAD-XC-L2	CMAD-XC-D-L-P	none			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-L-P-SWAP-adopt01	CMAD-XC-L2	CMAD-XC-D-L-P-SWAP	none			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-L-A-adopt01	CMAD-XC-L2	CMAD-XC-D-L-A	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-L-A-SWAP-adopt01	CMAD-XC-L2	CMAD-XC-D-L-A-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-F-P-adopt01	CMAD-XC-L2	CMAD-XC-D-F-P	direct			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-F-P-SWAP-adopt01	CMAD-XC-L2	CMAD-XC-D-F-P-SWAP	direct			accepted	present	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-F-A-adopt01	CMAD-XC-L2	CMAD-XC-D-F-A	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-F-A-SWAP-adopt01	CMAD-XC-L2	CMAD-XC-D-F-A-SWAP	direct			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-ANCHOR-adopt01	CMAD-XC-L2	CMAD-XC-D-ANCHOR	none			accepted	absent	bulk
CMAD-lexicon_to_demo-XC-L2-XC-D-ANCHOR-SWAP-adopt01	CMAD-XC-L2	CMAD-XC-D-ANCHOR-SWAP	none			accepted	absent	bulk
CMAD-lexicon_to_query-JSC-L1-JSC-Q1	CMAD-JSC-L1	CMAD-JSC-Q1	direct			accepted	present	none
CMAD-lexicon_to_query-JSC-L2-JSC-Q1	CMAD-JSC-L2	CMAD-JSC-Q1	none			accepted	present	none
CMAD-demo_to_query-JSC-D-ANCHOR-JSC-Q1	CMAD-JSC-D-ANCHOR	CMAD-JSC-Q1		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-ANCHOR-SWAP-JSC-Q1	CMAD-JSC-D-ANCHOR-SWAP	CMAD-JSC-Q1		none	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-A-JSC-Q1	CMAD-JSC-D-F-A	CMAD-JSC-Q1		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-F-P-JSC-Q1	CMAD-JSC-D-F-P	CMAD-JSC-Q1		none	none	accepted	present	none
CMAD-demo_to_query-JSC-D-F-P-SWAP-JSC-Q1	CMAD-JSC-D-F-P-SWAP	CMAD-JSC-Q1		none	none	disputed	present	none
CMAD-demo_to_query-JSC-D-L-A-JSC-Q1	CMAD-JSC-D-L-A	CMAD-JSC-Q1		direct	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-L-A-SWAP-JSC-Q1	CMAD-JSC-D-L-A-SWAP	CMAD-JSC-Q1		direct	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-L-P-JSC-Q1	CMAD-JSC-D-L-P	CMAD-JSC-Q1		direct	none	accepted	present	none
CMAD-lexicon_to_query-JSC-L1-JSC-Q2	CMAD-JSC-L1	CMAD-JSC-Q2	direct			accepted	present	none
CMAD-lexicon_to_query-JSC-L2-JSC-Q2	CMAD-JSC-L2	CMAD-JSC-Q2	none			accepted	present	none
CMAD-demo_to_query-JSC-D-ANCHOR-JSC-Q2	CMAD-JSC-D-ANCHOR	CMAD-JSC-Q2		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-ANCHOR-SWAP-JSC-Q2	CMAD-JSC-D-ANCHOR-SWAP	CMAD-JSC-Q2		none	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-A-JSC-Q2	CMAD-JSC-D-F-A	CMAD-JSC-Q2		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-F-P-JSC-Q2	CMAD-JSC-D-F-P	CMAD-JSC-Q2		none	none	accepted	present	none
CMAD-demo_to_query-JSC-D-F-P-SWAP-JSC-Q2	CMAD-JSC-D-F-P-SWAP	CMAD-JSC-Q2		none	none	disputed	present	none
CMAD-demo_to_query-JSC-D-L-A-JSC-Q2	CMAD-JSC-D-L-A	CMAD-JSC-Q2		direct	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-L-A-SWAP-JSC-Q2	CMAD-JSC-D-L-A-SWAP	CMAD-JSC-Q2		direct	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-L-P-JSC-Q2	CMAD-JSC-D-L-P	CMAD-JSC-Q2		direct	none	accepted	present	none
CMAD-lexicon_to_query-JSC-L1-JSC-Q3	CMAD-JSC-L1	CMAD-JSC-Q3	none			accepted	present	none
CMAD-lexicon_to_query-JSC-L2-JSC-Q3	CMAD-JSC-L2	CMAD-JSC-Q3	direct			accepted	present	none
CMAD-demo_to_query-JSC-D-ANCHOR-JSC-Q3	CMAD-JSC-D-ANCHOR	CMAD-JSC-Q3		none	direct	accepted	absent	none
CMAD-demo_to_query-JSC-D-ANCHOR-SWAP-JSC-Q3	CMAD-JSC-D-ANCHOR-SWAP	CMAD-JSC-Q3		none	direct	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-A-JSC-Q3	CMAD-JSC-D-F-A	CMAD-JSC-Q3		direct	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-F-A-SWAP-JSC-Q3	CMAD-JSC-D-F-A-SWAP	CMAD-JSC-Q3		direct	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-P-JSC-Q3	CMAD-JSC-D-F-P	CMAD-JSC-Q3		direct	none	accepted	present	none
CMAD-demo_to_query-JSC-D-L-A-JSC-Q3	CMAD-JSC-D-L-A	CMAD-JSC-Q3		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-L-P-JSC-Q3	CMAD-JSC-D-L-P	CMAD-JSC-Q3		none	none	accepted	present	none
CMAD-demo_to_query-JSC-D-L-P-SWAP-JSC-Q3	CMAD-JSC-D-L-P-SWAP	CMAD-JSC-Q3		none	none	disputed	present	none
CMAD-lexicon_to_query-JSC-L1-JSC-Q4	CMAD-JSC-L1	CMAD-JSC-Q4	none			accepted	present	none
CMAD-lexicon_to_query-JSC-L2-JSC-Q4	CMAD-JSC-L2	CMAD-JSC-Q4	direct			accepted	present	none
CMAD-demo_to_query-JSC-D-ANCHOR-JSC-Q4	CMAD-JSC-D-ANCHOR	CMAD-JSC-Q4		none	direct	accepted	absent	none
CMAD-demo_to_query-JSC-D-ANCHOR-SWAP-JSC-Q4	CMAD-JSC-D-ANCHOR-SWAP	CMAD-JSC-Q4		none	direct	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-A-JSC-Q4	CMAD-JSC-D-F-A	CMAD-JSC-Q4		direct	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-F-A-SWAP-JSC-Q4	CMAD-JSC-D-F-A-SWAP	CMAD-JSC-Q4		direct	none	disputed	absent	none
CMAD-demo_to_query-JSC-D-F-P-JSC-Q4	CMAD-JSC-D-F-P	CMAD-JSC-Q4		direct	none	accepted	present	none
CMAD-demo_to_query-JSC-D-L-A-JSC-Q4	CMAD-JSC-D-L-A	CMAD-JSC-Q4		none	none	accepted	absent	none
CMAD-demo_to_query-JSC-D-L-P-JSC-Q4	CMAD-JSC-D-L-P	CMAD-JSC-Q4		none	none	accepted	present	none
CMAD-demo_to_query-JSC-D-L-P-SWAP-JSC-Q4	CMAD-JSC-D-L-P-SWAP	CMAD-JSC-Q4		none	none	disputed	present	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-L-P	CMAD-JSC-L1	CMAD-JSC-D-L-P	direct			accepted	present	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-L-P-SWAP	CMAD-JSC-L1	CMAD-JSC-D-L-P-SWAP	direct			accepted	present	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-L-A	CMAD-JSC-L1	CMAD-JSC-D-L-A	direct			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-L-A-SWAP	CMAD-JSC-L1	CMAD-JSC-D-L-A-SWAP	direct			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-F-P	CMAD-JSC-L1	CMAD-JSC-D-F-P	none			accepted	present	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-F-P-SWAP	CMAD-JSC-L1	CMAD-JSC-D-F-P-SWAP	none			accepted	present	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-F-A	CMAD-JSC-L1	CMAD-JSC-D-F-A	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-F-A-SWAP	CMAD-JSC-L1	CMAD-JSC-D-F-A-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-ANCHOR	CMAD-JSC-L1	CMAD-JSC-D-ANCHOR	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L1-JSC-D-ANCHOR-SWAP	CMAD-JSC-L1	CMAD-JSC-D-ANCHOR-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-L-P	CMAD-JSC-L2	CMAD-JSC-D-L-P	none			accepted	present	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-L-P-SWAP	CMAD-JSC-L2	CMAD-JSC-D-L-P-SWAP	none			accepted	present	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-L-A	CMAD-JSC-L2	CMAD-JSC-D-L-A	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-L-A-SWAP	CMAD-JSC-L2	CMAD-JSC-D-L-A-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-F-P	CMAD-JSC-L2	CMAD-JSC-D-F-P	direct			accepted	present	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-F-P-SWAP	CMAD-JSC-L2	CMAD-JSC-D-F-P-SWAP	direct			accepted	present	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-F-A	CMAD-JSC-L2	CMAD-JSC-D-F-A	direct			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-F-A-SWAP	CMAD-JSC-L2	CMAD-JSC-D-F-A-SWAP	direct			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-ANCHOR	CMAD-JSC-L2	CMAD-JSC-D-ANCHOR	none			accepted	absent	none
CMAD-lexicon_to_demo-JSC-L2-JSC-D-ANCHOR-SWAP	CMAD-JSC-L2	CMAD-JSC-D-ANCHOR-SWAP	none			accepted	absent	none
CMAD-lexicon_to_query-MT-L1-MT-Q1	CMAD-MT-L1	CMAD-MT-Q1	direct			accepted	present	none
