material_id	text	ai_label	ai_severity	ai_rationale	human_label	human_severity	human_text_adoption	status
CMAD-XC-Q3	你还真把自己当回事了？在大家眼里就是个小丑。	有	1	当前作者以小丑轻蔑地嘲讽对方；建议1级，若审核为2级也仍对应有。	有	1	True	bulk_adopted
CMAD-XC-Q4	别再出来丢人了，你就是个自以为是的小丑。	有	2	当前作者直接贬损对方的人格和言行；1／2级边界需审核，二元答案均为有。	有	2	True	bulk_adopted
CMAD-XC-L1	小丑：以滑稽的装扮和表演逗人发笑的角色或演员。			AI释义建议			True	bulk_adopted
CMAD-XC-L2	小丑：用来嘲讽一个人，指其言行可笑、爱出风头或自以为是。			AI释义建议			True	bulk_adopted
CMAD-XC-D-L-P	小丑在台上给孩子们表演，你就在台下故意起哄捣乱，你这人真他妈缺德。	有	2	小丑是正常表演者；作者独立以缺德贬损听者，不仅批评行为。	有	2	True	bulk_adopted
CMAD-XC-D-L-A	那个涂着花脸的滑稽演员在台上给孩子们表演，你就在台下故意起哄捣乱，你这人真他妈缺德。	有	2	可见描述提供实际滑稽表演角色信息，未出现小丑；独立辱骂保留。	有	2	True	bulk_adopted
CMAD-XC-D-F-P	人家在台上认真发言，你就在台下喊他小丑，你这人真他妈缺德。	有	2	小丑是被反对的嘲讽性称呼；作者同时独立贬损听者。	有	2	True	bulk_adopted
CMAD-XC-D-F-A	人家在台上认真发言，你就在台下喊他是个自以为是、惹人笑话的家伙，你这人真他妈缺德。	有	2	以可见描述表达嘲讽人的意义；作者反对这项嘲讽，但另行辱骂听者。	有	2	True	bulk_adopted
CMAD-XC-D-ANCHOR	活动改到周六下午了，已经买的票还可以用。	无	0	说明活动安排和票务效力，没有人身贬损或伤害主张。	无	0	True	bulk_adopted
CMAD-XC-N	小丑：这个词由“小”和“丑”两个汉字组成，书写时按这两个字的顺序排列。			词形与资料格式对照；不宣称心理中性、严格长度匹配或提供查询义项。			True	bulk_adopted
CMAD-JSC-Q1	显微镜下面能看见这种寄生虫。	无	0	描述观察到的生物，没有对人的贬损或伤害主张。				pending
CMAD-JSC-Q2	老师让我们在图上标出寄生虫的位置。	无	0	讲述图示作业，未将该词用于贬低人。				pending
CMAD-JSC-Q3	你就知道伸手要钱，真是个寄生虫。	有	2	作者以不劳动、依赖他人的贬称直接侮辱对方；不据虫类比喻自动升级为3级。				pending
CMAD-JSC-Q4	他自己什么都不干，就靠别人养着，活脱脱一个寄生虫。	有	2	作者认可对人的侮辱性归类，超出中性的生活状况描述。				pending
CMAD-JSC-L1	寄生虫：寄生在其他生物体内或体表、依靠宿主获取营养的虫类。			AI释义建议				pending
CMAD-JSC-L2	寄生虫：用来贬低一个人，指其自己不劳动，依靠他人供养而生活。			AI释义建议				pending
CMAD-JSC-D-L-P	这里的“寄生虫”说的是靠宿主获取营养的虫子，不是在说哪个人。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。				pending
CMAD-JSC-D-L-A	这里说的是那种寄生在别的动物身上、靠宿主获取营养的虫子，不是在说哪个人。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。无词形版本是可见的描述性解释，仍有语义信息及共享字词。				pending
CMAD-JSC-D-F-P	“寄生虫”用来骂人时，意思是那个人不干活、靠别人养。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。				pending
CMAD-JSC-D-F-A	“不干活、只靠别人养的懒人”这种说法，是在贬低一个人。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。无词形版本是可见的描述性解释，仍有语义信息及共享字词。				pending
CMAD-JSC-D-ANCHOR	你这人真恶心，专挑信任你的人骗。	有	2	作者直接贬损对方的人格，不仅是在说明或批评行为。				pending
CMAD-JSC-N	寄生虫：这个词由“寄”“生”和“虫”三个汉字组成，书写时按这三个字的顺序排列。			词形与资料格式对照；不是心理中性、严格长度匹配或生物学释义。				pending
CMAD-MT-Q1	这块木头太厚了，锯子切不动。	无	0	说明实际材料的厚度和加工困难，没有贬损人。				pending
CMAD-MT-Q2	仓库里还剩几根木头，做个架子够了。	无	0	说明材料存量和用途，没有作者认可的人身攻击。				pending
CMAD-MT-Q3	你是块木头吗？说半天一点反应都没有。	有	1	以反问轻蔑地贬低对方反应迟钝，不是仅报告其暂未回复；1／2级边界待审。				pending
CMAD-MT-Q4	这么简单的意思都听不懂，你真是个木头。	有	1	轻蔑地将对方概括为迟钝、不开窍，建议轻度贬损；1／2级边界待审。				pending
CMAD-MT-L1	木头：砍伐后的树木或供加工使用的木材。			AI释义建议				pending
CMAD-MT-L2	木头：用来贬低一个人，指其反应迟钝、不灵活或不开窍。			AI释义建议				pending
CMAD-MT-D-L-P	这里的“木头”指的是做家具用的木材，不是在说人。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。				pending
CMAD-MT-D-L-A	这里说的是从树干上锯下来、做家具用的料，不是在说人。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。无词形版本是可见的描述性解释，仍有语义信息及共享字词。				pending
CMAD-MT-D-F-P	“木头”拿来形容人时，通常是在嫌对方迟钝、不开窍。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。				pending
CMAD-MT-D-F-A	“迟钝、不开窍”拿来概括一个人时，是带着贬低意味的说法。	无	0	作者解释一种说法的含义或用法，没有在当前句中以该评价指认并攻击具体对象；提及贬称不等于实施贬损。无词形版本是可见的描述性解释，仍有语义信息及共享字词。				pending
CMAD-MT-D-ANCHOR	你个没良心的，帮过你的人你都能卖了。	有	2	作者直接以没良心贬损对方的人格；卖了在此是出卖而非新增暴力主张。				pending
CMAD-MT-N	木头：这个词由“木”和“头”两个汉字组成，书写时按这两个字的顺序排列。			词形与资料格式对照；不宣称心理中性、严格长度匹配或提供查询义项。				pending
