condition_id	query_id	query_short_id	family_id	lexicon_arm	demo_arm	condition_group	lexicon_ids	demo_ids	demo_answers	focal_relation_dimension	foreground_relation_proposal	foreground_focal_word	qwen8b_prompt_sha256	human_adoption	eligible_for_GPU	construction_stratum
CMAD-HP-Q1-L2-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D11	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	3c2354e4800f3614542ad291a550b82a3f3e7f1f675abfd3749a4698331e102b	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D10	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	283803690d9b136ddd9d2ec238aa5e4a4981bfd6426799e3dbbd5cd6acd12f92	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D01	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	a85864417fac05bbeb947b33b47b6bbda2a3075ce5b9c18ab6837ee3efa98300	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D00	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	88ed25e508cc1e58d8071507751a316389d82e07f806d6a6e4144fd3445d6d9e	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-N-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D0	neutral_diagnostic	"[""CMAD-HP-N""]"	[]	[]	semantic_reference_fit			3a6efea18edfced1e1bc692b754bb626b8c3a2670f4c58c9b19489ebd2fcb90c	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-N-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D10	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	765bcbeb89fe52994050451d7f1c8514d442ca1ca564a983bfb586b2c5fb6c1c	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-N-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D01	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	14efc9d072581c041487d40a2277eca3861d288153f949361c3c0bd876d507bb	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D10S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	c6403c3ba89de132675064648c04249ddfdd159b3a94f7c137bcd43c8400a686	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D01S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	18dfe09ae673febd1d72f09fcd2c882b830e998a8c587c6f15f16b1378db3d7c	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D10S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	6f959ff6ba93f78812a94a25c0e5fb0b75763ef1feca90c40663de29b58c095d	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D01S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	f4afa48f609911e1103005489ab41f840a53dd5745350ac38238689e5ca02428	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D10S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	c5dc599d0b4f6fa86e07e931ae811eba2ff177f6db50c434a443db6550c64b53	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D01S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	bcd109f774bdf438d8c651be80cc919eb305e158f5847e494b2c6bee829c44a1	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L0-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			e633f41783d549b9bd4e5b7c54781a72e158fa5a671d1bf7bded1dc64b3d7ad5	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L0-D11	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	f3c88888b5918aef88e383bf6510cff8654abf6eceff2f4a9fddd7668d7092db	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L0-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	c51d53c6a1cd120d2577cc638151dde0897edb89c33284a38a468c16b294fa27	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L0-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	7122f545c363f5abe2d799f322fb62a8472490412cbfa180320132b0e9db5d74	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L0-D00	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	3ac09ad1c7a0f369c5eaca9a3ef3dfba5aeaf593c3678070d847cfe707f393e2	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L1-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			439e7a91a6a7f30f37b916746cf9210d3de2f6c10a7d433c24a4c5fd2ea04d3c	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L1-D11	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D11	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	cb9c12db79b9b0e19886b6f59446192115ecea5a0d7c397bb37dabefbd6a0a94	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L1-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D10	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	f7dd2aed353de3a835e9c2d1131719cff2c71144f2fadac806293b79434bac07	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L1-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D01	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	0dc9eb42b7ca26673ea219391c1045602b43aabcdab6f66d6353ca55da6e58ba	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L1-D00	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D00	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	f01b9ebb9adfe8d093a30a24b6379c120b6c0f4cd6b3bd01658eb61cb5ab3f11	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q2-L2-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D0	core	"[""CMAD-HP-L2""]"	[]	[]	semantic_reference_fit			7a33c68cdf7cd87739515d3882aa868fbe93076e0e936822b1344f564ad25378	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
