condition_id	query_short_id	lexicon_arm	demo_arm	lexicon_slot_material_ids	demo_ids	demo_answers	prompt_tokens	prompt_sha256
CTD2-J1-L-other_A	J1	L	other_A	"[""CTD-L02""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	659	5243f986005acaf4758664e86981be5c145253d1edcaeb72a00d15f9c1df57d8
CTD2-J1-absent-other_B	J1	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	625	1e29046097bd93e90e66f2250d28e3707162a64c8696a6c1d667691c0ffa9213
CTD2-J1-L-other_B	J1	L	other_B	"[""CTD-L02""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	656	5b00872e892221932da0bb388f9a4c82831d9d97a053c13bb432041b2867d78a
CTD2-J2-L-other_A	J2	L	other_A	"[""CTD-L02""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	659	82dc63c48dd38b125b789251238b6c789a5f45a485243e97168ec3f1593d1b6f
CTD2-J2-L-other_B	J2	L	other_B	"[""CTD-L02""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	656	650c3d6d21c6bb08f7c8bc004fd67c51f7d81693df76eac2ccc9c0410280d404
CTD2-J3-absent-other_A	J3	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	628	4130c40ba18a5ecbb4b524299076ecce673ec03618f99bca677361afe4d0c0fc
CTD2-J3-L-other_A	J3	L	other_A	"[""CTD-L02""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	659	4f29e0c421a634f74f3888c9c363165fbfbec2529cf036b31b7a719512f52522
CTD2-J3-absent-other_B	J3	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	625	739145acc2868df6149e4009e5b686a3ecb034197b0badfad0be6e690e566d3e
CTD2-J3-L-other_B	J3	L	other_B	"[""CTD-L02""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	656	b4f45f72f962fbf317fe6560e49b2f6c9507e7a08c5a8c984ab227c52b56c83c
CTD2-J4-L-other_A	J4	L	other_A	"[""CTD-L02""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	661	9727df16b6616f128cc36c8c133b87c5c0ca7097771333a24943454d8a689505
CTD2-J4-L-other_B	J4	L	other_B	"[""CTD-L02""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	658	82095af94814c52cc7878df9bc82e4d8eb00be1155a00825663331fc4b92deb2
CTD2-B1-absent-other_A	B1	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	625	389531fb2f1db43ab7c424c60145337aed5dee4bb3b3ab8007a5181fdaae1e74
CTD2-B1-L-other_A	B1	L	other_A	"[""CTD-L03""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	657	1f3916c0aa06af9b7631804de389182d38d4df3a57a52015936111ab25bca958
CTD2-B1-absent-other_B	B1	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	622	7034f162384ad3b22afa2f628be2b1a6caee95de31166d45f30913637404c505
CTD2-B1-L-other_B	B1	L	other_B	"[""CTD-L03""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	654	554fb6e922ae59ae919d97e2881f54995f4374c7e8be3526cca8079663855d32
CTD2-B2-L-other_A	B2	L	other_A	"[""CTD-L03""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	654	8549d14237661c1257a158288f666b52f3cefd7feef69b2300f7935ed21b1f83
CTD2-B2-L-other_B	B2	L	other_B	"[""CTD-L03""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	651	be954824d9861424a4fe546c63e4ccf55d14880f09ee0b106cbf3665d6ce596a
CTD2-B3-absent-other_A	B3	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	632	21b863078f009e5eb003ec0fe2888d129d9f3598210304c6a86e945afcf6ccef
CTD2-B3-L-other_A	B3	L	other_A	"[""CTD-L03""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	664	d61f4f9dc79214675cde1a310da0f161731ef2c171124451647e0e896f1806ad
CTD2-B3-absent-other_B	B3	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	629	75717515616bb0e803810624e77a6eae4e8cc3fd1aef1d4c95d3409104b42633
CTD2-B3-L-other_B	B3	L	other_B	"[""CTD-L03""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	661	fd1cb24a76f5b367d430ce6ad9a884238ad949d47b7cfc08f7fe17bad0129144
CTD2-B4-L-other_A	B4	L	other_A	"[""CTD-L03""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	659	71200ee4805bbd890d51df8a7c05460728c9718233d33c9aff997a68b3986f76
CTD2-B4-L-other_B	B4	L	other_B	"[""CTD-L03""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	656	af065cd5a9ccd65e0a9604525c165d31796b15e7673a3fff6dad0372fd5e6bf1
