condition_id	query_short_id	lexicon_arm	demo_arm	input_status	prompt_tokens	prompt_sha256
CTDJ-G4-absent-other_A	G4	absent	other_A	historical_reuse	624	c69f0d932ec0ff4bdf018fac4d3eedfbb30e7d0bc28744d10e373320047155f4
CTD2-G4-L-other_A	G4	L	other_A	new_unscored	647	b7c0cfafa9ee342e9c86e65652295e0da964d8f7b6580d0987f212a12be72f36
CTDJ-G4-absent-other_B	G4	absent	other_B	historical_reuse	621	b5d2a3af339c77c9ce4b42fb57e4116f45bad1ddd6383ad85697f18e00f86784
CTD2-G4-L-other_B	G4	L	other_B	new_unscored	644	f9642f31b7e7316485a485b8934129939dbbacbe7df08774cfb88e023b3eed34
CTDJ-J1-absent-none	J1	absent	none	historical_reuse	578	f508c10dfb8608cca9dd4355c1a9ee86234ae831e849d9df0f029e54b0744adb
CTDJ-J1-L-none	J1	L	none	historical_reuse	609	ddb8e41f70b817100bfbf317331ecbdd1c8b51aef2042eb5092ce9e50536fc31
CTDJ-J1-absent-same_A	J1	absent	same_A	historical_reuse	628	70104ace565fcd63b1b0c28e1a87cc474c46e544c6ad52bae0f459cc40239f86
CTDJ-J1-L-same_A	J1	L	same_A	historical_reuse	659	3547b00266578893b8adaf82d1db99cef39efda65589ef4e3d3f463269ae8822
CTDJ-J1-absent-same_B	J1	absent	same_B	historical_reuse	625	ee628469fe3a5f1dbd1bbe77c60a52f81398f15101d0fb1dcd877d3f5c4a6b65
CTDJ-J1-L-same_B	J1	L	same_B	historical_reuse	656	f15ecde7b6fc782938441b20a19cfddc221922123830e76b843bf5dc042a1691
CTD2-J1-absent-other_A	J1	absent	other_A	new_unscored	628	13cc1c6e101e4c6141a156a38f59714ce0b2c67c050d0a48b1f9d87f7ec39a88
CTD2-J1-L-other_A	J1	L	other_A	new_unscored	659	5243f986005acaf4758664e86981be5c145253d1edcaeb72a00d15f9c1df57d8
CTD2-J1-absent-other_B	J1	absent	other_B	new_unscored	625	1e29046097bd93e90e66f2250d28e3707162a64c8696a6c1d667691c0ffa9213
CTD2-J1-L-other_B	J1	L	other_B	new_unscored	656	5b00872e892221932da0bb388f9a4c82831d9d97a053c13bb432041b2867d78a
CTDJ-J2-absent-none	J2	absent	none	historical_reuse	578	df5d2fc835cc6ef82c721f19523502678fe8015752b69c07c46080151819b55a
CTDJ-J2-L-none	J2	L	none	historical_reuse	609	4975ae7d3487bd68114ae637cf922f6d7cfa93175a2a8fd8e195cc148da6b544
CTDJ-J2-absent-same_A	J2	absent	same_A	historical_reuse	628	3578cffcc42fe25d4e811189d8b8a5e24566184a92b90eebbd8cad45b1e96b8f
CTDJ-J2-L-same_A	J2	L	same_A	historical_reuse	659	99723658946928ce05fef8cf305f9bb06c046ad048e3c1ec3133d23e901513c5
CTDJ-J2-absent-same_B	J2	absent	same_B	historical_reuse	625	ee42c55596451be05af32aef301d681db33e5c1dd1a099142a79f94365c97e9d
CTDJ-J2-L-same_B	J2	L	same_B	historical_reuse	656	1e5b7449427ad91404e1f520ac3ebdc98c8080f939401dc2c3cadf183e09ee6d
CTDJ-J2-absent-other_A	J2	absent	other_A	historical_reuse	628	5579d38a7fb242cee4e8b319d1f84aa30b08c98ded276c9d214d8a55ac07f3f8
CTD2-J2-L-other_A	J2	L	other_A	new_unscored	659	82dc63c48dd38b125b789251238b6c789a5f45a485243e97168ec3f1593d1b6f
CTDJ-J2-absent-other_B	J2	absent	other_B	historical_reuse	625	433468ca8df582ee524ac48ab306ca72eba84b1122822fb78c218afc8841587c
CTD2-J2-L-other_B	J2	L	other_B	new_unscored	656	650c3d6d21c6bb08f7c8bc004fd67c51f7d81693df76eac2ccc9c0410280d404
CTDJ-J3-absent-none	J3	absent	none	historical_reuse	578	affb1968b424d6a821bf1e896400931aec136cdce05060b669cf62e158b29476
CTDJ-J3-L-none	J3	L	none	historical_reuse	609	2d8ed0097db277c9c42336352b746cda771ceffe399c0a967246d2d1c593196d
CTDJ-J3-absent-same_A	J3	absent	same_A	historical_reuse	628	efbc97b2810fbcd8ba8b6f53ba631cf1e16a13ae69ad5296085a0f5fdb56c184
CTDJ-J3-L-same_A	J3	L	same_A	historical_reuse	659	96982960512302913e5c264d0c772a7d64ba9df0b4e3a669d8e4c4535b4f2880
CTDJ-J3-absent-same_B	J3	absent	same_B	historical_reuse	625	9fe23a5ebc1274caafd61df43b2b4dec5a70e0a80c0032da1aeddc4ce4d69ac8
CTDJ-J3-L-same_B	J3	L	same_B	historical_reuse	656	93b637305339e3900362a540aa56f59b04c4803853216527b57ac7db3fa78b19
CTD2-J3-absent-other_A	J3	absent	other_A	new_unscored	628	4130c40ba18a5ecbb4b524299076ecce673ec03618f99bca677361afe4d0c0fc
CTD2-J3-L-other_A	J3	L	other_A	new_unscored	659	4f29e0c421a634f74f3888c9c363165fbfbec2529cf036b31b7a719512f52522
CTD2-J3-absent-other_B	J3	absent	other_B	new_unscored	625	739145acc2868df6149e4009e5b686a3ecb034197b0badfad0be6e690e566d3e
CTD2-J3-L-other_B	J3	L	other_B	new_unscored	656	b4f45f72f962fbf317fe6560e49b2f6c9507e7a08c5a8c984ab227c52b56c83c
CTDJ-J4-absent-none	J4	absent	none	historical_reuse	580	55dc10a7a379177204811fcc1f2331be1e221a2ffa622698cf41d82991c987a6
CTDJ-J4-L-none	J4	L	none	historical_reuse	611	43b45a774808246cad85acc77529c623c3e3065638b7b7486d8389e8f747c752
CTDJ-J4-absent-same_A	J4	absent	same_A	historical_reuse	630	4e0a817f566007319b13a3cfbd845eb1d511df3867c18a0639b12e7cb949f836
CTDJ-J4-L-same_A	J4	L	same_A	historical_reuse	661	c8dac8c68140a0498da54bb9a0251ee19ab833c0d8cd5a5d77ce7f72924674ce
CTDJ-J4-absent-same_B	J4	absent	same_B	historical_reuse	627	accb7cd1cc41c5c944f3f2b9d3b7dcf4263de6a9525fe52a487bba7160a586eb
CTDJ-J4-L-same_B	J4	L	same_B	historical_reuse	658	ca4611a505e7762c6ff2cf8e324502813d7b8e066eb8fa4f5ab671ae2efeee84
CTDJ-J4-absent-other_A	J4	absent	other_A	historical_reuse	630	69d8049d46e1da531698693903950a60b16bfbcbeb4ed14494849649c5243903
CTD2-J4-L-other_A	J4	L	other_A	new_unscored	661	9727df16b6616f128cc36c8c133b87c5c0ca7097771333a24943454d8a689505
CTDJ-J4-absent-other_B	J4	absent	other_B	historical_reuse	627	c2b230d377b5174136296a2b9c235cbe908d35da6b6d4bfc3e3ec87d2342fd49
CTD2-J4-L-other_B	J4	L	other_B	new_unscored	658	82095af94814c52cc7878df9bc82e4d8eb00be1155a00825663331fc4b92deb2
CTDJ-B1-absent-none	B1	absent	none	historical_reuse	575	9dd1a6614ef0e9c5585c2f99431a818bb6e82973543f4ae3f4ca757e8be1aead
CTDJ-B1-L-none	B1	L	none	historical_reuse	607	a6edb06d8bdc4550e56a1823f1f5c0d898cf0f4dd1dc6bb369dbfee3e66ca0e9
CTDJ-B1-absent-same_A	B1	absent	same_A	historical_reuse	622	23771c5208b85d68f644e4b0ec564aecae14dd9b54960e517251ed8cc217db43
CTDJ-B1-L-same_A	B1	L	same_A	historical_reuse	654	bef02e35589d96641504934bf4e79d63fcff998d6fbb5d753471f227880c2d61
CTDJ-B1-absent-same_B	B1	absent	same_B	historical_reuse	620	44710445dd908beed7aadc80508af6c4e4c6aae11ce2f6f81a0c61e8b18e3671
CTDJ-B1-L-same_B	B1	L	same_B	historical_reuse	652	e1976e6e8304a234d9a9df58e48bd69e192dfc6d5ddd724d1a8bf49670550b77
CTD2-B1-absent-other_A	B1	absent	other_A	new_unscored	625	389531fb2f1db43ab7c424c60145337aed5dee4bb3b3ab8007a5181fdaae1e74
CTD2-B1-L-other_A	B1	L	other_A	new_unscored	657	1f3916c0aa06af9b7631804de389182d38d4df3a57a52015936111ab25bca958
CTD2-B1-absent-other_B	B1	absent	other_B	new_unscored	622	7034f162384ad3b22afa2f628be2b1a6caee95de31166d45f30913637404c505
CTD2-B1-L-other_B	B1	L	other_B	new_unscored	654	554fb6e922ae59ae919d97e2881f54995f4374c7e8be3526cca8079663855d32
CTDJ-B2-absent-none	B2	absent	none	historical_reuse	572	b9a2fefc19d22fc039b8b5aefb2fa9da27ba2238eb6c6c2ee7189f7086982407
CTDJ-B2-L-none	B2	L	none	historical_reuse	604	0566406f7b44410da4fe942ba92bd25a747abdbd6467ec4c1de0b57234631940
CTDJ-B2-absent-same_A	B2	absent	same_A	historical_reuse	619	40c84b7ff31e2d4c8f1c87d0fddd836d731862b9294a23dc53694dfbe3726187
CTDJ-B2-L-same_A	B2	L	same_A	historical_reuse	651	6d8196f6014f2105879fc6c7db2ac858729f3a19aa9cb328e4c60ad2c0f3da57
CTDJ-B2-absent-same_B	B2	absent	same_B	historical_reuse	617	af010586494c774e4aeea33697abd6aecd824e29ff2e22949ee6abda7202544c
CTDJ-B2-L-same_B	B2	L	same_B	historical_reuse	649	5a98df76d19226fd387e56b47f6a81d8bb7f6373742a75a91b03a76689bb1099
CTDJ-B2-absent-other_A	B2	absent	other_A	historical_reuse	622	d3940b8d3cd332c731bf007b428e76da2726f06bfd93e637fe842ac0b7faac71
CTD2-B2-L-other_A	B2	L	other_A	new_unscored	654	8549d14237661c1257a158288f666b52f3cefd7feef69b2300f7935ed21b1f83
CTDJ-B2-absent-other_B	B2	absent	other_B	historical_reuse	619	09df7f5353f89a20ed67a61fe979d800a190163c5a7d1ab7aa964d8f860c0dd5
CTD2-B2-L-other_B	B2	L	other_B	new_unscored	651	be954824d9861424a4fe546c63e4ccf55d14880f09ee0b106cbf3665d6ce596a
CTDJ-B3-absent-none	B3	absent	none	historical_reuse	582	4a1284263fe237c12928e2cabc5665522db9ef534763d7bb15431cbdc9ce5364
CTDJ-B3-L-none	B3	L	none	historical_reuse	614	9c5a308ebd1778c1987ceb2f66f350eb3bc9c0a395f3b8922d0f51cf0a1508b3
CTDJ-B3-absent-same_A	B3	absent	same_A	historical_reuse	629	656d2cbab304dc2485563dcad851b02ae881377a328b86f8a23a0dca80f2d226
CTDJ-B3-L-same_A	B3	L	same_A	historical_reuse	661	77be2d01af031b7bbe7500a072cc540b36849576ad4d4a89c497e8ad00252979
CTDJ-B3-absent-same_B	B3	absent	same_B	historical_reuse	627	530202c1bf965a9ff635287cdba303aace5f3e476b44e70241c6f7dec33f45ce
CTDJ-B3-L-same_B	B3	L	same_B	historical_reuse	659	4b09d2b8cf7e4c7bc8bc49e8235828a772dc9c196f10c9ae820ba536c03f9919
CTD2-B3-absent-other_A	B3	absent	other_A	new_unscored	632	21b863078f009e5eb003ec0fe2888d129d9f3598210304c6a86e945afcf6ccef
CTD2-B3-L-other_A	B3	L	other_A	new_unscored	664	d61f4f9dc79214675cde1a310da0f161731ef2c171124451647e0e896f1806ad
CTD2-B3-absent-other_B	B3	absent	other_B	new_unscored	629	75717515616bb0e803810624e77a6eae4e8cc3fd1aef1d4c95d3409104b42633
CTD2-B3-L-other_B	B3	L	other_B	new_unscored	661	fd1cb24a76f5b367d430ce6ad9a884238ad949d47b7cfc08f7fe17bad0129144
CTDJ-B4-absent-none	B4	absent	none	historical_reuse	577	fa6d2886ab20b67088bcc54eeb8e8917256ff272b1374b495ef891c7745c3aac
CTDJ-B4-L-none	B4	L	none	historical_reuse	609	65964c7ea17003f6487640323d365afc76bd2bc71ee5d56f881888a202197555
CTDJ-B4-absent-same_A	B4	absent	same_A	historical_reuse	624	ed7bc6bde49c181c0142024c80d48062c75aed0229e21cb69597f19f65c500db
CTDJ-B4-L-same_A	B4	L	same_A	historical_reuse	656	e1b07e671cb18b255e9ba8c783b6708afa488997e6f3de1b84fd6157cf0a93ac
CTDJ-B4-absent-same_B	B4	absent	same_B	historical_reuse	622	f94b046a303e8affc9819b4e2b751cc72f201e9fdac5465625c7774190ddb4a8
CTDJ-B4-L-same_B	B4	L	same_B	historical_reuse	654	d085c30cea101a797f5c3c9ec0ad8416cf763a419b50b041e3322da212d1ce7c
CTDJ-B4-absent-other_A	B4	absent	other_A	historical_reuse	627	4c5ef413516449d694009e8ef93d150814225152e44ecc992fa92c6bafe24085
CTD2-B4-L-other_A	B4	L	other_A	new_unscored	659	71200ee4805bbd890d51df8a7c05460728c9718233d33c9aff997a68b3986f76
CTDJ-B4-absent-other_B	B4	absent	other_B	historical_reuse	624	0dfe7fedba01e5b144ebf1bc0b796d0aa85949a26692412f259a0f859e7758cd
CTD2-B4-L-other_B	B4	L	other_B	new_unscored	656	af065cd5a9ccd65e0a9604525c165d31796b15e7673a3fff6dad0372fd5e6bf1
