object_id,query_id,source_kind,source_id,surface,start,end,original_definition,source_text,query_text,source_fit,query_fit,source_fit_provenance,query_fit_provenance,assessment_status
hit:5086:demo:7248:lex-0073:sense:01:46:49,5086,demo,7248,txl,46,49,中文'同性恋'拼音的首字母简写，用于代指同性恋群团。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:7248:lex-0073:sense:01:129:132,5086,demo,7248,txl,129,132,中文'同性恋'拼音的首字母简写，用于代指同性恋群团。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:7248:lex-0073:sense:01:163:166,5086,demo,7248,txl,163,166,中文'同性恋'拼音的首字母简写，用于代指同性恋群团。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0111:sense:01:21:22,5086,query,5086,基,21,22,在部分网络或粤语相关表达中与 gay、男同性恋指称有关；“基本”“基因”等普通词里的“基”不属于这一用法。不能把对“基佬”整词的解释直接当成所有单字“基”的含义。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0111:sense:01:29:30,5086,query,5086,基,29,30,在部分网络或粤语相关表达中与 gay、男同性恋指称有关；“基本”“基因”等普通词里的“基”不属于这一用法。不能把对“基佬”整词的解释直接当成所有单字“基”的含义。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0111:sense:01:59:60,5086,query,5086,基,59,60,在部分网络或粤语相关表达中与 gay、男同性恋指称有关；“基本”“基因”等普通词里的“基”不属于这一用法。不能把对“基佬”整词的解释直接当成所有单字“基”的含义。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0112:sense:01:0:2,5086,query,5086,基佬,0,2,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0112:sense:01:31:33,5086,query,5086,基佬,31,33,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0112:sense:01:43:45,5086,query,5086,基佬,43,45,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:127:lex-0112:sense:01:10:12,5086,demo,127,基佬,10,12,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:127:lex-0112:sense:01:20:22,5086,demo,127,基佬,20,22,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:7464:lex-0112:sense:01:0:2,5086,demo,7464,基佬,0,2,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:7464:lex-0112:sense:01:24:26,5086,demo,7464,基佬,24,26,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:query:5086:lex-0182:sense:01:7:9,5086,query,5086,染艾,7,9,'染艾'是'感染艾滋病'的中文缩写，常用于对男同性恋群体的侮辱性言论。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:127:lex-0182:sense:01:22:24,5086,demo,127,染艾,22,24,'染艾'是'感染艾滋病'的中文缩写，常用于对男同性恋群体的侮辱性言论。,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,applicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:1517:lex-0187:sense:01:29:31,5086,demo,1517,变态,29,31,用于描述心理方面不正常的群体，常含贬义。,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:5416:lex-0215:sense:01:24:26,5086,demo,5416,男同,24,26,对男同性恋群体的简称，常含贬义。,这么说的话最不会传播艾滋病的是女同，女同应该打压男同跟异性恋，让世界上只有女同！,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:2120:lex-0215:sense:01:6:8,5086,demo,2120,男同,6,8,对男同性恋群体的简称，常含贬义。,其实，爱滋在男同里的比例很低，反倒是异性恋得爱滋的比例高，不信去上网查查。我国对同性恋采取不反对、不提倡。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:5113:lex-0286:sense:01:13:15,5086,demo,5113,同志,13,15,在部分语境中用于指称同性恋者；普通同伴、同事或政治称谓等用法不应直接套用这一义项。,很多男的无感，我老公就是对同志无感，而且他还有一个同事一个战友是同，他们玩的都挺好的。但是他说他在部队，有个男的加他，要给他k，他不同意，然后那个男的说闭上眼睛享受就行了，结果我老公把他拉黑了。今年我不知道啥事问他，他才告诉我的，他说就是很奇怪，为啥会有男的要给他k🤔，神经病么。。。他们直男都不了解为什么同会这样，都觉得很奇怪。其实很多直男对同都是无感的,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:1517:lex-0286:sense:01:26:28,5086,demo,1517,同志,26,28,在部分语境中用于指称同性恋者；普通同伴、同事或政治称谓等用法不应直接套用这一义项。,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:6006:lex-0381:sense:01:46:48,5086,demo,6006,白男,46,48,常用于对白种人男性的讽刺性称呼。,看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:6006:lex-0382:sense:01:28:30,5086,demo,6006,白女,28,30,常用于对白种人女性的讽刺性称呼。,看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:6006:lex-0384:sense:01:26:28,5086,demo,6006,黑女,26,28,常用于对黑种人女性的讽刺性称呼。,看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,user_discussion,ai_note,user_participated
hit:5086:demo:5113:lex-0632:sense:01:135:138,5086,demo,5113,神经病,135,138,常用来指某个人脑子不正常。,很多男的无感，我老公就是对同志无感，而且他还有一个同事一个战友是同，他们玩的都挺好的。但是他说他在部队，有个男的加他，要给他k，他不同意，然后那个男的说闭上眼睛享受就行了，结果我老公把他拉黑了。今年我不知道啥事问他，他才告诉我的，他说就是很奇怪，为啥会有男的要给他k🤔，神经病么。。。他们直男都不了解为什么同会这样，都觉得很奇怪。其实很多直男对同都是无感的,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:3585:lex-0031:sense:01:37:39,3169,demo,3585,仙女,37,39,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女....,我想回个嘿嘿嘿嘿。。。感觉好押韵,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:3519:lex-0104:sense:01:32:33,3169,demo,3519,鸡,32,33,在部分粗俗语境中可借与“妓”的近音贬损女性或指称性工作者；应描述说话者的用法，不能把对女性的道德指控当作事实。“嫁鸡随鸡”等普通表达不套用该义项。,和女生相关违法问题不是女生问题是TM谁的问题？主语都有问题还发个鸡毛声，发什么声？÷生？你一个男，怎么还性别歧视？管你你是什么玩意儿,我想回个嘿嘿嘿嘿。。。感觉好押韵,substring_mismatch,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:query:3169:lex-0419:sense:01:4:6,3169,query,3169,嘿嘿,4,6,'嘿嘿'是'黑黑'的中文谐音，对黑人群体的侮辱性称呼。,我想回个嘿嘿嘿嘿。。。感觉好押韵,我想回个嘿嘿嘿嘿。。。感觉好押韵,wrong_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:query:3169:lex-0419:sense:01:6:8,3169,query,3169,嘿嘿,6,8,'嘿嘿'是'黑黑'的中文谐音，对黑人群体的侮辱性称呼。,我想回个嘿嘿嘿嘿。。。感觉好押韵,我想回个嘿嘿嘿嘿。。。感觉好押韵,wrong_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:3660:lex-0419:sense:01:4:6,3169,demo,3660,嘿嘿,4,6,'嘿嘿'是'黑黑'的中文谐音，对黑人群体的侮辱性称呼。,主要是被嘿嘿玩过的，那不是一般的思想，那得多么的。。。,我想回个嘿嘿嘿嘿。。。感觉好押韵,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:7611:lex-0486:sense:01:21:23,3169,demo,7611,fw,21,23,'fw'发音为'废物'拼音缩写，比喻没有用或妨碍自己的人（指责人的话）。,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,我想回个嘿嘿嘿嘿。。。感觉好押韵,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:3582:lex-0493:sense:01:51:53,3169,demo,3582,剑人,51,53,'剑人'是'贱人'的中文谐音，指卑贱的人，多用于辱骂妇女。,泼妇男，你贴出我拉黑你？你怎么不贴出你持续不断满篇脏话的撒泼言语呢？嗯？那帖子还能正常回吗？嗯？下作的剑人，哈哈哈[表情],我想回个嘿嘿嘿嘿。。。感觉好押韵,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:3169:demo:3519:lex-0663:sense:01:16:18,3169,demo,3519,TM,16,18,在网络语境下，“tm”常作为“他妈”的谐音替代，用于表达愤怒或调侃，属于低俗用语。,和女生相关违法问题不是女生问题是TM谁的问题？主语都有问题还发个鸡毛声，发什么声？÷生？你一个男，怎么还性别歧视？管你你是什么玩意儿,我想回个嘿嘿嘿嘿。。。感觉好押韵,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6852:lex-0032:sense:01:0:3,1160,demo,6852,小仙女,0,3,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,小仙女不是说中国男人配不上中国女人吗？男人只好找外国女人了，合情合理,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6114:lex-0068:sense:01:7:9,1160,demo,6114,国男,7,9,“中国男性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；不等同于“中国男人”等普通完整表达中的任意两字片段，也不预设使用者的身份。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6114:lex-0068:sense:01:22:24,1160,demo,6114,国男,22,24,“中国男性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；不等同于“中国男人”等普通完整表达中的任意两字片段，也不预设使用者的身份。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6114:lex-0068:sense:01:47:49,1160,demo,6114,国男,47,49,“中国男性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；不等同于“中国男人”等普通完整表达中的任意两字片段，也不预设使用者的身份。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6114:lex-0068:sense:01:52:54,1160,demo,6114,国男,52,54,“中国男性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；不等同于“中国男人”等普通完整表达中的任意两字片段，也不预设使用者的身份。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6852:lex-0069:sense:01:14:16,1160,demo,6852,国女,14,16,“中国女性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；具体语气取决于上下文，不预设使用者一定是男性。,小仙女不是说中国男人配不上中国女人吗？男人只好找外国女人了，合情合理,为什么不找外星优质男人呢，人家有太空战舰呢,substring_mismatch,inapplicable,user_discussion,ai_note,user_participated
hit:1160:demo:6852:lex-0069:sense:01:25:27,1160,demo,6852,国女,25,27,“中国女性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；具体语气取决于上下文，不预设使用者一定是男性。,小仙女不是说中国男人配不上中国女人吗？男人只好找外国女人了，合情合理,为什么不找外星优质男人呢，人家有太空战舰呢,substring_mismatch,inapplicable,user_discussion,ai_note,user_participated
hit:1160:demo:6114:lex-0069:sense:01:13:15,1160,demo,6114,国女,13,15,“中国女性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；具体语气取决于上下文，不预设使用者一定是男性。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:2682:lex-0069:sense:01:20:22,1160,demo,2682,国女,20,22,“中国女性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；具体语气取决于上下文，不预设使用者一定是男性。,男的比女的多几千万呢！这些光棍当然要找外国女人，找中国的没有了啊。这叫双标吗？,为什么不找外星优质男人呢，人家有太空战舰呢,substring_mismatch,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:7464:lex-0112:sense:01:0:2,1160,demo,7464,基佬,0,2,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:7464:lex-0112:sense:01:24:26,1160,demo,7464,基佬,24,26,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:6114:lex-0185:sense:01:29:31,1160,demo,6114,eg,29,31,'eg'是'easy girl'的缩写，在中国常用于描述容易或主动与外国人发生性关系的女生。,你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南🐵，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:1509:lex-0185:sense:01:0:2,1160,demo,1509,EG,0,2,'eg'是'easy girl'的缩写，在中国常用于描述容易或主动与外国人发生性关系的女生。,EG都不是找那种老g吗。优秀的别人看不上,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:1509:lex-0438:sense:01:8:10,1160,demo,1509,老g,8,10,通常指的是'老家伙'或'老古董'，用于形容某人或某事物过时或老旧，常用于调侃或讽刺。,EG都不是找那种老g吗。优秀的别人看不上,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:1160:demo:7959:lex-0455:sense:01:5:8,1160,demo,7959,接盘侠,5,8,形容男人愿意接受女人复杂的情史、堕胎等行为，并愿意娶她为妻。,一位优秀的接盘侠👍👍,为什么不找外星优质男人呢，人家有太空战舰呢,uncertain,inapplicable,user_discussion,ai_note,user_participated
hit:1160:demo:2682:lex-0731:sense:01:35:37,1160,demo,2682,双标,35,37,对同一性质的事件或人，因主观偏好、利益等因素采用不同评判标准的行为‌。,男的比女的多几千万呢！这些光棍当然要找外国女人，找中国的没有了啊。这叫双标吗？,为什么不找外星优质男人呢，人家有太空战舰呢,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
