suite	context	method	method_label	n_queries	n_no	n_yes	mean_no	mean_yes	balanced_gain	query_mean	median_gain	min_gain	max_gain	n_positive	n_negative	n_exact_zero	n_unresolved	rate_positive	rate_negative	rate_exact_zero	rate_unresolved	n_repairs	n_damage	n_kept_correct	n_still_wrong	n_unresolved_transitions	baseline_correct	baseline_wrong	method_correct	raw_method_correct	repair_rate	damage_rate
mixed	MPS	P	无参考前置 P	6	4	2	0.127048969268798828125	-0.0060825347900390625	0.0604832172393798828125	0.0826718012491861979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.04940891265869140625	-0.042217254638671875	0.231674194335937500	5	1	0	0	0.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	5	1	0	5	1	5	5	0	0
mixed	MPS	plus7	固定 +7	6	4	2	7.000000000000000000	-7.000000000000000000	0E-18	2.33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	7.000000000000000000	-7.000000000000000000	7.000000000000000000	4	2	0	0	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	1	0	5	0	0	5	1	6	6	1	0
mixed	MPS	CAD05	CAD α=0.5	6	4	2	4.492293834686279296875	-1.40149021148681640625	1.5454018115997314453125	2.52769915262858072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.79437160491943359375	-1.8862152099609375000	8.2569866180419921875	3	3	0	0	0.5	0.5	0	0	1	0	5	0	0	5	1	6	6	1	0
mixed	MSP	N	有参考原生 N	6	4	2	0E-19	0E-18	0E-19	0E-19	0E-18	0E-19	-0E-18	0	0	6	0	0	0	1	0	0	0	5	1	0	5	1	5	5	0	0
mixed	MSP	no_reference	整体去参考	6	4	2	-7.74599742889404296875	3.943435668945312500	-1.901280879974365234375	-3.8495197296142578125	0.4508247375488281250	-17.032997131347656250	4.022598266601562500	3	3	0	0	0.5	0.5	0	0	0	1	4	1	0	5	1	4	4	0	0.2
mixed	MSP	U	无参考局部 U	6	4	2	1.78003978729248046875	-0.216434478759765625	0.781802654266357421875	1.11454836527506510416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.6287784576416015625	-0.460182189941406250	3.950542449951171875	5	1	0	0	0.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	5	1	0	5	1	5	5	0	0
mixed	MSP	P	无参考前置 P	6	4	2	0.107976436614990234375	-0.0248813629150390625	0.0415475368499755859375	0.0636905034383138020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.0784015655517578125	-0.122383117675781250	0.1636371612548828125	5	1	0	0	0.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	5	1	0	5	1	5	5	0	0
mixed	MSP	plus7	固定 +7	6	4	2	7.0000000000000000000	-7.000000000000000000	0E-19	2.33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	7.0000000000000000000	-7.000000000000000000	7.000000000000000000	4	2	0	0	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	1	0	5	0	0	5	1	6	6	1	0
mixed	MSP	CAD05	CAD α=0.5	6	4	2	3.872998714447021484375	-1.9717178344726562500	0.9506404399871826171875	1.92475986480712890625	-0.22541236877441406250	-2.0112991333007812500	8.5164985656738281250	3	3	0	0	0.5	0.5	0	0	1	0	5	0	0	5	1	6	6	1	0
demo-input	M00	M00	无示例 M00	6	4	2	0E-18	0E-18	0E-18	0E-18	0E-18	0E-18	-0E-18	0	0	6	0	0	0	1	0	0	0	4	2	0	4	2	4	4	0	0
demo-input	M00	MP	宠物示例 MP	6	4	2	2.183610439300537109375	0.1638164520263671875	1.1737134456634521484375	1.51034577687581380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	2.1479206085205078125	-1.292030334472656250	3.372623443603515625	4	2	0	0	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	0	0	4	2	0	4	2	4	4	0	0
demo-input	M00	MS	辱称示例 MS	6	4	2	3.7993774414062500000	-3.4039363861083984375	0.19772052764892578125	1.39827283223470052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-1.79300403594970703125	-6.1660213470458984375	11.424968719482421875	2	4	0	0	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	4	2	0	4	2	4	4	0	0
demo-input	M00	MPS	混合示例 MPS	6	4	2	8.98458766937255859375	-2.8029804229736328125	3.090803623199462890625	5.05539830525716145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	1.5887432098388671875	-3.772430419921875000	16.513973236083984375	3	3	0	0	0.5	0.5	0	0	1	0	4	1	0	4	2	5	5	0.5	0
demo-input	M00	MSP	混合示例 MSP	6	4	2	7.74599742889404296875	-3.943435668945312500	1.901280879974365234375	3.8495197296142578125	-0.4508247375488281250	-4.022598266601562500	17.032997131347656250	3	3	0	0	0.5	0.5	0	0	1	0	4	1	0	4	2	5	5	0.5	0
