record_id,protocol_id,query_id,task,condition,score_mode,prediction,prediction_ordinal,original_reference,reviewed_reference,original_correct,reviewed_correct,original_margin,reviewed_margin,fixed_foil,fixed_foil_margin,hate_direction,label_margins,top_gap,tied_top_count,prompt_tokens,prompt_sha256,baseline_replay,non_hate_margin
EPL-541-hate-v1:P0-D1,EMF-541-hate-v1,541,hate,P0-D1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.01602376302083333,-0.01602376302083333,null,null,0.01602376302083333,"{""hate"":0.01602376302083333}",0.01602376302083333,1,930,d1d8b035ec6d27ae09ef9d059bbe1f984ec72423c08900ccaff746c69502ef3e,False,-0.01602376302083333
EPL-541-hate-v1:P0-D1,EMF-541-hate-v1,541,hate,P0-D1,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.4675140380859375,-0.4675140380859375,null,null,0.4675140380859375,"{""hate"":0.4675140380859375}",0.4675140380859375,1,930,d1d8b035ec6d27ae09ef9d059bbe1f984ec72423c08900ccaff746c69502ef3e,False,-0.4675140380859375
EPL-541-hate-v1:P0-D1,EMF-541-hate-v1,541,hate,P0-D1,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.029494603474934905,-0.029494603474934905,null,null,0.029494603474934905,"{""hate"":0.029494603474934905}",0.029494603474934905,1,930,d1d8b035ec6d27ae09ef9d059bbe1f984ec72423c08900ccaff746c69502ef3e,False,-0.029494603474934905
EPL-3169-hate-v1:P0-D1,EMF-3169-hate-v1,3169,hate,P0-D1,answer_sum,hate,0,non-hate,non-hate,False,False,-3.211231231689453,-3.211231231689453,null,null,3.211231231689453,"{""hate"":3.211231231689453}",3.211231231689453,1,743,552c90a8ae1e25b4180b9bd707da60aac3e2bd5d081db516801da4a6e97c181e,False,-3.211231231689453
EPL-3169-hate-v1:P0-D1,EMF-3169-hate-v1,3169,hate,P0-D1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.6281394958496094,-0.6281394958496094,null,null,0.6281394958496094,"{""hate"":0.6281394958496094}",0.6281394958496094,1,743,552c90a8ae1e25b4180b9bd707da60aac3e2bd5d081db516801da4a6e97c181e,False,-0.6281394958496094
EPL-3169-hate-v1:P0-D1,EMF-3169-hate-v1,3169,hate,P0-D1,total_with_eos,hate,0,non-hate,non-hate,False,False,-3.211231231689453,-3.211231231689453,null,null,3.211231231689453,"{""hate"":3.211231231689453}",3.211231231689453,1,743,552c90a8ae1e25b4180b9bd707da60aac3e2bd5d081db516801da4a6e97c181e,False,-3.211231231689453
EPL-3169-hate-v1:P0-D1,EMF-3169-hate-v1,3169,hate,P0-D1,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.5263884862263998,-0.5263884862263998,null,null,0.5263884862263998,"{""hate"":0.5263884862263998}",0.5263884862263998,1,743,552c90a8ae1e25b4180b9bd707da60aac3e2bd5d081db516801da4a6e97c181e,False,-0.5263884862263998
EPL-541-hate-v1:P0-D2,EMF-541-hate-v1,541,hate,P0-D2,answer_sum,hate,0,non-hate,non-hate,False,False,-0.6498527526855469,-0.6498527526855469,null,null,0.6498527526855469,"{""hate"":0.6498527526855469}",0.6498527526855469,1,930,c074f5900e78e6b471ee5e35433577b1581a3e2d861f1e1b2353b4af8f492941,False,-0.6498527526855469
EPL-541-hate-v1:P0-D2,EMF-541-hate-v1,541,hate,P0-D2,answer_mean,hate,0,non-hate,non-hate,False,False,-0.06016769409179687,-0.06016769409179687,null,null,0.06016769409179687,"{""hate"":0.06016769409179687}",0.06016769409179687,1,930,c074f5900e78e6b471ee5e35433577b1581a3e2d861f1e1b2353b4af8f492941,False,-0.06016769409179687
EPL-541-hate-v1:P0-D2,EMF-541-hate-v1,541,hate,P0-D2,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.6498527526855469,-0.6498527526855469,null,null,0.6498527526855469,"{""hate"":0.6498527526855469}",0.6498527526855469,1,930,c074f5900e78e6b471ee5e35433577b1581a3e2d861f1e1b2353b4af8f492941,False,-0.6498527526855469
EPL-541-hate-v1:P0-D2,EMF-541-hate-v1,541,hate,P0-D2,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.0646820068359375,-0.0646820068359375,null,null,0.0646820068359375,"{""hate"":0.0646820068359375}",0.0646820068359375,1,930,c074f5900e78e6b471ee5e35433577b1581a3e2d861f1e1b2353b4af8f492941,False,-0.0646820068359375
EPL-3169-hate-v1:P0-D2,EMF-3169-hate-v1,3169,hate,P0-D2,answer_sum,hate,0,non-hate,non-hate,False,False,-3.3601341247558594,-3.3601341247558594,null,null,3.3601341247558594,"{""hate"":3.3601341247558594}",3.3601341247558594,1,743,88cb76b649406c03af01d6acbc21295f63821452622368afc690703e91275549,False,-3.3601341247558594
EPL-3169-hate-v1:P0-D2,EMF-3169-hate-v1,3169,hate,P0-D2,answer_mean,hate,0,non-hate,non-hate,False,False,-0.6600110371907553,-0.6600110371907553,null,null,0.6600110371907553,"{""hate"":0.6600110371907553}",0.6600110371907553,1,743,88cb76b649406c03af01d6acbc21295f63821452622368afc690703e91275549,False,-0.6600110371907553
EPL-3169-hate-v1:P0-D2,EMF-3169-hate-v1,3169,hate,P0-D2,total_with_eos,hate,0,non-hate,non-hate,False,False,-3.3601341247558594,-3.3601341247558594,null,null,3.3601341247558594,"{""hate"":3.3601341247558594}",3.3601341247558594,1,743,88cb76b649406c03af01d6acbc21295f63821452622368afc690703e91275549,False,-3.3601341247558594
EPL-3169-hate-v1:P0-D2,EMF-3169-hate-v1,3169,hate,P0-D2,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.5525124867757162,-0.5525124867757162,null,null,0.5525124867757162,"{""hate"":0.5525124867757162}",0.5525124867757162,1,743,88cb76b649406c03af01d6acbc21295f63821452622368afc690703e91275549,False,-0.5525124867757162
EPL-541-hate-v1:P1-A,EMF-541-hate-v1,541,hate,P1-A,answer_sum,hate,0,non-hate,non-hate,False,False,-0.7302894592285156,-0.7302894592285156,null,null,0.7302894592285156,"{""hate"":0.7302894592285156}",0.7302894592285156,1,930,7046ae86d90d5f0b8e23985e7d8c3c9d6e78d343159f3939aa370e9fbf0289fe,False,-0.7302894592285156
EPL-541-hate-v1:P1-A,EMF-541-hate-v1,541,hate,P1-A,answer_mean,hate,0,non-hate,non-hate,False,False,-0.08359298706054688,-0.08359298706054688,null,null,0.08359298706054688,"{""hate"":0.08359298706054688}",0.08359298706054688,1,930,7046ae86d90d5f0b8e23985e7d8c3c9d6e78d343159f3939aa370e9fbf0289fe,False,-0.08359298706054688
EPL-541-hate-v1:P1-A,EMF-541-hate-v1,541,hate,P1-A,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.7302894592285156,-0.7302894592285156,null,null,0.7302894592285156,"{""hate"":0.7302894592285156}",0.7302894592285156,1,930,7046ae86d90d5f0b8e23985e7d8c3c9d6e78d343159f3939aa370e9fbf0289fe,False,-0.7302894592285156
EPL-541-hate-v1:P1-A,EMF-541-hate-v1,541,hate,P1-A,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.08267434438069662,-0.08267434438069662,null,null,0.08267434438069662,"{""hate"":0.08267434438069662}",0.08267434438069662,1,930,7046ae86d90d5f0b8e23985e7d8c3c9d6e78d343159f3939aa370e9fbf0289fe,False,-0.08267434438069662
EPL-3169-hate-v1:P1-A,EMF-3169-hate-v1,3169,hate,P1-A,answer_sum,hate,0,non-hate,non-hate,False,False,-2.9413223266601562,-2.9413223266601562,null,null,2.9413223266601562,"{""hate"":2.9413223266601562}",2.9413223266601562,1,743,158e4e5f70905b50189d9fea6cbaf211b6715b0aba7770d95e83858b7b53f665,False,-2.9413223266601562
EPL-3169-hate-v1:P1-A,EMF-3169-hate-v1,3169,hate,P1-A,answer_mean,hate,0,non-hate,non-hate,False,False,-0.5787470499674479,-0.5787470499674479,null,null,0.5787470499674479,"{""hate"":0.5787470499674479}",0.5787470499674479,1,743,158e4e5f70905b50189d9fea6cbaf211b6715b0aba7770d95e83858b7b53f665,False,-0.5787470499674479
EPL-3169-hate-v1:P1-A,EMF-3169-hate-v1,3169,hate,P1-A,total_with_eos,hate,0,non-hate,non-hate,False,False,-2.9413223266601562,-2.9413223266601562,null,null,2.9413223266601562,"{""hate"":2.9413223266601562}",2.9413223266601562,1,743,158e4e5f70905b50189d9fea6cbaf211b6715b0aba7770d95e83858b7b53f665,False,-2.9413223266601562
EPL-3169-hate-v1:P1-A,EMF-3169-hate-v1,3169,hate,P1-A,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.4842720031738281,-0.4842720031738281,null,null,0.4842720031738281,"{""hate"":0.4842720031738281}",0.4842720031738281,1,743,158e4e5f70905b50189d9fea6cbaf211b6715b0aba7770d95e83858b7b53f665,False,-0.4842720031738281
EPL-541-hate-v1:P1-C1,EMF-541-hate-v1,541,hate,P1-C1,answer_sum,hate,0,non-hate,non-hate,False,False,-0.604644775390625,-0.604644775390625,null,null,0.604644775390625,"{""hate"":0.604644775390625}",0.604644775390625,1,930,1d4dd7d95e1928361074c13da20c7fc0a487b780a47d1130ac66238f1c32f626,False,-0.604644775390625
EPL-541-hate-v1:P1-C1,EMF-541-hate-v1,541,hate,P1-C1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.05166066487630208,-0.05166066487630208,null,null,0.05166066487630208,"{""hate"":0.05166066487630208}",0.05166066487630208,1,930,1d4dd7d95e1928361074c13da20c7fc0a487b780a47d1130ac66238f1c32f626,False,-0.05166066487630208
EPL-541-hate-v1:P1-C1,EMF-541-hate-v1,541,hate,P1-C1,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.604644775390625,-0.604644775390625,null,null,0.604644775390625,"{""hate"":0.604644775390625}",0.604644775390625,1,930,1d4dd7d95e1928361074c13da20c7fc0a487b780a47d1130ac66238f1c32f626,False,-0.604644775390625
EPL-541-hate-v1:P1-C1,EMF-541-hate-v1,541,hate,P1-C1,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.0574814478556315,-0.0574814478556315,null,null,0.0574814478556315,"{""hate"":0.0574814478556315}",0.0574814478556315,1,930,1d4dd7d95e1928361074c13da20c7fc0a487b780a47d1130ac66238f1c32f626,False,-0.0574814478556315
EPL-3169-hate-v1:P1-C1,EMF-3169-hate-v1,3169,hate,P1-C1,answer_sum,non-hate,1,non-hate,non-hate,True,True,0.4156990051269531,0.4156990051269531,null,null,-0.4156990051269531,"{""hate"":-0.4156990051269531}",0.4156990051269531,1,743,82d53fc35a20c71d245cf43c44d7a10ba81ea49a7165f8c40d2ed355690184ba,False,0.4156990051269531
EPL-3169-hate-v1:P1-C1,EMF-3169-hate-v1,3169,hate,P1-C1,answer_mean,non-hate,1,non-hate,non-hate,True,True,0.21218846638997393,0.21218846638997393,null,null,-0.21218846638997393,"{""hate"":-0.21218846638997393}",0.21218846638997393,1,743,82d53fc35a20c71d245cf43c44d7a10ba81ea49a7165f8c40d2ed355690184ba,False,0.21218846638997393
EPL-3169-hate-v1:P1-C1,EMF-3169-hate-v1,3169,hate,P1-C1,total_with_eos,non-hate,1,non-hate,non-hate,True,True,0.4156990051269531,0.4156990051269531,null,null,-0.4156990051269531,"{""hate"":-0.4156990051269531}",0.4156990051269531,1,743,82d53fc35a20c71d245cf43c44d7a10ba81ea49a7165f8c40d2ed355690184ba,False,0.4156990051269531
EPL-3169-hate-v1:P1-C1,EMF-3169-hate-v1,3169,hate,P1-C1,mean_with_eos,non-hate,1,non-hate,non-hate,True,True,0.14993858337402344,0.14993858337402344,null,null,-0.14993858337402344,"{""hate"":-0.14993858337402344}",0.14993858337402344,1,743,82d53fc35a20c71d245cf43c44d7a10ba81ea49a7165f8c40d2ed355690184ba,False,0.14993858337402344
EPL-541-hate-v1:P1-C2,EMF-541-hate-v1,541,hate,P1-C2,answer_sum,hate,0,non-hate,non-hate,False,False,-0.5008964538574219,-0.5008964538574219,null,null,0.5008964538574219,"{""hate"":0.5008964538574219}",0.5008964538574219,1,930,77e49c3e09d5d78980933f9e50dcf1d02478a36559f15d3efc8b30f2b80e2580,False,-0.5008964538574219
EPL-541-hate-v1:P1-C2,EMF-541-hate-v1,541,hate,P1-C2,answer_mean,hate,0,non-hate,non-hate,False,False,-0.024087270100911468,-0.024087270100911468,null,null,0.024087270100911468,"{""hate"":0.024087270100911468}",0.024087270100911468,1,930,77e49c3e09d5d78980933f9e50dcf1d02478a36559f15d3efc8b30f2b80e2580,False,-0.024087270100911468
EPL-541-hate-v1:P1-C2,EMF-541-hate-v1,541,hate,P1-C2,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.5008964538574219,-0.5008964538574219,null,null,0.5008964538574219,"{""hate"":0.5008964538574219}",0.5008964538574219,1,930,77e49c3e09d5d78980933f9e50dcf1d02478a36559f15d3efc8b30f2b80e2580,False,-0.5008964538574219
EPL-541-hate-v1:P1-C2,EMF-541-hate-v1,541,hate,P1-C2,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.03592522939046225,-0.03592522939046225,null,null,0.03592522939046225,"{""hate"":0.03592522939046225}",0.03592522939046225,1,930,77e49c3e09d5d78980933f9e50dcf1d02478a36559f15d3efc8b30f2b80e2580,False,-0.03592522939046225
EPL-3169-hate-v1:P1-C2,EMF-3169-hate-v1,3169,hate,P1-C2,answer_sum,non-hate,1,non-hate,non-hate,True,True,0.24366378784179688,0.24366378784179688,null,null,-0.24366378784179688,"{""hate"":-0.24366378784179688}",0.24366378784179688,1,743,300a4744e66dccf23234a63c94bbc18d274c0f4ca23b425188e97ee2a9a8b0fa,False,0.24366378784179688
EPL-3169-hate-v1:P1-C2,EMF-3169-hate-v1,3169,hate,P1-C2,answer_mean,non-hate,1,non-hate,non-hate,True,True,0.1643933614095052,0.1643933614095052,null,null,-0.1643933614095052,"{""hate"":-0.1643933614095052}",0.1643933614095052,1,743,300a4744e66dccf23234a63c94bbc18d274c0f4ca23b425188e97ee2a9a8b0fa,False,0.1643933614095052
EPL-3169-hate-v1:P1-C2,EMF-3169-hate-v1,3169,hate,P1-C2,total_with_eos,non-hate,1,non-hate,non-hate,True,True,0.24366378784179688,0.24366378784179688,null,null,-0.24366378784179688,"{""hate"":-0.24366378784179688}",0.24366378784179688,1,743,300a4744e66dccf23234a63c94bbc18d274c0f4ca23b425188e97ee2a9a8b0fa,False,0.24366378784179688
EPL-3169-hate-v1:P1-C2,EMF-3169-hate-v1,3169,hate,P1-C2,mean_with_eos,non-hate,1,non-hate,non-hate,True,True,0.1128985087076823,0.1128985087076823,null,null,-0.1128985087076823,"{""hate"":-0.1128985087076823}",0.1128985087076823,1,743,300a4744e66dccf23234a63c94bbc18d274c0f4ca23b425188e97ee2a9a8b0fa,False,0.1128985087076823
EPL-541-hate-v1:P1-D1,EMF-541-hate-v1,541,hate,P1-D1,answer_sum,hate,0,non-hate,non-hate,False,False,-0.5589447021484375,-0.5589447021484375,null,null,0.5589447021484375,"{""hate"":0.5589447021484375}",0.5589447021484375,1,930,72233fbbd76e580370e6d46ddda76e167cbfa067ca28dbfb2f3db5972735f8bb,False,-0.5589447021484375
EPL-541-hate-v1:P1-D1,EMF-541-hate-v1,541,hate,P1-D1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.04571431477864585,-0.04571431477864585,null,null,0.04571431477864585,"{""hate"":0.04571431477864585}",0.04571431477864585,1,930,72233fbbd76e580370e6d46ddda76e167cbfa067ca28dbfb2f3db5972735f8bb,False,-0.04571431477864585
