method,run,class,hard_precision,hard_recall,hard_f1,soft_precision,soft_recall,soft_f1,avg_f1,hard_tp,hard_fp,hard_fn,soft_tp,soft_fp,soft_fn
SRAG,general_prompt.json,LGBTQ,0.1702127659574468,0.183206106870229,0.1764705882352941,0.40425531914893614,0.4351145038167939,0.41911764705882354,0.2977941176470588,24.0,117.0,107.0,57.0,84.0,74.0
SRAG,general_prompt.json,Region,0.2528301886792453,0.22483221476510068,0.23801065719360567,0.4830188679245283,0.42953020134228187,0.45470692717584377,0.3463587921847247,67.0,198.0,231.0,128.0,137.0,170.0
SRAG,general_prompt.json,others,0.125,0.025210084033613446,0.04195804195804196,0.25,0.05042016806722689,0.08391608391608392,0.06293706293706294,3.0,21.0,116.0,6.0,18.0,113.0
SRAG,general_prompt.json,non-hate,0.2647058823529412,0.26277372262773724,0.2637362637362637,0.5088235294117647,0.5051094890510949,0.5069597069597069,0.3853479853479853,180.0,500.0,505.0,346.0,334.0,339.0
Ours,ours_prompt_al1280.json,Racism,0.2896174863387978,0.28342245989304815,0.2864864864864865,0.505464480874317,0.4946524064171123,0.5,0.3932432432432432,106.0,260.0,268.0,185.0,181.0,189.0
Ours,ours_prompt_al1280.json,Sexism,0.2670940170940171,0.25773195876288657,0.2623294858342078,0.4829059829059829,0.465979381443299,0.4742917103882477,0.36831059811122774,125.0,343.0,360.0,226.0,242.0,259.0
Ours,ours_prompt_al1280.json,LGBTQ,0.1888111888111888,0.20610687022900764,0.19708029197080293,0.38461538461538464,0.4198473282442748,0.40145985401459855,0.29927007299270075,27.0,116.0,104.0,55.0,88.0,76.0
Ours,ours_prompt_al1280.json,Region,0.22602739726027396,0.2214765100671141,0.223728813559322,0.4828767123287671,0.47315436241610737,0.4779661016949152,0.3508474576271186,66.0,226.0,232.0,141.0,151.0,157.0
Ours,ours_prompt_al1280.json,others,0.25,0.08403361344537816,0.12578616352201258,0.45,0.15126050420168066,0.22641509433962262,0.1761006289308176,10.0,30.0,109.0,18.0,22.0,101.0
Ours,ours_prompt_al1280.json,non-hate,0.2988338192419825,0.29927007299270075,0.2990517870167761,0.532069970845481,0.5328467153284672,0.5324580598103575,0.4157549234135668,205.0,481.0,480.0,365.0,321.0,320.0
