飞周兄弟 | 还不认亲？ | non_hate | non_hate [END]
男人 | 没有用 | Sexism | hate [SEP] 女人 | 自己除了子宫，还有什么用啊 | Sexism | hate [END]
txl | 真是ex烦人！！！ | Sexism | hate [END]
同性恋 | 希望同性恋能幸福 | non_hate | non_hate [END]
大连人 | 不要找北边的人 | Region | hate [END]
知乎官方 | 偏向女拳立场 | Sexism | hate [END]
南方人 | 就低人一等了？ | non_hate | non_hate [END]
非洲 | 疟疾，霍乱和黄热！都多少死在非洲的冤魂回不去家，你居然想去拯救🤣 | Region | hate [END]
你 | 果然是想沦为生育工具吧？ | Sexism | hate [END]
这贴 | 看的我鸡皮疙瘩起来了 | non_hate | non_hate [END]
贵州人 | 说东北贫 | Region | hate [END]
你 | 说得对 | non_hate | non_hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non_hate | non_hate [END]
河南人 | 我也讨厌…… | Region | hate [END]
母🐶 | 没了男的也买不起车啊 | Sexism | hate [SEP] 男的 | 没有地方卖啊 | Sexism | hate [END]
女服务员 | 冲着电话大骂 | Sexism | hate [END]
黑 | 太是丑 | Racism | hate [END]
龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
那些精英 | 巴不得绑架全世界 | non_hate | non_hate [END]
普信男 | 干这些乐色还不是分分钟？ | Sexism | hate [END]
女拳 | 拿啥跟她们比？ | Sexism | hate [END]
东北人 | 青岛的口碑已经差到不行了 | Region | hate [END]
小狒狒 | 也不例外 | non_hate | non_hate [END]
国女生的黑人孩子 | 一样不会同情 | Racism | hate [END]
她 | 得艾滋了你别去碰她不就好了 | Sexism, Racism | hate [SEP] 她 | 可以嫁给男艾滋病人嘛 | Sexism | hate [END]
黑人外教 | 在孩子心理上灌输了什么思想，崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 说方言被骂有优越感的表示不想说话🙂 | Region | hate [END]
男人 | 在两性舆论阵地上一再失守 | Sexism | hate [SEP] 女人 | 已经实现了东食西宿 | Sexism | hate [SEP] 男人 | 只会被要求更多以前只要物质，现在还要提供情绪价值和长相好 | Sexism | hate [END]
山东人 | 反串啥啊😓 | Region | hate [END]
非洲 | 已经不相信非洲的任何统计数字 | Region | hate [END]
小红书 | 这三个字儿 | non_hate | non_hate [END]
找黑人处对象的鸟毛 | 不给 | Racism | hate [END]
你们 | 接盘的 | non_hate | non_hate [END]
女权 | 发展到极端受害者只会是女性 | Sexism | hate [END]
江苏人 | 优越感那么强 | non_hate | non_hate [END]
外国语 | 要小心 | non_hate | non_hate [END]
我 | 最讨厌两种人 | non_hate | non_hate [SEP] 种族歧视的人 | 最讨厌 | non_hate | non_hate [SEP] 黑人 | 🥺🥺🥺 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non_hate | non_hate [END]
极端仇男癌成员 | 希望家人们留意！ | Sexism | hate [END]
植物 | 植命贵 | non_hate | non_hate [END]
这种死飞柱 | 滚去正宗大飞柱吧 | Sexism | hate [END]
知乎这话题底下 | 大部分都是和男生抬杠的 | Sexism | hate [END]
你 | 说得挺好的 | non_hate | non_hate [END]
b站女拳 | 集中营 | Sexism | hate [END]
黑东北的 | 地域黑是不想祖国960万平方公里完整是吧😓 | Region | hate [END]
我女儿 | 找个黑人怎么办?就当没生过喽 | Racism | hate [END]
好友 | 犯罪后被枪毙，尸体被卖给了医学院 | non_hate | non_hate [END]
它 | 遵纪守法也就罢了 | non_hate | non_hate [END]
蛆佬 | 感染hiv后更高 | Racism | hate [END]
黑人 | 宣传黑人的节目 | Racism | hate [END]
倪哥 | 能不能死? | non_hate | non_hate [END]
你 | 带着你的家人移民非洲吧！还有圣母的爱…… | Region | hate [END]
河北 | 没存在感 | Region | hate [END]
这主播 | 有点实力啊！ | non_hate | non_hate [END]
湖北 | 网络上就是微博好多人骂枪打九头鸟什么的 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non_hate | non_hate [END]
女权师 | 疯狂成这个样子她们要刀谁？ | Sexism | hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism | hate [END]
它 | 搁楼道里养很难有? | non_hate | non_hate [END]
他们 | 尊重这些群体 | LGBTQ | hate [END]
女性 | 出轨率已打80% | Sexism | hate [END]
外国人 | 我肯定接受不了😆 | non_hate | non_hate [END]
b站 | 下一个豆瓣 | non_hate | non_hate [END]
西安 | 开除国籍 | Region | hate [END]
江西人 | 是为了黑而生😅 | Region | hate [END]
本吧吧宠 | 真的能够带给我们无限乐趣 | non_hate | non_hate [SEP] 跪虫族 | 这种水平 | non_hate | non_hate [END]
黑额们 | 西安似吧？ | Region | hate [SEP] 乡党们 | 给你个瓜怂家房子都偷走 | Others | hate [END]
回族 | 没有吃肥肉的回民 | non_hate | non_hate [END]
四川 | 出于最优越的位置 | Region | hate [END]
我国 | 能借鉴韩国 | non_hate | non_hate [END]
东北人 | 被黑的很惨 | Region | hate [END]
那些无辜遭殃的人 | 自作自受的就算了 | non_hate | non_hate [END]
她们 | 倒贴嫁出去 | Sexism | hate [END]
学校和黑狗 | 都不是好东西 | Racism | hate [END]
好兄弟 | 别急呀 | non_hate | non_hate [END]
黑人喃 | 心理生理双重奴役黑人喃 | Racism | hate [END]
东北人 | 表示赞同?? | non_hate | non_hate [END]
浙南 | 不想被代表 | non_hate | non_hate [END]
媚黑 | 排黑目光的产物 | Sexism | hate [END]
她们 | 线上拉客 | Sexism | hate [SEP] 男人 | 还得线下赴约 | Sexism | hate [END]
你 | 自我意识过剩 | non_hate | non_hate [END]
三从四德 | 糟粕 | Sexism | hate [END]
黑河南 | 很多 | Region | hate [END]
老婆 | 不把老婆裱起来供着就算家暴 | Sexism | hate [END]
男同学 | 情情爱爱的玩笑 | Sexism | hate [END]
媚黑女 | 倒贴 | Sexism | hate [END]
中国 | 不存在种族歧视 | non_hate | non_hate [END]
四川人 | 感觉受到的歧视也不少 | Region | hate [END]
这种地方 | 被外来打工的吐槽 | Region | hate [END]
半斤八两 | 哪个重？ | non_hate | non_hate [END]
女生 | 跑大城市的才多把 | Sexism | hate [SEP] 女生 | 靠比入住就行了 | Sexism | hate [END]
肥猪幕刃 | 怎么从屠宰场跑出来了 | Racism | hate [END]
这些渣滓 | 到哪里都是渣滓 | non_hate | non_hate [END]
吉林同事 | 吉林同事骂她男朋友“辽宁杆子” | Region | hate [END]
孙笑川 | 女生只会报警 | Racism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | non_hate | non_hate [END]
山东河南 | 主要的征兵地 | non_hate | non_hate [END]
反同 | 迫在眉睫 | LGBTQ | hate [END]
这些人 | 不替自己的未来考虑，不去努力改变纠正自己以适应求生存 | non_hate | non_hate [END]
南方人 | 互黑 | Region | hate [SEP] 东北人 | 共黑 | Region | hate [END]
系统 | 也会删 | non_hate | non_hate [END]
黑人 | 犯罪率就较高 | Racism | hate [END]
妇女报 | 是妇联名下的么？ | non_hate | non_hate [END]
你们 | 实在叠buff吗🤣 | non_hate | non_hate [END]
nq | 自己觉得不能共情任何男性很棒 | Sexism | hate [END]
他们 | 生理上的排斥 | Sexism | hate [END]
华东理工大学 | 倡导：华东理工大学毕业的人不要交往，不要说话，不要做生意 | Region | hate [END]
你 | 信口开河 | non_hate | non_hate [END]
男的 | 可以坦白自己的pc史 | non_hate | non_hate [END]
我父母 | 靠谱点 | non_hate | non_hate [END]
男同 | 杀同性恋 | LGBTQ | hate [END]
螻蛆 | 少管女人的閒事好嘛 | Sexism | hate [END]
古代封建地主和官~员 | 嘴脸，比外国人还要丑陋 | Region | hate [END]
宁的国人同胞 | 在非洲下了多少蛋 | Region | hate [END]
哥们 | 勇敢反击被挂 | non_hate | non_hate [END]
一部分群体 | 唯恐天下不乱 | non_hate | non_hate [END]
牲口 | 都是这样的，做不了人事 | Sexism | hate [END]
苏北人 | 对江西的态度跟仇敌一样 | Region | hate [END]
国家宣传口 | 风向都是在推进和黑人同婚 | LGBTQ | hate [END]
女权 | 不婚不育的女权出来吱一声？ | Sexism | hate [END]
她 | 所有周围的人预防某传染病 | non_hate | non_hate [END]
百度 | 想基佬越来越少 | LGBTQ | hate [END]
梅 | 湿不了 | Sexism | hate [END]
女生 | 高级有特权 | Sexism | hate [END]
奴隶姐 | 又来啦？ | Sexism | hate [END]
蝴蝶鸡 | 死的好 | non_hate | non_hate [END]
尼古拉斯凯奇和郭富城 | 这样才比较好证明 | non_hate | non_hate [END]
撑同 | 肮脏淫秽 | LGBTQ | hate [END]
你家 | 嫁内个 | Sexism | hate [END]
她们 | 把黑黄后代留在中国 | Racism | hate [END]
反变态 | 反变态，天经地义顺意民心反变态吧就是为了反变态的 | non_hate | non_hate [END]
老实人 | 不要冤枉老实人 | non_hate | non_hate [END]
你 | 在劳教所里就别祸害别人了 | non_hate | non_hate [END]
俩男的 | 当街打架扇嘴巴，当街舔 | Sexism | hate [END]
结婚 | 纯累赘 | non_hate | non_hate [END]
那群你认为的贵物 | 和你没区别 | non_hate | non_hate [END]
你 | 比我高级五个阶级 | Region | hate [END]
美国嘿人 | 马丁路德金嫖娼考第一 | Racism | hate [END]
这种小傻瓜 | 我能有什么看法？当然是喜欢这种小傻瓜啦 | Sexism | hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我 | 向在座各位保证，我个人从来没有过 | non_hate | non_hate [END]
地域黑 | 主要是前汪伪区前国统区的 | Region | hate [END]
毛爷爷 | 所说的，第三世界的国家才是我们的兄弟 | non_hate | non_hate [END]
江苏人 | 不是苏北就是苏南 | Region | hate [END]
这种女人 | 挺不能理解 | Sexism | hate [END]
男人 | 只会和男拳战斗 | Sexism | hate [END]
一元购 | 这帮东西的天性 | non_hate | non_hate [END]
同 | 支持同性也是不对的 | LGBTQ | hate [END]
女拳组织 | 解放了男性 | Sexism | hate [END]
河南同学 | 比他高了一百分🤣🤣🤣心理不平衡 | Region | hate [END]
她 | 别嫁给我们中国男人🐶 | Sexism, Racism | hate [END]
社交软件 | 太多了 | non_hate | non_hate [END]
他 | 封号 | non_hate | non_hate [END]
男权 | 成不了气候 | Sexism | hate [SEP] 男理中客舔狗龟男 | 一抓一大把 | Sexism | hate [END]
男人 | 崇拜女人 | Sexism | hate [SEP] 女人 | 鄙视男人 | Sexism | hate [SEP] 女人 | 反而崇拜男人 | Sexism | hate [END]
东北人 | 你这样跟关里那帮有啥区别 | Region | hate [END]
同 | 恶心正常人 | LGBTQ | hate [END]
豆瓣小红书 | 看不到？ | non_hate | non_hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物 | Sexism | hate [END]
他 | 中华民族的罪人 | Racism | hate [END]
她 | 开盒 | Sexism | hate [END]
背叛自己民族人 | 还少吗 | non_hate | non_hate [END]
None | 最好都走 | non_hate | non_hate [END]
东北上海河南 | 真不叫黑 | Region | hate [END]
东北人 | 会舔北京 | Region | hate [END]
直男 | 反不反同这个好像也确实是天生的 | Sexism | hate [END]
大众 | 缺乏个人实现的途径 | non_hate | non_hate [END]
你 | 要被打成上海人 | Region | hate [END]
北京天津 | 南方要饭的 | Region | hate [END]
黑人 | 聪明的人的比例太少了 | Racism | hate [END]
广西 | 没那么重要 | non_hate | non_hate [END]
反同战士 | 正迫切地需要着反同战士的登场 | LGBTQ | hate [END]
女的 | 接受度更高 | non_hate | non_hate [END]
知乎 | 三观很正 | non_hate | non_hate [END]
我 | 高贵的中国人 | non_hate | non_hate [END]
某省 | 我们辽宁人不应该替某省背黑锅 | Region | hate [END]
她 | 没说错 | non_hate | non_hate [END]
流量老贼 | 老贼 | Sexism | hate [END]
女权 | 它们也只会喷了 | Sexism | hate [END]
那群龟男 | 来舔 | Sexism | hate [END]
被拐卖的 | 很感动🤣 | non_hate | non_hate [END]
人类 | 进化就是靠杂种推进的 | non_hate | non_hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non_hate | non_hate [END]
默 | 非我中华民族必为异类 | Region | hate [END]
东北人 | 骂人最狠 | Region | hate [END]
曲阜和孔子 | 这不是好事吗🤣 | non_hate | non_hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智商70 | Racism | hate [SEP] 美国黑人混血儿 | 智商85 | Racism | hate [SEP] 中非混血儿 | 智商应该徘徊在90左右 | Racism | hate [END]
这里的人 | 性别是女就是错误 | Sexism | hate [END]
直男 | 更胜一筹 | non_hate | non_hate [END]
你们同性恋 | 反同存在即合理 | LGBTQ | hate [END]
女方 | 嫌办的寒颤女方咋不出钱办的好点捏? | Sexism | hate [END]
女拳 | 仇女一定不能让女拳消失，甚至会反向壮大女拳 | Sexism | hate [END]
我 | 纯洁可爱 | non_hate | non_hate [END]
这b | 确实不是好人 | non_hate | non_hate [END]
黑河南、黑北方的 | 南满 | Region | hate [END]
黑奴 | 都是要骟了的 | Racism | hate [END]
女拳 | 都喜欢冒充男的说话吗😆 | Sexism | hate [END]
男性 | 给男性丢人了 | Sexism | hate [END]
女拳 | 自私的逐利者 | Sexism | hate [END]
慕洋舔狗 | 站起来 | Sexism | hate [END]
None | 今时不同往日 | non_hate | non_hate [END]
国内女⭕️ | 群嘲国男 | Sexism | hate [END]
有人 | 管挺好的 | non_hate | non_hate [END]
茶壶嘴 | 破防了 | non_hate | non_hate [END]
你 | 举报要有用才怪了 | non_hate | non_hate [END]
带孩子的女的 | 不叫女孩，就叫女的 | Sexism | hate [END]
贵州 | 没话讲 | Region | hate [END]
留学生 | 却不舍得给国内的更好点待遇 | non_hate | non_hate [END]
其他大多数省 | 给我国拖后腿 | Region | hate [END]
互喷 | 最好的抵制方法吗😆 | non_hate | non_hate [END]
