飞周兄弟 | 还不认亲？ | Racism | hate [END]
南方人 | 揍黑人白人也很多 | Region, Racism | hate [END]
十个九个 | 骗子，要么就是有夫之妇 | Sexism, Racism | hate [END]
你 | 想沦为生育工具 | Sexism | hate [END]
这贴 | 看的我鸡皮疙瘩起来了 | non_hate | non_hate [END]
贵州人 | 说东北贫 | Region | hate [END]
你 | 说得对 | non_hate | non_hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non_hate | non_hate [END]
河南人 | 有些人 | Region | hate [END]
母🐶 | 没了男的也买不起车啊 | Sexism | hate [SEP] 男的 | 有个批没了男的也没地方卖啊 | Sexism | hate [END]
女服务员 | 大骂 | Sexism | hate [END]
黑 | 太丑 | Racism | hate [END]
龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
精英 | 绑架全世界 | Others | hate [END]
普信男 | 就出来了幕刃 | Sexism | hate [END]
国内的女拳 | 拿啥跟她们比？ | Sexism | hate [END]
东北人 | 在青岛的口碑已经差到不行了 | Region | hate [END]
小狒狒 | 喜欢缠着人类 | Racism | hate [END]
国女生的黑人孩子 | 从来不会同情 | Racism | hate [END]
她 | 你别去碰她 | Others | hate [SEP] 非洲 | 总好过去非洲送死吧 | Region | hate [SEP] 中国同胞 | 便宜非洲佬 | Region | hate [END]
黑人 | 崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 说方言被骂有优越感的表示不想说话🙂 | Region | hate [END]
女人 | 已经实现了东食西宿 | Sexism | hate [END]
你 | 山东人 | non_hate | non_hate [END]
非洲 | 不相信非洲的任何统计数字 | Region | hate [END]
小红书 | 看到小红书这三个字儿 | non_hate | non_hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Racism | hate [END]
你们 | 接盘 | Sexism | hate [END]
女权 | 发展到极端受害者只会是女性 | Sexism | hate [END]
江苏人 | 优越感那么强 | Region | hate [END]
外国语 | 要小心 | non_hate | non_hate [END]
黑人 | 最讨厌 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non_hate | non_hate [END]
极端仇男癌成员 | 希望家人们留意！ | Sexism | hate [END]
素食主义者 | 全部变成绝食主义者 | non_hate | non_hate [END]
这种死飞柱 | 滚去正宗大飞柱吧 | Sexism | hate [END]
知乎这话题 | 底下大部分都是和男生抬杠的，装理中客的 | Sexism | hate [END]
你 | 说得挺好的 | non_hate | non_hate [END]
b站 | 女拳集中营 | Sexism | hate [END]
东北 | 黑东北的往往想不到他这一黑 就是3个省再加上黑河南、新疆、潮汕好家伙 | Region | hate [END]
黑人 | 就当没生过喽 | Racism | hate [END]
好友 | 犯罪后被枪毙，尸体被卖给了医学院 | non_hate | non_hate [END]
它 | 算蹲进去我也得给他弄个半身不遂 | non_hate | non_hate [END]
蝈佬 | 感染hiv后更高 | LGBTQ, Others | hate [END]
黑人 | 每天都有宣传黑人的节目 | Racism | hate [END]
倪哥 | 不能死 | non_hate | non_hate [END]
你 | 带着你的家人移民非洲吧！还有圣母的爱…… | Racism | hate [END]
河北 | 没存在感 | Region | hate [END]
这主播 | 有点实力 | non_hate | non_hate [END]
湖北 | 黑称 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non_hate | non_hate [END]
女权师 | 疯狂成这个样子她们要刀谁？ | Sexism | hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism, Racism | hate [SEP] 女性 | 奔着感情去的 | Sexism | hate [END]
它 | 搁楼道里养很难有 | non_hate | non_hate [END]
他们 | 尊重这些群体 | non_hate | non_hate [END]
女性 | 出轨率已打80% | Sexism | hate [END]
外国人 | 我肯定接受不了😆 | Racism | hate [END]
b站 | 下一个豆瓣 | non_hate | non_hate [SEP] A站 | 要火 | non_hate | non_hate [END]
西安 | 恨不得把西安开除国籍的 | Region | hate [END]
江西人 | 为了黑而生😅 | Region | hate [END]
跪虫族 | 这种水平 | Racism | hate [END]
你 | 瓜怂家房子都偷走 | Region | hate [END]
回族 | 都信教吗？ | non_hate | non_hate [END]
四川 | 出于最优越的位置 | non_hate | non_hate [END]
我国 | 能借鉴韩国 | non_hate | non_hate [END]
东北人 | 被黑的很惨 | Region | hate [END]
无辜遭殃的人 | 自作自受的就算了 | Others | hate [END]
她们 | 倒贴嫁出去 | Sexism | hate [END]
学校和黑狗 | 不是好东西 | Racism | hate [END]
好兄弟 | 别急呀 | non_hate | non_hate [END]
黑人 | 心理生理双重奴役黑人喃 | Racism | hate [END]
东北人 | 表示赞同 | non_hate | non_hate [END]
浙南 | 不想被代表 | non_hate | non_hate [END]
媚黑 | 排黑目光的产物 | Sexism, Racism | hate [END]
她们 | 开始线上拉客了 | Sexism | hate [END]
你 | hui气 | Racism | hate [END]
三从四德 | 糟粕 | Sexism | hate [END]
黑河南的 | 很多 | Region | hate [END]
老婆 | 裱起来供着 | Sexism | hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
媚黑女 | 倒贴 | Sexism, Racism | hate [END]
黑种人 | 在中国的原住民中没有黑种人 | Racism | hate [END]
四川人 | 感觉受到的歧视也不少 | Region | hate [END]
这种地方 | 要么就是发达的城市，被外来打工的吐槽 | Region | hate [SEP] 这种地方 | 要么就是不太发达的好多都出去打工可能素质不太高 | Region | hate [END]
None | 半斤八两哪个重？ | non_hate | non_hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
这肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓 | 到哪里都是渣滓 | non_hate | non_hate [END]
吉林同事 | 骂她男朋友“辽宁杆子” | Region | hate [END]
孙笑川 | 女生只会报警 | Sexism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | non_hate | non_hate [END]
山东河南 | 主要的征兵地 | non_hate | non_hate [END]
同 | 反同迫在眉睫 | LGBTQ | hate [END]
这些人 | 奇葩的一类心理障碍群体 | LGBTQ | hate [END]
南方人 | 互黑 | Region | hate [SEP] 东北人 | 共黑 | Region | hate [END]
None | 不需要注意 | non_hate | non_hate [END]
黑人 | 本来犯罪率就较高 | Racism | hate [END]
妇女报 | 是妇联名下的么？ | non_hate | non_hate [END]
你们 | 叠buff吗🤣 | non_hate | non_hate [END]
nq | 自己不能共情任何男性很棒 | Sexism | hate [END]
他们 | 生理上的排斥 | LGBTQ | hate [END]
华东理工大学 | 毕业的人不要交往，不要说话，不要做生意 | Region | hate [SEP] 用人单位 | 不要聘请有华东理工大学背景的人 | Region | hate [SEP] 各位 | 尽量绕路走 | Region | hate [END]
你 | 信口开河 | non_hate | non_hate [END]
男的 | 坦白自己的pc史 | Sexism | hate [END]
我父母 | 找的还没这样 | non_hate | non_hate [END]
男同 | 专门杀同性恋的 | LGBTQ | hate [END]
螻蛆 | 少管女人的閒事好嘛 | Sexism | hate [END]
古代封建地主和官~员 | 比外国人还要丑陋 | Racism | hate [END]
宁 | 先看看宁的国人同胞在非洲下了多少蛋 | Region | hate [END]
哥们 | 勇敢反击被挂 | non_hate | non_hate [END]
一部分群体 | 有种害怕 | non_hate | non_hate [END]
牲口 | 都是这样的，做不了人事 | Racism | hate [END]
苏北人 | 在网上对江西的态度跟仇敌一样 | Region | hate [END]
国家宣传口 | 风向都是在推进和黑人同婚 | Racism | hate [END]
吧里不婚不育的女权 | 出来吱一声？ | Sexism | hate [END]
她 | 告诉她所有周围的人预防某传染病 | non_hate | non_hate [END]
基佬 | 染艾身亡就会越来越多 | LGBTQ, Others | hate [END]
梅 | 湿不了 | Sexism | hate [END]
女生 | 恶心 | Sexism | hate [END]
奴隶姐 | 你又来啦？ | Sexism | hate [END]
蝴蝶鸡 | 死的好 | non_hate | non_hate [END]
运动员 | 老得快 | non_hate | non_hate [END]
撑同 | 辣鸡臭味相投 | LGBTQ | hate [END]
你家 | 有嫁内个还是咋的？ | Sexism | hate [END]
她们 | 把黑黄后代留在中国 | Racism | hate [END]
None | 反变态 | LGBTQ | hate [END]
老实人 | 不要冤枉老实人 | non_hate | non_hate [END]
你 | 在劳教所里就别祸害别人了 | non_hate | non_hate [END]
俩男的 | 当街打架扇嘴巴，当街舔 | LGBTQ | hate [END]
结婚 | 纯累赘 | non_hate | non_hate [END]
这个吧里到处发帖的 | 引战的流量佬 | LGBTQ | hate [END]
你 | 比我高级五个阶级 | non_hate | non_hate [END]
美国嘿人 | 马丁路德金嫖娼考第一 | Racism | hate [END]
喜欢这种小傻瓜 | 嘴上说女权但对男性崇拜不已的人 | Sexism | hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我 | 从来没有过 | non_hate | non_hate [END]
前汪伪区前国统区的 | 和台湾亲着呢 | Region | hate [END]
第三世界的国家 | 我们的兄弟 | non_hate | non_hate [END]
东北 | 内部就算有也没达到江苏的水平 | Region | hate [END]
这种女人 | 挺不能理解 | Sexism | hate [END]
男拳 | 只会和男拳战斗 | Sexism | hate [END]
这帮东西 | 一元购真是这帮东西的天性 | non_hate | non_hate [END]
同性恋 | 政治正确的是从来不谈它，当它不存在 | LGBTQ | hate [END]
女拳组织 | 解放了男性 | Sexism | hate [END]
河南同学 | 比他高了一百分🤣🤣🤣心理不平衡 | non_hate | non_hate [END]
她 | 只要她别嫁给我们中国男人 | Sexism, Racism | hate [END]
社交软件 | 这种太多了 | non_hate | non_hate [END]
他 | 让他封号 | non_hate | non_hate [END]
男权 | 成不了气候 | Sexism | hate [SEP] 女权 | 把舔狗龟男打的退无可退 | Sexism | hate [END]
女人 | 鄙视男人 | Sexism | hate [SEP] 女人 | 崇拜男人 | Sexism | hate [END]
东北人 | 你这样跟关里那帮有啥区别 | Region | hate [END]
同 | 恶心正常人 | LGBTQ | hate [END]
微博 | 社会影响力也是这六个软件中最大的，无与伦比 | non_hate | non_hate [END]
女性 | 感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物不是很正常 | non_hate | non_hate [SEP] 男的 | 一出生就要知道那些高端口红吗 | non_hate | non_hate [END]
他 | 中华民族的罪人 | Others | hate [END]
她 | 开盒 | Sexism | hate [END]
背叛自己民族人 | 还少吗？ | Racism | hate [SEP] 各种精神包衣 | 不站在自己民族立场说话，反而打着公平的旗帜替外族说话 | Racism | hate [END]
None | 最好都走 | Racism | hate [END]
东北上海河南 | 真不叫黑 | Region | hate [END]
东北人 | 舔北京 | Region | hate [SEP] 东北人 | 拉着整个北方对抗南方 | Region | hate [END]
同性恋 | 歧视 | LGBTQ | hate [END]
大众 | 缺乏个人实现的途径 | non_hate | non_hate [END]
你 | 马上要被打成上海人了 | Region | hate [END]
北京天津 | 那么多南方要饭的 | Region | hate [END]
黑人 | 聪明的人的比例太少了 | Racism | hate [END]
广西 | 没那么重要 | non_hate | non_hate [END]
同 | 反同战士的登场 | LGBTQ | hate [END]
女的 | 接受度更高 | non_hate | non_hate [END]
知乎 | 三观很正 | non_hate | non_hate [END]
我 | 高贵的中国人 | non_hate | non_hate [END]
我们辽宁人 | 不应该替某省背黑锅 | Region | hate [END]
她 | 没说错 | non_hate | non_hate [END]
流量 | 老贼 | non_hate | non_hate [END]
女权 | 只会喷 | Sexism | hate [END]
女人 | 骗那群龟男来舔 | Sexism | hate [END]
被拐卖的 | 很感动🤣 | non_hate | non_hate [END]
人类 | 进化就是靠杂种推进的 | Racism | hate [SEP] 你圈起来养的那些个观赏动物 | 才在意纯种 | Racism | hate [SEP] 血统论 | 目的是为了给种族歧视创造合法性 | Racism | hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non_hate | non_hate [END]
默 | 非我中华民族必为异类，畏威不畏德 | Racism | hate [END]
东北人 | 骂人最狠 | Region | hate [END]
曲阜和孔子 | 这不是好事吗🤣 | non_hate | non_hate [SEP] 后面那几个 | 都没听说过🤣 | non_hate | non_hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智障水平 | Racism | hate [SEP] 中非混血儿 | 班里倒数 | Racism | hate [END]
女 | 在这里性别是女就是错误 | Sexism | hate [END]
直男 | 更胜一筹 | non_hate | non_hate [END]
同性恋 | 不正常可以变成正常的异性恋 | LGBTQ | hate [END]
女方 | 嫌办的寒颤女方咋不出钱办的好点捏? | Sexism | hate [END]
女拳 | 平权放任出来的 | Sexism | hate [END]
我 | 纯洁可爱 | non_hate | non_hate [END]
这b | 不是好人 | non_hate | non_hate [END]
南满 | 黑河南、黑北方的 | Region | hate [END]
黑奴 | 对于公的黑奴，都是要骟了的 | Racism | hate [END]
女拳 | 冒充男的说话 | Sexism | hate [END]
男性 | 出轨不是个例 | non_hate | non_hate [END]
女拳 | 自私自利 | Sexism | hate [END]
慕洋舔狗 | 站起来 | Sexism | hate [END]
None | 今时不同往日 | non_hate | non_hate [END]
国内女⭕️ | 群嘲国男 | Sexism | hate [END]
透明人 | 没人管就变成透明人了 | non_hate | non_hate [END]
茶壶 | 心脏不好的都来我这接种预防针 | non_hate | non_hate [END]
你 | 举报要有用才怪了 | non_hate | non_hate [END]
带孩子的女的 | 不叫女孩，就叫女的 | Sexism | hate [END]
贵州 | 也没话讲 | non_hate | non_hate [END]
留学生 | 却不舍得给国内的更好点待遇 | Region | hate [END]
其他大多数省 | 给我国拖后腿的 | Region | hate [END]
互喷 | 最好的抵制方法 | non_hate | non_hate [END]
None | 这难道不是好事嘛 | non_hate | non_hate [END]
桑嗨仁 | 歧视外地人 | Region | hate [END]
t们 | 风况捏参考棒子锅 | Sexism | hate [END]
他们 | 东北人 | non_hate | non_hate [END]
我 | 也经常被喷 | non_hate | non_hate [END]
这个女的 | 和中国老公离婚了，带着孩子找了个印度同事 | non_hate | non_hate [END]
女孩子 | 不能急 | non_hate | non_hate [END]
