query_id,task,original_bucket,original_label,reviewed_label,original_mask,reviewed_mask,observed_behavior,proposed_roles,preparation_rank_proposed,proposal_note,strict_u_candidate_demo_ids,demo_answer_difference_ids,reference_analysis_eligible,proposal_human_adopted,input_control_eligible,pending_work
3169,hate,H_residual,non-hate,non-hate,1110,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",1,优先核查 lex-0419 共享义项与示例 3660 的定向对照；3660 的规则关联为部分，不能仅凭话题为无放入严格 U。,"[""6493"",""3519"",""3582"",""3585""]","[""7611"",""7640"",""6035""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3169,group,H_residual,[],[],1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]",1,比较 C0/D 与 S/SD 的目标类别变化；保留查询对 lex-0419 的共享来源。,"[""3602"",""5780"",""3585""]","[""6493"",""7611"",""7640"",""3519"",""3582"",""6035""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1160,hate,H_residual,hate,non-hate,0010,1101,仅 C0、S、SD 正确,"[""词典增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""6658"",""7959""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1160,group,H_residual,"[""Sexism""]",[],0000,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""7464""]","[""6852"",""6658"",""6114"",""1509"",""2298"",""2682"",""718"",""7959""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
3898,hate,H_residual,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""1466"",""5211"",""4652""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3898,group,H_residual,"[""Racism""]","[""Racism"",""Sexism""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""1466"",""2785"",""5211"",""3845"",""6525"",""6183"",""6624""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
61,hate,H_removal_harm,hate,hate,1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""5713"",""3517"",""5900"",""1294""]","[""996"",""7910""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
61,group,H_removal_harm,"[""Racism""]","[""Sexism""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,审核参考为 Sexism，四条件均错误；保留持续目标类别错误诊断，原稳定正确用途失效。,"[""5713"",""7253"",""3463"",""1294""]","[""1815"",""996"",""924"",""3517"",""7910"",""5900""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
5423,hate,H_removal_harm,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""4690""]",[],True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared""]"
5423,group,H_removal_harm,"[""Racism""]","[""Racism"",""others""]",0111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""1376"",""4690""]","[""5998"",""5690"",""771"",""2531""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7646,hate,H_removal_harm,non-hate,hate,1100,0011,仅 D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""1240"",""43""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7646,group,H_removal_harm,[],"[""others""]",1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""43""]","[""7161"",""5466"",""5666""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1292,hate,H_removal_harm,non-hate,non-hate,1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""465"",""1915"",""2759""]","[""5865"",""857"",""2351""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1292,group,H_removal_harm,[],"[""Racism""]",0000,1111,四个核心条件均正确,"[""稳定正确对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""465"",""857"",""2759""]","[""5865"",""6554"",""1915"",""2351""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7960,hate,G_category_support,non-hate,hate,1101,0010,仅 D 正确,"[""词典增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""5365"",""51""]","[""7852"",""7823"",""7641"",""6224""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7960,group,G_category_support,[],"[""others""]",1000,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""5365"",""7852"",""72"",""7823"",""7641"",""2750"",""6224"",""51""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7244,hate,G_category_support,hate,hate,0010,0010,仅 D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""6263"",""2054"",""2101""]","[""309"",""7232""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7244,group,G_category_support,"[""Region""]","[""Region""]",1001,1001,仅 C0、SD 正确,"[""词典增量对照候选"",""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""2054""]","[""7434"",""6263"",""179"",""309"",""4392"",""7232"",""2101""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
554,hate,G_category_support,non-hate,non-hate,1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""5535"",""796"",""1242""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
554,group,G_category_support,[],"[""Racism""]",0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""649"",""5535"",""796"",""5868"",""6553""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1746,hate,G_category_support,hate,hate,1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""1859"",""7927"",""7880"",""2840"",""1653""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1746,group,G_category_support,"[""Racism"",""Sexism""]","[""Racism"",""Sexism"",""others""]",0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""1653""]","[""867"",""2445"",""7927"",""7880"",""2840""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
2297,hate,H_joint_only,hate,hate,0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""5865"",""4352"",""3502"",""4272"",""7823""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
2297,group,H_joint_only,"[""Region""]","[""LGBTQ""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,审核后组合也不正确；保留目标类别与义项诊断，撤下组合成功的描述。,[],"[""5865"",""2800"",""4352"",""924"",""3502"",""5394"",""4272"",""7499"",""7823""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1900,hate,H_joint_only,hate,non-hate,0001,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选"",""参考切换敏感案例""]",null,原仅组合正确变为仅组合错误；重新确定效应方向，保留参考敏感案例属性。,"[""936"",""3749"",""3492"",""6083""]","[""3619"",""7694"",""191"",""5135""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1900,group,H_joint_only,"[""Region""]","[""Region""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""3749"",""6083""]","[""7694"",""191"",""2416"",""936"",""5135"",""3492""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4756,hate,H_joint_only,hate,hate,0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""4374"",""7633"",""4652""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4756,group,H_joint_only,"[""Racism""]","[""Racism""]",1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""3911"",""4374"",""5788"",""7633"",""6525"",""5919""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7285,hate,H_joint_only,hate,non-hate,0001,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选"",""参考切换敏感案例""]",null,原仅组合正确变为仅组合错误；重新确定效应方向，保留参考敏感案例属性。,[],"[""2517"",""2091""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7285,group,H_joint_only,"[""Racism""]","[""Sexism""]",0000,1011,仅 C0、D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""4344"",""6442"",""1035"",""6074"",""2517"",""100"",""2091"",""1660""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
6037,hate,G_joint_only,hate,hate,0000,0000,四个核心条件均错误,"[""持续错误诊断候选""]",4,四个核心条件均错误，保留连续分数与失败对照用途，不按 group 的组合成功解释 hate。,"[""6469"",""3194"",""5230"",""2655""]",[],True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared""]"
6037,group,G_joint_only,"[""Sexism""]","[""Sexism""]",0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",4,保留组合才正确的候选；核查示例 5230 的国女命中边，其 group 答案差异须单独登记。,"[""6469"",""3194"",""877""]","[""3529"",""478"",""5230"",""2655""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
2802,hate,G_joint_only,hate,hate,0011,0011,仅 D、SD 正确,"[""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""3612"",""3281""]","[""7836"",""7819"",""7678"",""159""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
2802,group,G_joint_only,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",0001,0001,仅 SD 正确,"[""组合才正确的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""3612"",""159"",""3281""]","[""1729"",""7836"",""5425"",""7819"",""7678"",""6629""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
376,hate,G_joint_only,hate,hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],[],True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed""]"
376,group,G_joint_only,"[""LGBTQ"",""others""]","[""LGBTQ""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""7485"",""5416"",""4956"",""6764"",""2496"",""2747"",""7350"",""7248"",""5125""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4080,hate,G_joint_only,hate,non-hate,0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""717""]","[""5535"",""796"",""6458"",""4891"",""6631""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4080,group,G_joint_only,"[""Region""]","[""Racism"",""Region""]",0001,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""4891""]","[""5535"",""796"",""2824"",""4351"",""6458"",""7519"",""6631"",""717""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
1128,hate,Stable_correct,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",5,稳定正确对照候选；仍需匹配实际干预的资源、长度和操作类型。,"[""2945"",""387""]","[""2218"",""1986"",""1180"",""3456""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
1128,group,Stable_correct,[],[],1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",5,稳定空集合对照候选；仍需匹配实际干预，不能将本例视为无信息的中性输入。,"[""2945"",""387"",""1180"",""6282""]","[""1986"",""3456""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
