request_id	query_id	condition	module	item_id	variant	m	bound	prediction	reference	resolution	delta_m	transition
ccr-541-LD-B01-same	541	LD	body	B01	same	-20.380184173583984	0.0003662109375	有	无	negative	0.014072418212890625	unchanged
ccr-541-LD-B01-flip	541	LD	body	B01	flip	-17.74169921875	0.0003662109375	有	无	negative	2.652557373046875	unchanged
ccr-3169-D-B02-same	3169	D	body	B02	same	-3.6467323303222656	0.0003662109375	有	无	negative	-2.6685829162597656	unchanged
ccr-3169-D-B02-flip	3169	D	body	B02	flip	-11.889995574951172	0.0003662109375	有	无	negative	-10.911846160888672	unchanged
ccr-3169-LD-B02-same	3169	LD	body	B02	same	-20.367515563964844	0.0003662109375	有	无	negative	-0.3260917663574219	unchanged
ccr-3169-LD-B02-flip	3169	LD	body	B02	flip	-21.074703216552734	0.0003662109375	有	无	negative	-1.0332794189453125	unchanged
ccr-3169-D-B03-same	3169	D	body	B03	same	12.858245849609375	0.0003662109375	无	无	positive	13.836395263671875	repair
ccr-3169-D-B03-flip	3169	D	body	B03	flip	12.667232513427734	0.0003662109375	无	无	positive	13.645381927490234	repair
ccr-3169-LD-B03-same	3169	LD	body	B03	same	-21.40484619140625	0.0003662109375	有	无	negative	-1.3634223937988281	unchanged
ccr-3169-LD-B03-flip	3169	LD	body	B03	flip	-20.5362548828125	0.0003662109375	有	无	negative	-0.4948310852050781	unchanged
ccr-3169-D-B04-same	3169	D	body	B04	same	19.202709197998047	0.0003662109375	无	无	positive	20.180858612060547	repair
ccr-3169-D-B04-flip	3169	D	body	B04	flip	18.57331085205078	0.0003662109375	无	无	positive	19.55146026611328	repair
ccr-3169-LD-B04-same	3169	LD	body	B04	same	-18.747709274291992	0.0003662109375	有	无	negative	1.2937145233154297	unchanged
ccr-3169-LD-B04-flip	3169	LD	body	B04	flip	-18.254852294921875	0.0003662109375	有	无	negative	1.7865715026855469	unchanged
ccr-541-D-O01	541	D	order	O01	base	-16.034957885742188	0.0003662109375	有	无	negative	-1.0373916625976562	unchanged
ccr-541-LD-O01	541	LD	order	O01	base	-20.399822235107422	0.0003662109375	有	无	negative	-0.005565643310546875	unchanged
ccr-3169-D-O02	3169	D	order	O02	base	-2.7770538330078125	0.0003662109375	有	无	negative	-1.7989044189453125	unchanged
ccr-3169-LD-O02	3169	LD	order	O02	base	-21.040794372558594	0.0003662109375	有	无	negative	-0.9993705749511719	unchanged
ccr-3169-D-O03	3169	D	order	O03	base	2.2274703979492188	0.0003662109375	无	无	positive	3.2056198120117188	repair
ccr-3169-LD-O03	3169	LD	order	O03	base	-20.619388580322266	0.0003662109375	有	无	negative	-0.5779647827148438	unchanged
ccr-3169-D-O04	3169	D	order	O04	base	-1.7546958923339844	0.0003662109375	有	无	negative	-0.7765464782714844	unchanged
ccr-3169-LD-O04	3169	LD	order	O04	base	-19.430465698242188	0.0003662109375	有	无	negative	0.6109580993652344	unchanged
