condition_id,query_id,real_mean_margin,background_margin,ncc_margin,probe_margins,probe_ncc_margins,leave_one_out_ncc_margins,physical_real_record_id,physical_probe_record_ids,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,reviewed_margin
FQD-FD-3169-Q01-F1-O-A,FD-3169-Q01,-0.03392588297526042,2.8117657112581274,-2.845691594233388,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.4852142333984375,""lorem"":-4.409940338134765,""mask"":-2.839042154947917,""na"":-1.8976760864257811,""space"":-2.99975102742513}","{""empty"":-2.730395704286147,""lorem"":-2.6555472882977815,""mask"":-2.847360096204689,""na"":-3.284731000627224,""space"":-2.810266940659084}",FQP-42d1a3c580271c336d4b1ef2a3b3b0810f594cffe77a4a27bd8dc3acb68ea677,"{""empty"":""FQP-b05d2b09a9af3a0785c7a7fa801255072aac62ce6c967aa581b2c1507ccfd7ed"",""lorem"":""FQP-1d64015bddaeadd90b18f1726f650faee057cd5eadfec8966b2d92df7e7b2451"",""mask"":""FQP-a43ac97810c23a25d5f1f4923325a82baf678f9e5363e87e12a7fc4d2632eb9f"",""na"":""FQP-7a088a0ec25b707aad36562f9ec787f9074290d598651c984931c50cb649c488"",""space"":""FQP-839e0d1a2d9dd21551c2a0696ced08b03ce88509841ce03b60a4e0f6a9b241b4""}",hate,False,False,null,non-hate,null,False,-2.845691594233388
FQD-FD-3169-Q01-F1-O-H,FD-3169-Q01,0.11689097086588543,2.69136176104422,-2.5744707901783346,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.1893290201822917,""lorem"":-4.2497291564941415,""mask"":-2.5716056823730464,""na"":-1.6321978251139322,""space"":-2.6759193420410154}","{""empty"":-2.4618890198993486,""lorem"":-2.3779232820104164,""mask"":-2.5751881881981387,""na"":-3.002468596010314,""space"":-2.5504572870189777}",FQP-1f670c93638b7bcb047ffd6a3609801c39ef816a9750a47ba97b962973aabf81,"{""empty"":""FQP-481b5566480d71b4932a463d1b55aedb773ddcc3bc6f133ac612b6914492b5e4"",""lorem"":""FQP-e938a92f5f645e1d4092e2e7ca791b297082e0da755f23b6e9bb15a19de69cf8"",""mask"":""FQP-6b73b3708cc4aeacbc65526068a79fcd919c49d523eaa9f2d84e442a9837651a"",""na"":""FQP-952560bdb4a05a95038380727a669f732f59fff58f8d659fc97bb27ed975812e"",""space"":""FQP-2f8e24f5c93494c1e8d4c0d577bfe69a25015d06867108de037d6eb32579f331""}",hate,False,False,null,non-hate,null,False,-2.5744707901783346
FQD-FD-3169-Q01-F2-D-A,FD-3169-Q01,4.0373987833658855,2.706236875782036,1.3311619075838497,"{""empty"":3.128997548421224,""lorem"":4.161380513509115,""mask"":2.733651224772135,""na"":1.8768872578938802,""space"":2.716709645589193}","{""empty"":0.9084012349446615,""lorem"":-0.12398173014322911,""mask"":1.3037475585937504,""na"":2.160511525472005,""space"":1.3206891377766925}","{""empty"":1.416037022055594,""lorem"":1.5167205010418456,""mask"":1.3379138953083478,""na"":0.9840057554763852,""space"":1.333765171680465}",FQP-3f5f3e614114cc0679f2b9a8399c23b8cef2efd2f419683264755ba5073fd6d5,"{""empty"":""FQP-b94f647ce8108e6cd35d707950f0683f66547ee3ae9b5fbd806e64298054a442"",""lorem"":""FQP-18e9a46a8ea17a2fafef8e99049a56afdee9fa5b5dbcd3d61a1ff9f64aa445a3"",""mask"":""FQP-7585e6c564f72da842a5cca03e45e73c3c618d20f8b7e65491687e85d4a499f0"",""na"":""FQP-50810774bb3c43835428854353fa186f9138ffa7899f09cd197f20cca4465d2b"",""space"":""FQP-ce28e1c609c859a6a668d7663eda0f422d8ceffefad9e9a82c354e3c593d1699""}",non-hate,False,False,null,non-hate,null,True,1.3311619075838497
FQD-FD-3169-Q01-F2-D-H,FD-3169-Q01,4.071119435628255,2.6781963586082966,1.392923077019958,"{""empty"":3.0859222412109375,""lorem"":4.151829783121745,""mask"":2.711181386311849,""na"":1.856372578938802,""space"":2.6705345153808593}","{""empty"":0.9851971944173172,""lorem"":-0.08071034749349071,""mask"":1.3599380493164057,""na"":2.2147468566894526,""space"":1.4005849202473954}","{""empty"":1.475446246671459,""lorem"":1.5797774838726912,""mask"":1.4010231223438514,""na"":1.0517560490647564,""space"":1.390999598168337}",FQP-1b7aff67a8fb17d5b3c8d8f9d4aef060feb42374772258122895a7d52e96bcc6,"{""empty"":""FQP-2b3785a264069fcf709e4c0456d78d5010228545b45ce598747150f9dc40aded"",""lorem"":""FQP-9cdd31e2cee22745c33e2f1859e358ee791f1f0abb2465fedfbfd80a1dac64a9"",""mask"":""FQP-c6c1d92a664e937bb4bb1ebd7a0f7e72d3c0eea3bc9ca18a85851121fbdf3db9"",""na"":""FQP-4b8d84fcc3c2f35ec03dc9d4e0055cf92d5dd998ca7a639e5f7d04c3d460f8ed"",""space"":""FQP-6b5474efc5b93c22e55333cdde949127a4d8d0b204a627dc96fc275688b64a54""}",non-hate,False,False,null,non-hate,null,True,1.392923077019958
FQD-FD-3169-Q01-F2-N1-A,FD-3169-Q01,4.3076319376627605,2.845284681482751,1.4623472561800095,"{""empty"":3.475896453857422,""lorem"":4.614749145507813,""mask"":2.876710001627604,""na"":1.8723884582519532,""space"":2.9823010762532554}","{""empty"":0.8317354838053386,""lorem"":-0.30711720784505214,""mask"":1.4309219360351566,""na"":2.4352434794108073,""space"":1.3253308614095052}","{""empty"":1.576401729554659,""lorem"":1.6611323120942263,""mask"":1.4700680060054205,""na"":1.0008882147160643,""space"":1.4941316632700041}",FQP-953752797cbbd9c4666a0d4c28ba2707412779d60d38f84bf18f7966077286cc,"{""empty"":""FQP-4f22bd451f49065b99963ce7d888e1506fc7b35d34aac4f982e3a7286ae20b65"",""lorem"":""FQP-57c6305c7e30a8206d048421e670e4e27df62a384f239280d85cb95481b0bef8"",""mask"":""FQP-933d239456c95bdcf82e814b6d27a27f8fc417cb051067684e1cce5e8f3625cb"",""na"":""FQP-e72d928c10e4587591cc0a155883d4b6143b6077929ab64daa5e1508c47de986"",""space"":""FQP-94d56ca9a5f7e29e19ae4e48226645871635daa0e50db3275c620b52a5882550""}",non-hate,False,False,null,non-hate,null,True,1.4623472561800095
FQD-FD-3169-Q01-F2-N1-H,FD-3169-Q01,4.362541198730469,2.8104610868109576,1.5520801119195111,"{""empty"":3.4468048095703123,""lorem"":4.615529886881511,""mask"":2.8394098917643227,""na"":1.8343231201171875,""space"":2.9404919942220054}","{""empty"":0.9157363891601564,""lorem"":-0.25298868815104214,""mask"":1.523131306966146,""na"":2.528218078613281,""space"":1.4220492045084634}","{""empty"":1.6669800173215599,""lorem"":1.7526081327116172,""mask"":1.5592026084071162,""na"":1.08987350516436,""space"":1.5823657808645977}",FQP-5af1cc44c3e36a2ed9449384ea4d25c8cc1fec00c24d90682ee5fdedbc846fa3,"{""empty"":""FQP-b04b83ae8129d0899d9f630fcdc8dc5bb33a09e09f8461f0d97a94a197350a38"",""lorem"":""FQP-6756d60245428fefd8c51603ba470a8ca426ce2739d8d29860b8ad1d2718da6b"",""mask"":""FQP-1f0dc6db71ca2c33f578b0b8529892d3555a493db4efa421665f9e3b79c59198"",""na"":""FQP-9c70d0d7bb8c9904a470010172a65975287b75dec2a20633c9e47e1726d0c135"",""space"":""FQP-57f43bc66a5755da517b48e9bb4c7761b312204286d116ab2e037c95a18bee44""}",non-hate,False,False,null,non-hate,null,True,1.5520801119195111
FQD-FD-3169-Q01-F2-N2-A,FD-3169-Q01,4.34869384765625,2.8037911648096774,1.5449026828465726,"{""empty"":3.4726717631022135,""lorem"":4.5326988220214846,""mask"":2.80434315999349,""na"":1.8218538920084637,""space"":2.9751846313476564}","{""empty"":0.8760220845540365,""lorem"":-0.18400497436523455,""mask"":1.5443506876627602,""na"":2.5268399556477865,""space"":1.3735092163085936}","{""empty"":1.6638660900213256,""lorem"":1.742490545691087,""mask"":1.5450406394817948,""na"":1.078179025164118,""space"":1.5839554759317194}",FQP-473b9ff8b9be4f2ff5339588b71b6e479365de7f605d2714bd95eb9b38a9453e,"{""empty"":""FQP-88f3ca60ab094fd5e961879817543a918180ab9ef5dbd260f9fc8fe8935e06e0"",""lorem"":""FQP-e1521ae8e618ee160f4ea035065ab609c034979cc4fb7c5d61230e3e94be3642"",""mask"":""FQP-cdde802627be9e440c1894ef604f2ee63adfaf79c1605a24e0ffeae132e967c1"",""na"":""FQP-07e922c2b68a5cc4f511ae24ad6c716be7bf5231d2cab97db53055a8ccc6645d"",""space"":""FQP-8a5bba3fa8129c0d8094704edc6161915ffe2a38dbf78c5625c479f26e4ec948""}",non-hate,False,False,null,non-hate,null,True,1.5449026828465726
FQD-FD-3169-Q01-F2-N2-H,FD-3169-Q01,4.450063578287761,2.7614398629523578,1.6886237153354031,"{""empty"":3.421095530192057,""lorem"":4.527075958251953,""mask"":2.7603312174479164,""na"":1.779810333251953,""space"":2.9226033528645834}","{""empty"":1.0289680480957037,""lorem"":-0.07701237996419241,""mask"":1.6897323608398445,""na"":2.670253245035808,""space"":1.5274602254231775}","{""empty"":1.8066174410475968,""lorem"":1.8881564763026724,""mask"":1.688346384668395,""na"":1.2247218148141599,""space"":1.7255609971347559}",FQP-635bea32688665f6f3e6b142d8821a8392aa3a1a2e64ed1e6b64e003d66c349d,"{""empty"":""FQP-8b9a48f487bf626f3f0914e29bcd9fcf32fb15fe3dc2ac0e5f44435bf5b87127"",""lorem"":""FQP-dc44f8052b10ca85b4e649bf9a95385711a05a47391571524c0a8e09cb9f21e5"",""mask"":""FQP-f25d4fe08b212a8cf9fe08e916b2c7270be52dac271b9ab62dfa125a810af2f1"",""na"":""FQP-c725dc5ef9cae210aa1cfd2bfdb5e695bd383e3c51d72d90347e5c7b3efe0312"",""space"":""FQP-c9361d8faaa02caa96a91253865ffff0857937236a74478469d49f64c8977245""}",non-hate,False,False,null,non-hate,null,True,1.6886237153354031
FQD-FD-3169-Q01-F2-O-A,FD-3169-Q01,-0.0022064208984375056,2.8053067110471837,-2.8075131319456212,"{""empty"":3.396752675374349,""lorem"":4.427587890625,""mask"":2.9167160034179687,""na"":1.8317164103190104,""space"":2.9107706705729166}","{""empty"":-3.3989590962727867,""lorem"":-4.4297943115234375,""mask"":-2.9189224243164062,""na"":-1.833922831217448,""space"":-2.912977091471354}","{""empty"":-2.6984001643090987,""lorem"":-2.6145687284681065,""mask"":-2.7813031494373184,""na"":-3.267276549257843,""space"":-2.7826223602053397}",FQP-3dc76a1b26d7d88f4e9b6ebfde61ece18f7fc33e9a776b7ab23acdfb80a7086e,"{""empty"":""FQP-4835c1ae56dd21b6bab67dfa27937d2e97f1f697b1cb76c3b2e1edcbcd2c1dbc"",""lorem"":""FQP-37a777d383ac73f2b3c924cbd5fa7c6ddb96a76bb02b140d6e03c251d3cf9a4b"",""mask"":""FQP-106c98b6a5f803aeca6d43290fffd8def830b9a631a7f95d474ab74e31eabd07"",""na"":""FQP-b83167ab6928ba25fc4f343266ab8e905518d09bf1b677cd3111cb91bd2c148d"",""space"":""FQP-2f2b7fc14fa188548ca1b16aedf29f9e497e39f4651e6395e7e27a15ca12a0c8""}",hate,False,False,null,non-hate,null,False,-2.8075131319456212
FQD-FD-3169-Q01-F2-O-H,FD-3169-Q01,0.19842580159505208,2.765817443793497,-2.567391642198445,"{""empty"":3.3976974487304688,""lorem"":4.46067606608073,""mask"":2.84797846476237,""na"":1.7849957784016925,""space"":2.8684712727864583}","{""empty"":-3.199271647135417,""lorem"":-4.262250264485678,""mask"":-2.649552663167318,""na"":-1.5865699768066404,""space"":-2.6700454711914063}","{""empty"":-2.4528967917375333,""lorem"":-2.370825362747615,""mask"":-2.5477509244617575,""na"":-3.0308824377854675,""space"":-2.543121036454324}",FQP-8af63a34bfd9147ad051aed51227bf5378685f8f80798d1a7b748f7609302d79,"{""empty"":""FQP-686e69fb3420abc2159fd4a7a1ee1d909c58616fdc30dee608b6c7189be85ec7"",""lorem"":""FQP-4a682681b6332b339a2414e6bdc8b4e8d6b9ae25640d95b57c5213775f784176"",""mask"":""FQP-7b3c397de412fae1dd586d7b5f9cb4c2c3eed121774a14da583d21a42245be00"",""na"":""FQP-8e2ca871b9a21d5f49241232bb7e6854f7f0db5175114cb4b401d0b94170f06c"",""space"":""FQP-7d671b8e1115330056c9231ccb2f72dc877b82960a83a43f50817468777ac7e8""}",hate,False,False,null,non-hate,null,False,-2.567391642198445
FQD-FD-3169-Q02-F1-D-A,FD-3169-Q02,-0.18214136759440108,2.7298514565161875,-2.911992824110589,"{""empty"":3.2098340352376304,""lorem"":4.114040120442708,""mask"":2.775092569986979,""na"":1.8665224711100261,""space"":2.775407918294271}","{""empty"":-3.3919754028320317,""lorem"":-4.296181488037109,""mask"":-2.95723393758138,""na"":-2.048663838704427,""space"":-2.957549285888672}","{""empty"":-2.818351476126933,""lorem"":-2.7306957905479923,""mask"":-2.900958114931209,""na"":-3.2833549657949903,""space"":-2.9008830976485442}",FQP-eafc476a6247f7a9aae2ac4a9516f1a2f24db5b4a9940c87f59f893c1fb0b936,"{""empty"":""FQP-8b5c00620b6fc99cb54490df92abe314f181183af11f673fd057514775f432d2"",""lorem"":""FQP-51d999e91eb0dbddddb5049ee6797d04c484c3c82d0990e43db1da6d9bbc041e"",""mask"":""FQP-1e7090797e5adfaa338e99dc2ff681ae9eabbcac83a250f4c40ab2fbb4c48088"",""na"":""FQP-df073c700e093232a7de4acba3ff0dcd0bb522b686d0635f387768386743e3d8"",""space"":""FQP-8731f7b9ac383106c5e80e9047a3425dad8f99d01dc7eafdf04006937b47af1a""}",hate,False,False,null,hate,null,True,2.911992824110589
FQD-FD-3169-Q02-F1-D-H,FD-3169-Q02,-0.5440470377604166,2.6970369435455517,-3.241083981305968,"{""empty"":3.1661771138509116,""lorem"":4.112913513183594,""mask"":2.7422078450520835,""na"":1.8338401794433594,""space"":2.7360875447591146}","{""empty"":-3.710224151611328,""lorem"":-4.656960550944011,""mask"":-3.2862548828125,""na"":-2.377887217203776,""space"":-3.280134582519531}","{""empty"":-3.148991335699353,""lorem"":-3.057631079167107,""mask"":-3.2300648164276056,""na"":-3.611023733158737,""space"":-3.2315262810319294}",FQP-6de0ab88209857dc7b01c0b6e15d8599c72f58487061cee9cdffb0d5d9136bd1,"{""empty"":""FQP-4daa6da2fc818a38bb59b3041df5395fccf6bad9953823e95858fd5c7852a838"",""lorem"":""FQP-016cda27aa5a03952260cb9227749c3600162e92d41c34f4db5f4ef0035119c3"",""mask"":""FQP-9f181fa3da621fa6e16b1e2d5d38037c4e0a3f0a105ac650b92c10a44806d25d"",""na"":""FQP-7ce434cae8eb527d641e47122b3a5b89f6896742325361dd31a9bfbe80deb090"",""space"":""FQP-b274c576cd281cf70bec202434eda9ea35eae42fd392c2ff94f97adb31adb7ed""}",hate,False,False,null,hate,null,True,3.241083981305968
