condition_id,query_id,real_mean_margin,background_margin,ncc_margin,probe_margins,probe_ncc_margins,leave_one_out_ncc_margins,physical_real_record_id,physical_probe_record_ids,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,reviewed_margin
FQD-FD-3169-Q01-F1-X1-A,FD-3169-Q01,-0.0006022135416666463,2.779006849720204,-2.7796090632618706,"{""empty"":3.4860193888346354,""lorem"":4.386007181803386,""mask"":2.804484303792318,""na"":1.7678181966145832,""space"":2.999688720703125}","{""empty"":-3.486621602376302,""lorem"":-4.386609395345053,""mask"":-2.8050865173339847,""na"":-1.7684204101562497,""space"":-3.000290934244792}","{""empty"":-2.6559796951297185,""lorem"":-2.5871042148192753,""mask"":-2.7733283340733434,""na"":-3.270086061531685,""space"":-2.730595966540913}",FQP-49cbfa242cb74c99c6df8a00e338cd7d5b71f11bd1aeafd90d87aaba1c023d98,"{""empty"":""FQP-74c15fe5dcdcd3462fabcedead4c364926a9696513ee4254738d730dcbb6a481"",""lorem"":""FQP-3c3482178d80674f04e42ba910f427055b04fb754d4220f892dd705f52673d43"",""mask"":""FQP-a3564829939b0fb8bd413215698628bee421665266761f32b738780814a5ea7c"",""na"":""FQP-fa6c1192f182d2b68a50b3c4cc2873db2bd4f7719d2ed0ee4bffb83599483c06"",""space"":""FQP-92ecf23d8b8c3d2de1924a27d6e371119138b24d35eb2bac494310be88700f47""}",hate,False,False,null,non-hate,null,False,-2.7796090632618706
FQD-FD-3169-Q01-F1-X1-H,FD-3169-Q01,-0.30365575154622393,2.675290478171651,-2.978946229717875,"{""empty"":3.3669464111328127,""lorem"":4.366543324788411,""mask"":2.702179718017578,""na"":1.6632896423339845,""space"":2.8595453898111978}","{""empty"":-3.6706021626790366,""lorem"":-4.670199076334635,""mask"":-3.005835469563802,""na"":-1.9669453938802084,""space"":-3.1632011413574217}","{""empty"":-2.8566898909624285,""lorem"":-2.7815134938618846,""mask"":-2.9723212809547324,""na"":-3.462893148007706,""space"":-2.937183372988248}",FQP-c618d7d5e215cf4c9fd912fa240f458195f2cde0c44892fe1a8abf3e1a2180ea,"{""empty"":""FQP-143d3809903c73a102c8db7c222c36a65feff42404b1846e367c759020c60b13"",""lorem"":""FQP-99ded06ca1fcb752e8d802358d4ab65af5f2e65c553d9b1beba3eebb59fce2e1"",""mask"":""FQP-7f116d120155b660bc0e6afdb0575f0ff4aed5f40bf727e4f5435927f982050f"",""na"":""FQP-5dec29608691c33740be0d39b47052f2004f4a3c47b230bac3a10970d986bd4f"",""space"":""FQP-6fec6081498d20d068f79b04f28d31c935c29b226120f77612cd56158cff07ba""}",hate,False,False,null,non-hate,null,False,-2.978946229717875
FQD-FD-3169-Q01-F1-X2-A,FD-3169-Q01,0.09015909830729166,2.769140303255958,-2.6789812049486663,"{""empty"":3.439700571695963,""lorem"":4.426951599121094,""mask"":2.8134318033854164,""na"":1.7396316528320312,""space"":3.026927947998047}","{""empty"":-3.3495414733886717,""lorem"":-4.336792500813802,""mask"":-2.723272705078125,""na"":-1.6494725545247395,""space"":-2.9367688496907554}","{""empty"":-2.5596780859329082,""lorem"":-2.4840629038004955,""mask"":-2.668173849077046,""na"":-3.185136496807862,""space"":-2.6228100360872317}",FQP-4d25016bce7fb33797f8021b83e75a39e97facdd42a651a1bb92f075627d78f5,"{""empty"":""FQP-a675fdcb1e93bb63dea4dd2b289c856a62497223348b49f7366032cdfb12a962"",""lorem"":""FQP-7ecbd3ade4f295c98d7e9daa9009dfaa5da61df02687c9ea13c97726b7351ac6"",""mask"":""FQP-84995616594729304bd2e364d528e3467a78139ab39f1243ca98e7b579720b59"",""na"":""FQP-ebb7e6f6087eacf2c315574ce2060e0266f0ebcdfc5827d29973c6eb9dac0e64"",""space"":""FQP-eb061657cb4d3678a70fe217079677a3d1dc39d85ec9e98bf6bbb6c251a90fea""}",hate,False,False,null,non-hate,null,False,-2.6789812049486663
FQD-FD-3169-Q01-F1-X2-H,FD-3169-Q01,-0.2501932779947917,2.6567762480533994,-2.906969526048191,"{""empty"":3.30025380452474,""lorem"":4.405506642659505,""mask"":2.702919769287109,""na"":1.628380076090495,""space"":2.875379943847656}","{""empty"":-3.5504470825195313,""lorem"":-4.655699920654297,""mask"":-2.9531130472819007,""na"":-1.8785733540852867,""space"":-3.1255732218424477}","{""empty"":-2.7905779858590685,""lorem"":-2.7068918572428013,""mask"":-2.8957174690382437,""na"":-3.4037176407899765,""space"":-2.8582812896654395}",FQP-76c9516b7fcbe362c8caff3e25c25c4b6d6a6a432f5340d1f151827025c2b056,"{""empty"":""FQP-a04bdadc68bbcc85fa63d250961f3a422d2b7527c8d07c078816cff8372fe989"",""lorem"":""FQP-91c0f773339aa057ba2527bc8ab05846134f1d98dfc52a464c690bfe23abe3cc"",""mask"":""FQP-0bda0f0909a09d553e28dd1d1a4d8cdbb1f9e48788138ab8eff590c553d69017"",""na"":""FQP-47db6af3b3d571a9cc9f4d881e52f341a8206818156c0e0d9e75d69e33211092"",""space"":""FQP-800011551db45cca2f78188b817419b6405798f2ad3562c6d7677193bd5200d3""}",hate,False,False,null,non-hate,null,False,-2.906969526048191
FQD-FD-3169-Q02-F1-O-A,FD-3169-Q02,0.03459854125976558,2.8117657112581274,-2.7771671699983616,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.4166898091634117,""lorem"":-4.3414159138997395,""mask"":-2.770517730712891,""na"":-1.829151662190755,""space"":-2.9312266031901038}","{""empty"":-2.6618712800511206,""lorem"":-2.5870228640627557,""mask"":-2.778835671969663,""na"":-3.2162065763921976,""space"":-2.7417425164240576}",FQP-1f5ba44cd5795468429aacc33e1ea34b42cb6dc2652f6dd1ba90636eed4cc915,"{""empty"":""FQP-b05d2b09a9af3a0785c7a7fa801255072aac62ce6c967aa581b2c1507ccfd7ed"",""lorem"":""FQP-1d64015bddaeadd90b18f1726f650faee057cd5eadfec8966b2d92df7e7b2451"",""mask"":""FQP-a43ac97810c23a25d5f1f4923325a82baf678f9e5363e87e12a7fc4d2632eb9f"",""na"":""FQP-7a088a0ec25b707aad36562f9ec787f9074290d598651c984931c50cb649c488"",""space"":""FQP-839e0d1a2d9dd21551c2a0696ced08b03ce88509841ce03b60a4e0f6a9b241b4""}",hate,False,False,null,hate,null,True,2.7771671699983616
FQD-FD-3169-Q02-F1-O-H,FD-3169-Q02,-0.23447329203287764,2.69136176104422,-2.925835053077098,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.540693283081055,""lorem"":-4.601093419392904,""mask"":-2.92296994527181,""na"":-1.9835620880126952,""space"":-3.027283604939779}","{""empty"":-2.813253282798112,""lorem"":-2.72928754490918,""mask"":-2.926552451096902,""na"":-3.3538328589090773,""space"":-2.901821549917741}",FQP-0f827821cae971f02a15893a38f0ac67d6fe11e9f3d0b7503fdbbf01880e3a29,"{""empty"":""FQP-481b5566480d71b4932a463d1b55aedb773ddcc3bc6f133ac612b6914492b5e4"",""lorem"":""FQP-e938a92f5f645e1d4092e2e7ca791b297082e0da755f23b6e9bb15a19de69cf8"",""mask"":""FQP-6b73b3708cc4aeacbc65526068a79fcd919c49d523eaa9f2d84e442a9837651a"",""na"":""FQP-952560bdb4a05a95038380727a669f732f59fff58f8d659fc97bb27ed975812e"",""space"":""FQP-2f8e24f5c93494c1e8d4c0d577bfe69a25015d06867108de037d6eb32579f331""}",hate,False,False,null,hate,null,True,2.925835053077098
FQD-FD-3169-Q02-F1-P1-A,FD-3169-Q02,-0.12704213460286462,2.7650347447594155,-2.89207687936228,"{""empty"":3.4483383178710936,""lorem"":4.353078715006511,""mask"":2.7976094563802083,""na"":1.7612225850423175,""space"":2.9742507934570312}","{""empty"":-3.5753804524739583,""lorem"":-4.480120849609375,""mask"":-2.924651590983073,""na"":-1.888264719645182,""space"":-3.101292928059896}","{""empty"":-2.7712111373981227,""lorem"":-2.700322030442001,""mask"":-2.8840774307573374,""na"":-3.375159324414799,""space"":-2.8453229318973157}",FQP-b6bf742943e41298579cca1344a96fe601b83b63a4cfdc4bd78a72492b334df7,"{""empty"":""FQP-517c80ed48d4928b618847d194ae9f73e460c9271f204100adc04809eca346a8"",""lorem"":""FQP-12284d07d03dc8f8e0923aeffbd8e08fd462d72f4db489b807c108c15cf63a83"",""mask"":""FQP-e3df4ef3f487bda73858423fe1a7af630e1e2905cc075aaa5c8cbc219985b36e"",""na"":""FQP-0e6c521e3e10fbfad8183508f68847e47479db34ae4e52f7d4a6c25a7b4d1b6a"",""space"":""FQP-19c0381f60ff134bb4ed549a79154287003ec5620db745906ff81410d8d27944""}",hate,False,False,null,hate,null,True,2.89207687936228
FQD-FD-3169-Q02-F1-P1-H,FD-3169-Q02,-0.37139358520507815,2.6491457769941347,-3.0205393621992127,"{""empty"":3.3072715759277345,""lorem"":4.325233968098958,""mask"":2.6891998291015624,""na"":1.6457822163899738,""space"":2.814705912272135}","{""empty"":-3.6786651611328125,""lorem"":-4.696627553304037,""mask"":-3.0605934143066404,""na"":-2.017175801595052,""space"":-3.186099497477213}","{""empty"":-2.9022747068806676,""lorem"":-2.823458534874859,""mask"":-3.010739992348998,""na"":-3.4952924097367664,""space"":-2.9826350175837057}",FQP-69fe90dfb4f42c339ca821fecbf8e81fc36aa0f686fef1362fd5cfe97c53b6ca,"{""empty"":""FQP-8c1da66090133d62e38740049a818d6ac1f1169add8bb871994bdde466615a5c"",""lorem"":""FQP-334d2d8c505dce61105d67e6a9ae0debc1b1a1ffabd929ee67b9f2a50940d558"",""mask"":""FQP-8cca266cad625682e3aa6b441dd3d798223fc2bdefa68398a6b121051b7c2086"",""na"":""FQP-c4370d723bf7bef6dff00dd93d4b16defaeec9dc13f29f842241616f6f841822"",""space"":""FQP-5bc8a74ec4d273f4f2dbaaefa0972839b8d073bb6ded61848a96315815d947d0""}",hate,False,False,null,hate,null,True,3.0205393621992127
FQD-FD-3169-Q02-F1-P2-A,FD-3169-Q02,-0.17387364705403652,2.719816567608741,-2.8936902146627776,"{""empty"":3.3394620259602865,""lorem"":4.38789545694987,""mask"":2.7272099812825523,""na"":1.7341931660970051,""space"":2.9211990356445314}","{""empty"":-3.513335673014323,""lorem"":-4.561769104003907,""mask"":-2.901083628336589,""na"":-1.9080668131510417,""space"":-3.095072682698568}","{""empty"":-2.7805942674652506,""lorem"":-2.6977815811839125,""mask"":-2.891849324000898,""na"":-3.3583362928340326,""space"":-2.8484760159033637}",FQP-0f2524f5f759c8cadb58ebc531594a6e86f8bdd9d87c4b00dc277f886122a84d,"{""empty"":""FQP-bdae183860ef13eafe54bc4de500204eed77e1575b1ebd1ac4f3a440c18e7427"",""lorem"":""FQP-d15738d861bebfab51e4455bb39928ec5469f54fe2faf99899fac6f7fa24fa12"",""mask"":""FQP-39b6cf18cec9069bc428a130571bb6ae0d2f0e8db475e4d2b26365f771e67ace"",""na"":""FQP-ba5e818f8f953d3c3a837ac36d6724e9d944d1cd2880cec46b45c9ecb8a3f45a"",""space"":""FQP-d859667ab09d7d6bc9fc0dfef6c72da344d0a316f7fec7b2fa421945a9905c5b""}",hate,False,False,null,hate,null,True,2.8936902146627776
FQD-FD-3169-Q02-F1-P2-H,FD-3169-Q02,-0.43084932963053385,2.6016837647920905,-3.0325330944226243,"{""empty"":3.189258829752604,""lorem"":4.363524627685547,""mask"":2.6163798014322914,""na"":1.620562489827474,""space"":2.755328114827474}","{""empty"":-3.620108159383138,""lorem"":-4.794373957316081,""mask"":-3.0472291310628252,""na"":-2.051411819458008,""space"":-3.186177444458008}","{""empty"":-2.9232210552419984,""lorem"":-2.8312212935996053,""mask"":-3.0288880047402813,""na"":-3.485762279110882,""space"":-2.9971188715048656}",FQP-2ebdb9b3a2478ee780ca0a9b3c5f0faf3ab3aa651ad150863dbcd7b644fb8528,"{""empty"":""FQP-56c6c9899f8d77490e04e14d2d70ad80783aff4156d6bab0d9f353ec7d228080"",""lorem"":""FQP-4a60923d65fcf314e1b4e37ab7ac3bc4831adcbce38928e62e37d1655e52aebb"",""mask"":""FQP-753cd268354cd657d386440a2bd65b22880aaf6092ae25276d709bfea539599b"",""na"":""FQP-f51b14777c707371a844a56cd1e6366fe56bdad93654859e627dfd5547df875a"",""space"":""FQP-b7385f9e3fecd4f1e1cf8c1ec2ae05968bb1290c930de916b3713f14191cd2e3""}",hate,False,False,null,hate,null,True,3.0325330944226243
FQD-FD-3169-Q02-F1-X1-A,FD-3169-Q02,0.10933787027994801,2.779006849720204,-2.6696689794402557,"{""empty"":3.4860193888346354,""lorem"":4.386007181803386,""mask"":2.804484303792318,""na"":1.7678181966145832,""space"":2.999688720703125}","{""empty"":-3.3766815185546872,""lorem"":-4.276669311523438,""mask"":-2.69514643351237,""na"":-1.6584803263346353,""space"":-2.890350850423177}","{""empty"":-2.5460396113081036,""lorem"":-2.4771641309976604,""mask"":-2.6633882502517285,""na"":-3.16014597771007,""space"":-2.6206558827192983}",FQP-df36c0118b32dc7ca7df31515044b45d415c4e2f9aebbc7de51a4012cf1045f9,"{""empty"":""FQP-74c15fe5dcdcd3462fabcedead4c364926a9696513ee4254738d730dcbb6a481"",""lorem"":""FQP-3c3482178d80674f04e42ba910f427055b04fb754d4220f892dd705f52673d43"",""mask"":""FQP-a3564829939b0fb8bd413215698628bee421665266761f32b738780814a5ea7c"",""na"":""FQP-fa6c1192f182d2b68a50b3c4cc2873db2bd4f7719d2ed0ee4bffb83599483c06"",""space"":""FQP-92ecf23d8b8c3d2de1924a27d6e371119138b24d35eb2bac494310be88700f47""}",hate,False,False,null,hate,null,True,2.6696689794402557
FQD-FD-3169-Q02-F1-X1-H,FD-3169-Q02,-0.22872187296549473,2.675290478171651,-2.904012351137146,"{""empty"":3.3669464111328127,""lorem"":4.366543324788411,""mask"":2.702179718017578,""na"":1.6632896423339845,""space"":2.8595453898111978}","{""empty"":-3.5956682840983074,""lorem"":-4.595265197753906,""mask"":-2.9309015909830727,""na"":-1.8920115152994792,""space"":-3.0882672627766925}","{""empty"":-2.7817560123816993,""lorem"":-2.7065796152811554,""mask"":-2.897387402374003,""na"":-3.3879592694269767,""space"":-2.8622494944075187}",FQP-2bf81d1245524b55fc21726f611893ab42969e5467e0c2417175c65c354d39c2,"{""empty"":""FQP-143d3809903c73a102c8db7c222c36a65feff42404b1846e367c759020c60b13"",""lorem"":""FQP-99ded06ca1fcb752e8d802358d4ab65af5f2e65c553d9b1beba3eebb59fce2e1"",""mask"":""FQP-7f116d120155b660bc0e6afdb0575f0ff4aed5f40bf727e4f5435927f982050f"",""na"":""FQP-5dec29608691c33740be0d39b47052f2004f4a3c47b230bac3a10970d986bd4f"",""space"":""FQP-6fec6081498d20d068f79b04f28d31c935c29b226120f77612cd56158cff07ba""}",hate,False,False,null,hate,null,True,2.904012351137146
