contrast_id,cross_query,human_stratum_validation_required,ncc_background_cancels,role,terms,main_effects,main_directions,all_five_directions_agree_resolved,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc
FD-3169-Q01-F1-P2-X2-sA,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""}]","{""ab_forward/answer_sum"":5.019351959228516,""ab_reverse/answer_sum"":3.546875,""ncc"":0.4617841541639809,""original/answer_mean"":0.5111078898111979,""original/answer_sum"":2.159149169921875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-P2-X2-I,False,False,False,scope_matched,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":-1.7476119995117188,""ab_reverse/answer_sum"":-0.7122764587402344,""ncc"":-0.193057667698727,""original/answer_mean"":-0.1872889200846354,""original/answer_sum"":-0.6580657958984375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-P2-X2-C,False,False,False,scope_matched,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":4.145545959472656,""ab_reverse/answer_sum"":3.190736770629883,""ncc"":0.3652553203146174,""original/answer_mean"":0.4174634297688802,""original/answer_sum"":1.8301162719726562}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-O-P1-sH,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""}]","{""ab_forward/answer_sum"":-2.5371627807617188,""ab_reverse/answer_sum"":-6.329193115234375,""ncc"":-0.6523569733066856,""original/answer_mean"":-0.6945729573567708,""original/answer_sum"":-2.997528076171875}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P1-sA,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""}]","{""ab_forward/answer_sum"":-1.7045097351074219,""ab_reverse/answer_sum"":-3.658252716064453,""ncc"":-0.3235169379609233,""original/answer_mean"":-0.3702479044596354,""original/answer_sum"":-1.5903701782226562}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P1-I,False,False,False,scope_total_bridge,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""}]","{""ab_forward/answer_sum"":-0.8326530456542969,""ab_reverse/answer_sum"":-2.670940399169922,""ncc"":-0.32884003534576234,""original/answer_mean"":-0.3243250528971355,""original/answer_sum"":-1.4071578979492188}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P1-C,False,False,False,scope_total_bridge,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""}]","{""ab_forward/answer_sum"":-2.1208362579345703,""ab_reverse/answer_sum"":-4.993722915649414,""ncc"":-0.48793695563380446,""original/answer_mean"":-0.5324104309082032,""original/answer_sum"":-2.2939491271972656}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-X1-sH,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":0.4228019714355469,""ab_reverse/answer_sum"":-4.697074890136719,""ncc"":-0.40447543953954046,""original/answer_mean"":-0.42054672241210933,""original/answer_sum"":-1.7294120788574219}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,True,True
FD-3169-Q01-F1-O-X1-sA,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""}]","{""ab_forward/answer_sum"":1.9998664855957031,""ab_reverse/answer_sum"":-1.0929718017578125,""ncc"":0.06608253097151717,""original/answer_mean"":0.03332366943359377,""original/answer_sum"":0.11553955078125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",False,False,True
FD-3169-Q01-F1-O-X1-I,False,False,False,scope_total_bridge,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":-1.5770645141601562,""ab_reverse/answer_sum"":-3.6041030883789062,""ncc"":-0.47055797051105763,""original/answer_mean"":-0.4538703918457031,""original/answer_sum"":-1.8449516296386719}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-X1-C,False,False,False,scope_total_bridge,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":1.211334228515625,""ab_reverse/answer_sum"":-2.8950233459472656,""ncc"":-0.16919645428401164,""original/answer_mean"":-0.19361152648925778,""original/answer_sum"":-0.8069362640380859}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,True,True
FD-3169-Q01-F1-O-P2-sH,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""}]","{""ab_forward/answer_sum"":-1.8402290344238281,""ab_reverse/answer_sum"":-6.022739410400391,""ncc"":-0.6012252223351102,""original/answer_mean"":-0.6909032185872396,""original/answer_sum"":-2.9773101806640625}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P2-sA,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""}]","{""ab_forward/answer_sum"":-1.4635734558105469,""ab_reverse/answer_sum"":-3.2984161376953125,""ncc"":-0.2950737648792594,""original/answer_mean"":-0.38702290852864585,""original/answer_sum"":-1.6644515991210938}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P2-I,False,False,False,scope_total_bridge,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""}]","{""ab_forward/answer_sum"":-0.37665557861328125,""ab_reverse/answer_sum"":-2.724323272705078,""ncc"":-0.3061514574558508,""original/answer_mean"":-0.3038803100585938,""original/answer_sum"":-1.3128585815429688}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-P2-C,False,False,False,scope_total_bridge,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""}]","{""ab_forward/answer_sum"":-1.6519012451171875,""ab_reverse/answer_sum"":-4.660577774047852,""ncc"":-0.4481494936071848,""original/answer_mean"":-0.5389630635579428,""original/answer_sum"":-2.320880889892578}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-X2-sH,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":1.4315109252929688,""ab_reverse/answer_sum"":-3.188140869140625,""ncc"":-0.33249873586985634,""original/answer_mean"":-0.36708424886067714,""original/answer_sum"":-1.476226806640625}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,True,True
FD-3169-Q01-F1-O-X2-sA,False,False,False,scope_total_bridge,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""}]","{""ab_forward/answer_sum"":3.5557785034179688,""ab_reverse/answer_sum"":0.2484588623046875,""ncc"":0.16671038928472148,""original/answer_mean"":0.12408498128255208,""original/answer_sum"":0.49469757080078125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-O-X2-I,False,False,False,scope_total_bridge,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":-2.124267578125,""ab_reverse/answer_sum"":-3.4365997314453125,""ncc"":-0.4992091251545778,""original/answer_mean"":-0.4911692301432292,""original/answer_sum"":-1.9709243774414062}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-O-X2-C,False,False,False,scope_total_bridge,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":2.4936447143554688,""ab_reverse/answer_sum"":-1.4698410034179688,""ncc"":-0.08289417329256743,""original/answer_mean"":-0.12149963378906252,""original/answer_sum"":-0.4907646179199219}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,False,True
FD-3169-Q02-F1-O-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-O-H""}]","{""ab_forward/answer_sum"":-1.5445308685302734,""ab_reverse/answer_sum"":-1.9857673645019531,""ncc"":-0.14866788307873646,""original/answer_mean"":-0.2690718332926432,""original/answer_sum"":-0.8510913848876953}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-P1-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-H""}]","{""ab_forward/answer_sum"":-1.652200698852539,""ab_reverse/answer_sum"":-2.908580780029297,""ncc"":-0.1284624828369325,""original/answer_mean"":-0.24435145060221353,""original/answer_sum"":-0.7791252136230469}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-X1-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-H""}]","{""ab_forward/answer_sum"":-1.6907596588134766,""ab_reverse/answer_sum"":-3.1176376342773438,""ncc"":-0.23434337169689012,""original/answer_mean"":-0.33805974324544275,""original/answer_sum"":-0.9903755187988281}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-P2-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P2-H""}]","{""ab_forward/answer_sum"":-1.6607036590576172,""ab_reverse/answer_sum"":-2.797840118408203,""ncc"":-0.13884287975984666,""original/answer_mean"":-0.25697568257649733,""original/answer_sum"":-0.8283557891845703}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-X2-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X2-H""}]","{""ab_forward/answer_sum"":-1.9920616149902344,""ab_reverse/answer_sum"":-2.8990859985351562,""ncc"":-0.19970043352628286,""original/answer_mean"":-0.3120644887288412,""original/answer_sum"":-0.9913730621337891}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-P1-X1-sH,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-H""}]","{""ab_forward/answer_sum"":0.2777442932128906,""ab_reverse/answer_sum"":0.24956512451171875,""ncc"":0.11652701106206687,""original/answer_mean"":0.14267171223958341,""original/answer_sum"":0.2491302490234375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q02-F1-P1-X1-sA,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-A""}]","{""ab_forward/answer_sum"":0.3163032531738281,""ab_reverse/answer_sum"":0.4586219787597656,""ncc"":0.22240789992202448,""original/answer_mean"":0.23638000488281263,""original/answer_sum"":0.46038055419921875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q02-F1-P1-X1-I,False,False,False,scope_matched,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P1-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X1-H""}]","{""ab_forward/answer_sum"":-0.0385589599609375,""ab_reverse/answer_sum"":-0.20905685424804688,""ncc"":-0.10588088885995761,""original/answer_mean"":-0.09370829264322922,""original/answer_sum"":-0.21125030517578125}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q02-F1-P1-X1-C,False,False,False,scope_matched,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q02-F1-P1-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q02-F1-P1-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q02-F1-X1-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q02-F1-X1-H""}]","{""ab_forward/answer_sum"":0.2970237731933594,""ab_reverse/answer_sum"":0.3540935516357422,""ncc"":0.16946745549204567,""original/answer_mean"":0.18952585856119802,""original/answer_sum"":0.3547554016113281}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q02-F1-P2-X2-sH,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q02-F1-P2-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q02-F1-X2-H""}]","{""ab_forward/answer_sum"":0.2397174835205078,""ab_reverse/answer_sum"":0.9708137512207031,""ncc"":0.05114174932332638,""original/answer_mean"":0.10623423258463544,""original/answer_sum"":0.309173583984375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,False,True
