condition_id,query_id,parent_query_id,stage,role,demo_family,demo_surface,lexicon_arm,source_condition,input_freeze_status
FQD-FD-3169-Q01-F1-P1-H,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q01-F1-P1-A,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q01-F1-X1-H,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q01-F1-X1-A,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q01-F1-P2-H,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q01-F1-P2-A,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q01-F1-X2-H,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q01-F1-X2-A,FD-3169-Q01,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q02-F1-O-H,FD-3169-Q02,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q02-F1-O-A,FD-3169-Q02,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q02-F1-N1-H,FD-3169-Q02,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q02-F1-N1-A,FD-3169-Q02,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q02-F1-N2-H,FD-3169-Q02,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q02-F1-N2-A,FD-3169-Q02,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q02-F1-D-H,FD-3169-Q02,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q02-F1-D-A,FD-3169-Q02,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q02-F2-O-H,FD-3169-Q02,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q02-F2-O-A,FD-3169-Q02,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q02-F2-N1-H,FD-3169-Q02,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q02-F2-N1-A,FD-3169-Q02,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q02-F2-N2-H,FD-3169-Q02,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q02-F2-N2-A,FD-3169-Q02,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q02-F2-D-H,FD-3169-Q02,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q02-F2-D-A,FD-3169-Q02,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q02-F1-P1-H,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q02-F1-P1-A,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q02-F1-X1-H,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q02-F1-X1-A,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q02-F1-P2-H,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q02-F1-P2-A,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q02-F1-X2-H,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q02-F1-X2-A,FD-3169-Q02,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q03-F1-O-H,FD-3169-Q03,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q03-F1-O-A,FD-3169-Q03,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q03-F1-N1-H,FD-3169-Q03,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q03-F1-N1-A,FD-3169-Q03,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q03-F1-N2-H,FD-3169-Q03,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q03-F1-N2-A,FD-3169-Q03,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q03-F1-D-H,FD-3169-Q03,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q03-F1-D-A,FD-3169-Q03,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q03-F2-O-H,FD-3169-Q03,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q03-F2-O-A,FD-3169-Q03,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q03-F2-N1-H,FD-3169-Q03,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q03-F2-N1-A,FD-3169-Q03,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q03-F2-N2-H,FD-3169-Q03,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q03-F2-N2-A,FD-3169-Q03,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q03-F2-D-H,FD-3169-Q03,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q03-F2-D-A,FD-3169-Q03,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q03-F1-P1-H,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q03-F1-P1-A,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q03-F1-X1-H,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q03-F1-X1-A,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q03-F1-P2-H,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q03-F1-P2-A,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q03-F1-X2-H,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q03-F1-X2-A,FD-3169-Q03,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q04-F1-O-H,FD-3169-Q04,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q04-F1-O-A,FD-3169-Q04,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q04-F1-N1-H,FD-3169-Q04,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q04-F1-N1-A,FD-3169-Q04,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q04-F1-N2-H,FD-3169-Q04,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q04-F1-N2-A,FD-3169-Q04,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q04-F1-D-H,FD-3169-Q04,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q04-F1-D-A,FD-3169-Q04,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q04-F2-O-H,FD-3169-Q04,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q04-F2-O-A,FD-3169-Q04,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q04-F2-N1-H,FD-3169-Q04,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q04-F2-N1-A,FD-3169-Q04,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q04-F2-N2-H,FD-3169-Q04,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q04-F2-N2-A,FD-3169-Q04,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q04-F2-D-H,FD-3169-Q04,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q04-F2-D-A,FD-3169-Q04,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q04-F1-P1-H,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q04-F1-P1-A,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q04-F1-X1-H,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q04-F1-X1-A,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q04-F1-P2-H,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q04-F1-P2-A,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q04-F1-X2-H,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q04-F1-X2-A,FD-3169-Q04,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q05-F1-O-H,FD-3169-Q05,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q05-F1-O-A,FD-3169-Q05,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q05-F1-N1-H,FD-3169-Q05,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q05-F1-N1-A,FD-3169-Q05,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q05-F1-N2-H,FD-3169-Q05,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q05-F1-N2-A,FD-3169-Q05,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q05-F1-D-H,FD-3169-Q05,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q05-F1-D-A,FD-3169-Q05,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q05-F2-O-H,FD-3169-Q05,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q05-F2-O-A,FD-3169-Q05,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q05-F2-N1-H,FD-3169-Q05,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q05-F2-N1-A,FD-3169-Q05,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q05-F2-N2-H,FD-3169-Q05,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q05-F2-N2-A,FD-3169-Q05,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q05-F2-D-H,FD-3169-Q05,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q05-F2-D-A,FD-3169-Q05,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q05-F1-P1-H,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q05-F1-P1-A,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q05-F1-X1-H,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q05-F1-X1-A,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q05-F1-P2-H,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q05-F1-P2-A,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q05-F1-X2-H,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q05-F1-X2-A,FD-3169-Q05,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q06-F1-O-H,FD-3169-Q06,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q06-F1-O-A,FD-3169-Q06,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q06-F1-N1-H,FD-3169-Q06,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q06-F1-N1-A,FD-3169-Q06,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q06-F1-N2-H,FD-3169-Q06,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q06-F1-N2-A,FD-3169-Q06,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q06-F1-D-H,FD-3169-Q06,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q06-F1-D-A,FD-3169-Q06,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q06-F2-O-H,FD-3169-Q06,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q06-F2-O-A,FD-3169-Q06,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q06-F2-N1-H,FD-3169-Q06,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q06-F2-N1-A,FD-3169-Q06,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q06-F2-N2-H,FD-3169-Q06,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q06-F2-N2-A,FD-3169-Q06,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q06-F2-D-H,FD-3169-Q06,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q06-F2-D-A,FD-3169-Q06,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q06-F1-P1-H,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q06-F1-P1-A,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q06-F1-X1-H,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q06-F1-X1-A,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q06-F1-P2-H,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q06-F1-P2-A,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q06-F1-X2-H,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q06-F1-X2-A,FD-3169-Q06,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q07-F1-O-H,FD-3169-Q07,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q07-F1-O-A,FD-3169-Q07,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q07-F1-N1-H,FD-3169-Q07,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q07-F1-N1-A,FD-3169-Q07,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q07-F1-N2-H,FD-3169-Q07,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q07-F1-N2-A,FD-3169-Q07,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q07-F1-D-H,FD-3169-Q07,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q07-F1-D-A,FD-3169-Q07,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q07-F2-O-H,FD-3169-Q07,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q07-F2-O-A,FD-3169-Q07,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q07-F2-N1-H,FD-3169-Q07,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q07-F2-N1-A,FD-3169-Q07,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q07-F2-N2-H,FD-3169-Q07,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q07-F2-N2-A,FD-3169-Q07,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q07-F2-D-H,FD-3169-Q07,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q07-F2-D-A,FD-3169-Q07,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q07-F1-P1-H,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q07-F1-P1-A,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q07-F1-X1-H,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q07-F1-X1-A,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q07-F1-P2-H,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q07-F1-P2-A,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q07-F1-X2-H,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q07-F1-X2-A,FD-3169-Q07,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-FD-3169-Q08-F1-O-H,FD-3169-Q08,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q08-F1-O-A,FD-3169-Q08,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q08-F1-N1-H,FD-3169-Q08,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q08-F1-N1-A,FD-3169-Q08,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q08-F1-N2-H,FD-3169-Q08,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q08-F1-N2-A,FD-3169-Q08,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q08-F1-D-H,FD-3169-Q08,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q08-F1-D-A,FD-3169-Q08,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q08-F2-O-H,FD-3169-Q08,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q08-F2-O-A,FD-3169-Q08,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q08-F2-N1-H,FD-3169-Q08,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q08-F2-N1-A,FD-3169-Q08,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q08-F2-N2-H,FD-3169-Q08,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q08-F2-N2-A,FD-3169-Q08,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q08-F2-D-H,FD-3169-Q08,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q08-F2-D-A,FD-3169-Q08,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
FQD-FD-3169-Q08-F1-P1-H,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,H,P1,F1-P1-H,draft_not_frozen
FQD-FD-3169-Q08-F1-P1-A,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,A,P1,F1-P1-O,draft_not_frozen
FQD-FD-3169-Q08-F1-X1-H,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,H,X1,F1-X1-H,draft_not_frozen
FQD-FD-3169-Q08-F1-X1-A,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,A,X1,F1-X1-O,draft_not_frozen
FQD-FD-3169-Q08-F1-P2-H,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,H,P2,F1-P2-H,draft_not_frozen
FQD-FD-3169-Q08-F1-P2-A,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,A,P2,F1-P2-O,draft_not_frozen
FQD-FD-3169-Q08-F1-X2-H,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,H,X2,F1-X2-H,draft_not_frozen
FQD-FD-3169-Q08-F1-X2-A,FD-3169-Q08,3169,stage_2_supplement,scope_supplement,1,A,X2,F1-X2-O,draft_not_frozen
FQD-3169-F1-O-H,3169,3169,stage_1,historical_anchor,1,H,O,F1-O-H,draft_not_frozen
FQD-3169-F1-O-A,3169,3169,stage_1,historical_anchor,1,A,O,F1-O-O,draft_not_frozen
FQD-3169-F2-O-H,3169,3169,stage_1,historical_anchor,2,H,O,F2-O-H,draft_not_frozen
FQD-3169-F2-O-A,3169,3169,stage_1,historical_anchor,2,A,O,F2-O-O,draft_not_frozen
