object_id,term,original_definition,definition_verdict,verdict_provenance,assessment_status,adopted_definition,rewrite_instruction,ai_suggested_definition
definition:lex-0182:sense:01,染艾,'染艾'是'感染艾滋病'的中文缩写，常用于对男同性恋群体的侮辱性言论。,,pending,needs_discussion,,,有关感染HIV或患艾滋病的简略说法；在部分语境中被用于疾病污名化，但词面本身不指明性取向，也不自动表示攻击。
definition:lex-0235:sense:01,普信男,普通却自信的男人简称，常含贬义。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0279:sense:01,娘娘腔,用于形容某些男性在语音、语调或行为上表现出的女性化特征，常含贬义。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0419:sense:01,嘿嘿,'嘿嘿'是'黑黑'的中文谐音，对黑人群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0455:sense:01,接盘侠,形容男人愿意接受女人复杂的情史、堕胎等行为，并愿意娶她为妻。,,pending,needs_discussion,,,比喻承接他人留下的责任、负担或损失的人，常带调侃或贬义；婚恋语境中可用于讥讽被认为接受他人感情或婚育经历的男性，具体身份与指控须依上下文判断。
definition:lex-0543:sense:01,反同,反对同性恋，是指对同性恋持否定、排斥或敌视的态度和立场。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0545:sense:01,撑同,来源于2013年举办的反歧视活动'撑同志反歧视'，是'反同'的反义词。,,pending,needs_discussion,,,支持同性恋者及其平等权益、反对因性取向而歧视的立场或行动；2013年有“撑同志，反歧视”活动，但不据此断定词语起源。
definition:lex-0590:sense:01,垃圾,形容一个人或事物毫无价值、无用或者令人反感。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0690:sense:01,网暴,'网络暴力'的简称，指通过网络以文本、图像、音频、视频等形式对个人集中发布的，含有侮辱谩骂、造谣诽谤、煽动仇恨、威逼胁迫、侵犯隐私，以及影响身心健康的指责嘲讽、贬低歧视等内容的违法和不良信息。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0714:sense:01,ex,"'恶心'的中文拼音缩写，厌恶之极,不堪忍耐。",reasonable,ai_note,ai_reviewed,,,
definition:lex-0731:sense:01,双标,对同一性质的事件或人，因主观偏好、利益等因素采用不同评判标准的行为‌。,reasonable,ai_note,ai_reviewed,,,
definition:lex-new-6b02c58315cc4cdf:sense:01,乐色,“垃圾”的方言读音相关写法，可用于表示无价值、令人反感的事物或贬低对象；具体是物品、观点还是对人的贬损须结合上下文，不自动指定群体目标。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0031:sense:01,仙女,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,other_problem,ai_note,ai_reviewed,,,在部分网络争论中，用“仙女”反讽或贬评女性，指控其自私、双标等；这些是说话者的评价，不是被称呼者的客观属性。神话人物、昵称或赞美等用法另辨。
definition:lex-0032:sense:01,小仙女,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,other_problem,ai_note,ai_reviewed,,,在部分网络争论中，用“小仙女”反讽或贬评女性，指控其自私、双标等；也可用于亲昵称呼或赞美，具体含义依上下文判断。
definition:lex-0060:sense:01,非洲佬,对黑人群体及非洲地区的侮辱性用词。,,pending,needs_discussion,,,对非洲人的轻蔑或贬损称呼；不能仅凭该词把地域身份等同为黑人种族身份，具体种族指向需另有语境依据。
definition:lex-0067:sense:01,母人,是对女性群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0129:sense:01,舔狗,指毫无尊严去跪舔他人的人，多指男性。,other_problem,ai_note,ai_reviewed,,,讥讽被认为过度迎合、讨好他人的人，常见于感情或人际关系讨论；不限定性别，也不把“毫无尊严”等指控当作对象事实。
definition:lex-0135:sense:01,白皮,对白人群体的侮辱性用词。,,pending,needs_discussion,,,在部分指人语境中，可作对白人的轻蔑或贬损称呼；普通肤色、物品或其他字面用法不据此判攻击。
definition:lex-0286:sense:01,同志,在部分语境中用于指称同性恋者；普通同伴、同事或政治称谓等用法不应直接套用这一义项。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0310:sense:01,黑皮,本意为黑色皮肤，常用于指代黑人群体，含贬义。,,pending,needs_discussion,,,本指黑色皮肤；在部分语境中可指黑人，也可用于贬损。是否带贬义取决于作者立场及上下文，不由肤色指称本身决定。
definition:lex-0335:sense:01,反黑,在治安等语境中可指打击黑社会势力。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0335:sense:02,反黑,在部分种族议题讨论中也可能指反对、排斥或敌视黑人；需依据具体语境区分，不能将所有“反黑”都解释为对黑人的迫害。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0343:sense:01,骗婚,同性恋者隐瞒自己性取向，步入异性恋婚姻的行为。,,pending,needs_discussion,,,以欺骗手段使他人进入婚姻，或利用婚姻关系实施欺骗；在部分性取向讨论中，可特指隐瞒性取向与异性结婚，不应将该情形等同所有骗婚或所有同性恋者。
definition:lex-0437:sense:01,圣母,意思是那些无原则底线的包容、原谅他人，对任何人事物都抱有博爱之心，不讲求客观事实，一切行动准则都只围绕“爱”“善”两字为中心，会因此伤害到他人的人。,other_problem,ai_note,ai_reviewed,,,网络争论中对被认为无原则地宽容、原谅或倡导善意者的讽刺性称呼；这些是使用者的评价，不是由称呼即可证明的事实。宗教等用法另辨。
definition:lex-0449:sense:01,阿娜,'阿娜'是游戏《魔兽世界：军团再临》中的游戏角色'鬼母阿娜'的简称，因其性别为女且形象丑陋，常用于对女性群体的侮辱性称呼，尤其是体型较大的女性群体。,,pending,needs_discussion,,,
definition:lex-0463:sense:01,**,一般**是通配符号，可以替代所有的字符，常用于替换一些敏感或毒性用词。,,pending,needs_discussion,,,在部分文本中可隐去或暗示未写出的词语，包括粗俗或敏感内容；也可能是排版、技术或字面符号。不能单凭星号还原具体辱词或认定经过平台屏蔽。
definition:lex-0473:sense:01,爱丁堡,网络用语主要指的是中国城市上海。这一隐喻起源于2022年上海第六人民医院发布的一篇关于救治外籍患者特殊病例的文章，引发了公众对于医疗资源分配问题的讨论。,,pending,needs_discussion,,,在部分中文网络语境中用作上海的戏称或贬称；应与苏格兰城市爱丁堡的正常地名用法区分。具体起源叙述另作来源核验。
definition:lex-0562:sense:01,魔怔,网络用语，指那些行为举止异常、情绪不稳定的现象，通常表现为对某些事物极度热爱，甚至产生戒断反应，失去这些事物后无法自拔。这种现象在网络上尤为常见，常常出现在社交网络骂战中。‌,,pending,needs_discussion,,,用来形容或讥讽被认为言行偏执、极端、反常或过度沉迷的人及其状态；这是说话者的评价，不等同医学诊断，也不必然涉及戒断反应。
definition:lex-0624:sense:01,九头鸟,来源于“天上九头鸟，地上湖北佬”的谚语，影射湖北人好战、不团结、精明等。,reasonable,ai_note,ai_reviewed,,,
definition:lex-0635:sense:01,操,在部分口语、网络粗口中用于咒骂或表达强烈不满，属粗俗表达；“操作”等普通词中的用法应排除。,reasonable,ai_note,ai_reviewed,,,
