source_batch,object_id,text,hate,group,attack_severity,pending_tasks,hate_source,group_source,severity_source,online_material_confirmed
8,demo:7464,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,hate,"[""LGBTQ"", ""others""]",2,,rule_mapping_from_user_score,ai_note,user_discussion,False
8,demo:7485,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,hate,"[""LGBTQ""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7519,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,hate,"[""LGBTQ"", ""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7545,按皮肤归纳人种本来就不对，黑人里面的人种特别多，天差地别。而且黑人不聪明很多是教育的原因。但是黑人数目那么大，比例少但是数量绝对不少。没必要说哪种人比哪种人聪明，更开化什么的。我就在网上看到过一些黑人精英，而且能到中国做生意的黑人，很多时候也是非洲比较聪明厉害有行动力的。就文化我们和他们处不来，但是做生意，尊重一些还是能做到的。,non-hate,"[""Racism""]",0,,rule_mapping_from_user_score,ai_note,user_discussion,False
8,demo:7556,江浙沪不黑其他省份就不错了，2002年黑山东多宝鱼药物残留超标的是哪里？给山东造成了40多亿的损失。2015年的山东青岛大虾事件，是哪里的食客吃霸王餐倒打一耙？2019年的山大学伴事件是哪里媒体带头炒作出来的？2020年上海的自媒体同时炒作山东理工大学学生虐猫和山东烟台鲍毓明xx养女。经常黑山东的财经专家叶檀是哪里的？骂一亿山东人不如z的大学生是宇宙省的。骂全国的许女是哪里的？,hate,"[""Region""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7611,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7633,国外有敌对黑恶势力，收买国内一些下贱二狗子汉奸在国内做恶意引导～,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7640,哈哈你看看自己说的是什么破玩意，先学学语文吧😆,hate,"[""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7641,你的逻辑没毛病，你来我的评论下面回复，说我找存在感。自己自卑就认，不要老玩这种完全主观和虚无主义。就这点能力，你也配讨论政治。滑天下之大稽。就这啊，继续加大力度，看封的是谁😓😓😓,hate,"[""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7661,层主是女性反串的吗,non-hate,"[""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7678,这不正是你们这帮lj的写照吗？自己不接受的事物就要怱悠别人都来反对，还自以为很正义～,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7694,本来就是一帮没啥别的只能靠地域来包装自己优越感的傻*，网上输出暴论自我安慰图一乐罢了。,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:771,兄弟们我上条冲错了，牛头怪是自己人，其他三个是真默🐶，冲另外三个默孝子,hate,"[""Racism"", ""others""]",3,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7782,这点道理都不懂你211的书怕是白念了？他扶被诬陷有警察主持“正义”，我们扶等着赔钱吧。还有你既然觉得你是对的，就不要隐瞒啊🍉,hate,"[""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7819,带头的属于是恰烂钱的，跟风的就是铁nt,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7823,哦哦，真可怜呢，只能说不要一击脱离就拉黑哦，他说这个和反封建无关，你就来跳脚了呢[脱单doge]，仿佛在证明这种虚构抄袭的作品没有封建的原素呢，什么封建余孽残余[表情]。学会了几个词就开始乱用，来找寻自己的存在感，真是可怜你是呢。真的，家里没有人吗？太可怜了吧？家里没人照顾孤单寂寞就来网上喷粪了，所以来网络找寻存在感。[脱单doge]真抱歉，戳住你的痛处了呢。你可以继续说，我当然能包容你的。因为家里面没人照顾你，自己没有亲人，来网上喷粪，结果还被戳穿了，好痛苦哦。一击脱离是真的很好笑哦,hate,"[""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7836,都是一些歪瓜裂枣的LKD,hate,"[""Sexism""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7852,得了 ，就你还理智？也不看看自己是什么样子,hate,"[""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7910,这不就是中国人口吧那群人吗？老大聪明了,hate,"[""others""]",1,,rule_mapping_from_user_score,ai_note,user_discussion,False
8,demo:7927,你个loser，自己生活失败，就天天黑人怎么怎么样，人家惹你了吗,hate,"[""Racism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7959,一位优秀的接盘侠👍👍,hate,"[""others""]",1,,rule_mapping_from_ai_score,user_discussion,ai_note,False
8,demo:796,本人山东的回族，也是被黑的挺惨的,non-hate,"[""Racism"", ""Region""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:857,卡菲勒是同性恋🤭,non-hate,"[""LGBTQ""]",0,,rule_mapping_from_user_score,user_discussion,user_discussion,False
8,demo:867,倒贴找黑老丑的我都隔应，不自重自爱，就要被唾弃。,hate,"[""Racism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:877,泼图的意义？以诙谐、从容的形式让同性恋们认知到我们处于优势地位的事实,hate,"[""LGBTQ""]",1,,rule_mapping_from_user_score,ai_note,user_discussion,False
8,demo:924,中国男人超强的繁殖欲，也许我们的基因就决定了我们不团结，所以才需要高喊团结的口号，而国外大多数人泽不需要这些毒鸡汤就能看破实物的本质,hate,"[""Region"", ""Sexism""]",2,,rule_mapping_from_user_score,user_discussion,user_discussion,False
8,demo:936,你还真不要小看舆论的力量，有很多事情都是迫于舆论的压力才得以解决，如果大家都保持沉默，那才不是个好现象，不光要反对三非，还要反对在国内的所有洋垃圾，还国人一片净土,hate,"[""Region""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
