condition,stratum,n,task,label,f1,fn,fp,precision,recall,tp
CLnew,gold_size_1,328,group,LGBTQ,0.8285714285714286,8,4,0.8787878787878788,0.7837837837837838,29
CLnew,gold_size_1,328,group,Racism,0.7575757575757576,28,4,0.9259259259259259,0.6410256410256411,50
CLnew,gold_size_1,328,group,Region,0.7611940298507462,29,3,0.9444444444444444,0.6375,51
CLnew,gold_size_1,328,group,Sexism,0.797979797979798,33,7,0.9186046511627907,0.7053571428571429,79
CLnew,gold_size_1,328,group,others,0.2631578947368421,16,12,0.29411764705882354,0.23809523809523808,5
CLnew,gold_size_1,328,hate,hate,0.21311475409836064,288,0,1.0,0.11926605504587157,39
CLnew,gold_size_1,328,hate,non-hate,0.006896551724137931,0,288,0.0034602076124567475,1.0,1
CLnew,gold_size_2plus,63,group,LGBTQ,0.7058823529411765,3,2,0.75,0.6666666666666666,6
CLnew,gold_size_2plus,63,group,Racism,0.7027027027027027,21,1,0.9629629629629629,0.5531914893617021,26
CLnew,gold_size_2plus,63,group,Region,0.3,12,2,0.6,0.2,3
CLnew,gold_size_2plus,63,group,Sexism,0.5396825396825397,28,1,0.9444444444444444,0.37777777777777777,17
CLnew,gold_size_2plus,63,group,others,0.0,17,3,0.0,0.0,0
CLnew,gold_size_2plus,63,hate,hate,0.273972602739726,53,0,1.0,0.15873015873015872,10
CLnew,gold_size_2plus,63,hate,non-hate,0.0,0,53,0.0,0.0,0
CD,all,643,group,LGBTQ,0.780952380952381,5,18,0.6949152542372882,0.8913043478260869,41
CD,all,643,group,Racism,0.7452471482889734,27,40,0.7101449275362319,0.784,98
CD,all,643,group,Region,0.6639004149377593,15,66,0.547945205479452,0.8421052631578947,80
CD,all,643,group,Sexism,0.7359550561797753,26,68,0.6582914572864321,0.8343949044585988,131
CD,all,643,group,others,0.43333333333333335,25,9,0.5909090909090909,0.34210526315789475,13
CD,all,643,hate,hate,0.7961399276236429,60,109,0.7517084282460137,0.8461538461538461,330
CD,all,643,hate,non-hate,0.6301969365426696,109,60,0.7058823529411765,0.5691699604743083,144
CD,Lq_hit,223,group,LGBTQ,0.8615384615384616,1,8,0.7777777777777778,0.9655172413793104,28
CD,Lq_hit,223,group,Racism,0.8120300751879699,11,14,0.7941176470588235,0.8307692307692308,54
CD,Lq_hit,223,group,Region,0.8,6,10,0.7619047619047619,0.8421052631578947,32
CD,Lq_hit,223,group,Sexism,0.8167539267015707,15,20,0.7959183673469388,0.8387096774193549,78
CD,Lq_hit,223,group,others,0.3157894736842105,11,2,0.6,0.21428571428571427,3
CD,Lq_hit,223,hate,hate,0.8947368421052632,24,16,0.9139784946236559,0.8762886597938144,170
CD,Lq_hit,223,hate,non-hate,0.3939393939393939,16,24,0.35135135135135137,0.4482758620689655,13
CD,Lq_no_hit,420,group,LGBTQ,0.65,4,10,0.5652173913043478,0.7647058823529411,13
CD,Lq_no_hit,420,group,Racism,0.676923076923077,16,26,0.6285714285714286,0.7333333333333333,44
CD,Lq_no_hit,420,group,Region,0.5962732919254659,9,56,0.46153846153846156,0.8421052631578947,48
CD,Lq_no_hit,420,group,Sexism,0.6424242424242425,11,48,0.5247524752475248,0.828125,53
CD,Lq_no_hit,420,group,others,0.4878048780487805,14,7,0.5882352941176471,0.4166666666666667,10
CD,Lq_no_hit,420,hate,hate,0.7126948775055679,36,93,0.6324110671936759,0.8163265306122449,160
CD,Lq_no_hit,420,hate,non-hate,0.670076726342711,93,36,0.7844311377245509,0.5848214285714286,131
CD,gold_size_0,252,group,LGBTQ,0.0,0,12,0.0,0.0,0
CD,gold_size_0,252,group,Racism,0.0,0,23,0.0,0.0,0
CD,gold_size_0,252,group,Region,0.0,0,47,0.0,0.0,0
CD,gold_size_0,252,group,Sexism,0.0,0,39,0.0,0.0,0
CD,gold_size_0,252,group,others,0.0,0,5,0.0,0.0,0
CD,gold_size_0,252,hate,hate,0.0,0,109,0.0,0.0,0
CD,gold_size_0,252,hate,non-hate,0.7240506329113924,109,0,1.0,0.5674603174603174,143
CD,gold_size_1,328,group,LGBTQ,0.9066666666666666,3,4,0.8947368421052632,0.918918918918919,34
CD,gold_size_1,328,group,Racism,0.7948717948717948,16,16,0.7948717948717948,0.7948717948717948,62
CD,gold_size_1,328,group,Region,0.8711656441717791,9,12,0.8554216867469879,0.8875,71
CD,gold_size_1,328,group,Sexism,0.8284518828451883,13,28,0.7795275590551181,0.8839285714285714,99
CD,gold_size_1,328,group,others,0.3870967741935484,15,4,0.6,0.2857142857142857,6
CD,gold_size_1,328,hate,hate,0.9172185430463576,50,0,1.0,0.8470948012232415,277
CD,gold_size_1,328,hate,non-hate,0.038461538461538464,0,50,0.0196078431372549,1.0,1
CD,gold_size_2plus,63,group,LGBTQ,0.7777777777777778,2,2,0.7777777777777778,0.7777777777777778,7
CD,gold_size_2plus,63,group,Racism,0.8571428571428571,11,1,0.972972972972973,0.7659574468085106,36
CD,gold_size_2plus,63,group,Region,0.5806451612903226,6,7,0.5625,0.6,9
CD,gold_size_2plus,63,group,Sexism,0.8205128205128205,13,1,0.9696969696969697,0.7111111111111111,32
CD,gold_size_2plus,63,group,others,0.5833333333333334,10,0,1.0,0.4117647058823529,7
CD,gold_size_2plus,63,hate,hate,0.9137931034482759,10,0,1.0,0.8412698412698413,53
CD,gold_size_2plus,63,hate,non-hate,0.0,0,10,0.0,0.0,0
CLDnew,all,643,group,LGBTQ,0.8113207547169812,3,17,0.7166666666666667,0.9347826086956522,43
CLDnew,all,643,group,Racism,0.8048780487804879,26,22,0.8181818181818182,0.792,99
CLDnew,all,643,group,Region,0.6666666666666666,17,61,0.5611510791366906,0.8210526315789474,78
CLDnew,all,643,group,Sexism,0.8011527377521613,18,51,0.7315789473684211,0.8853503184713376,139
CLDnew,all,643,group,others,0.3148148148148148,21,53,0.24285714285714285,0.4473684210526316,17
CLDnew,all,643,hate,hate,0.6230529595015576,190,52,0.7936507936507936,0.5128205128205128,200
CLDnew,all,643,hate,non-hate,0.6242236024844721,52,190,0.5140664961636828,0.7944664031620553,201
CLDnew,Lq_hit,223,group,LGBTQ,0.8615384615384616,1,8,0.7777777777777778,0.9655172413793104,28
CLDnew,Lq_hit,223,group,Racism,0.90625,7,5,0.9206349206349206,0.8923076923076924,58
CLDnew,Lq_hit,223,group,Region,0.8,6,10,0.7619047619047619,0.8421052631578947,32
CLDnew,Lq_hit,223,group,Sexism,0.8969072164948454,6,14,0.8613861386138614,0.9354838709677419,87
CLDnew,Lq_hit,223,group,others,0.2857142857142857,6,34,0.19047619047619047,0.5714285714285714,8
CLDnew,Lq_hit,223,hate,hate,0.6179401993355482,101,14,0.8691588785046729,0.4793814432989691,93
CLDnew,Lq_hit,223,hate,non-hate,0.20689655172413793,14,101,0.12931034482758622,0.5172413793103449,15
CLDnew,Lq_no_hit,420,group,LGBTQ,0.7317073170731707,2,9,0.625,0.8823529411764706,15
CLDnew,Lq_no_hit,420,group,Racism,0.6949152542372882,19,17,0.7068965517241379,0.6833333333333333,41
CLDnew,Lq_no_hit,420,group,Region,0.5974025974025974,11,51,0.4742268041237113,0.8070175438596491,46
CLDnew,Lq_no_hit,420,group,Sexism,0.6797385620915033,12,37,0.5842696629213483,0.8125,52
CLDnew,Lq_no_hit,420,group,others,0.34615384615384615,15,19,0.32142857142857145,0.375,9
CLDnew,Lq_no_hit,420,hate,hate,0.6275659824046921,89,38,0.7379310344827587,0.5459183673469388,107
CLDnew,Lq_no_hit,420,hate,non-hate,0.7454909819639278,38,89,0.6763636363636364,0.8303571428571429,186
CLDnew,gold_size_0,252,group,LGBTQ,0.0,0,12,0.0,0.0,0
CLDnew,gold_size_0,252,group,Racism,0.0,0,14,0.0,0.0,0
CLDnew,gold_size_0,252,group,Region,0.0,0,47,0.0,0.0,0
CLDnew,gold_size_0,252,group,Sexism,0.0,0,28,0.0,0.0,0
CLDnew,gold_size_0,252,group,others,0.0,0,25,0.0,0.0,0
CLDnew,gold_size_0,252,hate,hate,0.0,0,52,0.0,0.0,0
CLDnew,gold_size_0,252,hate,non-hate,0.8849557522123894,52,0,1.0,0.7936507936507936,200
CLDnew,gold_size_1,328,group,LGBTQ,0.9090909090909091,2,5,0.875,0.9459459459459459,35
CLDnew,gold_size_1,328,group,Racism,0.8666666666666667,13,7,0.9027777777777778,0.8333333333333334,65
CLDnew,gold_size_1,328,group,Region,0.875,10,10,0.875,0.875,70
CLDnew,gold_size_1,328,group,Sexism,0.864406779661017,10,22,0.8225806451612904,0.9107142857142857,102
CLDnew,gold_size_1,328,group,others,0.32,13,21,0.27586206896551724,0.38095238095238093,8
CLDnew,gold_size_1,328,hate,hate,0.7049504950495049,149,0,1.0,0.5443425076452599,178
CLDnew,gold_size_1,328,hate,non-hate,0.013245033112582781,0,149,0.006666666666666667,1.0,1
CLDnew,gold_size_2plus,63,group,LGBTQ,0.9411764705882353,1,0,1.0,0.8888888888888888,8
CLDnew,gold_size_2plus,63,group,Racism,0.8292682926829268,13,1,0.9714285714285714,0.723404255319149,34
CLDnew,gold_size_2plus,63,group,Region,0.5925925925925926,7,4,0.6666666666666666,0.5333333333333333,8
CLDnew,gold_size_2plus,63,group,Sexism,0.891566265060241,8,1,0.9736842105263158,0.8222222222222222,37
CLDnew,gold_size_2plus,63,group,others,0.5454545454545454,8,7,0.5625,0.5294117647058824,9
CLDnew,gold_size_2plus,63,hate,hate,0.5176470588235295,41,0,1.0,0.3492063492063492,22
CLDnew,gold_size_2plus,63,hate,non-hate,0.0,0,41,0.0,0.0,0
CLnewNoCat,all,643,group,LGBTQ,0.6382978723404256,16,18,0.625,0.6521739130434783,30
CLnewNoCat,all,643,group,Racism,0.6886792452830188,52,14,0.8390804597701149,0.584,73
CLnewNoCat,all,643,group,Region,0.5853658536585366,47,21,0.6956521739130435,0.5052631578947369,48
CLnewNoCat,all,643,group,Sexism,0.5538461538461539,85,31,0.6990291262135923,0.4585987261146497,72
CLnewNoCat,all,643,group,others,0.0,38,1,0.0,0.0,0
CLnewNoCat,all,643,hate,hate,0.24269662921348314,336,1,0.9818181818181818,0.13846153846153847,54
CLnewNoCat,all,643,hate,non-hate,0.5992865636147443,1,336,0.42857142857142855,0.9960474308300395,252
CLnewNoCat,Lq_hit,223,group,LGBTQ,0.6349206349206349,9,14,0.5882352941176471,0.6896551724137931,20
CLnewNoCat,Lq_hit,223,group,Racism,0.6890756302521008,24,13,0.7592592592592593,0.6307692307692307,41
CLnewNoCat,Lq_hit,223,group,Region,0.7246376811594203,13,6,0.8064516129032258,0.6578947368421053,25
CLnewNoCat,Lq_hit,223,group,Sexism,0.6227544910179641,41,22,0.7027027027027027,0.5591397849462365,52
CLnewNoCat,Lq_hit,223,group,others,0.0,14,1,0.0,0.0,0
CLnewNoCat,Lq_hit,223,hate,hate,0.3950617283950617,146,1,0.9795918367346939,0.24742268041237114,48
CLnewNoCat,Lq_hit,223,hate,non-hate,0.27586206896551724,1,146,0.16091954022988506,0.9655172413793104,28
CLnewNoCat,Lq_no_hit,420,group,LGBTQ,0.6451612903225806,7,4,0.7142857142857143,0.5882352941176471,10
CLnewNoCat,Lq_no_hit,420,group,Racism,0.6881720430107527,28,1,0.9696969696969697,0.5333333333333333,32
CLnewNoCat,Lq_no_hit,420,group,Region,0.4842105263157895,34,15,0.6052631578947368,0.40350877192982454,23
CLnewNoCat,Lq_no_hit,420,group,Sexism,0.43010752688172044,44,9,0.6896551724137931,0.3125,20
CLnewNoCat,Lq_no_hit,420,group,others,0.0,24,0,0.0,0.0,0
CLnewNoCat,Lq_no_hit,420,hate,hate,0.0594059405940594,190,0,1.0,0.030612244897959183,6
CLnewNoCat,Lq_no_hit,420,hate,non-hate,0.7021943573667712,0,190,0.5410628019323671,1.0,224
CLnewNoCat,gold_size_0,252,group,LGBTQ,0.0,0,6,0.0,0.0,0
CLnewNoCat,gold_size_0,252,group,Racism,0.0,0,3,0.0,0.0,0
CLnewNoCat,gold_size_0,252,group,Region,0.0,0,15,0.0,0.0,0
CLnewNoCat,gold_size_0,252,group,Sexism,0.0,0,13,0.0,0.0,0
CLnewNoCat,gold_size_0,252,group,others,0.0,0,1,0.0,0.0,0
CLnewNoCat,gold_size_0,252,hate,hate,0.0,0,1,0.0,0.0,0
CLnewNoCat,gold_size_0,252,hate,non-hate,0.9980119284294234,1,0,1.0,0.996031746031746,251
CLnewNoCat,gold_size_1,328,group,LGBTQ,0.6857142857142857,13,9,0.7272727272727273,0.6486486486486487,24
CLnewNoCat,gold_size_1,328,group,Racism,0.7101449275362319,29,11,0.8166666666666667,0.6282051282051282,49
CLnewNoCat,gold_size_1,328,group,Region,0.7131782945736435,34,3,0.9387755102040817,0.575,46
CLnewNoCat,gold_size_1,328,group,Sexism,0.6632124352331606,48,17,0.7901234567901234,0.5714285714285714,64
CLnewNoCat,gold_size_1,328,group,others,0.0,21,0,0.0,0.0,0
CLnewNoCat,gold_size_1,328,hate,hate,0.2371967654986523,283,0,1.0,0.1345565749235474,44
CLnewNoCat,gold_size_1,328,hate,non-hate,0.007017543859649123,0,283,0.0035211267605633804,1.0,1
CLnewNoCat,gold_size_2plus,63,group,LGBTQ,0.6666666666666666,3,3,0.6666666666666666,0.6666666666666666,6
CLnewNoCat,gold_size_2plus,63,group,Racism,0.676056338028169,23,0,1.0,0.5106382978723404,24
CLnewNoCat,gold_size_2plus,63,group,Region,0.2,13,3,0.4,0.13333333333333333,2
CLnewNoCat,gold_size_2plus,63,group,Sexism,0.2962962962962963,37,1,0.8888888888888888,0.17777777777777778,8
CLnewNoCat,gold_size_2plus,63,group,others,0.0,17,0,0.0,0.0,0
CLnewNoCat,gold_size_2plus,63,hate,hate,0.273972602739726,53,0,1.0,0.15873015873015872,10
CLnewNoCat,gold_size_2plus,63,hate,non-hate,0.0,0,53,0.0,0.0,0
CLDnewNoCat,all,643,group,LGBTQ,0.819047619047619,3,16,0.7288135593220338,0.9347826086956522,43
CLDnewNoCat,all,643,group,Racism,0.8192771084337349,23,22,0.8225806451612904,0.816,102
CLDnewNoCat,all,643,group,Region,0.6556016597510373,16,67,0.541095890410959,0.8315789473684211,79
CLDnewNoCat,all,643,group,Sexism,0.7675070028011205,20,63,0.685,0.8726114649681529,137
CLDnewNoCat,all,643,group,others,0.3448275862068966,28,10,0.5,0.2631578947368421,10
CLDnewNoCat,all,643,hate,hate,0.6936416184971098,150,62,0.7947019867549668,0.6153846153846154,240
CLDnewNoCat,all,643,hate,non-hate,0.6430976430976431,62,150,0.5601173020527859,0.7549407114624506,191
CLDnewNoCat,Lq_hit,223,group,LGBTQ,0.8615384615384616,1,8,0.7777777777777778,0.9655172413793104,28
CLDnewNoCat,Lq_hit,223,group,Racism,0.9253731343283582,3,7,0.8985507246376812,0.9538461538461539,62
CLDnewNoCat,Lq_hit,223,group,Region,0.8,6,10,0.7619047619047619,0.8421052631578947,32
CLDnewNoCat,Lq_hit,223,group,Sexism,0.8341708542713567,10,23,0.7830188679245284,0.8924731182795699,83
CLDnewNoCat,Lq_hit,223,group,others,0.32,10,7,0.36363636363636365,0.2857142857142857,4
CLDnewNoCat,Lq_hit,223,hate,hate,0.7409638554216867,71,15,0.8913043478260869,0.634020618556701,123
CLDnewNoCat,Lq_hit,223,hate,non-hate,0.24561403508771928,15,71,0.16470588235294117,0.4827586206896552,14
CLDnewNoCat,Lq_no_hit,420,group,LGBTQ,0.75,2,8,0.6521739130434783,0.8823529411764706,15
CLDnewNoCat,Lq_no_hit,420,group,Racism,0.6956521739130435,20,15,0.7272727272727273,0.6666666666666666,40
CLDnewNoCat,Lq_no_hit,420,group,Region,0.5838509316770186,10,57,0.4519230769230769,0.8245614035087719,47
CLDnewNoCat,Lq_no_hit,420,group,Sexism,0.6835443037974683,10,40,0.574468085106383,0.84375,54
CLDnewNoCat,Lq_no_hit,420,group,others,0.36363636363636365,18,3,0.6666666666666666,0.25,6
CLDnewNoCat,Lq_no_hit,420,hate,hate,0.65,79,47,0.7134146341463414,0.5969387755102041,117
CLDnewNoCat,Lq_no_hit,420,hate,non-hate,0.7375,47,79,0.69140625,0.7901785714285714,177
CLDnewNoCat,gold_size_0,252,group,LGBTQ,0.0,0,12,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,group,Racism,0.0,0,13,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,group,Region,0.0,0,45,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,group,Sexism,0.0,0,38,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,group,others,0.0,0,6,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,hate,hate,0.0,0,62,0.0,0.0,0
CLDnewNoCat,gold_size_0,252,hate,non-hate,0.8597285067873304,62,0,1.0,0.753968253968254,190
CLDnewNoCat,gold_size_1,328,group,LGBTQ,0.9333333333333333,2,3,0.9210526315789473,0.9459459459459459,35
CLDnewNoCat,gold_size_1,328,group,Racism,0.8533333333333334,14,8,0.8888888888888888,0.8205128205128205,64
CLDnewNoCat,gold_size_1,328,group,Region,0.8484848484848485,10,15,0.8235294117647058,0.875,70
CLDnewNoCat,gold_size_1,328,group,Sexism,0.8713692946058091,7,24,0.813953488372093,0.9375,105
CLDnewNoCat,gold_size_1,328,group,others,0.2222222222222222,18,3,0.5,0.14285714285714285,3
CLDnewNoCat,gold_size_1,328,hate,hate,0.768361581920904,123,0,1.0,0.6238532110091743,204
CLDnewNoCat,gold_size_1,328,hate,non-hate,0.016,0,123,0.008064516129032258,1.0,1
CLDnewNoCat,gold_size_2plus,63,group,LGBTQ,0.8888888888888888,1,1,0.8888888888888888,0.8888888888888888,8
CLDnewNoCat,gold_size_2plus,63,group,Racism,0.8837209302325582,9,1,0.9743589743589743,0.8085106382978723,38
CLDnewNoCat,gold_size_2plus,63,group,Region,0.5806451612903226,6,7,0.5625,0.6,9
CLDnewNoCat,gold_size_2plus,63,group,Sexism,0.8205128205128205,13,1,0.9696969696969697,0.7111111111111111,32
CLDnewNoCat,gold_size_2plus,63,group,others,0.56,10,1,0.875,0.4117647058823529,7
CLDnewNoCat,gold_size_2plus,63,hate,hate,0.7272727272727273,27,0,1.0,0.5714285714285714,36
CLDnewNoCat,gold_size_2plus,63,hate,non-hate,0.0,0,27,0.0,0.0,0
