condition,iqr,max,mean,median,metric,min,n,p05,p95,q25,q75,status,stratum,task
CLDnew,0.45940642580687546,0.6931452880869513,0.3646404188637993,0.35165121923916515,answer_sum/candidate_entropy,5.674415277635902e-05,328,0.0289321211936054,0.687479635858942,0.14310198875250174,0.6025084145593772,defined,gold_size_1,hate
CLDnew,0.35732776176563635,0.6925858690022966,0.4314936865736425,0.46289492902685425,answer_sum/candidate_entropy,0.029310155117811963,63,0.06518042444502327,0.6894507802110587,0.24706978502683924,0.6043975467924756,defined,gold_size_2plus,hate
CLnewNoCat,0.1352273701818244,0.6931455937561432,0.1154453829625161,0.0017164005551706225,answer_sum/candidate_entropy,4.002007944626206e-08,643,4.520481423653982e-07,0.6433200689178546,1.915284350582784e-05,0.13524652302533022,defined,all,hate
CLnewNoCat,0.4930904591611858,0.6931297116528612,0.2767985456240055,0.20831420617667917,answer_sum/candidate_entropy,1.9773135449550387e-07,223,0.0010711611108798185,0.6870645952253489,0.033873344540335595,0.5269638037015214,defined,Lq_hit,hate
CLnewNoCat,0.002401215639083868,0.6931455937561432,0.029774537073201462,6.547951467655448e-05,answer_sum/candidate_entropy,4.002007944626206e-08,420,3.5805748232943323e-07,0.17201360809860514,3.671760456572428e-06,0.0024048873995404403,defined,Lq_no_hit,hate
CLnewNoCat,0.0002762732144212618,0.6893336935208318,0.018239062225273092,1.8147405068644708e-05,answer_sum/candidate_entropy,4.002007944626206e-08,252,2.487821655401406e-07,0.06886227864667076,1.3962760572560614e-06,0.00027766949047851785,defined,gold_size_0,hate
CLnewNoCat,0.247842259853137,0.6931455937561432,0.161565556264883,0.020929576019973424,answer_sum/candidate_entropy,1.9773135449550387e-07,328,3.5101819548358642e-06,0.6687326425414316,0.00034716164712958345,0.24818942150026657,defined,gold_size_1,hate
CLnewNoCat,0.4635112106857377,0.6874662385355536,0.2641529382420226,0.19027631702273967,answer_sum/candidate_entropy,0.00010833093639643626,63,0.000760124782312173,0.6753344517056221,0.035251596300212414,0.4987628069859501,defined,gold_size_2plus,hate
CLDnewNoCat,0.49496602580972066,0.6931398609346792,0.30362593383703684,0.2484517521851558,answer_sum/candidate_entropy,1.8034660215074423e-06,643,0.00014207360725154822,0.6835518516118697,0.057100549317140425,0.5520665751268611,defined,all,hate
CLDnewNoCat,0.4249298769578083,0.693084923429758,0.3716688324002452,0.38481647189602086,answer_sum/candidate_entropy,0.00335218380512431,223,0.0466990031642842,0.6872264031996024,0.15936289340667703,0.5842927703644853,defined,Lq_hit,hate
CLDnewNoCat,0.5064195072673118,0.6931398609346792,0.26749839483800003,0.19738300114916751,answer_sum/candidate_entropy,1.8034660215074423e-06,420,3.5480216688071667e-05,0.680357202498454,0.01595386852998893,0.5223733757973007,defined,Lq_no_hit,hate
CLDnewNoCat,0.35251949464698906,0.6931398609346792,0.19368409820173643,0.06946155875160462,answer_sum/candidate_entropy,1.8034660215074423e-06,252,1.6536419259016067e-05,0.6703249743072653,0.0016049988613573677,0.3541244935083464,defined,gold_size_0,hate
CLDnewNoCat,0.43903815332665924,0.693084923429758,0.35769321367166457,0.34904313978878465,answer_sum/candidate_entropy,7.69502638752302e-05,328,0.019392266944374494,0.6851543661071233,0.1390933429146552,0.5781314962413144,defined,gold_size_1,hate
CLDnewNoCat,0.31184262583170747,0.6930522109101822,0.46190013692176385,0.5149266343959676,answer_sum/candidate_entropy,0.04199762010603614,63,0.07312987432744744,0.6910960387097332,0.3504921635209087,0.6623347893526161,defined,gold_size_2plus,hate
C0,6.37794303894043,6.068571090698242,-6.420585736145684,-5.830821990966797,answer_sum/margin/hate,-17.955135345458984,643,-13.98634605407715,-0.08531150817871283,-9.571517944335938,-3.193574905395508,defined,all,hate
C0,4.278227806091309,3.577707290649414,-4.711784345686703,-3.935028076171875,answer_sum/margin/hate,-15.52016830444336,223,-12.109418487548828,0.29533271789550086,-6.539745330810547,-2.2615175247192383,defined,Lq_hit,hate
C0,6.752890586853027,6.068571090698242,-7.3278779029846195,-6.972658157348633,answer_sum/margin/hate,-17.955135345458984,420,-14.573690605163574,-0.3626420974731495,-10.853291511535645,-4.100400924682617,defined,Lq_no_hit,hate
C0,5.592217445373535,2.8835620880126953,-9.382257249620226,-9.223064422607422,answer_sum/margin/hate,-17.955135345458984,252,-15.51502275466919,-3.538252639770508,-12.248289108276367,-6.656071662902832,defined,gold_size_0,hate
C0,4.584064483642578,5.987831115722656,-4.861199477823769,-4.2965545654296875,answer_sum/margin/hate,-15.529876708984375,328,-12.277589416503906,0.45374689102172405,-6.800680160522461,-2.216615676879883,defined,gold_size_1,hate
C0,3.7833175659179688,6.068571090698242,-2.692609090653677,-2.7729530334472656,answer_sum/margin/hate,-10.846015930175781,63,-6.289477920532226,1.8446199417114248,-4.733234405517578,-0.9499168395996094,defined,gold_size_2plus,hate
CLnew,10.763189315795898,6.061101913452148,-8.381893531716258,-7.8767242431640625,answer_sum/margin/hate,-20.14763641357422,643,-17.507059478759764,0.7147418975830077,-13.78369140625,-3.0205020904541016,defined,all,hate
CLnew,4.729278564453125,6.061101913452148,-2.997918329965908,-2.3514938354492188,answer_sum/margin/hate,-19.27029037475586,223,-10.33891944885254,2.043613815307617,-5.055746078491211,-0.32646751403808594,defined,Lq_hit,hate
CLnew,8.085497856140137,4.092706680297852,-11.240527984074184,-12.065017700195312,answer_sum/margin/hate,-20.14763641357422,420,-17.815037727355957,-2.6883039474487345,-15.524758338928223,-7.439260482788086,defined,Lq_no_hit,hate
CLnew,6.394832134246826,-1.2668418884277344,-12.891285215105329,-13.86587142944336,answer_sum/margin/hate,-20.14763641357422,252,-18.09353313446045,-4.462837791442874,-16.39175844192505,-9.996926307678223,defined,gold_size_0,hate
CLnew,7.736128330230713,6.061101913452148,-5.9721904847680065,-5.592891693115234,answer_sum/margin/hate,-19.27029037475586,328,-15.270122146606445,1.704115295410154,-9.64216136932373,-1.9060330390930176,defined,gold_size_1,hate
CLnew,3.1791553497314453,3.107879638671875,-2.8900823441762773,-2.520599365234375,answer_sum/margin/hate,-12.081306457519531,63,-8.349971389770507,0.8788223266601561,-4.463396072387695,-1.28424072265625,defined,gold_size_2plus,hate
CD,5.196223258972168,7.888019561767578,0.6508027665537216,1.96697998046875,answer_sum/margin/hate,-13.516410827636719,643,-8.013246154785156,5.090920448303223,-1.5900459289550781,3.60617733001709,defined,all,hate
CD,3.0182857513427734,6.309505462646484,2.1055708401940865,2.9756946563720703,answer_sum/margin/hate,-11.75667953491211,223,-3.284351730346679,5.050536727905272,0.8809232711791992,3.8992090225219727,defined,Lq_hit,hate
CD,6.408935546875,7.888019561767578,-0.12160980587913876,1.316202163696289,answer_sum/margin/hate,-13.516410827636719,420,-9.506838607788085,5.094952583312986,-3.12890625,3.280029296875,defined,Lq_no_hit,hate
CD,7.152651786804199,6.566364288330078,-1.8321314160785978,-1.4747676849365234,answer_sum/margin/hate,-13.516410827636719,252,-10.667845916748046,4.038217735290527,-4.827533721923828,2.325118064880371,defined,gold_size_0,hate
CD,2.966704845428467,6.663505554199219,2.295205494252647,2.989816665649414,answer_sum/margin/hate,-11.75667953491211,328,-2.9445383071899407,5.348061752319335,1.203495979309082,4.170200824737549,defined,gold_size_1,hate
CD,2.3231563568115234,7.888019561767578,2.021204660809229,2.4883804321289062,answer_sum/margin/hate,-6.239978790283203,63,-2.8718738555908203,4.490295791625976,1.2558746337890625,3.579030990600586,defined,gold_size_2plus,hate
CLDnew,5.35549259185791,6.150951385498047,-1.8738154593745064,-1.051401138305664,answer_sum/margin/hate,-16.51638412475586,643,-11.179788970947266,3.822210884094238,-4.096717834472656,1.258774757385254,defined,all,hate
CLDnew,3.944220542907715,6.150951385498047,0.0432495407994018,-0.10369873046875,answer_sum/margin/hate,-10.063674926757812,223,-4.084840202331543,4.044234085083005,-1.7460145950317383,2.1982059478759766,defined,Lq_hit,hate
CLDnew,6.608253479003906,5.210554122924805,-2.8916856856573196,-2.0064830780029297,answer_sum/margin/hate,-16.51638412475586,420,-12.633903884887694,3.6647315025329563,-5.812482833862305,0.7957706451416016,defined,Lq_no_hit,hate
CLDnew,7.41159725189209,5.210554122924805,-4.628137111663818,-4.226011276245117,answer_sum/margin/hate,-16.51638412475586,252,-13.894591522216796,2.7676396369934064,-8.071513175964355,-0.6599159240722656,defined,gold_size_0,hate
CLDnew,4.050212383270264,6.150951385498047,0.00794861374831781,0.23896408081054688,answer_sum/margin/hate,-12.369964599609375,328,-5.21022605895996,4.157912158966064,-1.8145604133605957,2.235651969909668,defined,gold_size_1,hate
CLDnew,2.67623233795166,4.563285827636719,-0.6536497388567243,-0.81597900390625,answer_sum/margin/hate,-5.378513336181641,63,-3.713545227050781,2.9025571823120115,-1.8086557388305664,0.8675765991210938,defined,gold_size_2plus,hate
CLnewNoCat,10.143974304199219,5.988397598266602,-8.523867641229467,-8.632499694824219,answer_sum/margin/hate,-20.082319259643555,643,-17.528805923461913,0.9232576370239257,-13.540163040161133,-3.396188735961914,defined,all,hate
CLnewNoCat,5.032867431640625,4.2285003662109375,-3.0739168671749098,-2.7349510192871094,answer_sum/margin/hate,-18.401718139648438,223,-9.157085037231445,1.8753360748291013,-5.205808639526367,-0.1729412078857422,defined,Lq_hit,hate
CLnewNoCat,7.0511579513549805,5.988397598266602,-11.417531980787004,-12.215456008911133,answer_sum/margin/hate,-20.082319259643555,420,-17.775116157531738,-2.81654567718506,-15.306397438049316,-8.255239486694336,defined,Lq_no_hit,hate
CLnewNoCat,5.687812328338623,0.2798919677734375,-12.904349546583871,-13.598026275634766,answer_sum/margin/hate,-20.082319259643555,252,-18.15948619842529,-4.342679977416995,-16.33440351486206,-10.646591186523438,defined,gold_size_0,hate
CLnewNoCat,8.283230781555176,5.988397598266602,-6.192524380800201,-5.713390350341797,answer_sum/margin/hate,-18.401718139648438,328,-15.38324041366577,1.5853599548339814,-10.399886131286621,-2.1166553497314453,defined,gold_size_1,hate
CLnewNoCat,4.25446891784668,3.4446258544921875,-3.1397271534753224,-2.8325881958007812,answer_sum/margin/hate,-11.669509887695312,63,-9.596014404296875,1.5614767074584956,-5.163640975952148,-0.9091720581054688,defined,gold_size_2plus,hate
CLDnewNoCat,5.4485673904418945,6.659709930419922,-1.4369605703635684,-0.35328102111816406,answer_sum/margin/hate,-16.062694549560547,643,-11.375415420532226,4.312443161010742,-3.436412811279297,2.0121545791625977,defined,all,hate
CLDnewNoCat,4.031721115112305,6.659709930419922,0.7895541939500201,0.8320102691650391,answer_sum/margin/hate,-7.8817901611328125,223,-3.278793716430664,4.471946144104003,-1.083115577697754,2.948605537414551,defined,Lq_hit,hate
CLDnewNoCat,7.286220550537109,5.343658447265625,-2.619133885701497,-1.3311786651611328,answer_sum/margin/hate,-16.062694549560547,420,-12.876748085021973,4.039214324951166,-6.095454216003418,1.1907663345336914,defined,Lq_no_hit,hate
CLDnewNoCat,8.543556213378906,5.210554122924805,-4.444304980928936,-3.945100784301758,answer_sum/margin/hate,-16.062694549560547,252,-13.69815559387207,3.282574939727783,-8.708253860473633,-0.16469764709472656,defined,gold_size_0,hate
CLDnewNoCat,4.016246795654297,6.659709930419922,0.5463042724423293,0.852020263671875,answer_sum/margin/hate,-12.040397644042969,328,-5.5084575653076175,4.507890033721923,-1.1341886520385742,2.8820581436157227,defined,gold_size_1,hate
CLDnewNoCat,2.707611083984375,4.946449279785156,0.2668477315751333,0.2727794647216797,answer_sum/margin/hate,-4.712795257568359,63,-2.8657712936401367,3.649631690979003,-1.1334476470947266,1.5741634368896484,defined,gold_size_2plus,hate
C0,0.03933942772313003,0.9976908664108753,0.07414164164285157,0.0029270700089676937,answer_sum/inclusion_mass/hate,1.5928826824773478e-08,643,8.429886948820897e-07,0.47868923764817195,6.968104194372445e-05,0.03940910876507375,defined,all,hate
C0,0.09297051755455854,0.9728197257807423,0.10104777286051465,0.019170461019700265,answer_sum/inclusion_mass/hate,1.818345759981158e-07,223,5.507443722906789e-06,0.5731909394038386,0.0014436277663286239,0.09441414532088717,defined,Lq_hit,hate
C0,0.0162767628079779,0.9976908664108753,0.05985576721061619,0.0009362929869993449,answer_sum/inclusion_mass/hate,1.5928826824773478e-08,420,4.6852994751938974e-07,0.4103315058141454,1.9340530281577856e-05,0.01629610333825948,defined,Lq_no_hit,hate
C0,0.00127991423500241,0.9470278444990607,0.008409603313386301,9.872777175677516e-05,answer_sum/inclusion_mass/hate,1.5928826824773478e-08,252,1.8290942926811934e-07,0.028245675083481952,4.7936750599375865e-06,0.0012847079100623475,defined,gold_size_0,hate
C0,0.09715939504605615,0.9974971797258545,0.10165049884285252,0.013438750258449577,answer_sum/inclusion_mass/hate,1.800777942650464e-07,328,4.676131619154961e-06,0.6113057252269779,0.001112250796304532,0.09827164584236069,defined,gold_size_1,hate
C0,0.27369166614606044,0.9976908664108753,0.19384907810991406,0.05880336317460192,answer_sum/inclusion_mass/hate,1.9481691866515544e-05,63,0.0018572922030338642,0.8614021080323911,0.008723769633386738,0.28241543577944717,defined,gold_size_2plus,hate
CLnew,0.046512898034574916,0.9976735947849661,0.09418273009691325,0.00037933014189262546,answer_sum/inclusion_mass/hate,1.7782494433410718e-09,643,2.493476625296748e-08,0.6714479199882996,1.032398278416793e-06,0.04651393043285333,defined,all,hate
CLnew,0.4127686844530102,0.9976735947849661,0.23500415311726058,0.08694710766714037,answer_sum/inclusion_mass/hate,4.275818123147387e-09,223,3.235845142809271e-05,0.8853001555048495,0.006332502801453685,0.4191011872544639,defined,Lq_hit,hate
CLnew,0.000587238548901168,0.9835801260961586,0.0194132602551574,5.757830840252659e-06,answer_sum/inclusion_mass/hate,1.7782494433410718e-09,420,1.8324345637074487e-08,0.06367685483921574,1.810430806857843e-07,0.0005874195919818538,defined,Lq_no_hit,hate
CLnew,4.562061156790748e-05,0.21979834800525846,0.005033916948021613,9.510007084205494e-07,answer_sum/inclusion_mass/hate,1.7782494433410718e-09,252,1.387006179933657e-08,0.011527555578104195,7.608067229925211e-08,4.569669224020674e-05,defined,gold_size_0,hate
CLnew,0.12936287506642072,0.9976735947849661,0.14420365713493186,0.0037107170663413552,answer_sum/inclusion_mass/hate,4.275818123147387e-09,328,2.3387641359278032e-07,0.8459754097878782,6.493332151066336e-05,0.1294278083879314,defined,gold_size_1,hate
CLnew,0.2057672330791195,0.9572166048089781,0.19035156890724017,0.0744266459680182,answer_sum/inclusion_mass/hate,5.664385616273194e-06,63,0.00025376593386992115,0.7065676801762849,0.011399786916438809,0.21716701999555832,defined,gold_size_2plus,hate
CD,0.8041683070660942,0.9996249288074891,0.645335668345561,0.8772863632448377,answer_sum/inclusion_mass/hate,1.3486422986473233e-06,643,0.0003321512333126337,0.993885211569776,0.16939416108841499,0.9735624681545092,defined,all,hate
CD,0.2731477274641654,0.9981843699616605,0.7826458483371809,0.9514639351623704,answer_sum/inclusion_mass/hate,7.836741996168849e-06,223,0.03635641764195428,0.993634472307511,0.7069904752533067,0.9801382027174721,defined,Lq_hit,hate
CD,0.9217967030001679,0.9996249288074891,0.5724305013500104,0.7885462307897251,answer_sum/inclusion_mass/hate,1.3486422986473233e-06,420,7.463397521921205e-05,0.9939093376476538,0.04193896666172714,0.9637356696618951,defined,Lq_no_hit,hate
CD,0.902992871591835,0.9985950733764456,0.41038813941507596,0.1862337008459395,answer_sum/inclusion_mass/hate,1.3486422986473233e-06,252,2.3283852064020466e-05,0.9826752494462219,0.007942701234705338,0.9109355728265403,defined,gold_size_0,hate
CD,0.21565575053997343,0.9987249646854423,0.7993078922799268,0.9521110177992254,answer_sum/inclusion_mass/hate,7.836741996168849e-06,328,0.05216425844926863,0.9952647582344064,0.7691301362450857,0.9847858867850592,defined,gold_size_1,hate
CD,0.19455467696364215,0.9996249288074891,0.7834926181869936,0.9233232199534871,answer_sum/inclusion_mass/hate,0.0019461021805986416,63,0.054381652081707026,0.9888777351487789,0.7782999898389673,0.9728546668026095,defined,gold_size_2plus,hate
CLDnew,0.7624523854209658,0.9978730804573208,0.3886067233510643,0.2589561345869847,answer_sum/inclusion_mass/hate,6.714682536234684e-08,643,1.3968296396914115e-05,0.9785888093984996,0.016355341386225068,0.7788077268071909,defined,all,hate
CLDnew,0.7514975103032513,0.9978730804573208,0.5040743832688226,0.4740985240258939,answer_sum/inclusion_mass/hate,4.259739209214188e-05,223,0.016547444181743382,0.9827653213049945,0.14855090305172863,0.9000484133549799,defined,Lq_hit,hate
CLDnew,0.6860870440222832,0.9945709869841183,0.3272988943947307,0.11852431621277026,answer_sum/inclusion_mass/hate,6.714682536234684e-08,420,3.294747524911943e-06,0.9750264086243218,0.0029817923174862843,0.6890688363397695,defined,Lq_no_hit,hate
CLDnew,0.3404883692148577,0.9945709869841183,0.2089453905588395,0.014400581012015735,answer_sum/inclusion_mass/hate,6.714682536234684e-08,252,9.274038050626359e-07,0.9407772581261982,0.0003132359513524257,0.3408016051662101,defined,gold_size_0,hate
CLDnew,0.7633155705197369,0.9978730804573208,0.5251522939841742,0.5594534242611524,answer_sum/inclusion_mass/hate,4.244150636847594e-06,328,0.005505797771981855,0.9846005798581852,0.14008830652536142,0.9034038770450983,defined,gold_size_1,hate
CLDnew,0.5631323455640842,0.9896798767135261,0.3963481312237726,0.30661787176530003,answer_sum/inclusion_mass/hate,0.004593479879337202,63,0.023830363051173763,0.947958578813588,0.14083920756889773,0.703971553132982,defined,gold_size_2plus,hate
CLnewNoCat,0.032413872809466275,0.9974985935828459,0.09527897166367089,0.00017818683959387486,answer_sum/inclusion_mass/hate,1.898276891356874e-09,643,2.4397053110821235e-08,0.7157054023993813,1.3172770985755909e-06,0.03241519008656485,defined,all,hate
CLnewNoCat,0.451415670408656,0.9856351267919684,0.23521186129735938,0.06094220794805103,answer_sum/inclusion_mass/hate,1.0191435259363212e-08,223,0.00010545899782903779,0.8670738043062456,0.005456510793390967,0.456872181202047,defined,Lq_hit,hate
CLnewNoCat,0.0002596149341817021,0.9974985935828459,0.02098127073911726,4.955032272390301e-06,answer_sum/inclusion_mass/hate,1.898276891356874e-09,420,1.907087913230721e-08,0.05643810746718274,2.2517302592704263e-07,0.0002598401072076292,defined,Lq_no_hit,hate
CLnewNoCat,2.3773375282676297e-05,0.5695197382006346,0.007842719467192437,1.2431721661477453e-06,answer_sum/inclusion_mass/hate,1.898276891356874e-09,252,1.2984803755980008e-08,0.012897393944423869,8.054950476710103e-08,2.3853924787443398e-05,defined,gold_size_0,hate
CLnewNoCat,0.10754482681434188,0.9974985935828459,0.14352998650895044,0.003295177353600146,answer_sum/inclusion_mass/hate,1.0191435259363212e-08,328,2.150806126473868e-07,0.8297833382960603,3.045684002995609e-05,0.10757528365437184,defined,gold_size_1,hate
CLnewNoCat,0.28144493799686254,0.9690704673553734,0.19381234760431973,0.055588365659277716,answer_sum/inclusion_mass/hate,8.550520170151064e-06,63,7.280131600578672e-05,0.8259387106401157,0.005730408811547499,0.28717534680841006,defined,gold_size_2plus,hate
CLDnewNoCat,0.8508878678736438,0.998720122140696,0.4555203978489902,0.41258700877354876,answer_sum/inclusion_mass/hate,1.0569643678761867e-07,643,1.1481543644524574e-05,0.9867764005653842,0.031176898603014633,0.8820647664766584,defined,all,hate
CLDnewNoCat,0.6972758439537329,0.998720122140696,0.6074331466752197,0.696779822808341,answer_sum/inclusion_mass/hate,0.00037741406920180066,223,0.036318341172253465,0.9887038637348229,0.25291759093738164,0.9501934348911145,defined,Lq_hit,hate
CLDnewNoCat,0.7646242789923794,0.9952443667891503,0.3748619621626824,0.20896994170823696,answer_sum/inclusion_mass/hate,1.0569643678761867e-07,420,2.556810636261482e-06,0.9826870495829281,0.002248140096898846,0.7668724190892783,defined,Lq_no_hit,hate
CLDnewNoCat,0.45878537960501736,0.9945709869841183,0.24684312459468286,0.019008242838263613,answer_sum/inclusion_mass/hate,1.0569643678761867e-07,252,1.1251541761858143e-06,0.9638248653611722,0.0001653557430191818,0.45895073534803654,defined,gold_size_0,hate
CLDnewNoCat,0.7035623761595539,0.998720122140696,0.5998521173625616,0.7008646100073825,answer_sum/inclusion_mass/hate,5.900912576838603e-06,328,0.004036093913256208,0.989095105613039,0.2433896983699111,0.946952074529465,defined,gold_size_1,hate
CLDnewNoCat,0.5836248278980432,0.9929415707466707,0.5387881575257203,0.5677751318399673,answer_sum/inclusion_mass/hate,0.008899725705019191,63,0.0538853634613294,0.9745029873320524,0.24371576591016053,0.8273405938082037,defined,gold_size_2plus,hate
C0,1.0,2.0,1.5614307931570761,2.0,answer_sum/gold/rank,1.0,643,1.0,2.0,1.0,2.0,defined,all,hate
C0,0.0,2.0,1.8071748878923768,2.0,answer_sum/gold/rank,1.0,223,1.0,2.0,2.0,2.0,defined,Lq_hit,hate
C0,1.0,2.0,1.430952380952381,1.0,answer_sum/gold/rank,1.0,420,1.0,2.0,1.0,2.0,defined,Lq_no_hit,hate
C0,0.0,2.0,1.003968253968254,1.0,answer_sum/gold/rank,1.0,252,1.0,1.0,1.0,1.0,defined,gold_size_0,hate
C0,0.0,2.0,1.9329268292682926,2.0,answer_sum/gold/rank,1.0,328,1.0,2.0,2.0,2.0,defined,gold_size_1,hate
C0,0.0,2.0,1.8571428571428572,2.0,answer_sum/gold/rank,1.0,63,1.0,2.0,2.0,2.0,defined,gold_size_2plus,hate
CLnew,1.0,2.0,1.5303265940902022,2.0,answer_sum/gold/rank,1.0,643,1.0,2.0,1.0,2.0,defined,all,hate
CLnew,1.0,2.0,1.6771300448430493,2.0,answer_sum/gold/rank,1.0,223,1.0,2.0,1.0,2.0,defined,Lq_hit,hate
CLnew,1.0,2.0,1.4523809523809523,1.0,answer_sum/gold/rank,1.0,420,1.0,2.0,1.0,2.0,defined,Lq_no_hit,hate
CLnew,0.0,1.0,1.0,1.0,answer_sum/gold/rank,1.0,252,1.0,1.0,1.0,1.0,defined,gold_size_0,hate
CLnew,0.0,2.0,1.8780487804878048,2.0,answer_sum/gold/rank,1.0,328,1.0,2.0,2.0,2.0,defined,gold_size_1,hate
CLnew,0.0,2.0,1.8412698412698412,2.0,answer_sum/gold/rank,1.0,63,1.0,2.0,2.0,2.0,defined,gold_size_2plus,hate
CD,1.0,2.0,1.2628304821150855,1.0,answer_sum/gold/rank,1.0,643,1.0,2.0,1.0,2.0,defined,all,hate
CD,0.0,2.0,1.1793721973094171,1.0,answer_sum/gold/rank,1.0,223,1.0,2.0,1.0,1.0,defined,Lq_hit,hate
CD,1.0,2.0,1.3071428571428572,1.0,answer_sum/gold/rank,1.0,420,1.0,2.0,1.0,2.0,defined,Lq_no_hit,hate
