object_id,term,original_definition,definition_verdict,verdict_provenance,assessment_status,adopted_definition,rewrite_instruction,ai_suggested_definition,instruction_applied_definition_ai
definition:lex-0182:sense:01,染艾,'染艾'是'感染艾滋病'的中文缩写，常用于对男同性恋群体的侮辱性言论。,other_problem,human_with_ai,human_answered,有关感染HIV或患艾滋病的简略说法；在部分语境中被用于疾病污名化，但词面本身不指明性取向，也不自动表示攻击。,,有关感染HIV或患艾滋病的简略说法；在部分语境中被用于疾病污名化，但词面本身不指明性取向，也不自动表示攻击。,
definition:lex-0235:sense:01,普信男,普通却自信的男人简称，常含贬义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0279:sense:01,娘娘腔,用于形容某些男性在语音、语调或行为上表现出的女性化特征，常含贬义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0419:sense:01,嘿嘿,'嘿嘿'是'黑黑'的中文谐音，对黑人群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0455:sense:01,接盘侠,形容男人愿意接受女人复杂的情史、堕胎等行为，并愿意娶她为妻。,too_narrow,human_with_ai,human_answered,比喻承接他人留下的责任、负担或损失的人，常带调侃或贬义；婚恋语境中可用于讥讽被认为接受他人感情或婚育经历的男性，具体身份与指控须依上下文判断。,,比喻承接他人留下的责任、负担或损失的人，常带调侃或贬义；婚恋语境中可用于讥讽被认为接受他人感情或婚育经历的男性，具体身份与指控须依上下文判断。,
definition:lex-0543:sense:01,反同,反对同性恋，是指对同性恋持否定、排斥或敌视的态度和立场。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0545:sense:01,撑同,来源于2013年举办的反歧视活动'撑同志反歧视'，是'反同'的反义词。,other_problem,human_with_ai,human_answered,支持同性恋者及其平等权益、反对因性取向而歧视的立场或行动；2013年有‘撑同志，反歧视’活动，但不据此断定词语起源。,,支持同性恋者及其平等权益、反对因性取向而歧视的立场或行动；2013年有“撑同志，反歧视”活动，但不据此断定词语起源。,
definition:lex-0590:sense:01,垃圾,形容一个人或事物毫无价值、无用或者令人反感。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0690:sense:01,网暴,'网络暴力'的简称，指通过网络以文本、图像、音频、视频等形式对个人集中发布的，含有侮辱谩骂、造谣诽谤、煽动仇恨、威逼胁迫、侵犯隐私，以及影响身心健康的指责嘲讽、贬低歧视等内容的违法和不良信息。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0714:sense:01,ex,"'恶心'的中文拼音缩写，厌恶之极,不堪忍耐。",reasonable,ai_note,ai_reviewed,,,,
definition:lex-0731:sense:01,双标,对同一性质的事件或人，因主观偏好、利益等因素采用不同评判标准的行为‌。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-new-6b02c58315cc4cdf:sense:01,乐色,“垃圾”的方言读音相关写法，可用于表示无价值、令人反感的事物或贬低对象；具体是物品、观点还是对人的贬损须结合上下文，不自动指定群体目标。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0031:sense:01,仙女,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,other_problem,ai_note,ai_reviewed,,,在部分网络争论中，用“仙女”反讽或贬评女性，指控其自私、双标等；这些是说话者的评价，不是被称呼者的客观属性。神话人物、昵称或赞美等用法另辨。,
definition:lex-0032:sense:01,小仙女,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,other_problem,ai_note,ai_reviewed,,,在部分网络争论中，用“小仙女”反讽或贬评女性，指控其自私、双标等；也可用于亲昵称呼或赞美，具体含义依上下文判断。,
definition:lex-0060:sense:01,非洲佬,对黑人群体及非洲地区的侮辱性用词。,other_problem,human_with_ai,human_answered,对非洲人的轻蔑或贬损称呼；不能仅凭该词把地域身份等同为黑人种族身份，具体种族指向需另有语境依据。,,对非洲人的轻蔑或贬损称呼；不能仅凭该词把地域身份等同为黑人种族身份，具体种族指向需另有语境依据。,
definition:lex-0067:sense:01,母人,是对女性群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0129:sense:01,舔狗,指毫无尊严去跪舔他人的人，多指男性。,other_problem,ai_note,ai_reviewed,,,讥讽被认为过度迎合、讨好他人的人，常见于感情或人际关系讨论；不限定性别，也不把“毫无尊严”等指控当作对象事实。,
definition:lex-0135:sense:01,白皮,对白人群体的侮辱性用词。,other_problem,human_with_ai,human_answered,在部分指人语境中，可作对白人的轻蔑或贬损称呼；普通肤色、物品或其他字面用法不据此判攻击。,,在部分指人语境中，可作对白人的轻蔑或贬损称呼；普通肤色、物品或其他字面用法不据此判攻击。,
definition:lex-0286:sense:01,同志,在部分语境中用于指称同性恋者；普通同伴、同事或政治称谓等用法不应直接套用这一义项。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0310:sense:01,黑皮,本意为黑色皮肤，常用于指代黑人群体，含贬义。,other_problem,human_with_ai,human_answered,本指黑色皮肤；在部分语境中可指黑人，也可用于贬损。是否带贬义取决于作者立场及上下文，不由肤色指称本身决定。,,本指黑色皮肤；在部分语境中可指黑人，也可用于贬损。是否带贬义取决于作者立场及上下文，不由肤色指称本身决定。,
definition:lex-0335:sense:01,反黑,在治安等语境中可指打击黑社会势力。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0335:sense:02,反黑,在部分种族议题讨论中也可能指反对、排斥或敌视黑人；需依据具体语境区分，不能将所有“反黑”都解释为对黑人的迫害。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0343:sense:01,骗婚,同性恋者隐瞒自己性取向，步入异性恋婚姻的行为。,too_narrow,human_with_ai,human_answered,以欺骗手段使他人进入婚姻，或利用婚姻关系实施欺骗；在部分性取向讨论中，可特指隐瞒性取向与异性结婚，不应将该情形等同所有骗婚或所有同性恋者。,,以欺骗手段使他人进入婚姻，或利用婚姻关系实施欺骗；在部分性取向讨论中，可特指隐瞒性取向与异性结婚，不应将该情形等同所有骗婚或所有同性恋者。,
definition:lex-0437:sense:01,圣母,意思是那些无原则底线的包容、原谅他人，对任何人事物都抱有博爱之心，不讲求客观事实，一切行动准则都只围绕“爱”“善”两字为中心，会因此伤害到他人的人。,other_problem,ai_note,ai_reviewed,,,网络争论中对被认为无原则地宽容、原谅或倡导善意者的讽刺性称呼；这些是使用者的评价，不是由称呼即可证明的事实。宗教等用法另辨。,
definition:lex-0449:sense:01,阿娜,'阿娜'是游戏《魔兽世界：军团再临》中的游戏角色'鬼母阿娜'的简称，因其性别为女且形象丑陋，常用于对女性群体的侮辱性称呼，尤其是体型较大的女性群体。,reasonable,human_with_ai,human_answered,,,,
definition:lex-0463:sense:01,**,一般**是通配符号，可以替代所有的字符，常用于替换一些敏感或毒性用词。,other_problem,human_with_ai,human_answered,在部分文本中可隐去或暗示未写出的词语，包括粗俗或敏感内容；也可能是排版、技术或字面符号。不能单凭星号还原具体辱词或认定经过平台屏蔽。,,在部分文本中可隐去或暗示未写出的词语，包括粗俗或敏感内容；也可能是排版、技术或字面符号。不能单凭星号还原具体辱词或认定经过平台屏蔽。,
definition:lex-0473:sense:01,爱丁堡,网络用语主要指的是中国城市上海。这一隐喻起源于2022年上海第六人民医院发布的一篇关于救治外籍患者特殊病例的文章，引发了公众对于医疗资源分配问题的讨论。,reasonable,human_with_ai,human_answered,,有真实起源，保留原描述，增加正常用法说明，起源是2022年上海第六人民医院发布的一篇关于救治外籍患者特殊病例（关于男性生殖器）的文章，于是网友为上海起了这一说法,在部分中文网络语境中用作上海的戏称或贬称；应与苏格兰城市爱丁堡的正常地名用法区分。具体起源叙述另作来源核验。,网络用语主要指的是中国城市上海。这一隐喻起源于2022年上海第六人民医院发布的一篇关于救治外籍患者特殊病例（涉及男性生殖器）的文章，引发了公众对于医疗资源分配问题的讨论。此义仅适用于相应的网络戏称语境；正常地名用法中的“爱丁堡”指苏格兰城市，不应直接套用此义。
definition:lex-0562:sense:01,魔怔,网络用语，指那些行为举止异常、情绪不稳定的现象，通常表现为对某些事物极度热爱，甚至产生戒断反应，失去这些事物后无法自拔。这种现象在网络上尤为常见，常常出现在社交网络骂战中。‌,reasonable,human_with_ai,human_answered,,,用来形容或讥讽被认为言行偏执、极端、反常或过度沉迷的人及其状态；这是说话者的评价，不等同医学诊断，也不必然涉及戒断反应。,
definition:lex-0624:sense:01,九头鸟,来源于“天上九头鸟，地上湖北佬”的谚语，影射湖北人好战、不团结、精明等。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0635:sense:01,操,在部分口语、网络粗口中用于咒骂或表达强烈不满，属粗俗表达；“操作”等普通词中的用法应排除。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0005:sense:01,黑哥,对黑人群体的侮辱性用词。,other_problem,ai_note,ai_reviewed,,,在部分指人语境中用于称呼黑人男性，可能是一般称呼、亲近称呼或贬损；昵称及具体褒贬须依上下文判断，不能仅凭该称呼确定种族或攻击。,
definition:lex-0016:sense:01,杀默,'默'是'黑犬'的拼字，指黑色的狗，对黑人群体的迫害行为。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0018:sense:01,墨,'墨'代指'黑色'，常用于代指黑人群体，含贬义。,other_problem,ai_note,ai_reviewed,,,字面指墨或黑色；在部分网络语境中可代指黑人并带有贬义，具体所指和褒贬依上下文判断。,
definition:lex-0021:sense:01,白完,'白完'是'皖'的拼字，指安徽省，含贬义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0029:sense:01,井盖,常与'河南人一起使用'，暗示河南人素质低、道德水平差。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0048:sense:01,傻*,'傻*'是'傻逼'的和谐版，属于脏话、俗语、中国俚语、粗俗用语与忌语、恶意的辱骂，在公共场合使用会被视作非常不礼貌的行为。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0080:sense:01,公交车,在部分性别贬损语境中，以可供多人乘坐的交通工具比喻女性与多人发生过性关系，对其污名化；这些是说话者的贬损指控，不是对女性行为或品格的事实认定。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0080:sense:02,公交车,也存在不限定女性对象的类似性关系污名化用法；应结合所指对象判断，普通交通工具含义不属于贬损义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0082:sense:01,崇洋媚外,指责某人盲目推崇外国事物、奉承外国人，常带贬义；这是说话者的评价，不是从词面即可证实的事实。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0092:sense:01,女拳王,常用于对中国女权主义者的贬义表达。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0105:sense:01,烂裤裆,对一些私生活不检点甚至糜烂的女人的侮辱性表达。,other_problem,ai_note,ai_reviewed,,,用于以性关系或私生活方面的指控侮辱女性；“不检点”等是使用者的污名化评价，不是对被称呼者行为或品格的事实认定。,
definition:lex-0119:sense:01,过男,'过男'是'国男'的中文谐音，指中国女权主义者攻击男性的一种称谓。,other_problem,ai_note,human_answered,‘国男’的谐音写法，在部分网络性别争论中用于称呼或贬评中国男性；不预设使用者的性别或女权立场。,,‘国男’的谐音写法，在部分网络性别争论中用于称呼或贬评中国男性；不预设使用者的性别或女权立场。,
definition:lex-0174:sense:01,棒畜,'棒子'的衍生词，对韩国人的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0175:sense:01,炼铜,'炼铜'是'恋童'的中文谐音，指16岁以上的青少年或者成年人认为13岁以下的儿童拥有主要的性吸引力，或者认为只有其才有性吸引力的一种现象。,other_problem,human_with_ai,human_answered,‘恋童’的谐音写法，网络中用于提及对儿童的性兴趣，或对他人作此类指控；日常用法不必严格对应临床诊断。普通金属冶炼语境不属于此义。,,‘恋童’的谐音写法，网络中用于提及对儿童的性兴趣，或对他人作此类指控；日常用法不必严格对应临床诊断。普通金属冶炼语境不属于此义。,
definition:lex-0191:sense:01,nt,'nt'是'脑瘫'的中文拼音首字母缩写，用于讽刺有关人物智力低下，反应迟钝，或者存在神经功能障碍。,other_problem,human_with_ai,human_answered,‘脑瘫’的拼音首字母写法；在网络争论中常用作贬评智力、理解力或反应能力的粗俗称呼。这是说话者的侮辱，不说明被指称者实际患有相应疾病；其他缩写用法另辨。,,‘脑瘫’的拼音首字母写法；在网络争论中常用作贬评智力、理解力或反应能力的粗俗称呼。这是说话者的侮辱，不说明被指称者实际患有相应疾病；其他缩写用法另辨。,
definition:lex-0212:sense:01,江浙人种,由于江苏浙江为经济发达地区，部分江浙人对经济欠发达地区存在地域歧视，'江浙人种'为其余地区对这部分人的讽刺性称呼。,other_problem,human_with_ai,human_answered,借‘人种’谈论或讽刺江浙地区身份、地域优越感的网络说法；具体是在赞同优越论、自嘲、反讽还是转述，需看上下文，不预设使用者的籍贯或被称呼者确有歧视行为。,,借‘人种’谈论或讽刺江浙地区身份、地域优越感的网络说法；具体是在赞同优越论、自嘲、反讽还是转述，需看上下文，不预设使用者的籍贯或被称呼者确有歧视行为。,
definition:lex-0236:sense:01,普信女,普通却自信的女人简称，常含贬义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0247:sense:01,婊子,对女性群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0256:sense:01,爬,在部分川渝方言及网络口语中表示语气强烈的“走开”或“滚”；普通爬行动作不属于这一驱赶义。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0267:sense:01,虫,在部分明确指人的上下文中，可借虫类比喻贬损对象；普通虫类名称以及更长的完整词“寄生虫”中的单字不应重复或一律解释为针对黑人。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0282:sense:01,母畜,指雌性畜生，对女性群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0287:sense:01,黑蛆,对黑人群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0290:sense:01,小黑,对黑人群体的侮辱性用词。,other_problem,ai_note,ai_reviewed,,,可用作昵称或对黑人等对象的称呼，部分语境带有贬损；需先确认具体所指，再判断是否存在种族评价或攻击。,
definition:lex-0292:sense:01,真“艾”,'真“艾”'是'真爱'的中文谐音，常用于对同性恋群体或艾滋病群体的贬义表达。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0325:sense:01,孝子,本意为孝顺父母的儿子或儿女，后网络中用于形容那些盲目崇拜某种群体、制度或价值观等的人，含贬义。,other_problem,ai_note,ai_reviewed,,,本指孝顺父母的子女；网络语境可反讽被认为过度崇拜、维护某人、群体、制度或立场的人。“盲目”等属于使用者的评价，具体含义依上下文判断。,
definition:lex-0333:sense:01,理中客,被用来讽刺那些不明白前因后果，对事件一知半解，站在道德制高点评判别人的人。，含贬义。,other_problem,human_with_ai,human_answered,‘理性、中立、客观’的缩略称呼，常用于讽刺被认为自称中立却偏袒、回避立场或忽略事实的人；也可能按字面使用，具体含义与褒贬依语境判断。,,‘理性、中立、客观’的缩略称呼，常用于讽刺被认为自称中立却偏袒、回避立场或忽略事实的人；也可能按字面使用，具体含义与褒贬依语境判断。,
definition:lex-0334:sense:01,洋垃圾,对外国人群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0338:sense:01,打黑,双关词，常用于打击黑社会势力，也被用于对黑人群体的迫害行为。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0340:sense:01,三非,指那些未经合法手续而在中国非法就业、非法入境和非法居留的所有外国人的统称。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0378:sense:01,YP,在部分与“性”或者相关的网络语境上下文中可为“约炮”的首字母缩写，表示非固定伴侣之间约定性接触。缩写可有不同展开，词面和 ASCII 大小写规范化本身不能确定具体义项。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0378:sense:02,YP,在部分地域歧视或种族歧视相关的网络语境上下文中可为“硬盘”的首字母缩写，用于贬称“外地人”或者“外来人员”，其来源为外地人-WDR-WD-硬盘-YP。缩写可有不同展开，词面和 ASCII 大小写规范化本身不能确定具体义项。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0380:sense:01,白楠,'白楠'是'白男'中文谐音，常用于对白种人男性的讽刺性称呼。,other_problem,ai_note,ai_reviewed,,,“白男”的谐音写法，用于指称白人男性；在部分网络争论中可带调侃或贬损意味，具体褒贬依语境判断。,
definition:lex-0381:sense:01,白男,常用于对白种人男性的讽刺性称呼。,other_problem,ai_note,ai_reviewed,,,“白人男性”的简称，可用于一般身份指称，也可在争论中被用于调侃或贬损；不能仅凭该身份词认定攻击。,
definition:lex-0382:sense:01,白女,常用于对白种人女性的讽刺性称呼。,other_problem,ai_note,ai_reviewed,,,“白人女性”的简称，可用于一般身份指称，也可在争论中被用于调侃或贬损；不能仅凭该身份词认定攻击。,
definition:lex-0383:sense:01,黑男,常用于对黑种人男性的讽刺性称呼。,other_problem,ai_note,ai_reviewed,,,“黑人男性”的简称，可用于一般身份指称，也可在争论中被用于调侃或贬损；不能仅凭该身份词认定攻击。,
definition:lex-0411:sense:01,黑黑,对黑人群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0427:sense:01,嘿玩意,'嘿玩意'是'黑玩意'的中文谐音，对黑人群体的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0438:sense:01,老g,通常指的是'老家伙'或'老古董'，用于形容某人或某事物过时或老旧，常用于调侃或讽刺。,reasonable,human_with_ai,human_answered,,,,
definition:lex-0441:sense:01,人妖,泛指心理性别错位、男扮女装等非常态之人，含贬义。,other_problem,human_with_ai,human_answered,在部分语境中，对跨性别者、变装者或被认为性别表达不符合传统期待的人使用的贬称；具体所指依语境判断，不把‘心理错位’或‘非常态’当作对这些人的事实定义。,,在部分语境中，对跨性别者、变装者或被认为性别表达不符合传统期待的人使用的贬称；具体所指依语境判断，不把‘心理错位’或‘非常态’当作对这些人的事实定义。,
definition:lex-0453:sense:01,h人,'h人'指'黑人'首字母缩写加汉字，常用于对黑人群体的称呼，含贬义。,other_problem,ai_note,ai_reviewed,,,“黑人”相关的首字母加汉字写法，在部分网络语境中用于指称黑人；可能中性也可能带贬损，具体所指与褒贬依上下文判断。,
definition:lex-0454:sense:01,接盘,形容男人愿意接受女人复杂的情史、堕胎等行为，并愿意娶她为妻。,too_narrow,ai_note,ai_reviewed,,,指承接他人留下的事务、责任、负担或损失等；在婚恋语境中也可用于讥讽被认为接受他人感情或婚育经历的男性，具体身份与指控须依上下文判断。,
definition:lex-0468:sense:01,二鬼子,抗日战争时期人民群众对汉奸伪军的蔑称，网络中也常用于对汉奸或媚外群体的贬义称呼。,other_problem,ai_note,ai_reviewed,,,抗战语境中对汉奸、伪军等的蔑称；网络争论中也用于指控某人媚外或为外国利益行事，相关身份或行为是否属实不能仅由称呼确定。,
definition:lex-0484:sense:01,cjb,网络用语，多含讽刺意，多用于表达名不副实的意思。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0486:sense:01,fw,'fw'发音为'废物'拼音缩写，比喻没有用或妨碍自己的人（指责人的话）。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0493:sense:01,剑人,'剑人'是'贱人'的中文谐音，指卑贱的人，多用于辱骂妇女。,other_problem,ai_note,ai_reviewed,,,“贱人”的谐音写法，用于侮辱具体人，常带人格或性道德贬损；可针对女性，也不排除其他对象，不把“卑贱”视为事实属性。,
definition:lex-0494:sense:01,学伴,本意为学习的同伴。后因山东大学为该校留学生配对学伴引起广泛争议，常用于媚外场景。,other_problem,ai_note,ai_reviewed,,,本指一起学习的同伴。在留学生学伴项目等争议中，也可能被用来指责被认为过度优待外国人的安排或参与者；是否认可该指控、是否含贬损需看语境。,
definition:lex-0506:sense:01,50w,'50w'指'50万'，网络用语，主要指潜伏在中国的间谍，根据《公民举报间谍线索行动奖励办法》，如果举报间谍有功奖励10万至50万奖金。,other_problem,ai_note,ai_reviewed,,,“50万”的简写；部分网络争论中借举报间谍可获奖励的说法，指认或讥讽被怀疑为间谍、替外国办事的人。称呼本身不能证明相关身份，具体奖励条件和金额不由该网络用语确定。,
definition:lex-0525:sense:01,凯乐奇计划,一个未经验证的种族计划，目的是瓦解各个国家的主体民族、创造混血儿、抹杀主体民族的记忆和历史，最终创造出一个没有国界，没有种族，没有道德感，没有历史，没有文化的新人种。,other_problem,ai_note,ai_reviewed,,,“凯勒奇计划”（也写作“凯乐奇计划”）是一类反犹及所谓“白人灭绝”阴谋论的名称；该叙事声称有人通过迁徙、混血等手段消解欧洲民族或文化身份。这是在描述阴谋论主张，不代表相关秘密计划被证实存在；提及名称本身不等于赞同或实施攻击。,
definition:lex-0527:sense:01,凯勒奇计划,一个未经验证的种族计划，目的是瓦解各个国家的主体民族、创造混血儿、抹杀主体民族的记忆和历史，最终创造出一个没有国界，没有种族，没有道德感，没有历史，没有文化的新人种。,other_problem,ai_note,ai_reviewed,,,“凯勒奇计划”（也写作“凯乐奇计划”）是一类反犹及所谓“白人灭绝”阴谋论的名称；该叙事声称有人通过迁徙、混血等手段消解欧洲民族或文化身份。这是在描述阴谋论主张，不代表相关秘密计划被证实存在；提及名称本身不等于赞同或实施攻击。,
definition:lex-0597:sense:01,京巴,小型犬类的一种，对北京人的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0603:sense:01,美国佬,对美国人的调侃性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0621:sense:01,陕蛋蛋,对陕西人的侮辱性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0622:sense:01,胡建,'胡建'是'福建'的中文谐音，常用于指代福建，含贬义。,other_problem,human_with_ai,human_answered,‘福建’的谐音写法，可用于口音模仿、地名戏称或地域贬损；是否带有贬义、是否在评价当地人，需结合具体上下文判断。,,‘福建’的谐音写法，可用于口音模仿、地名戏称或地域贬损；是否带有贬义、是否在评价当地人，需结合具体上下文判断。,
definition:lex-0623:sense:01,东百,'东百'是'东北'的中文谐音，常用于指代东北地区，含贬义。,other_problem,ai_note,ai_reviewed,,,“东北”的变音写法，在网络中可作地区戏称，也可用于地域贬损；具体褒贬及是否评价当地人依上下文判断。,
definition:lex-0625:sense:01,山越猴,对浙江人的侮辱性称呼。,reasonable,human_with_ai,human_answered,,,,
definition:lex-0632:sense:01,神经病,常用来指某个人脑子不正常。,other_problem,ai_note,ai_reviewed,,,口语中常作为骂词，用来贬评被认为言行反常、不讲道理等的人；这是说话者的贬损评价，不等同医学诊断。医学或中性疾病讨论须另辨。,
definition:lex-0663:sense:01,tm,在网络语境下，“tm”常作为“他妈”的谐音替代，用于表达愤怒或调侃，属于低俗用语。,other_problem,ai_note,ai_reviewed,,,“他妈”等粗口的拼音首字母写法，在网络中可表达愤怒、调侃或强调；是否在辱骂具体人依上下文判断。其他缩写用法另辨。,
definition:lex-0669:sense:01,批,在部分方言或粗俗表达中可作女性生殖器的俗称；“批评”“批判”以及普通批次或程度构式中的“批”不能直接套用这一义项。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0673:sense:01,蛆,常用的脏话俗语。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0679:sense:01,嘴炮,网络流行语，指通过言语攻击或说服他人，但缺乏实际行动的行为或人，常用于ACGN文化或日常调侃中。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0743:sense:01,渣滓,可喻指社会中的败类或无用之人。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0744:sense:01,杂毛,本意是指头发蓬乱，现用作骂人的话。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0749:sense:01,狗东西,骂人的话。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0758:sense:01,qj,'强奸'的拼音缩写，一种违背被害人的意愿，使用暴力、威胁或其他手段强行与被害人进行性交的强制性行为。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0790:sense:01,帝都,由于北京作为中国多个朝代的首都，对北京的调侃性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0791:sense:01,魔都,出自曾旅居上海的日本作家村松梢风出版小说《魔都》，对上海的调侃性称呼。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-new-4db860d45ffeff75:sense:01,腐女,通常指对描写男性之间恋爱关系的作品或相关文化感兴趣的女性群体。该称呼可用于自我认同或一般指称，也可能在具体争论中被贬损使用；不能自动等同于极端或不理性。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-new-85a9a8e7d39af4a3:sense:01,舔,在部分网络口语中，比喻刻意迎合、讨好他人，往往带讽刺或贬义；普通舌头舔舐动作不属于这一比喻义，也不能仅凭此词断定被指称者的动机。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-new-b5bb7feeffb85985:sense:01,黑人喃,,other_problem,ai_note,human_answered,对黑人男性的贬损称呼,,,
