relation_id	source	target	sense_fit	semantic_reference_fit	rule_fit	source_quality	word_overlap	human_decision
CMAD-demo_to_query-HP-D-F-A-HP-Q2	CMAD-HP-D-F-A	CMAD-HP-Q2		none	none	accepted	absent	
CMAD-demo_to_query-HP-D-F-P-HP-Q2	CMAD-HP-D-F-P	CMAD-HP-Q2		none	none	accepted	present	
CMAD-demo_to_query-HP-D-F-P-SWAP-HP-Q2	CMAD-HP-D-F-P-SWAP	CMAD-HP-Q2		none	none	disputed	present	
CMAD-demo_to_query-HP-D-L-A-HP-Q2	CMAD-HP-D-L-A	CMAD-HP-Q2		direct	none	accepted	absent	
CMAD-demo_to_query-HP-D-L-A-SWAP-HP-Q2	CMAD-HP-D-L-A-SWAP	CMAD-HP-Q2		direct	none	disputed	absent	
CMAD-demo_to_query-HP-D-L-P-HP-Q2	CMAD-HP-D-L-P	CMAD-HP-Q2		direct	none	accepted	present	
CMAD-lexicon_to_query-HP-L1-HP-Q3	CMAD-HP-L1	CMAD-HP-Q3	none			accepted	present	
CMAD-lexicon_to_query-HP-L2-HP-Q3	CMAD-HP-L2	CMAD-HP-Q3	direct			accepted	present	
CMAD-demo_to_query-HP-D-ANCHOR-HP-Q3	CMAD-HP-D-ANCHOR	CMAD-HP-Q3		none	none	accepted	absent	
CMAD-demo_to_query-HP-D-ANCHOR-SWAP-HP-Q3	CMAD-HP-D-ANCHOR-SWAP	CMAD-HP-Q3		none	none	disputed	absent	
CMAD-demo_to_query-HP-D-F-A-HP-Q3	CMAD-HP-D-F-A	CMAD-HP-Q3		direct	direct	accepted	absent	
CMAD-demo_to_query-HP-D-F-A-SWAP-HP-Q3	CMAD-HP-D-F-A-SWAP	CMAD-HP-Q3		direct	direct	disputed	absent	
CMAD-demo_to_query-HP-D-F-P-HP-Q3	CMAD-HP-D-F-P	CMAD-HP-Q3		direct	direct	accepted	present	
CMAD-demo_to_query-HP-D-L-A-HP-Q3	CMAD-HP-D-L-A	CMAD-HP-Q3		none	direct	accepted	absent	
CMAD-demo_to_query-HP-D-L-P-HP-Q3	CMAD-HP-D-L-P	CMAD-HP-Q3		none	direct	accepted	present	
CMAD-demo_to_query-HP-D-L-P-SWAP-HP-Q3	CMAD-HP-D-L-P-SWAP	CMAD-HP-Q3		none	direct	disputed	present	
CMAD-lexicon_to_query-HP-L1-HP-Q4	CMAD-HP-L1	CMAD-HP-Q4	none			accepted	present	
CMAD-lexicon_to_query-HP-L2-HP-Q4	CMAD-HP-L2	CMAD-HP-Q4	direct			accepted	present	
CMAD-demo_to_query-HP-D-ANCHOR-HP-Q4	CMAD-HP-D-ANCHOR	CMAD-HP-Q4		none	none	accepted	absent	
CMAD-demo_to_query-HP-D-ANCHOR-SWAP-HP-Q4	CMAD-HP-D-ANCHOR-SWAP	CMAD-HP-Q4		none	none	disputed	absent	
CMAD-demo_to_query-HP-D-F-A-HP-Q4	CMAD-HP-D-F-A	CMAD-HP-Q4		direct	direct	accepted	absent	
CMAD-demo_to_query-HP-D-F-A-SWAP-HP-Q4	CMAD-HP-D-F-A-SWAP	CMAD-HP-Q4		direct	direct	disputed	absent	
CMAD-demo_to_query-HP-D-F-P-HP-Q4	CMAD-HP-D-F-P	CMAD-HP-Q4		direct	direct	accepted	present	
CMAD-demo_to_query-HP-D-L-A-HP-Q4	CMAD-HP-D-L-A	CMAD-HP-Q4		none	direct	accepted	absent	
CMAD-demo_to_query-HP-D-L-P-HP-Q4	CMAD-HP-D-L-P	CMAD-HP-Q4		none	direct	accepted	present	
CMAD-demo_to_query-HP-D-L-P-SWAP-HP-Q4	CMAD-HP-D-L-P-SWAP	CMAD-HP-Q4		none	direct	disputed	present	
CMAD-lexicon_to_demo-HP-L1-HP-D-L-P	CMAD-HP-L1	CMAD-HP-D-L-P	direct			accepted	present	
CMAD-lexicon_to_demo-HP-L1-HP-D-L-P-SWAP	CMAD-HP-L1	CMAD-HP-D-L-P-SWAP	direct			accepted	present	
CMAD-lexicon_to_demo-HP-L1-HP-D-L-A	CMAD-HP-L1	CMAD-HP-D-L-A	direct			accepted	absent	
CMAD-lexicon_to_demo-HP-L1-HP-D-L-A-SWAP	CMAD-HP-L1	CMAD-HP-D-L-A-SWAP	direct			accepted	absent	
CMAD-lexicon_to_demo-HP-L1-HP-D-F-P	CMAD-HP-L1	CMAD-HP-D-F-P	none			accepted	present	
CMAD-lexicon_to_demo-HP-L1-HP-D-F-P-SWAP	CMAD-HP-L1	CMAD-HP-D-F-P-SWAP	none			accepted	present	
CMAD-lexicon_to_demo-HP-L1-HP-D-F-A	CMAD-HP-L1	CMAD-HP-D-F-A	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L1-HP-D-F-A-SWAP	CMAD-HP-L1	CMAD-HP-D-F-A-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L1-HP-D-ANCHOR	CMAD-HP-L1	CMAD-HP-D-ANCHOR	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L1-HP-D-ANCHOR-SWAP	CMAD-HP-L1	CMAD-HP-D-ANCHOR-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-L-P	CMAD-HP-L2	CMAD-HP-D-L-P	none			accepted	present	
CMAD-lexicon_to_demo-HP-L2-HP-D-L-P-SWAP	CMAD-HP-L2	CMAD-HP-D-L-P-SWAP	none			accepted	present	
CMAD-lexicon_to_demo-HP-L2-HP-D-L-A	CMAD-HP-L2	CMAD-HP-D-L-A	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-L-A-SWAP	CMAD-HP-L2	CMAD-HP-D-L-A-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-F-P	CMAD-HP-L2	CMAD-HP-D-F-P	direct			accepted	present	
CMAD-lexicon_to_demo-HP-L2-HP-D-F-P-SWAP	CMAD-HP-L2	CMAD-HP-D-F-P-SWAP	direct			accepted	present	
CMAD-lexicon_to_demo-HP-L2-HP-D-F-A	CMAD-HP-L2	CMAD-HP-D-F-A	direct			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-F-A-SWAP	CMAD-HP-L2	CMAD-HP-D-F-A-SWAP	direct			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-ANCHOR	CMAD-HP-L2	CMAD-HP-D-ANCHOR	none			accepted	absent	
CMAD-lexicon_to_demo-HP-L2-HP-D-ANCHOR-SWAP	CMAD-HP-L2	CMAD-HP-D-ANCHOR-SWAP	none			accepted	absent	
CMAD-lexicon_to_query-XC-L1-XC-Q1	CMAD-XC-L1	CMAD-XC-Q1	direct			accepted	present	
CMAD-lexicon_to_query-XC-L2-XC-Q1	CMAD-XC-L2	CMAD-XC-Q1	none			accepted	present	
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q1	CMAD-XC-D-ANCHOR	CMAD-XC-Q1		none	direct	accepted	absent	
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q1	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q1		none	direct	disputed	absent	
CMAD-demo_to_query-XC-D-F-A-XC-Q1	CMAD-XC-D-F-A	CMAD-XC-Q1		none	none	accepted	absent	
CMAD-demo_to_query-XC-D-F-P-XC-Q1	CMAD-XC-D-F-P	CMAD-XC-Q1		none	none	accepted	present	
CMAD-demo_to_query-XC-D-F-P-SWAP-XC-Q1	CMAD-XC-D-F-P-SWAP	CMAD-XC-Q1		none	none	disputed	present	
CMAD-demo_to_query-XC-D-L-A-XC-Q1	CMAD-XC-D-L-A	CMAD-XC-Q1		direct	none	accepted	absent	
CMAD-demo_to_query-XC-D-L-A-SWAP-XC-Q1	CMAD-XC-D-L-A-SWAP	CMAD-XC-Q1		direct	none	disputed	absent	
CMAD-demo_to_query-XC-D-L-P-XC-Q1	CMAD-XC-D-L-P	CMAD-XC-Q1		direct	none	accepted	present	
CMAD-lexicon_to_query-XC-L1-XC-Q2	CMAD-XC-L1	CMAD-XC-Q2	direct			accepted	present	
CMAD-lexicon_to_query-XC-L2-XC-Q2	CMAD-XC-L2	CMAD-XC-Q2	none			accepted	present	
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q2	CMAD-XC-D-ANCHOR	CMAD-XC-Q2		none	direct	accepted	absent	
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q2	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q2		none	direct	disputed	absent	
CMAD-demo_to_query-XC-D-F-A-XC-Q2	CMAD-XC-D-F-A	CMAD-XC-Q2		none	none	accepted	absent	
CMAD-demo_to_query-XC-D-F-P-XC-Q2	CMAD-XC-D-F-P	CMAD-XC-Q2		none	none	accepted	present	
CMAD-demo_to_query-XC-D-F-P-SWAP-XC-Q2	CMAD-XC-D-F-P-SWAP	CMAD-XC-Q2		none	none	disputed	present	
CMAD-demo_to_query-XC-D-L-A-XC-Q2	CMAD-XC-D-L-A	CMAD-XC-Q2		direct	none	accepted	absent	
CMAD-demo_to_query-XC-D-L-A-SWAP-XC-Q2	CMAD-XC-D-L-A-SWAP	CMAD-XC-Q2		direct	none	disputed	absent	
CMAD-demo_to_query-XC-D-L-P-XC-Q2	CMAD-XC-D-L-P	CMAD-XC-Q2		direct	none	accepted	present	
CMAD-lexicon_to_query-XC-L1-XC-Q3	CMAD-XC-L1	CMAD-XC-Q3	none			accepted	present	
CMAD-lexicon_to_query-XC-L2-XC-Q3	CMAD-XC-L2	CMAD-XC-Q3	direct			accepted	present	
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q3	CMAD-XC-D-ANCHOR	CMAD-XC-Q3		none	none	accepted	absent	
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q3	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q3		none	none	disputed	absent	
CMAD-demo_to_query-XC-D-F-A-XC-Q3	CMAD-XC-D-F-A	CMAD-XC-Q3		direct	direct	accepted	absent	
CMAD-demo_to_query-XC-D-F-A-SWAP-XC-Q3	CMAD-XC-D-F-A-SWAP	CMAD-XC-Q3		direct	direct	disputed	absent	
CMAD-demo_to_query-XC-D-F-P-XC-Q3	CMAD-XC-D-F-P	CMAD-XC-Q3		direct	direct	accepted	present	
CMAD-demo_to_query-XC-D-L-A-XC-Q3	CMAD-XC-D-L-A	CMAD-XC-Q3		none	direct	accepted	absent	
CMAD-demo_to_query-XC-D-L-P-XC-Q3	CMAD-XC-D-L-P	CMAD-XC-Q3		none	direct	accepted	present	
CMAD-demo_to_query-XC-D-L-P-SWAP-XC-Q3	CMAD-XC-D-L-P-SWAP	CMAD-XC-Q3		none	direct	disputed	present	
CMAD-lexicon_to_query-XC-L1-XC-Q4	CMAD-XC-L1	CMAD-XC-Q4	none			accepted	present	
CMAD-lexicon_to_query-XC-L2-XC-Q4	CMAD-XC-L2	CMAD-XC-Q4	direct			accepted	present	
CMAD-demo_to_query-XC-D-ANCHOR-XC-Q4	CMAD-XC-D-ANCHOR	CMAD-XC-Q4		none	none	accepted	absent	
CMAD-demo_to_query-XC-D-ANCHOR-SWAP-XC-Q4	CMAD-XC-D-ANCHOR-SWAP	CMAD-XC-Q4		none	none	disputed	absent	
CMAD-demo_to_query-XC-D-F-A-XC-Q4	CMAD-XC-D-F-A	CMAD-XC-Q4		direct	direct	accepted	absent	
CMAD-demo_to_query-XC-D-F-A-SWAP-XC-Q4	CMAD-XC-D-F-A-SWAP	CMAD-XC-Q4		direct	direct	disputed	absent	
CMAD-demo_to_query-XC-D-F-P-XC-Q4	CMAD-XC-D-F-P	CMAD-XC-Q4		direct	direct	accepted	present	
CMAD-demo_to_query-XC-D-L-A-XC-Q4	CMAD-XC-D-L-A	CMAD-XC-Q4		none	direct	accepted	absent	
CMAD-demo_to_query-XC-D-L-P-XC-Q4	CMAD-XC-D-L-P	CMAD-XC-Q4		none	direct	accepted	present	
CMAD-demo_to_query-XC-D-L-P-SWAP-XC-Q4	CMAD-XC-D-L-P-SWAP	CMAD-XC-Q4		none	direct	disputed	present	
CMAD-lexicon_to_demo-XC-L1-XC-D-L-P	CMAD-XC-L1	CMAD-XC-D-L-P	direct			accepted	present	
CMAD-lexicon_to_demo-XC-L1-XC-D-L-P-SWAP	CMAD-XC-L1	CMAD-XC-D-L-P-SWAP	direct			accepted	present	
CMAD-lexicon_to_demo-XC-L1-XC-D-L-A	CMAD-XC-L1	CMAD-XC-D-L-A	direct			accepted	absent	
CMAD-lexicon_to_demo-XC-L1-XC-D-L-A-SWAP	CMAD-XC-L1	CMAD-XC-D-L-A-SWAP	direct			accepted	absent	
CMAD-lexicon_to_demo-XC-L1-XC-D-F-P	CMAD-XC-L1	CMAD-XC-D-F-P	none			accepted	present	
CMAD-lexicon_to_demo-XC-L1-XC-D-F-P-SWAP	CMAD-XC-L1	CMAD-XC-D-F-P-SWAP	none			accepted	present	
CMAD-lexicon_to_demo-XC-L1-XC-D-F-A	CMAD-XC-L1	CMAD-XC-D-F-A	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L1-XC-D-F-A-SWAP	CMAD-XC-L1	CMAD-XC-D-F-A-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L1-XC-D-ANCHOR	CMAD-XC-L1	CMAD-XC-D-ANCHOR	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L1-XC-D-ANCHOR-SWAP	CMAD-XC-L1	CMAD-XC-D-ANCHOR-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-L-P	CMAD-XC-L2	CMAD-XC-D-L-P	none			accepted	present	
CMAD-lexicon_to_demo-XC-L2-XC-D-L-P-SWAP	CMAD-XC-L2	CMAD-XC-D-L-P-SWAP	none			accepted	present	
CMAD-lexicon_to_demo-XC-L2-XC-D-L-A	CMAD-XC-L2	CMAD-XC-D-L-A	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-L-A-SWAP	CMAD-XC-L2	CMAD-XC-D-L-A-SWAP	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-F-P	CMAD-XC-L2	CMAD-XC-D-F-P	direct			accepted	present	
CMAD-lexicon_to_demo-XC-L2-XC-D-F-P-SWAP	CMAD-XC-L2	CMAD-XC-D-F-P-SWAP	direct			accepted	present	
CMAD-lexicon_to_demo-XC-L2-XC-D-F-A	CMAD-XC-L2	CMAD-XC-D-F-A	direct			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-F-A-SWAP	CMAD-XC-L2	CMAD-XC-D-F-A-SWAP	direct			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-ANCHOR	CMAD-XC-L2	CMAD-XC-D-ANCHOR	none			accepted	absent	
CMAD-lexicon_to_demo-XC-L2-XC-D-ANCHOR-SWAP	CMAD-XC-L2	CMAD-XC-D-ANCHOR-SWAP	none			accepted	absent	
