condition_id	query_id	query_short_id	family_id	lexicon_arm	demo_arm	condition_group	lexicon_ids	demo_ids	demo_answers	focal_relation_dimension	foreground_relation_proposal	foreground_focal_word	qwen8b_prompt_sha256	human_adoption	eligible_for_GPU
CMAD-HP-Q1-L2-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D10S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	c5dc599d0b4f6fa86e07e931ae811eba2ff177f6db50c434a443db6550c64b53		False
CMAD-HP-Q1-L2-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D01S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	bcd109f774bdf438d8c651be80cc919eb305e158f5847e494b2c6bee829c44a1		False
CMAD-HP-Q2-L0-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			e633f41783d549b9bd4e5b7c54781a72e158fa5a671d1bf7bded1dc64b3d7ad5		False
CMAD-HP-Q2-L0-D11	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	f3c88888b5918aef88e383bf6510cff8654abf6eceff2f4a9fddd7668d7092db		False
CMAD-HP-Q2-L0-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	c51d53c6a1cd120d2577cc638151dde0897edb89c33284a38a468c16b294fa27		False
CMAD-HP-Q2-L0-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	7122f545c363f5abe2d799f322fb62a8472490412cbfa180320132b0e9db5d74		False
CMAD-HP-Q2-L0-D00	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	3ac09ad1c7a0f369c5eaca9a3ef3dfba5aeaf593c3678070d847cfe707f393e2		False
CMAD-HP-Q2-L1-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			439e7a91a6a7f30f37b916746cf9210d3de2f6c10a7d433c24a4c5fd2ea04d3c		False
CMAD-HP-Q2-L1-D11	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D11	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	cb9c12db79b9b0e19886b6f59446192115ecea5a0d7c397bb37dabefbd6a0a94		False
CMAD-HP-Q2-L1-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D10	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	f7dd2aed353de3a835e9c2d1131719cff2c71144f2fadac806293b79434bac07		False
CMAD-HP-Q2-L1-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D01	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	0dc9eb42b7ca26673ea219391c1045602b43aabcdab6f66d6353ca55da6e58ba		False
CMAD-HP-Q2-L1-D00	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D00	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	f01b9ebb9adfe8d093a30a24b6379c120b6c0f4cd6b3bd01658eb61cb5ab3f11		False
CMAD-HP-Q2-L2-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D0	core	"[""CMAD-HP-L2""]"	[]	[]	semantic_reference_fit			7a33c68cdf7cd87739515d3882aa868fbe93076e0e936822b1344f564ad25378		False
CMAD-HP-Q2-L2-D11	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D11	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	62960c8968d34c87823edc472b3fe3ec62b84ee69e5197249b64dc12e5c05024		False
CMAD-HP-Q2-L2-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D10	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	429456b2b47f2fafc74c8a89ed4d63c1d9c1382a5b56746818d93463e4218a44		False
CMAD-HP-Q2-L2-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D01	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	5c531153266fdf09f55e9b7e70de646ae1a0cc011fbcf365903d8b0144367f22		False
CMAD-HP-Q2-L2-D00	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D00	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	e399c3d3519d6b710709a0956a73cc48d5c93c5dad7321c9c5dffbe512ed6141		False
CMAD-HP-Q2-N-D0	CMAD-HP-Q2	HP-Q2	CMAD-HP	N	D0	neutral_diagnostic	"[""CMAD-HP-N""]"	[]	[]	semantic_reference_fit			c9e1460f7283bce096dc16102da870e43f46d1aceb35b43e7d6f06f03582088f		False
CMAD-HP-Q2-N-D10	CMAD-HP-Q2	HP-Q2	CMAD-HP	N	D10	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	fec0a82f874248ad1d2e918bf4dc016207d8401dd14ff2eea3faf1fa070d3e3a		False
CMAD-HP-Q2-N-D01	CMAD-HP-Q2	HP-Q2	CMAD-HP	N	D01	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	41deef213a296ee0be27d6fbd7f9aac17c5692a5085606558eeeeb15c39badf2		False
CMAD-HP-Q2-L0-D10S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D10S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	825655bc01a02912800773746cf10e6fd5673ef56bbd9da02e936e66fdd5880e		False
CMAD-HP-Q2-L0-D01S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L0	D01S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	211e81c92937ab8daa751af2e82ef7bf85ccaa2be362a492ad47a42598e448a5		False
CMAD-HP-Q2-L1-D10S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D10S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	cf1ca7168123909a969e0e30e0b1b19469e168caa26aff099ce6a1b2faa45217		False
CMAD-HP-Q2-L1-D01S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L1	D01S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	700975e1d0bc1d322314252f3834b7e1587c59b5f600a6cecd440671bbc8c7da		False
CMAD-HP-Q2-L2-D10S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D10S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	547176ea20144177cc5f8e3c0ebdd624a73d153318a1dfdabab485d461e4860b		False
CMAD-HP-Q2-L2-D01S	CMAD-HP-Q2	HP-Q2	CMAD-HP	L2	D01S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	449cf7d6c36ba3f4d8fd4f129890a3597c923f9747f131d0e5c39b8cf7cc3222		False
CMAD-HP-Q3-L0-D0	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			f313fcfccea7cc20aac58ae3000611445a0af0a9481416ca1d8e3bdcfcaba3fc		False
CMAD-HP-Q3-L0-D11	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	1a0a1f2baee056ef449016cb25077ab829a8f946cde441d32016928cb8b7e1bf		False
CMAD-HP-Q3-L0-D10	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	8fbec7ff912dbbdf7ea5bd426b06e092ca8fec46e6f16490047d57b9606c83de		False
CMAD-HP-Q3-L0-D01	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	de129a1380d5d6acc03534721e3ebc2f6b37114d0fd3295f2428587305687bf3		False
CMAD-HP-Q3-L0-D00	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	3d2d7bfe68544fd6e17e48434221e2525cde54154bcdcb98d968bd03338e6a29		False
CMAD-HP-Q3-L1-D0	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			bad8dd9fd189a1c116798cd653c166df2ed77e484b7513bf228257bf3fada890		False
CMAD-HP-Q3-L1-D11	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D11	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	e158321298a63ab9421fd1ac8ebc040cc76e17e6ea79f99711c3dff6101f9d29		False
CMAD-HP-Q3-L1-D10	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D10	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	037cfa6efa83f841a9ac58a79069cae671ec9827f5dd8adf0b41e7bf08357711		False
CMAD-HP-Q3-L1-D01	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D01	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	a8e9f95f951fa680961f0227b891d31393d70dc140fb4e208349c11503dfc2e9		False
CMAD-HP-Q3-L1-D00	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D00	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	fe6ed8a4ab92be3cc77c0d966212554b514885d13affbe5203a39dad80ede8e5		False
CMAD-HP-Q3-L2-D0	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D0	core	"[""CMAD-HP-L2""]"	[]	[]	semantic_reference_fit			bbad4dce88963678cd1dd6c73a832b43b8c43c495a29e3b2e8f4d3eb9c812c23		False
CMAD-HP-Q3-L2-D11	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D11	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	59e57a3d454df42eb07ec22638c3e45b7dd3cbaec7bdb740ca4595508ef49045		False
CMAD-HP-Q3-L2-D10	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D10	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	079c52c9d44b18bb7baf0fb09b673ae84e1cdb2802803191b186d2be41a66c03		False
CMAD-HP-Q3-L2-D01	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D01	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	3917057513314db7b845d0cb8f11072efbc6b640fb4c7db8285cd2999bd543db		False
CMAD-HP-Q3-L2-D00	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D00	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	9abe920d277c3b23d49038f1b8dc2490d78630908aa550b7e4e96e5dcfa9aedd		False
CMAD-HP-Q3-N-D0	CMAD-HP-Q3	HP-Q3	CMAD-HP	N	D0	neutral_diagnostic	"[""CMAD-HP-N""]"	[]	[]	semantic_reference_fit			f022766253d1cf60d68eaf47fc4b98ac255b05bf64ee25d39137a12d7fbe5911		False
CMAD-HP-Q3-N-D10	CMAD-HP-Q3	HP-Q3	CMAD-HP	N	D10	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	0690053b95989c5be6da5c8dbee75ea6967b0a3e7cc6ca55cd9d99148586b199		False
CMAD-HP-Q3-N-D01	CMAD-HP-Q3	HP-Q3	CMAD-HP	N	D01	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	5f262d832773746dfa6b52214109851d4530037bcb5a896df50adf8461ccb75d		False
CMAD-HP-Q3-L0-D10S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D10S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-F-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	138281b2f3b872af929ca7b598c3fb4a28d9516535718ccd478d940414186d09		False
CMAD-HP-Q3-L0-D01S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L0	D01S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-L-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	d50371b4ced993733018ba7f5a6509aadd0da1cff504de41a7455a8cde470efd		False
CMAD-HP-Q3-L1-D10S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D10S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	e1575b7a60fbae7bbdab5996e20de2a0d2de3ed389affec189d59f86e4443fe0		False
CMAD-HP-Q3-L1-D01S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L1	D01S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	743f3870ff0d870492915bee048b28bc6a514331ed5542399843e3898800b1f5		False
CMAD-HP-Q3-L2-D10S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D10S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	788d2945f99464e3ecf4c0b5206dc244b3f5aa11ce6a4020f7de4f27bfcd48c5		False
CMAD-HP-Q3-L2-D01S	CMAD-HP-Q3	HP-Q3	CMAD-HP	L2	D01S	label_mapping_diagnostic	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	f84aa3aee1bd5d1811357a6eb48aad3bdb4034b057606488e042f952c9486e57		False
CMAD-HP-Q4-L0-D0	CMAD-HP-Q4	HP-Q4	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			4eb175aaad44d24bcb7d3e440800da36cbcc41cd57314dff5f7bb27f5d005118		False
CMAD-HP-Q4-L0-D11	CMAD-HP-Q4	HP-Q4	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	ada106c709dc60561f0ff7ac7d76ee6990686fa0620a3118e16b67528995692e		False
CMAD-HP-Q4-L0-D10	CMAD-HP-Q4	HP-Q4	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	13a364981cc8b4a9be7542bacc630f4f236d00811247f71dcf47a684059cd4ba		False
CMAD-HP-Q4-L0-D01	CMAD-HP-Q4	HP-Q4	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	b9307182a3c4f336abf71d1a081eac42a53f3995f3b9fdde95c8cf40b8f4724b		False
CMAD-HP-Q4-L0-D00	CMAD-HP-Q4	HP-Q4	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	ec3bd0b258ecbd1dc9457157b3f3c1acdaef905a31f22afe009bb6a17bbbbf9a		False
CMAD-HP-Q4-L1-D0	CMAD-HP-Q4	HP-Q4	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			bce48b048a6c61283cc821e9e01c5a40f8e3807a90217c2a6240c0db8ad8fe5d		False
