contrast_id,query_id,kind,terms,main_effects,main_directions,original_background_effect,mean_to_ncc_direction_preserved,ab_directions_agree_resolved,all_five_directions_agree_resolved,single_probe_directions,leave_one_out_directions,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc,role,template
ECD-541-F2-rule_at_T1,541,rule_at_T1,"[{""coefficient"":-1,""condition"":""F2-T1R0""},{""coefficient"":1,""condition"":""F2-T1R1""}]","{""ab_forward/answer_sum"":-0.3482856750488281,""ab_reverse/answer_sum"":-0.6248016357421875,""ncc"":0.18147561451314065,""original/answer_mean"":-0.04313354492187499,""original/answer_sum"":-0.1727142333984375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.22460915943501591,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,2
ECD-541-F2-topic_at_R0,541,topic_at_R0,"[{""coefficient"":-1,""condition"":""F2-T0R0""},{""coefficient"":1,""condition"":""F2-T1R0""}]","{""ab_forward/answer_sum"":0.11673736572265625,""ab_reverse/answer_sum"":0.037982940673828125,""ncc"":0.1619375807252026,""original/answer_mean"":-0.016912841796875022,""original/answer_sum"":-0.07782745361328125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.1788504225220775,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,2
ECD-541-F2-topic_at_R1,541,topic_at_R1,"[{""coefficient"":-1,""condition"":""F2-T0R1""},{""coefficient"":1,""condition"":""F2-T1R1""}]","{""ab_forward/answer_sum"":0.09656524658203125,""ab_reverse/answer_sum"":-0.23732757568359375,""ncc"":0.075968486033275,""original/answer_mean"":-0.06357523600260412,""original/answer_sum"":-0.26457977294921875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.13954372203587928,False,False,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,2
ECD-541-F2-topic_rule_interaction,541,topic_rule_interaction,"[{""coefficient"":1,""condition"":""F2-T0R0""},{""coefficient"":-1,""condition"":""F2-T0R1""},{""coefficient"":-1,""condition"":""F2-T1R0""},{""coefficient"":1,""condition"":""F2-T1R1""}]","{""ab_forward/answer_sum"":-0.020172119140625,""ab_reverse/answer_sum"":-0.2753105163574219,""ncc"":-0.0859690946919276,""original/answer_mean"":-0.046662394205729096,""original/answer_sum"":-0.1867523193359375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.03930670048619822,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,primary,2
ECD-541-F2-original_bridge,541,original_bridge,"[{""coefficient"":1,""condition"":""F2-T1R1""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":-0.9009437561035156,""ab_reverse/answer_sum"":-1.4432754516601562,""ncc"":-0.24144795042769518,""original/answer_mean"":-0.00905659993489577,""original/answer_sum"":-0.141387939453125}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.23239135049279946,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,2
ECD-541-F2-D_bridge,541,D_bridge,"[{""coefficient"":1,""condition"":""F2-T1R1""},{""coefficient"":-1,""condition"":""R-D2""}]","{""ab_forward/answer_sum"":-0.5429954528808594,""ab_reverse/answer_sum"":-1.2338943481445312,""ncc"":-0.34246402104869933,""original/answer_mean"":0.05829213460286459,""original/answer_sum"":0.14327239990234375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.40075615565156397,False,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,2
ECD-541-F2-C_bridge,541,C_bridge,"[{""coefficient"":1,""condition"":""F2-T0R0""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":0.6504249572753906,""ab_reverse/answer_sum"":0.578521728515625,""ncc"":0.4257358735282022,""original/answer_mean"":0.07962799072265625,""original/answer_sum"":0.397216796875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.34610788280554594,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,bridge,2
ECD-541-F2-historical_D_minus_C,541,historical_D_minus_C,"[{""coefficient"":1,""condition"":""R-D2""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":0.9618721008300781,""ab_reverse/answer_sum"":1.2255973815917969,""ncc"":1.1116130898152448,""original/answer_mean"":-0.03871053059895835,""original/answer_sum"":0.0034027099609375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""positive""}",-1.1503236204142033,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,historical_anchor,2
ECD-3169-F1-group_designation_substitution,3169,group_designation_substitution,"[{""coefficient"":-1,""condition"":""F1-G_E""},{""coefficient"":1,""condition"":""F1-G_H""}]","{""ab_forward/answer_sum"":-4.129207611083984,""ab_reverse/answer_sum"":-3.540447235107422,""ncc"":-0.3672283591983665,""original/answer_mean"":-0.35133260091145835,""original/answer_sum"":-1.7325973510742188}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.015895758286908368,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,primary,1
ECD-3169-F1-ordinary_laughter_form_substitution,3169,ordinary_laughter_form_substitution,"[{""coefficient"":1,""condition"":""F1-L_H""},{""coefficient"":-1,""condition"":""F1-L_O""}]","{""ab_forward/answer_sum"":-2.9724693298339844,""ab_reverse/answer_sum"":-2.047405242919922,""ncc"":-0.04233535846122294,""original/answer_mean"":-0.1627393086751302,""original/answer_sum"":-0.6523323059082031}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.12040395021390715,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""positive""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True,primary,1
ECD-3169-F1-original_bridge,3169,original_bridge,"[{""coefficient"":1,""condition"":""F1-G_H""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":0.8458786010742188,""ab_reverse/answer_sum"":-0.10173797607421875,""ncc"":-0.10744724553843277,""original/answer_mean"":-0.021425374348958415,""original/answer_sum"":-0.10500335693359375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.08602187118947446,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,1
ECD-3169-F1-D_bridge,3169,D_bridge,"[{""coefficient"":1,""condition"":""F1-G_H""},{""coefficient"":-1,""condition"":""R-D1""}]","{""ab_forward/answer_sum"":0.12845230102539062,""ab_reverse/answer_sum"":-0.6974906921386719,""ncc"":-0.17043554698885233,""original/answer_mean"":-0.10722681681315105,""original/answer_sum"":-0.5195884704589844}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.06320873017570161,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,1
ECD-3169-F1-C_bridge,3169,C_bridge,"[{""coefficient"":1,""condition"":""F1-L_H""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":0.2910728454589844,""ab_reverse/answer_sum"":-1.1155815124511719,""ncc"":-0.13996693492425072,""original/answer_mean"":-0.25935211181640627,""original/answer_sum"":-1.0199432373046875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.11938517689215544,True,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,1
ECD-3169-F1-historical_D_minus_C,3169,historical_D_minus_C,"[{""coefficient"":1,""condition"":""R-D1""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":-5.978107452392578,""ab_reverse/answer_sum"":-6.921268463134766,""ncc"":-0.5752688918176063,""original/answer_mean"":-0.7820137023925782,""original/answer_sum"":-3.4597129821777344}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.20674481057497207,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,historical_anchor,1
ECD-3169-F2-group_designation_substitution,3169,group_designation_substitution,"[{""coefficient"":-1,""condition"":""F2-G_E""},{""coefficient"":1,""condition"":""F2-G_H""}]","{""ab_forward/answer_sum"":-4.272132873535156,""ab_reverse/answer_sum"":-3.8861083984375,""ncc"":-0.41611010527915226,""original/answer_mean"":-0.3831197102864583,""original/answer_sum"":-1.8869781494140625}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.03299039499269396,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,primary,2
ECD-3169-F2-ordinary_laughter_form_substitution,3169,ordinary_laughter_form_substitution,"[{""coefficient"":1,""condition"":""F2-L_H""},{""coefficient"":-1,""condition"":""F2-L_O""}]","{""ab_forward/answer_sum"":-3.4583892822265625,""ab_reverse/answer_sum"":-1.9920921325683594,""ncc"":-0.182690399901261,""original/answer_mean"":-0.2221796671549479,""original/answer_sum"":-0.8617782592773438}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.039489267253686844,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,primary,2
ECD-3169-F2-original_bridge,3169,original_bridge,"[{""coefficient"":1,""condition"":""F2-G_H""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":0.7846870422363281,""ab_reverse/answer_sum"":0.06529998779296875,""ncc"":-0.16507451128947048,""original/answer_mean"":-0.06184132893880212,""original/answer_sum"":-0.29947662353515625}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.10323318235066825,True,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,2
ECD-3169-F2-D_bridge,3169,D_bridge,"[{""coefficient"":1,""condition"":""F2-G_H""},{""coefficient"":-1,""condition"":""R-D2""}]","{""ab_forward/answer_sum"":-0.0042877197265625,""ab_reverse/answer_sum"":-0.5820884704589844,""ncc"":-0.1881316317651316,""original/answer_mean"":-0.12330322265625004,""original/answer_sum"":-0.59979248046875}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.06482840910888132,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,2
ECD-3169-F2-C_bridge,3169,C_bridge,"[{""coefficient"":1,""condition"":""F2-L_H""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":-0.83294677734375,""ab_reverse/answer_sum"":-0.6061973571777344,""ncc"":-0.28861809338838906,""original/answer_mean"":-0.3592140197753907,""original/answer_sum"":-1.3527030944824219}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.0705959263870013,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,2
ECD-3169-F2-historical_D_minus_C,3169,historical_D_minus_C,"[{""coefficient"":1,""condition"":""R-D2""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":-7.511116027832031,""ab_reverse/answer_sum"":-8.285037994384766,""ncc"":-0.7401157633509765,""original/answer_mean"":-0.9569353739420573,""original/answer_sum"":-4.116962432861328}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.21681961059108046,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,historical_anchor,2
