category,kind,module,layer,role,encoding,probe_id,prompt_requests,candidates
engineering,self_patch,block,10,pre_answer,ab_forward,,12,24
engineering,self_patch,block,10,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,10,pre_answer,original,empty,12,24
engineering,self_patch,block,10,pre_answer,original,lorem,12,24
engineering,self_patch,block,10,pre_answer,original,mask,12,24
engineering,self_patch,block,10,pre_answer,original,na,12,24
engineering,self_patch,block,10,pre_answer,original,space,12,24
engineering,self_patch,block,10,pre_answer,original,,12,24
engineering,self_patch,block,10,query_hehe,ab_forward,,12,24
engineering,self_patch,block,10,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,10,query_hehe,original,,12,24
engineering,self_patch,block,10,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,10,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,10,unrelated_demo_end,original,,12,24
engineering,self_patch,block,15,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,15,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,15,demo_answer_end,original,empty,12,24
engineering,self_patch,block,15,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,15,demo_answer_end,original,mask,12,24
engineering,self_patch,block,15,demo_answer_end,original,na,12,24
engineering,self_patch,block,15,demo_answer_end,original,space,12,24
engineering,self_patch,block,15,demo_answer_end,original,,12,24
engineering,self_patch,block,15,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,15,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,15,lexicon_end,original,empty,12,24
engineering,self_patch,block,15,lexicon_end,original,lorem,12,24
engineering,self_patch,block,15,lexicon_end,original,mask,12,24
engineering,self_patch,block,15,lexicon_end,original,na,12,24
engineering,self_patch,block,15,lexicon_end,original,space,12,24
engineering,self_patch,block,15,lexicon_end,original,,12,24
engineering,self_patch,block,15,pre_answer,ab_forward,,12,24
engineering,self_patch,block,15,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,15,pre_answer,original,empty,12,24
engineering,self_patch,block,15,pre_answer,original,lorem,12,24
engineering,self_patch,block,15,pre_answer,original,mask,12,24
engineering,self_patch,block,15,pre_answer,original,na,12,24
engineering,self_patch,block,15,pre_answer,original,space,12,24
engineering,self_patch,block,15,pre_answer,original,,12,24
engineering,self_patch,block,15,query_hehe,ab_forward,,12,24
engineering,self_patch,block,15,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,15,query_hehe,original,,12,24
engineering,self_patch,block,15,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,15,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,15,unrelated_demo_end,original,,12,24
engineering,self_patch,block,20,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,20,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,20,demo_answer_end,original,empty,12,24
engineering,self_patch,block,20,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,20,demo_answer_end,original,mask,12,24
engineering,self_patch,block,20,demo_answer_end,original,na,12,24
engineering,self_patch,block,20,demo_answer_end,original,space,12,24
engineering,self_patch,block,20,demo_answer_end,original,,12,24
engineering,self_patch,block,20,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,20,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,20,lexicon_end,original,empty,12,24
engineering,self_patch,block,20,lexicon_end,original,lorem,12,24
engineering,self_patch,block,20,lexicon_end,original,mask,12,24
engineering,self_patch,block,20,lexicon_end,original,na,12,24
engineering,self_patch,block,20,lexicon_end,original,space,12,24
engineering,self_patch,block,20,lexicon_end,original,,12,24
engineering,self_patch,block,20,pre_answer,ab_forward,,12,24
engineering,self_patch,block,20,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,20,pre_answer,original,empty,12,24
engineering,self_patch,block,20,pre_answer,original,lorem,12,24
engineering,self_patch,block,20,pre_answer,original,mask,12,24
engineering,self_patch,block,20,pre_answer,original,na,12,24
engineering,self_patch,block,20,pre_answer,original,space,12,24
engineering,self_patch,block,20,pre_answer,original,,12,24
engineering,self_patch,block,20,query_hehe,ab_forward,,12,24
engineering,self_patch,block,20,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,20,query_hehe,original,,12,24
engineering,self_patch,block,20,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,20,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,20,unrelated_demo_end,original,,12,24
engineering,self_patch,block,25,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,25,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,25,demo_answer_end,original,empty,12,24
engineering,self_patch,block,25,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,25,demo_answer_end,original,mask,12,24
engineering,self_patch,block,25,demo_answer_end,original,na,12,24
engineering,self_patch,block,25,demo_answer_end,original,space,12,24
engineering,self_patch,block,25,demo_answer_end,original,,12,24
engineering,self_patch,block,25,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,25,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,25,lexicon_end,original,empty,12,24
engineering,self_patch,block,25,lexicon_end,original,lorem,12,24
engineering,self_patch,block,25,lexicon_end,original,mask,12,24
engineering,self_patch,block,25,lexicon_end,original,na,12,24
engineering,self_patch,block,25,lexicon_end,original,space,12,24
engineering,self_patch,block,25,lexicon_end,original,,12,24
engineering,self_patch,block,25,pre_answer,ab_forward,,12,24
engineering,self_patch,block,25,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,25,pre_answer,original,empty,12,24
engineering,self_patch,block,25,pre_answer,original,lorem,12,24
engineering,self_patch,block,25,pre_answer,original,mask,12,24
engineering,self_patch,block,25,pre_answer,original,na,12,24
engineering,self_patch,block,25,pre_answer,original,space,12,24
engineering,self_patch,block,25,pre_answer,original,,12,24
engineering,self_patch,block,25,query_hehe,ab_forward,,12,24
engineering,self_patch,block,25,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,25,query_hehe,original,,12,24
engineering,self_patch,block,25,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,25,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,25,unrelated_demo_end,original,,12,24
engineering,self_patch,block,30,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,30,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,30,demo_answer_end,original,empty,12,24
engineering,self_patch,block,30,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,30,demo_answer_end,original,mask,12,24
engineering,self_patch,block,30,demo_answer_end,original,na,12,24
engineering,self_patch,block,30,demo_answer_end,original,space,12,24
engineering,self_patch,block,30,demo_answer_end,original,,12,24
engineering,self_patch,block,30,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,30,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,30,lexicon_end,original,empty,12,24
engineering,self_patch,block,30,lexicon_end,original,lorem,12,24
engineering,self_patch,block,30,lexicon_end,original,mask,12,24
engineering,self_patch,block,30,lexicon_end,original,na,12,24
engineering,self_patch,block,30,lexicon_end,original,space,12,24
engineering,self_patch,block,30,lexicon_end,original,,12,24
engineering,self_patch,block,30,pre_answer,ab_forward,,12,24
engineering,self_patch,block,30,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,30,pre_answer,original,empty,12,24
engineering,self_patch,block,30,pre_answer,original,lorem,12,24
engineering,self_patch,block,30,pre_answer,original,mask,12,24
engineering,self_patch,block,30,pre_answer,original,na,12,24
engineering,self_patch,block,30,pre_answer,original,space,12,24
engineering,self_patch,block,30,pre_answer,original,,12,24
engineering,self_patch,block,30,query_hehe,ab_forward,,12,24
engineering,self_patch,block,30,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,30,query_hehe,original,,12,24
engineering,self_patch,block,30,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,30,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,30,unrelated_demo_end,original,,12,24
engineering,self_patch,block,34,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,34,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,34,demo_answer_end,original,empty,12,24
engineering,self_patch,block,34,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,34,demo_answer_end,original,mask,12,24
engineering,self_patch,block,34,demo_answer_end,original,na,12,24
engineering,self_patch,block,34,demo_answer_end,original,space,12,24
engineering,self_patch,block,34,demo_answer_end,original,,12,24
engineering,self_patch,block,34,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,34,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,34,lexicon_end,original,empty,12,24
engineering,self_patch,block,34,lexicon_end,original,lorem,12,24
engineering,self_patch,block,34,lexicon_end,original,mask,12,24
engineering,self_patch,block,34,lexicon_end,original,na,12,24
engineering,self_patch,block,34,lexicon_end,original,space,12,24
engineering,self_patch,block,34,lexicon_end,original,,12,24
engineering,self_patch,block,34,pre_answer,ab_forward,,12,24
engineering,self_patch,block,34,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,34,pre_answer,original,empty,12,24
engineering,self_patch,block,34,pre_answer,original,lorem,12,24
engineering,self_patch,block,34,pre_answer,original,mask,12,24
engineering,self_patch,block,34,pre_answer,original,na,12,24
engineering,self_patch,block,34,pre_answer,original,space,12,24
engineering,self_patch,block,34,pre_answer,original,,12,24
engineering,self_patch,block,34,query_hehe,ab_forward,,12,24
engineering,self_patch,block,34,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,34,query_hehe,original,,12,24
engineering,self_patch,block,34,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,34,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,34,unrelated_demo_end,original,,12,24
engineering,self_patch,block,35,pre_answer,ab_forward,,12,24
engineering,self_patch,block,35,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,35,pre_answer,original,empty,12,24
engineering,self_patch,block,35,pre_answer,original,lorem,12,24
engineering,self_patch,block,35,pre_answer,original,mask,12,24
engineering,self_patch,block,35,pre_answer,original,na,12,24
engineering,self_patch,block,35,pre_answer,original,space,12,24
engineering,self_patch,block,35,pre_answer,original,,12,24
engineering,self_patch,block,5,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,5,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,5,demo_answer_end,original,empty,12,24
engineering,self_patch,block,5,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,5,demo_answer_end,original,mask,12,24
engineering,self_patch,block,5,demo_answer_end,original,na,12,24
engineering,self_patch,block,5,demo_answer_end,original,space,12,24
engineering,self_patch,block,5,demo_answer_end,original,,12,24
engineering,self_patch,block,5,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,5,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,5,lexicon_end,original,empty,12,24
engineering,self_patch,block,5,lexicon_end,original,lorem,12,24
engineering,self_patch,block,5,lexicon_end,original,mask,12,24
engineering,self_patch,block,5,lexicon_end,original,na,12,24
engineering,self_patch,block,5,lexicon_end,original,space,12,24
engineering,self_patch,block,5,lexicon_end,original,,12,24
engineering,self_patch,block,5,pre_answer,ab_forward,,12,24
engineering,self_patch,block,5,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,5,pre_answer,original,empty,12,24
engineering,self_patch,block,5,pre_answer,original,lorem,12,24
engineering,self_patch,block,5,pre_answer,original,mask,12,24
engineering,self_patch,block,5,pre_answer,original,na,12,24
engineering,self_patch,block,5,pre_answer,original,space,12,24
engineering,self_patch,block,5,pre_answer,original,,12,24
engineering,self_patch,block,5,query_hehe,ab_forward,,12,24
engineering,self_patch,block,5,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,5,query_hehe,original,,12,24
engineering,self_patch,block,5,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,5,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,5,unrelated_demo_end,original,,12,24
engineering,self_patch,embedding,,lexicon_slot,ab_forward,,12,24
engineering,self_patch,embedding,,lexicon_slot,ab_reverse,,12,24
engineering,self_patch,embedding,,lexicon_slot,original,empty,12,24
engineering,self_patch,embedding,,lexicon_slot,original,lorem,12,24
engineering,self_patch,embedding,,lexicon_slot,original,mask,12,24
engineering,self_patch,embedding,,lexicon_slot,original,na,12,24
engineering,self_patch,embedding,,lexicon_slot,original,space,12,24
engineering,self_patch,embedding,,lexicon_slot,original,,12,24
engineering,terminal_nonpropagation,block,35,lexicon_end,ab_forward,,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,ab_reverse,,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,empty,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,lorem,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,mask,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,na,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,space,16,32
engineering,terminal_nonpropagation,block,35,lexicon_end,original,,16,32
engineering,terminal_nonpropagation,block,35,query_hehe,ab_forward,,16,32
engineering,terminal_nonpropagation,block,35,query_hehe,ab_reverse,,16,32
engineering,terminal_nonpropagation,block,35,query_hehe,original,,16,32
neutral_control,patch,block,0,demo_answer_end,ab_forward,,8,16
neutral_control,patch,block,0,demo_answer_end,ab_reverse,,8,16
neutral_control,patch,block,0,demo_answer_end,original,empty,8,16
neutral_control,patch,block,0,demo_answer_end,original,lorem,8,16
neutral_control,patch,block,0,demo_answer_end,original,mask,8,16
neutral_control,patch,block,0,demo_answer_end,original,na,8,16
neutral_control,patch,block,0,demo_answer_end,original,space,8,16
neutral_control,patch,block,0,demo_answer_end,original,,8,16
neutral_control,patch,block,0,lexicon_end,ab_forward,,8,16
neutral_control,patch,block,0,lexicon_end,ab_reverse,,8,16
neutral_control,patch,block,0,lexicon_end,original,empty,8,16
neutral_control,patch,block,0,lexicon_end,original,lorem,8,16
neutral_control,patch,block,0,lexicon_end,original,mask,8,16
neutral_control,patch,block,0,lexicon_end,original,na,8,16
neutral_control,patch,block,0,lexicon_end,original,space,8,16
neutral_control,patch,block,0,lexicon_end,original,,8,16
neutral_control,patch,block,0,pre_answer,ab_forward,,8,16
neutral_control,patch,block,0,pre_answer,ab_reverse,,8,16
neutral_control,patch,block,0,pre_answer,original,empty,8,16
neutral_control,patch,block,0,pre_answer,original,lorem,8,16
neutral_control,patch,block,0,pre_answer,original,mask,8,16
neutral_control,patch,block,0,pre_answer,original,na,8,16
neutral_control,patch,block,0,pre_answer,original,space,8,16
neutral_control,patch,block,0,pre_answer,original,,8,16
neutral_control,patch,block,0,query_hehe,ab_forward,,8,16
neutral_control,patch,block,0,query_hehe,ab_reverse,,8,16
neutral_control,patch,block,0,query_hehe,original,,8,16
neutral_control,patch,block,0,unrelated_demo_end,ab_forward,,8,16
neutral_control,patch,block,0,unrelated_demo_end,ab_reverse,,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,empty,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,lorem,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,mask,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,na,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,space,8,16
neutral_control,patch,block,0,unrelated_demo_end,original,,8,16
neutral_control,patch,block,10,demo_answer_end,ab_forward,,8,16
neutral_control,patch,block,10,demo_answer_end,ab_reverse,,8,16
neutral_control,patch,block,10,demo_answer_end,original,empty,8,16
neutral_control,patch,block,10,demo_answer_end,original,lorem,8,16
neutral_control,patch,block,10,demo_answer_end,original,mask,8,16
neutral_control,patch,block,10,demo_answer_end,original,na,8,16
neutral_control,patch,block,10,demo_answer_end,original,space,8,16
neutral_control,patch,block,10,demo_answer_end,original,,8,16
neutral_control,patch,block,10,lexicon_end,ab_forward,,8,16
neutral_control,patch,block,10,lexicon_end,ab_reverse,,8,16
neutral_control,patch,block,10,lexicon_end,original,empty,8,16
neutral_control,patch,block,10,lexicon_end,original,lorem,8,16
neutral_control,patch,block,10,lexicon_end,original,mask,8,16
neutral_control,patch,block,10,lexicon_end,original,na,8,16
neutral_control,patch,block,10,lexicon_end,original,space,8,16
neutral_control,patch,block,10,lexicon_end,original,,8,16
neutral_control,patch,block,10,pre_answer,ab_forward,,8,16
neutral_control,patch,block,10,pre_answer,ab_reverse,,8,16
neutral_control,patch,block,10,pre_answer,original,empty,8,16
neutral_control,patch,block,10,pre_answer,original,lorem,8,16
neutral_control,patch,block,10,pre_answer,original,mask,8,16
neutral_control,patch,block,10,pre_answer,original,na,8,16
neutral_control,patch,block,10,pre_answer,original,space,8,16
neutral_control,patch,block,10,pre_answer,original,,8,16
neutral_control,patch,block,10,query_hehe,ab_forward,,8,16
neutral_control,patch,block,10,query_hehe,ab_reverse,,8,16
neutral_control,patch,block,10,query_hehe,original,,8,16
neutral_control,patch,block,10,unrelated_demo_end,ab_forward,,8,16
neutral_control,patch,block,10,unrelated_demo_end,ab_reverse,,8,16
neutral_control,patch,block,10,unrelated_demo_end,original,empty,8,16
neutral_control,patch,block,10,unrelated_demo_end,original,lorem,8,16
neutral_control,patch,block,10,unrelated_demo_end,original,mask,8,16
neutral_control,patch,block,10,unrelated_demo_end,original,na,8,16
neutral_control,patch,block,10,unrelated_demo_end,original,space,8,16
