task,condition,score_mode,cardinality,candidate_count,queries,logsumexp_evidence_mean,logsumexp_evidence_median,logsumexp_evidence_p05,logsumexp_evidence_p95,logmeanexp_evidence_mean,logmeanexp_evidence_median,logmeanexp_evidence_p05,logmeanexp_evidence_p95,mean_candidate_score_mean,mean_candidate_score_median,mean_candidate_score_p05,mean_candidate_score_p95
group,C0,mean_with_eos,2,10,643,-1.9449943752064365,-1.8421495888835133,-4.120401918674453,-0.09476924630565323,-4.247579468200482,-4.1447346818775594,-6.422987011668499,-2.397354339299699,-4.897770008495358,-4.891729863560389,-6.884288363585396,-2.9337097324946577
group,C0,mean_with_eos,3,10,643,-1.6472269421973629,-1.6429222954563019,-3.034401412584164,-0.17033461763470675,-3.9498120351914086,-3.9455073884503475,-5.33698650557821,-2.472919710628753,-4.2815018993512295,-4.327891123430064,-5.5976871806702695,-2.8909053109968554
group,C0,mean_with_eos,4,5,643,-1.7838171897946205,-1.8284088609390272,-2.5879745819294118,-0.6718942068734646,-3.3932551022287214,-3.4378467733731277,-4.197412494363512,-2.2813321193075646,-3.5902983836786397,-3.6403300336341715,-4.392182665017935,-2.5513522913167765
group,C0,mean_with_eos,5,1,643,-2.325275895580501,-2.31241933037253,-3.2025782641242535,-1.3682335797478176,-2.325275895580501,-2.31241933037253,-3.2025782641242535,-1.3682335797478176,-2.325275895580501,-2.31241933037253,-3.2025782641242535,-1.3682335797478176
group,CLnew,answer_sum,0,1,643,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0
group,CLnew,answer_sum,1,5,643,-9.215181196915934,-4.570274353027339,-25.53696768956664,-0.0012981414043383105,-10.824619109350035,-6.17971226546144,-27.14640560200074,-1.6107360538384385,-29.432303518529633,-29.839506149291992,-38.89703399658203,-16.383261032104492
group,CLnew,answer_sum,2,10,643,-26.856717078647627,-26.514945251320896,-45.51875958793478,-8.216334399322331,-29.159302171641677,-28.817530344314942,-47.821344680928824,-10.518919492316376,-44.29560417988067,-44.507677459716795,-57.058710765838626,-30.254368305206302
group,CLnew,answer_sum,3,10,643,-38.76614637580599,-39.17263411033841,-54.0146424794444,-20.032152211238362,-41.06873146880004,-41.47521920333245,-56.31722757243844,-22.33473730423241,-52.39367045792599,-52.86717929840088,-65.57207387924194,-37.77819412231446
group,CLnew,answer_sum,4,5,643,-47.41114437911283,-47.700124717257694,-61.691256291038826,-32.51151821960527,-49.02058229154693,-49.3095626296918,-63.30069420347293,-34.120956132039375,-56.88843743960555,-57.084035110473636,-70.53755519866944,-43.52522979736328
group,CLnew,answer_sum,5,1,643,-53.715284890372125,-53.589651107788086,-74.61591606140136,-34.99093780517578,-53.715284890372125,-53.589651107788086,-74.61591606140136,-34.99093780517578,-53.715284890372125,-53.589651107788086,-74.61591606140136,-34.99093780517578
group,CLnew,answer_mean,0,1,643,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0,-5.406201094157217,-3.4074935913085938,-14.234987831115722,0.0
group,CLnew,answer_mean,1,5,643,-2.203881284466219,-0.9127025876599273,-6.446183343908844,0.018934894054510716,-3.8133191969003186,-2.522140500094028,-8.055621256342944,-1.5905030183795896,-7.782281573816184,-7.9188583501180005,-10.423884357452392,-4.245930886586507
group,CLnew,answer_mean,2,10,643,-2.926654929144976,-2.9366577291654568,-5.149967422493747,-0.5991883396599649,-5.229240022139022,-5.239242822159502,-7.452552515487793,-2.9017734326540108,-6.496910582891575,-6.531159143826318,-8.325687177113124,-4.393747378409855
group,CLnew,answer_mean,3,10,643,-2.519291372425745,-2.579448597164987,-3.8372616453969903,-1.0065775624870112,-4.82187646541979,-4.882033690159033,-6.139846738391036,-3.309162655481057,-5.306043151515869,-5.3413585031875455,-6.623532283445801,-3.8523164539048165
group,CLnew,answer_mean,4,5,643,-2.5810668581887186,-2.6059325675662692,-3.635145717582509,-1.5796285321924703,-4.19050477062282,-4.215370480000369,-5.244583630016609,-3.1890664446265706,-4.40002685884015,-4.412310751890525,-5.446933709588243,-3.367412893134596
group,CLnew,answer_mean,5,1,643,-3.357205305648258,-3.3493531942367554,-4.663494753837585,-2.1869336128234864,-3.357205305648258,-3.3493531942367554,-4.663494753837585,-2.1869336128234864,-3.357205305648258,-3.3493531942367554,-4.663494753837585,-2.1869336128234864
group,CLnew,total_with_eos,0,1,643,-5.406201717086009,-3.4074935913085938,-14.234987831115722,0.0,-5.406201717086009,-3.4074935913085938,-14.234987831115722,0.0,-5.406201717086009,-3.4074935913085938,-14.234987831115722,0.0
group,CLnew,total_with_eos,1,5,643,-9.215181197138746,-4.570274353027339,-25.53696768956664,-0.0012981414043383105,-10.824619109572847,-6.17971226546144,-27.14640560200074,-1.6107360538384385,-29.43230353158147,-29.839506149291992,-38.89703399658203,-16.383261032104492
group,CLnew,total_with_eos,2,10,643,-26.85671707872763,-26.514945251320896,-45.51875958793478,-8.216334399322331,-29.159302171721666,-28.817530344314942,-47.821344680928824,-10.518919492316376,-44.29560426827723,-44.507677459716795,-57.05871145248413,-30.254368305206302
group,CLnew,total_with_eos,3,10,643,-38.766146390299156,-39.17263411033841,-54.0146424794444,-20.032152211238362,-41.0687314832932,-41.47521920333245,-56.31722757243844,-22.33473730423241,-52.393670583698274,-52.86717929840088,-65.57207460403443,-37.77819412231446
group,CLnew,total_with_eos,4,5,643,-47.41114444133954,-47.700124717257694,-61.691256291038826,-32.51151821960527,-49.02058235377364,-49.3095626296918,-63.30069420347293,-34.120956132039375,-56.88843762233135,-57.084035110473636,-70.53755519866944,-43.525230178833006
group,CLnew,total_with_eos,5,1,643,-53.715284914102746,-53.589651107788086,-74.61591606140136,-34.99093780517578,-53.715284914102746,-53.589651107788086,-74.61591606140136,-34.99093780517578,-53.715284914102746,-53.589651107788086,-74.61591606140136,-34.99093780517578
group,CLnew,mean_with_eos,0,1,643,-2.7031008585430043,-1.7037467956542969,-7.117493915557861,0.0,-2.7031008585430043,-1.7037467956542969,-7.117493915557861,0.0,-2.7031008585430043,-1.7037467956542969,-7.117493915557861,0.0
group,CLnew,mean_with_eos,1,5,643,-1.6833901765939274,-0.6753141676970938,-4.968541560724334,0.05881975716312006,-3.2928280890280273,-2.2847520801311942,-6.577979473158434,-1.5506181552709803,-6.100764610019603,-6.2281837717692055,-8.145538480122884,-3.367274772644044
group,CLnew,mean_with_eos,2,10,643,-2.381482612817486,-2.387167740011961,-4.3037396280339735,-0.37310275312476116,-4.6840677058115325,-4.689752833006007,-6.606324721028019,-2.6756878461188074,-5.648408829919198,-5.67697524691385,-7.238320016800411,-3.8238825578311135
group,CLnew,mean_with_eos,3,10,643,-2.1231857981984255,-2.1718324452722437,-3.3265279737500757,-0.7390031728573208,-4.425770891192471,-4.474417538266289,-5.6291130667441225,-3.0415882658513667,-4.813048450769436,-4.844908066329422,-6.003951713564976,-3.4944832853007517
group,CLnew,mean_with_eos,4,5,643,-2.2969266536406514,-2.3228074528741645,-3.272427767889667,-1.3674538679798263,-3.906364566074752,-3.9322453653082645,-4.881865680323767,-2.976891780413926,-4.0828935267292215,-4.094487642141489,-5.053747762309762,-3.1228204542167024
group,CLnew,mean_with_eos,5,1,643,-3.159722642006044,-3.1523324181051815,-4.389171533023609,-2.058290459127987,-3.159722642006044,-3.1523324181051815,-4.389171533023609,-2.058290459127987,-3.159722642006044,-3.1523324181051815,-4.389171533023609,-2.058290459127987
group,CD,answer_sum,0,1,643,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0
group,CD,answer_sum,1,5,643,-4.016166951792597,-0.0030793665331259952,-19.758649172502274,3.5304266534682803e-14,-5.625604864226697,-1.6125172789672262,-21.368087084936374,-1.609437912434065,-23.086637249556524,-23.917622756958007,-35.74974617004394,-7.889657478332521
group,CD,answer_sum,2,10,643,-20.525334304073855,-21.723403835677345,-40.261900588992184,-1.1403878240245522,-22.827919397067905,-24.025988928671392,-42.56448568198623,-3.442972917018598,-37.34272216704919,-38.363076782226564,-51.098015003204345,-20.74074481964112
group,CD,answer_sum,3,10,643,-33.95311782097898,-35.22726129360503,-49.9445790322846,-13.996613829154983,-36.255702913973025,-37.529846386599075,-52.247164125278644,-16.29919892214903,-46.60088247058922,-47.103417587280276,-60.25142053604126,-30.740528964996347
group,CD,answer_sum,4,5,643,-45.02302776396662,-45.90801063005176,-58.912829258172216,-28.946490378572324,-46.63246567640072,-47.517448542485866,-60.52226717060632,-30.555928291006424,-52.793461159784734,-53.35738983154297,-66.95461036682129,-37.9424687576294
group,CD,answer_sum,5,1,643,-55.09346441384608,-55.82246971130371,-71.64008541107178,-36.77879333496094,-55.09346441384608,-55.82246971130371,-71.64008541107178,-36.77879333496094,-55.09346441384608,-55.82246971130371,-71.64008541107178,-36.77879333496094
group,CD,answer_mean,0,1,643,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0,-14.311291049464865,-18.783321380615234,-24.829063987731935,0.0
group,CD,answer_mean,1,5,643,-0.8160533419512156,0.003173188832542775,-4.45277434488903,0.4752565343593316,-2.425491254385316,-1.6062647236015575,-6.0622122573231305,-1.1341813780747687,-6.218271958087627,-6.38909730275472,-10.019273417154949,-2.198064928690593
group,CD,answer_mean,2,10,643,-1.9678152579246464,-2.0656266543705573,-4.296593745517659,0.3024683135085225,-4.270400350918693,-4.368211747364603,-6.599178838511705,-2.0001167794855235,-5.510081522606771,-5.647431967447675,-7.588102155935196,-3.0644914943604245
group,CD,answer_mean,3,10,643,-1.9813948949453801,-2.065336047876656,-3.320392471505833,-0.3033826921263421,-4.283979987939426,-4.367921140870702,-5.6229775644998785,-2.605967785120388,-4.727767230852431,-4.796457012735232,-6.112466967033617,-3.1257582483484296
group,CD,answer_mean,4,5,643,-2.3196745904297456,-2.3523935610523816,-3.384643527472211,-1.169235949686634,-3.929112502863845,-3.961831473486482,-4.994081439906311,-2.7786738621207343,-4.082707342014582,-4.119198456439343,-5.191568749361422,-2.938253283937336
group,CD,answer_mean,5,1,643,-3.44334152586538,-3.488904356956482,-4.477505338191986,-2.2986745834350586,-3.44334152586538,-3.488904356956482,-4.477505338191986,-2.2986745834350586,-3.44334152586538,-3.488904356956482,-4.477505338191986,-2.2986745834350586
group,CD,total_with_eos,0,1,643,-14.31129126304045,-18.783321380615234,-24.829063987731935,0.0,-14.31129126304045,-18.783321380615234,-24.829063987731935,0.0,-14.31129126304045,-18.783321380615234,-24.829063987731935,0.0
group,CD,total_with_eos,1,5,643,-4.016166951793614,-0.0030793665331259952,-19.758649172502274,3.5304266534682803e-14,-5.625604864227714,-1.6125172789672262,-21.368087084936374,-1.609437912434065,-23.086637275660205,-23.917622756958007,-35.74974617004394,-7.889657478332521
group,CD,total_with_eos,2,10,643,-20.525334304170748,-21.723403835677345,-40.261900588992184,-1.1403878240245522,-22.827919397164795,-24.025988928671392,-42.56448568198623,-3.442972917018598,-37.34272220264512,-38.363076782226564,-51.09801504135132,-20.74074481964112
group,CD,total_with_eos,3,10,643,-33.953117837238295,-35.22726129360503,-49.9445790322846,-13.996613829154983,-36.25570293023234,-37.529846386599075,-52.247164125278644,-16.29919892214903,-46.60088252161005,-47.103417587280276,-60.25142053604126,-30.740528964996347
group,CD,total_with_eos,4,5,643,-45.02302779406226,-45.90801063005176,-58.912829258172216,-28.946490378572324,-46.63246570649636,-47.517448542485866,-60.52226717060632,-30.555928291006424,-52.79346127131865,-53.35738983154297,-66.95461174011231,-37.9424687576294
group,CD,total_with_eos,5,1,643,-55.09346451470122,-55.82247352600098,-71.64008541107178,-36.77879333496094,-55.09346451470122,-55.82247352600098,-71.64008541107178,-36.77879333496094,-55.09346451470122,-55.82247352600098,-71.64008541107178,-36.77879333496094
group,CD,mean_with_eos,0,1,643,-7.155645631520225,-9.391660690307617,-12.414531993865968,0.0,-7.155645631520225,-9.391660690307617,-12.414531993865968,0.0,-7.155645631520225,-9.391660690307617,-12.414531993865968,0.0
group,CD,mean_with_eos,1,5,643,-0.564278107197008,0.01140953058914309,-3.339585484449168,0.5866080471894075,-2.173716019631108,-1.5980283818449572,-4.949023396883268,-1.0228298652446925,-4.856626117433397,-4.988374074300131,-7.780065743764241,-1.6816138801574712
group,CD,mean_with_eos,2,10,643,-1.53429456913286,-1.6301294329902185,-3.5179109359526337,0.45256384354704754,-3.836879662126906,-3.9327145259842644,-5.82049602894668,-1.8500212494469983,-4.786542239792242,-4.90617344091809,-6.59674340044506,-2.658778723080953
group,CD,mean_with_eos,3,10,643,-1.6286712454127819,-1.7035287178892486,-2.850684210629977,-0.1264163388031752,-3.9312563384068273,-4.006113810883295,-5.153269303624023,-2.429001431797221,-4.2877526468573315,-4.345265901531465,-5.544213269398207,-2.8325093080673285
group,CD,mean_with_eos,4,5,643,-2.0501404926245046,-2.082218710587984,-3.0373720764198264,-0.9904638444049284,-3.6595784050586047,-3.6916566230220846,-4.646809988853927,-2.599901756839029,-3.788474123202993,-3.8223780290373077,-4.816977100679726,-2.7275134625557143
group,CD,mean_with_eos,5,1,643,-3.2407920302765425,-3.283674913294175,-4.214122671239516,-2.1634584314682903,-3.2407920302765425,-3.283674913294175,-4.214122671239516,-2.1634584314682903,-3.2407920302765425,-3.283674913294175,-4.214122671239516,-2.1634584314682903
group,CLDnew,answer_sum,0,1,643,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0
group,CLDnew,answer_sum,1,5,643,-4.349458553900966,-0.010921407445522498,-19.81178771552391,-1.9073486319977885e-05,-5.958896466335067,-1.6203593198796227,-21.42122562795801,-1.6094569859204204,-25.66021012147515,-26.529421234130858,-37.3388191986084,-9.865333595275885
group,CLDnew,answer_sum,2,10,643,-20.92461135209948,-22.515703956292665,-38.649855781343305,-0.7512790065698667,-23.227196445093526,-24.81828904928671,-40.95244087433735,-3.0538640995639126,-39.79094973930489,-40.82617263793945,-51.47588846206665,-24.578435592651378
group,CLDnew,answer_sum,3,10,643,-35.46487158172131,-37.481849979688604,-49.4386067568555,-15.388834034462134,-37.767456674715355,-39.78443507268265,-51.74119184984954,-17.691419127456182,-49.249193779751074,-50.25788497924805,-60.371973514556885,-34.66683568954468
group,CLDnew,answer_sum,4,5,643,-47.700932069193925,-48.1876802511476,-61.391295119768166,-32.08333091598514,-49.31036998162803,-49.7971181635817,-63.00073303220227,-33.69276882841924,-56.14885411121612,-56.61970901489258,-69.39312316894531,-42.18818416595459
group,CLDnew,answer_sum,5,1,643,-59.8724681889844,-60.91835403442383,-77.52609176635742,-40.41619529724122,-59.8724681889844,-60.91835403442383,-77.52609176635742,-40.41619529724122,-59.8724681889844,-60.91835403442383,-77.52609176635742,-40.41619529724122
group,CLDnew,answer_mean,0,1,643,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0,-12.70554493597099,-16.404157638549805,-22.10583438873291,0.0
group,CLDnew,answer_mean,1,5,643,-0.9505380505180008,0.001124338957000413,-4.565762018703128,0.3447237695778126,-2.5599759629521013,-1.6083135734771,-6.175199931137229,-1.2647141428562878,-6.836544345531394,-6.957591641743979,-10.302446328481038,-2.4861403897603354
group,CLDnew,answer_mean,2,10,643,-2.150640329859367,-2.3928228224513277,-4.225881044949537,0.2100203228668723,-4.4532254228534125,-4.695407915445374,-6.528466137943583,-2.0925647701271735,-5.848627176989999,-5.976413922385564,-7.637638647949886,-3.6274786130587264
group,CLDnew,answer_mean,3,10,643,-2.2028790563509886,-2.364537553690284,-3.390182746986863,-0.5349888115494089,-4.505464149345034,-4.66712264668433,-5.692767839980909,-2.8375739045434547,-4.986939780804152,-5.100401456861785,-6.142850810951656,-3.5248411235183172
group,CLDnew,answer_mean,4,5,643,-2.5642398458472906,-2.616036670804231,-3.5463641443568097,-1.5128415790389118,-4.173677758281391,-4.225474583238332,-5.15580205679091,-3.122279491473012,-4.339288063403646,-4.36995789594266,-5.362823252555651,-3.260712126917018
group,CLDnew,answer_mean,5,1,643,-3.742029261811525,-3.8073971271514893,-4.845380735397339,-2.526012206077576,-3.742029261811525,-3.8073971271514893,-4.845380735397339,-2.526012206077576,-3.742029261811525,-3.8073971271514893,-4.845380735397339,-2.526012206077576
group,CLDnew,total_with_eos,0,1,643,-12.705563695026594,-16.404157638549805,-22.10583438873291,0.0,-12.705563695026594,-16.404157638549805,-22.10583438873291,0.0,-12.705563695026594,-16.404157638549805,-22.10583438873291,0.0
group,CLDnew,total_with_eos,1,5,643,-4.34945855390109,-0.010921407445522498,-19.811787715524144,-1.9073486319977885e-05,-5.958896466335189,-1.6203593198796227,-21.421225627958243,-1.6094569859204204,-25.660210138086583,-26.529421234130858,-37.3388191986084,-9.865333595275885
group,CLDnew,total_with_eos,2,10,643,-20.92461135239593,-22.515703956292665,-38.649855781343305,-0.7512790065698667,-23.22719644538998,-24.81828904928671,-40.95244087433735,-3.0538640995639126,-39.79094977074796,-40.82617263793945,-51.47588850021362,-24.578435592651378
group,CLDnew,total_with_eos,3,10,643,-35.46487158402717,-37.481849979688604,-49.4386067568555,-15.388834034462134,-37.76745667702122,-39.78443507268265,-51.74119184984954,-17.691419127456182,-49.249193847383346,-50.25788497924805,-60.371973514556885,-34.66683568954468
group,CLDnew,total_with_eos,4,5,643,-47.700932140342616,-48.1876802511476,-61.391295119768166,-32.08333091598514,-49.31037005277672,-49.7971181635817,-63.00073303220227,-33.69276882841924,-56.14885429987454,-56.61970901489258,-69.39312316894531,-42.18818416595459
group,CLDnew,total_with_eos,5,1,643,-59.87246835509874,-60.91835403442383,-77.52609176635742,-40.41619529724122,-59.87246835509874,-60.91835403442383,-77.52609176635742,-40.41619529724122,-59.87246835509874,-60.91835403442383,-77.52609176635742,-40.41619529724122
group,CLDnew,mean_with_eos,0,1,643,-6.352781847513297,-8.202078819274902,-11.052917194366454,0.0,-6.352781847513297,-8.202078819274902,-11.052917194366454,0.0,-6.352781847513297,-8.202078819274902,-11.052917194366454,0.0
group,CLDnew,mean_with_eos,1,5,643,-0.6882032129589916,0.005286014631062768,-3.487233207930705,0.4571823671664614,-2.297641125393092,-1.6041518978030376,-5.096671120364805,-1.1522555452676388,-5.351126020568958,-5.490855344136556,-7.999111741383871,-1.958648634592693
group,CLDnew,mean_with_eos,2,10,643,-1.7000348669681626,-1.8736565966016414,-3.4551213604406565,0.30676838512688587,-4.0026199599622085,-4.176241689595687,-5.757706453434703,-1.9958167078671603,-5.0832848411019675,-5.199662750486343,-6.636008966256702,-3.145200973594
group,CLDnew,mean_with_eos,3,10,643,-1.831118051310036,-1.971073037813755,-2.931790674913682,-0.33083313456998553,-4.133703144304082,-4.273658130807801,-5.2343757679077285,-2.6334182275640314,-4.52362019686509,-4.625886549019684,-5.568392456509665,-3.1905526510918896
group,CLDnew,mean_with_eos,4,5,643,-2.2779029243507805,-2.3244926760651383,-3.19381030779629,-1.2976851569857417,-3.8873408367848814,-3.933930588499239,-4.80324822023039,-2.9071230694198418,-4.026756612068084,-4.0564114730611385,-4.975511166429345,-3.0270459544143398
group,CLDnew,mean_with_eos,5,1,643,-3.5219099032411028,-3.5834325902602253,-4.560358339197495,-2.377423252778895,-3.5219099032411028,-3.5834325902602253,-4.560358339197495,-2.377423252778895,-3.5219099032411028,-3.5834325902602253,-4.560358339197495,-2.377423252778895
group,PLnew,answer_sum,0,1,643,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0
group,PLnew,answer_sum,1,5,643,-12.33754594398673,-13.222032546718133,-23.758972995300567,-0.030038173945364455,-13.94698385642083,-14.831470459152232,-25.368410907734667,-1.6394760863794646,-23.574207308281263,-24.327880096435546,-33.45525608062744,-12.200202980041505
group,PLnew,answer_sum,2,10,643,-33.06491108477182,-34.45653650830974,-45.29291284567685,-16.164735062063542,-35.36749617776587,-36.75912160130378,-47.595497938670896,-18.46732015505759,-43.02891222952313,-44.49454479217529,-53.42822841644287,-28.15161636352539
group,PLnew,answer_sum,3,10,643,-41.758937575470746,-42.988515613330605,-52.72067550246512,-26.727502591221963,-44.0615226684648,-45.29110070632465,-55.02326059545916,-29.03008768421601,-51.996285391669616,-53.01931190490723,-62.67875127792358,-37.50163255691528
group,PLnew,answer_sum,4,5,643,-45.44529184790388,-45.72954831813603,-57.2121879059305,-31.875091240429253,-47.054729760337985,-47.338986230570136,-58.8216258183646,-33.48452915286335,-54.502500438541865,-53.97637939453125,-68.31512187957765,-42.42621864318848
group,PLnew,answer_sum,5,1,643,-41.73940675180771,-40.77427673339844,-60.53022861480713,-28.231021118164065,-41.73940675180771,-40.77427673339844,-60.53022861480713,-28.231021118164065,-41.73940675180771,-40.77427673339844,-60.53022861480713,-28.231021118164065
group,PLnew,answer_mean,0,1,643,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0,-0.8085098296264839,-3.0517578125e-05,-6.283345031738281,0.0
group,PLnew,answer_mean,1,5,643,-2.796866896937077,-2.852269799801637,-5.932067169902642,0.07961214365386111,-4.406304809371178,-4.461707712235738,-7.541505082336743,-1.529825768780239,-6.135644939298022,-6.3493601353963225,-8.561199277242025,-3.191761947631837
group,PLnew,answer_mean,2,10,643,-3.2572864634734673,-3.4079633364528297,-4.775618432487271,-1.1009262089424656,-5.559871556467513,-5.710548429446876,-7.0782035254813165,-3.4035113019365113,-6.300042849078128,-6.549326880167401,-7.7734138335122,-4.167480021325369
group,PLnew,answer_mean,3,10,643,-2.6202776213519585,-2.706388825282572,-3.6550521195756427,-1.1565685520332507,-4.922862714346005,-5.008973918276618,-5.957637212569689,-3.459153645027297,-5.261970208217154,-5.37226085889219,-6.327853565558039,-3.784779170306042
group,PLnew,answer_mean,4,5,643,-2.4335007384452902,-2.407642532711927,-3.442490218738996,-1.52270602386619,-4.04293865087939,-4.017080445146028,-5.051928131173097,-3.1321439363002903,-4.2114706878127945,-4.169947237496848,-5.24844339789925,-3.2903006441863907
