task,condition,candidate_id,cardinality,queries,eos_logprob_mean,eos_logprob_median,eos_logprob_p05,eos_logprob_p95
group,CLnew,group-01,1,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLnew,group-02,1,643,0.0,0.0,0.0,0.0
group,CLnew,group-03,2,643,-3.618919645460731e-07,0.0,-3.814697265625e-06,0.0
group,CLnew,group-04,1,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLnew,group-05,2,643,-2.3730620625972007e-07,0.0,-3.814697265625e-06,0.0
group,CLnew,group-06,2,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLnew,group-07,3,643,-2.432388614162131e-07,0.0,-3.814697265625e-06,0.0
group,CLnew,group-08,1,643,0.0,0.0,0.0,0.0
group,CLnew,group-09,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLnew,group-10,2,643,0.0,0.0,0.0,0.0
group,CLnew,group-11,3,643,-2.2544089594673405e-07,0.0,0.0,0.0
group,CLnew,group-12,2,643,-5.339389640843701e-08,0.0,0.0,0.0
group,CLnew,group-13,3,643,-2.1357558563374805e-07,0.0,0.0,0.0
group,CLnew,group-14,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLnew,group-15,4,643,-2.1357558563374805e-07,0.0,0.0,0.0
group,CLnew,group-16,1,643,0.0,0.0,0.0,0.0
group,CLnew,group-17,2,643,-1.1865310312986004e-07,0.0,0.0,0.0
group,CLnew,group-18,2,643,0.0,0.0,0.0,0.0
group,CLnew,group-19,3,643,-2.1357558563374805e-07,0.0,0.0,0.0
group,CLnew,group-20,2,643,-8.305717219090202e-08,0.0,0.0,0.0
group,CLnew,group-21,3,643,-2.907001026681571e-07,0.0,-3.814697265625e-06,0.0
group,CLnew,group-22,3,643,-1.7797965469479006e-08,0.0,0.0,0.0
group,CLnew,group-23,4,643,-3.796899300155521e-07,0.0,-3.814697265625e-06,0.0
group,CLnew,group-24,2,643,0.0,0.0,0.0,0.0
group,CLnew,group-25,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLnew,group-26,3,643,0.0,0.0,0.0,0.0
group,CLnew,group-27,4,643,-9.492248250388802e-08,0.0,0.0,0.0
group,CLnew,group-28,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLnew,group-29,4,643,-2.1950824079024106e-07,0.0,0.0,0.0
group,CLnew,group-30,4,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLnew,group-31,5,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CD,group-00,0,643,-2.1357558563374805e-07,0.0,0.0,0.0
group,CD,group-01,1,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CD,group-02,1,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CD,group-03,2,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CD,group-04,1,643,-8.898982734739502e-08,0.0,0.0,0.0
group,CD,group-05,2,643,-2.0171027532076205e-07,0.0,0.0,0.0
group,CD,group-06,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CD,group-07,3,643,-1.0678779281687402e-07,0.0,0.0,0.0
group,CD,group-08,1,643,0.0,0.0,0.0,0.0
group,CD,group-09,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CD,group-10,2,643,0.0,0.0,0.0,0.0
group,CD,group-11,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CD,group-12,2,643,-4.152858609545101e-08,0.0,0.0,0.0
group,CD,group-13,3,643,-7.712451703440903e-08,0.0,0.0,0.0
group,CD,group-14,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CD,group-15,4,643,-9.492248250388802e-08,0.0,0.0,0.0
group,CD,group-16,1,643,0.0,0.0,0.0,0.0
group,CD,group-17,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CD,group-18,2,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CD,group-19,3,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CD,group-20,2,643,-5.339389640843701e-08,0.0,0.0,0.0
group,CD,group-21,3,643,-1.4238372375583205e-07,0.0,0.0,0.0
group,CD,group-22,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CD,group-23,4,643,-2.6103682688569205e-07,0.0,-3.814697265625e-06,0.0
group,CD,group-24,2,643,0.0,0.0,0.0,0.0
group,CD,group-25,3,643,-1.7797965469479006e-08,0.0,0.0,0.0
group,CD,group-26,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CD,group-27,4,643,-5.339389640843701e-08,0.0,0.0,0.0
group,CD,group-28,3,643,-7.119186187791603e-08,0.0,0.0,0.0
group,CD,group-29,4,643,-1.3051841344284602e-07,0.0,0.0,0.0
group,CD,group-30,4,643,-1.7797965469479006e-08,0.0,0.0,0.0
group,CD,group-31,5,643,-1.0085513766038102e-07,0.0,0.0,0.0
group,CLDnew,group-00,0,643,-1.875905560483087e-05,0.0,-7.62939453125e-06,0.0
group,CLDnew,group-01,1,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLDnew,group-02,1,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLDnew,group-03,2,643,-4.152858609545101e-08,0.0,0.0,0.0
group,CLDnew,group-04,1,643,-1.7797965469479006e-08,0.0,0.0,0.0
group,CLDnew,group-05,2,643,-1.3051841344284602e-07,0.0,0.0,0.0
group,CLDnew,group-06,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLDnew,group-07,3,643,-1.5424903406881805e-07,0.0,0.0,0.0
group,CLDnew,group-08,1,643,0.0,0.0,0.0,0.0
group,CLDnew,group-09,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLDnew,group-10,2,643,0.0,0.0,0.0,0.0
group,CLDnew,group-11,3,643,-6.525920672142301e-08,0.0,0.0,0.0
group,CLDnew,group-12,2,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLDnew,group-13,3,643,-8.305717219090202e-08,0.0,0.0,0.0
group,CLDnew,group-14,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLDnew,group-15,4,643,-2.2544089594673405e-07,0.0,0.0,0.0
group,CLDnew,group-16,1,643,0.0,0.0,0.0,0.0
group,CLDnew,group-17,2,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLDnew,group-18,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLDnew,group-19,3,643,-1.4238372375583205e-07,0.0,0.0,0.0
group,CLDnew,group-20,2,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLDnew,group-21,3,643,-1.2458575828635304e-07,0.0,0.0,0.0
group,CLDnew,group-22,3,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLDnew,group-23,4,643,-3.856225851720451e-07,0.0,-3.814697265625e-06,0.0
group,CLDnew,group-24,2,643,0.0,0.0,0.0,0.0
group,CLDnew,group-25,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLDnew,group-26,3,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLDnew,group-27,4,643,-1.5424903406881805e-07,0.0,0.0,0.0
group,CLDnew,group-28,3,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLDnew,group-29,4,643,-1.6611434438180405e-07,0.0,0.0,0.0
group,CLDnew,group-30,4,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLDnew,group-31,5,643,-1.6611434438180405e-07,0.0,0.0,0.0
group,PLnew,group-00,0,643,0.0,0.0,0.0,0.0
group,PLnew,group-01,1,643,-7.119186187791603e-08,0.0,0.0,0.0
group,PLnew,group-02,1,643,0.0,0.0,0.0,0.0
group,PLnew,group-03,2,643,-5.576695847103421e-07,0.0,-3.814697265625e-06,0.0
group,PLnew,group-04,1,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,PLnew,group-05,2,643,-3.6782461970256607e-07,0.0,-3.814697265625e-06,0.0
group,PLnew,group-06,2,643,0.0,0.0,0.0,0.0
group,PLnew,group-07,3,643,-8.898982734739502e-08,0.0,0.0,0.0
group,PLnew,group-08,1,643,0.0,0.0,0.0,0.0
group,PLnew,group-09,2,643,-8.898982734739502e-08,0.0,0.0,0.0
group,PLnew,group-10,2,643,0.0,0.0,0.0,0.0
group,PLnew,group-11,3,643,-1.0085513766038102e-07,0.0,0.0,0.0
group,PLnew,group-12,2,643,-3.559593093895801e-08,0.0,0.0,0.0
group,PLnew,group-13,3,643,-3.4409399907659407e-07,0.0,-3.814697265625e-06,0.0
group,PLnew,group-14,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PLnew,group-15,4,643,-3.559593093895801e-08,0.0,0.0,0.0
group,PLnew,group-16,1,643,0.0,0.0,0.0,0.0
group,PLnew,group-17,2,643,-2.1357558563374805e-07,0.0,-3.4332275390624946e-06,0.0
group,PLnew,group-18,2,643,0.0,0.0,0.0,0.0
group,PLnew,group-19,3,643,-2.907001026681571e-07,0.0,0.0,0.0
group,PLnew,group-20,2,643,-8.305717219090202e-08,0.0,0.0,0.0
group,PLnew,group-21,3,643,-3.2036337845062207e-07,0.0,-3.814697265625e-06,0.0
group,PLnew,group-22,3,643,0.0,0.0,0.0,0.0
group,PLnew,group-23,4,643,-2.0171027532076205e-07,0.0,0.0,0.0
group,PLnew,group-24,2,643,0.0,0.0,0.0,0.0
group,PLnew,group-25,3,643,-2.966327578246501e-08,0.0,0.0,0.0
group,PLnew,group-26,3,643,0.0,0.0,0.0,0.0
group,PLnew,group-27,4,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,PLnew,group-28,3,643,-3.559593093895801e-08,0.0,0.0,0.0
group,PLnew,group-29,4,643,-8.305717219090202e-08,0.0,0.0,0.0
group,PLnew,group-30,4,643,0.0,0.0,0.0,0.0
group,PLnew,group-31,5,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-00,0,643,-5.517369295538492e-07,0.0,0.0,0.0
group,PD,group-01,1,643,0.0,0.0,0.0,0.0
group,PD,group-02,1,643,0.0,0.0,0.0,0.0
group,PD,group-03,2,643,-1.0085513766038102e-07,0.0,0.0,0.0
group,PD,group-04,1,643,0.0,0.0,0.0,0.0
group,PD,group-05,2,643,-4.746124125194401e-08,0.0,0.0,0.0
group,PD,group-06,2,643,0.0,0.0,0.0,0.0
group,PD,group-07,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-08,1,643,0.0,0.0,0.0,0.0
group,PD,group-09,2,643,0.0,0.0,0.0,0.0
group,PD,group-10,2,643,0.0,0.0,0.0,0.0
group,PD,group-11,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-12,2,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-13,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-14,3,643,0.0,0.0,0.0,0.0
group,PD,group-15,4,643,0.0,0.0,0.0,0.0
group,PD,group-16,1,643,0.0,0.0,0.0,0.0
group,PD,group-17,2,643,0.0,0.0,0.0,0.0
group,PD,group-18,2,643,0.0,0.0,0.0,0.0
group,PD,group-19,3,643,-4.152858609545101e-08,0.0,0.0,0.0
group,PD,group-20,2,643,0.0,0.0,0.0,0.0
group,PD,group-21,3,643,0.0,0.0,0.0,0.0
group,PD,group-22,3,643,0.0,0.0,0.0,0.0
group,PD,group-23,4,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,PD,group-24,2,643,0.0,0.0,0.0,0.0
group,PD,group-25,3,643,0.0,0.0,0.0,0.0
group,PD,group-26,3,643,0.0,0.0,0.0,0.0
group,PD,group-27,4,643,0.0,0.0,0.0,0.0
group,PD,group-28,3,643,0.0,0.0,0.0,0.0
group,PD,group-29,4,643,0.0,0.0,0.0,0.0
group,PD,group-30,4,643,0.0,0.0,0.0,0.0
group,PD,group-31,5,643,0.0,0.0,0.0,0.0
group,CLq,group-00,0,643,-1.8272577881998445e-06,0.0,-7.62939453125e-06,0.0
group,CLq,group-01,1,643,-4.627471022064541e-07,0.0,-3.814697265625e-06,0.0
group,CLq,group-02,1,643,0.0,0.0,0.0,0.0
group,CLq,group-03,2,643,-8.898982734739502e-08,0.0,0.0,0.0
group,CLq,group-04,1,643,0.0,0.0,0.0,0.0
group,CLq,group-05,2,643,-1.9577762016426906e-07,0.0,0.0,0.0
group,CLq,group-06,2,643,0.0,0.0,0.0,0.0
group,CLq,group-07,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLq,group-08,1,643,0.0,0.0,0.0,0.0
group,CLq,group-09,2,643,-4.746124125194401e-08,0.0,0.0,0.0
group,CLq,group-10,2,643,0.0,0.0,0.0,0.0
group,CLq,group-11,3,643,-4.152858609545101e-08,0.0,0.0,0.0
group,CLq,group-12,2,643,0.0,0.0,0.0,0.0
group,CLq,group-13,3,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLq,group-14,3,643,0.0,0.0,0.0,0.0
group,CLq,group-15,4,643,0.0,0.0,0.0,0.0
group,CLq,group-16,1,643,0.0,0.0,0.0,0.0
group,CLq,group-17,2,643,-5.339389640843701e-08,0.0,0.0,0.0
group,CLq,group-18,2,643,0.0,0.0,0.0,0.0
group,CLq,group-19,3,643,-4.152858609545101e-08,0.0,0.0,0.0
group,CLq,group-20,2,643,0.0,0.0,0.0,0.0
group,CLq,group-21,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLq,group-22,3,643,0.0,0.0,0.0,0.0
group,CLq,group-23,4,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLq,group-24,2,643,0.0,0.0,0.0,0.0
group,CLq,group-25,3,643,0.0,0.0,0.0,0.0
group,CLq,group-26,3,643,0.0,0.0,0.0,0.0
group,CLq,group-27,4,643,0.0,0.0,0.0,0.0
group,CLq,group-28,3,643,0.0,0.0,0.0,0.0
group,CLq,group-29,4,643,0.0,0.0,0.0,0.0
group,CLq,group-30,4,643,0.0,0.0,0.0,0.0
group,CLq,group-31,5,643,0.0,0.0,0.0,0.0
group,CLqD,group-00,0,643,-2.616300924013414e-06,0.0,-7.62939453125e-06,0.0
group,CLqD,group-01,1,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLqD,group-02,1,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLqD,group-03,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLqD,group-04,1,643,-8.898982734739502e-08,0.0,0.0,0.0
group,CLqD,group-05,2,643,-1.9577762016426906e-07,0.0,0.0,0.0
group,CLqD,group-06,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLqD,group-07,3,643,-1.1272044797336702e-07,0.0,0.0,0.0
group,CLqD,group-08,1,643,0.0,0.0,0.0,0.0
group,CLqD,group-09,2,643,0.0,0.0,0.0,0.0
group,CLqD,group-10,2,643,0.0,0.0,0.0,0.0
group,CLqD,group-11,3,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLqD,group-12,2,643,-4.152858609545101e-08,0.0,0.0,0.0
group,CLqD,group-13,3,643,-7.119186187791603e-08,0.0,0.0,0.0
group,CLqD,group-14,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLqD,group-15,4,643,-1.0085513766038102e-07,0.0,0.0,0.0
group,CLqD,group-16,1,643,0.0,0.0,0.0,0.0
group,CLqD,group-17,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,CLqD,group-18,2,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,CLqD,group-19,3,643,-7.712451703440903e-08,0.0,0.0,0.0
group,CLqD,group-20,2,643,-5.339389640843701e-08,0.0,0.0,0.0
group,CLqD,group-21,3,643,-1.3051841344284602e-07,0.0,0.0,0.0
group,CLqD,group-22,3,643,-3.559593093895801e-08,0.0,0.0,0.0
group,CLqD,group-23,4,643,-3.0256541298114306e-07,0.0,-3.814697265625e-06,0.0
group,CLqD,group-24,2,643,0.0,0.0,0.0,0.0
group,CLqD,group-25,3,643,-1.7797965469479006e-08,0.0,0.0,0.0
group,CLqD,group-26,3,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,CLqD,group-27,4,643,-7.119186187791603e-08,0.0,0.0,0.0
group,CLqD,group-28,3,643,-7.119186187791603e-08,0.0,0.0,0.0
group,CLqD,group-29,4,643,-1.3645106859933904e-07,0.0,0.0,0.0
group,CLqD,group-30,4,643,-2.966327578246501e-08,0.0,0.0,0.0
group,CLqD,group-31,5,643,-1.0085513766038102e-07,0.0,0.0,0.0
