兄弟 | 还不认亲 | Racism | hate [END]
None | 不是爱不爱的问题是干净与否的问题 | non-hate | non-hate [END]
东北人 | 默不作声 | Region | hate [END]
黑蛆 | 事关生死 | Racism | hate [END]
有些女的 | 就喜欢玩新鲜感 | Sexism | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
黑人 | 恶心人 | Racism | hate [END]
母狗 | 什么事做不出来 | Sexism | hate [END]
你 | 一文不值 | non-hate | non-hate [END]
四川的 | 骗过钱 | Region | hate [END]
舔狗龟男 | 没有能力当我们的队友 | Sexism | hate [END]
法国 | 每年60%的新生儿是非婚生子女 | non-hate | non-hate [END]
歪理邪说 | 津津乐道 | non-hate | non-hate [END]
河北 | 偷井盖是事实 | Region | hate [END]
战士 | 不分性别 | non-hate | non-hate [END]
黑人 | 外人 | Racism | hate [END]
上海 | 只说了实话怎么能算黑 | non-hate | non-hate [END]
黑皮 | 需要那么多嘴炮政客？ | Racism | hate [END]
女性 | 不受惩罚 | non-hate | non-hate [END]
男生 | 变态很多呀 | Sexism | hate [END]
这货 | 删帖了 | non-hate | non-hate [END]
黑人 | 太黑了，大家不太喜欢 | Racism | hate [END]
默 | racial discrimination观念 | Racism | hate [END]
公司外派在唐山 | 人们都很亲切👍👍 | non-hate | non-hate [END]
金庸 | 大师 | non-hate | non-hate [END]
仙女营销号 | 破防 | Sexism | hate [END]
离赤道越近的人 | 越黑 | non-hate | non-hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
黑男 | 你，不配 | Sexism | hate [END]
你 | 基佬 | LGBTQ | hate [END]
黑河南 | 只觉得只是玩梗 | Region | hate [END]
黑人 | 犯罪领域 | Racism | hate [END]
男厕所 | 多于女厕所是违法滴 | Sexism | hate [END]
黑女 | 乱性 | Sexism | hate [END]
JATOO | 食神 | non-hate | non-hate [END]
黑人 | 对中国友好 | non-hate | non-hate [END]
黑人吧 | 早被我们反黑站了 | Racism | hate [END]
腐癌 | 磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 一白遮百丑！ | Racism | hate [END]
老黑 | 一直没把老黑当老大 | Racism | hate [END]
女人 | 无耻透顶 | Sexism | hate [END]
艾滋病 | 乱性 | others | hate [END]
你们 | 地域黑 | Region | hate [END]
贴吧的审核 | 没有慕刃 | Sexism | hate [END]
北欧 | 一群炼铜海盗 | Region | hate [END]
艾滋病 | 要你命 | others | hate [END]
华莱士 | 被黑得很惨 | Region | hate [END]
杰希 | 歪果仁 | Racism | hate [END]
上海 | 不排外 | non-hate | non-hate [END]
你 | 从十年前开始，你就应该天天刷这答案 | non-hate | non-hate [END]
普信男国女 | 看不上 | Sexism | hate [END]
舔狗 | 很恶毒的男淫 | Sexism | hate [END]
男生 | 180以下就是残疾 | Sexism | hate [END]
你 | 东北人 | non-hate | non-hate [END]
你 | 希望你被女的传染 | Sexism | hate [END]
txl | 直接煽风点火孤立*** | LGBTQ | hate [END]
女权 | 错误观点急需纠正 | Sexism | hate [END]
浙江人 | 挺好的啊 | non-hate | non-hate [END]
浏览 | 是不是没事的 | non-hate | non-hate [END]
东北人 | 任何坏事，都扣到东北人头上 | Region | hate [END]
社会资源 | 充足就导致个体女人产生了不需要个体男人的错觉 | non-hate | non-hate [END]
None | 十有八九是领美刀的 | Sexism | hate [END]
说这些的 | 肯定有问题 | non-hate | non-hate [END]
他 | 反同态度 | LGBTQ | hate [END]
你 | 两个人在一起是为了生育嘛 | non-hate | non-hate [END]
嘿畜狌 | 繁殖 | Racism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
艾滋 | 但要小心艾滋 | others | hate [END]
贵州人 | 向我们骂了五分钟的贵州人 | Region | hate [END]
河南 | 文科一本分数线比7省低，理科一本线也只比两省高 | non-hate | non-hate [END]
txl | 复印还得是你们txl厉害 | LGBTQ | hate [END]
这人 | 还是个op | non-hate | non-hate [END]
山西 | 存在感实在是低到没人黑 | Region | hate [END]
国女 | 被玩够了分手 | Sexism | hate [END]
崇洋媚外 | 种族主义 | Racism | hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
黑龙江 | 没看到黑龙江的负面新闻比别的地方更多 | non-hate | non-hate [END]
穆加贝 | 恶魔 | non-hate | non-hate [END]
自由社会 | 所有无耻作为的遮羞布挡箭牌了😓 | non-hate | non-hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
潳嘿 | 后世潳嘿 | Sexism | hate [END]
性取向 | 个人的权利 | non-hate | non-hate [END]
女权和男舔们 | 抓住把柄来反击 | Sexism | hate [END]
同 | 扣那多字来反同有用吗 | LGBTQ | hate [END]
她们 | 生下丑陋的哥布林 | Sexism | hate [END]
None | 应该发到正宗大飞柱吧 | Sexism | hate [END]
女👊 | 傻逼 | Sexism | hate [END]
普信奇趣蛋 | 也就能想想了 | Sexism | hate [END]
黑龙江 | GDP确实比不过辽宁 | non-hate | non-hate [END]
同性恋 | 厌恶 | LGBTQ | hate [END]
黑人 | 没有头发然后看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | non-hate | non-hate [END]
喷吧 | 被冲了就不让发言了 | non-hate | non-hate [END]
河南人 | 偷井盖被歧视？ | non-hate | non-hate [END]
白人 | 里出美女的几率也太高了 | Sexism | hate [END]
河南 | 这个资本家还不配让爷去🙂 | Region | hate [END]
女 | 生意真的好做 | Sexism | hate [END]
单亲妈妈 | 有些蠢人活该被淘汰 | Sexism | hate [END]
黑人群体 | 没接触 | non-hate | non-hate [END]
贵州 | 怎么了 | non-hate | non-hate [END]
有些国男 | 多学着点吧😄 | Sexism | hate [END]
黑人 | 你的活下来的概率较大 | Racism | hate [END]
黑小子 | 满街乱窜 | Racism | hate [END]
屈臣氏 | 想玩什么 | non-hate | non-hate [END]
女人 | 去送非洲🐶🐶 | Sexism | hate [END]
排外的 | 社会底层 | Racism | hate [END]
大龄剩女 | 从大城市回来的大龄剩女 | Sexism | hate [END]
广东 | 那个应该不算黑？ | non-hate | non-hate [END]
这个政治 | 非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 做这么多伤天害理的事 | LGBTQ | hate [END]
男人 | 没有用 | Sexism | hate [END]
txl | ex烦人 | LGBTQ | hate [END]
同性恋 | 希望同性恋能幸福 | non-hate | non-hate [END]
大连人 | 不要找北边的人 | Region | hate [END]
知乎官方 | 偏向女拳立场 | Sexism | hate [END]
南方人 | 低人一等 | Region | hate [END]
非洲 | 十个九个都是骗子，要么就是有夫之妇 | Region | hate [END]
你 | 想沦为生育工具 | Sexism | hate [END]
这贴 | 看的我鸡皮疙瘩起来了 | non-hate | non-hate [END]
贵州人 | 说东北贫 | Region | hate [END]
你 | 说得对 | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [END]
河南有些人 | 讨厌 | Region | hate [END]
母🐶 | 没了男的也买不起车啊有个批没了男的也没地方卖啊 | Sexism | hate [END]
女服务员 | 冲着电话大骂 | non-hate | non-hate [END]
黑 | 太丑 | Racism | hate [END]
龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
精英 | 巴不得绑架全世界 | non-hate | non-hate [END]
幕刃 | 真有意思 | Sexism | hate [END]
国内的女拳 | 拿啥跟她们比？ | Sexism | hate [END]
东北人 | 在青岛的口碑已经差到不行了 | Region | hate [END]
小狒狒 | 喜欢缠着人类 | Racism | hate [END]
国女生的黑人孩子 | 从来不会同情 | Sexism | hate [END]
她 | 便宜非洲佬 | Racism | hate [END]
黑人外教 | 在孩子心理上灌输了什么思想，崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 说方言被骂有优越感的表示不想说话🙂 | Region | hate [END]
女人 | 不关心生活中与自己无关的东西不关注宏大叙事 | Sexism | hate [END]
你 | 山东人 | non-hate | non-hate [END]
非洲 | 不相信非洲的任何统计数字 | Region | hate [END]
小红书 | 这三个字儿 | non-hate | non-hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Sexism | hate [END]
你们 | 接盘的 | Sexism | hate [END]
女权 | 发展到极端受害者只会是女性 | Sexism | hate [END]
江苏人 | 优越感那么强 | Region | hate [END]
外国语 | 要小心 | non-hate | non-hate [END]
黑人 | 最讨厌 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non-hate | non-hate [END]
极端仇男癌成员 | 希望家人们留意！ | Sexism | hate [END]
素食主义者 | 全部变成绝食主义者 | others | hate [END]
这种死飞柱 | 滚去正宗大飞柱吧 | Sexism | hate [END]
知乎这话题底下大部分 | 和男生抬杠的 | Sexism | hate [END]
你 | 说得挺好的 | non-hate | non-hate [END]
b站 | 女拳集中营 | Sexism | hate [END]
黑东北的 | 想不到他这一黑 | Region | hate [END]
黑人 | 就当没生过喽 | Racism | hate [END]
好友 | 犯罪后被枪毙，尸体被卖给了医学院 | non-hate | non-hate [END]
它 | 算我蹲进去我也得给他弄个半身不遂 | Racism | hate [END]
Everton | 感染hiv后更高 | Racism | hate [END]
黑人 | 每天都有宣传黑人的节目 | non-hate | non-hate [END]
倪哥 | 能不能死? | non-hate | non-hate [END]
你 | 带着你的家人移民非洲吧！还有圣母的爱…… | Racism | hate [END]
河北 | 没存在感 | Region | hate [END]
这主播 | 有点实力 | non-hate | non-hate [END]
微博 | 黑称 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non-hate | non-hate [END]
女权师 | 疯狂 | Sexism | hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism | hate [END]
它 | 搁楼道里养很难有? | non-hate | non-hate [END]
他们 | 尊重这些群体 | non-hate | non-hate [END]
女性 | 出轨率已打80% | Sexism | hate [END]
外国人 | 接受不了 | Racism | hate [END]
b站 | 下一个豆瓣 | non-hate | non-hate [END]
西安 | 贼都 | Region | hate [END]
江西人 | 为了黑而生😅 | Region | hate [END]
跪虫族 | 这种水平 | Racism | hate [END]
又黑额们 | 西安似吧？ | Region | hate [END]
回族 | 都信教吗？ | non-hate | non-hate [END]
你 | 真想把高压电线拉你身上给你醒醒脑花傻呗tui | Region | hate [END]
我国 | 借鉴韩国 | non-hate | non-hate [END]
某省的 | 张口就黑 | Region | hate [END]
艾滋 | 自作自受的就算了 | others | hate [END]
她们 | 倒贴嫁出去 | Sexism | hate [END]
学校和黑狗 | 不是好东西 | Racism | hate [END]
好兄弟 | 别急呀 | non-hate | non-hate [END]
黑人喃 | 心理生理双重奴役黑人喃 | Racism | hate [END]
东北人 | 表示赞同?? | non-hate | non-hate [END]
浙南 | 不想被代表 | non-hate | non-hate [END]
媚黑 | 排黑目光的产物 | Sexism | hate [END]
她们 | 线上拉客 | Sexism | hate [END]
你 | 自我意识过剩 | non-hate | non-hate [END]
女权 | 立马骂我并禁言了 | Sexism | hate [END]
黑河南的很多 | 其他的都不是一个量级的 | Region | hate [END]
老婆 | 不把老婆裱起来供着就算家暴 | Sexism | hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
媚黑女 | 倒贴 | Sexism | hate [END]
中国 | 不存在种族歧视 | non-hate | non-hate [END]
四川人 | 感觉受到的歧视也不少 | Region | hate [END]
这种地方 | 要么就是发达的城市，被外来打工的吐槽，要么就是不太发达的好多都出去打工可能素质不太高 | Region | hate [END]
半斤 | 八两 | non-hate | non-hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓 | 到哪里都是渣滓 | non-hate | non-hate [END]
吉林同事 | 骂她男朋友“辽宁杆子” | Region | hate [END]
孙笑川 | 女生只会报警 | Sexism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | non-hate | non-hate [END]
山东河南 | 主要的征兵地 | non-hate | non-hate [END]
同 | 反同迫在眉睫 | LGBTQ | hate [END]
这些人 | 最奇葩的一类心理障碍群体 | LGBTQ | hate [END]
南方人 | 互黑 | Region | hate [END]
None | 不需要注意 | non-hate | non-hate [END]
黑人 | 犯罪率就较高 | Racism | hate [END]
妇女报 | 是妇联名下的么？ | non-hate | non-hate [END]
你们 | 叠buff | non-hate | non-hate [END]
nq | 自己不能共情任何男性 | Sexism | hate [END]
他们 | 没素质 | others | hate [END]
华东理工大学 | 不要交往，不要说话，不要做生意 | Region | hate [END]
你 | 信口开河 | non-hate | non-hate [END]
男的 | 可以坦白自己的pc史 | non-hate | non-hate [END]
我父母 | 靠谱点 | non-hate | non-hate [END]
男同 | 杀同性恋 | LGBTQ | hate [END]
螻蛆 | 少管女人的閒事好嘛 | Sexism | hate [END]
古代封建地主和官~员 | 比外国人还要丑陋 | others | hate [END]
宁的国人同胞 | 在非洲下了多少蛋 | Region | hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
一部分群体 | 有种害怕？ | non-hate | non-hate [END]
牲口 | 都是这样的 | Racism | hate [END]
苏北人 | 在网上对江西的态度跟仇敌一样 | Region | hate [END]
黑人同婚 | 国家宣传口的风向都是在推进和黑人同婚 | LGBTQ | hate [END]
吧里不婚不育的女权 | 出来吱一声？ | Sexism | hate [END]
恶性传染病人 | 人人有责 | non-hate | non-hate [END]
基佬 | 染艾身亡就会越来越多 | LGBTQ | hate [END]
梅 | 湿不了 | others | hate [END]
女生 | 恶心 | Sexism | hate [END]
奴隶姐 | 你又来啦？ | Sexism | hate [END]
蝴蝶鸡 | 死的好 | Sexism | hate [END]
尼古拉斯凯奇和郭富城 | 这样才比较好证明 | non-hate | non-hate [END]
[END]
你家 | 有嫁内个还是咋的？ | Sexism | hate [END]
她们 | 把黑黄后代留在中国 | Sexism | hate [END]
反变态吧 | 反变态 | others | hate [END]
老实人 | 不要冤枉 | non-hate | non-hate [END]
你 | 别祸害别人了 | non-hate | non-hate [END]
俩男的 | 当街打架扇嘴巴，当街舔，真恶心 | LGBTQ | hate [END]
结婚 | 纯累赘 | non-hate | non-hate [END]
这个吧里到处发帖的 | 引战的流量佬 | others | hate [END]
你 | 比我高级五个阶级 | non-hate | non-hate [END]
嘿人 | 马丁路德金嫖娼考第一 | Racism | hate [END]
喜欢这种小傻瓜啦 | 对男性崇拜不已 | Sexism | hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我 | 从来没有过 | non-hate | non-hate [END]
地域黑 | 主要是前汪伪区前国统区的 | Region | hate [END]
第三世界的国家 | 我们的兄弟 | non-hate | non-hate [END]
江苏人 | 大概率是江苏人 | non-hate | non-hate [END]
这种女人 | 挺不能理解 | non-hate | non-hate [END]
男人 | 只会和男拳战斗 | Sexism | hate [END]
一元购 | 这帮东西的天性 | Sexism | hate [END]
同性恋 | 支持同性也是不对的 | LGBTQ | hate [END]
女拳组织 | 解放了男性 | Sexism | hate [END]
河南同学 | 比他高了一百分🤣🤣🤣心理不平衡 | non-hate | non-hate [END]
她 | 只要她别嫁给我们中国男人🐶 | Sexism | hate [END]
社交软件 | 看多了容易怀疑人生 | non-hate | non-hate [END]
他 | 封号 | non-hate | non-hate [END]
男权 | 成不了气候 | Sexism | hate [END]
女人 | 鄙视男人 | Sexism | hate [END]
东北人 | 你这样跟关里那帮有啥区别 | Region | hate [END]
同 | 恶心正常人 | LGBTQ | hate [END]
微博 | 社会影响力也是这六个软件中最大的 | non-hate | non-hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物 | non-hate | non-hate [END]
他 | 中华民族的罪人 | non-hate | non-hate [END]
她 | 开盒 | Sexism | hate [END]
背叛自己民族人 | 还少吗？ | others | hate [END]
我 | 最好都走 | non-hate | non-hate [END]
东北上海河南 | 真不叫黑 | Region | hate [END]
东北人 | 舔北京 | Region | hate [END]
有的直男 | 不反同 | non-hate | non-hate [END]
大众 | 缺乏个人实现的途径 | non-hate | non-hate [END]
你 | 马上要被打成上海人了 | non-hate | non-hate [END]
北京天津 | 那么多南方要饭的 | Region | hate [END]
黑人 | 里面所谓的聪明的人的比例太少了 | Racism | hate [END]
广西 | 没那么重要 | non-hate | non-hate [END]
反同战士 | 人们正迫切地需要着反同战士的登场 | LGBTQ | hate [END]
女的 | 接受度更高 | non-hate | non-hate [END]
知乎 | 三观很正 | non-hate | non-hate [END]
我 | 高贵的中国人 | non-hate | non-hate [END]
我们辽宁人 | 不应该替某省背黑锅 | non-hate | non-hate [END]
她 | 没说错 | non-hate | non-hate [END]
流量老贼 | 老贼 | non-hate | non-hate [END]
女权 | 它们也只会喷了 | Sexism | hate [END]
女人 | 骗那群龟男来舔啊 | Sexism | hate [END]
被拐卖的 | 很感动🤣 | non-hate | non-hate [END]
血统论 | 为了给种族歧视创造合法性 | Racism | hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non-hate | non-hate [END]
默 | 非我中华民族必为异类，畏威不畏德 | Racism | hate [END]
东北人 | 骂人最狠 | Region | hate [END]
曲阜和孔子 | 这不是好事吗🤣 | non-hate | non-hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智商70 | Racism | hate [END]
女 | 错误 | Sexism | hate [END]
直男 | 更胜一筹 | non-hate | non-hate [END]
同性恋 | 反同存在即合理 | LGBTQ | hate [END]
女方 | 嫌办的寒颤女方咋不出钱办的好点捏? | Sexism | hate [END]
女拳 | 不是仇女壮大出来的 | non-hate | non-hate [END]
我 | 纯洁可爱 | non-hate | non-hate [END]
这b | 不是好人 | non-hate | non-hate [END]
南满 | 黑河南、黑北方的 | Region | hate [END]
阿拉伯人 | 最早捕捉贩卖黑奴的就是阿拉伯人 | Racism | hate [END]
女拳 | 不都喜欢冒充男的说话吗 | Sexism | hate [END]
男性 | 出轨不是个例 | non-hate | non-hate [END]
女拳 | 自私自利 | Sexism | hate [END]
慕洋舔狗 | 站起来 | Sexism | hate [END]
None | 今时不同往日 | non-hate | non-hate [END]
国内女⭕️ | 群嘲国男 | Sexism | hate [END]
透明人 | 没人管就变成透明人了 | non-hate | non-hate [END]
茶壶嘴 | 破防了 | Sexism | hate [END]
你举报 | 要有用才怪了 | non-hate | non-hate [END]
小仙女 | 带孩子的女的不叫女孩，就叫女的 | Sexism | hate [END]
贵州 | 没话讲 | non-hate | non-hate [END]
留学生 | 花大价钱留 | non-hate | non-hate [END]
其他大多数省 | 给我国拖后腿的 | Region | hate [END]
互喷 | 最好的抵制方法 | non-hate | non-hate [END]
None | 不能带走孩（串）子（串）😆 | Racism | hate [END]
桑嗨仁 | 歧视外地人 | Region | hate [END]
让t们 | 风况捏 | Sexism | hate [END]
他们 | 东北人 | non-hate | non-hate [END]
我 | 经常被喷 | non-hate | non-hate [END]
这个女的 | 和中国老公离婚了，带着孩子找了个印度同事 | Sexism | hate [END]
女孩子 | 不能急 😅 | non-hate | non-hate [END]
你 | 血和屈辱你只能二选一 | non-hate | non-hate [END]
那些女人 | 真是勇敢 | Sexism | hate [END]
默 | 我真的很讨厌 | Racism | hate [END]
你 | 把国外贬低中国女性的水文当成圣经 | Sexism | hate [END]
答主 | 万一答主是美国人？😆😆 | non-hate | non-hate [END]
吴母沟 | 祸害国男 | Sexism | hate [END]
拳师 | 天生就是坏种 | Sexism | hate [END]
小偷 | 比武汉少 | non-hate | non-hate [END]
你 | 别怕啊嫁去巴基斯坦啊 | Sexism | hate [END]
男人 | 舔狗 | Sexism | hate [END]
山东 | 一旦被黑就是两性问题😅 | Region | hate [END]
留在河南的古汉人 | 才是最多的 | non-hate | non-hate [END]
他 | 去超市偷东西 | non-hate | non-hate [END]
舞蹈区和各大直播平台那些女人 | 不整治她们评论区就干净不了 | Sexism | hate [END]
集美们 | 拿刀真的有用😅 | Sexism | hate [END]
同性恋 | 病才要上药 | LGBTQ | hate [END]
黑沙口 | 把他赶到森林里 | Racism | hate [END]
EVAHERMAN | 看起来很年轻 | non-hate | non-hate [END]
广西人 | 不喜欢东南亚人 | Region | hate [END]
东亚女权 | 一丘之貉 | Sexism | hate [END]
聪明人 | 比例太少了 | non-hate | non-hate [END]
他们 | 有立体防御机制 | LGBTQ | hate [END]
长得丑 | 活该被变态骚扰 | others | hate [END]
她们 | 不要贪恋美色 | Sexism | hate [END]
跟小黑交往的女生 | 是我们985的 | Sexism | hate [END]
抠脚大汉 | 别装了 | non-hate | non-hate [END]
含有种族歧视的崇洋媚外的 | 让人唾弃 | Racism | hate [END]
安徽人 | 在你们江浙沪的人眼中，安徽的不是挖煤的就是要饭的，剩下的都是黑社会 | Region | hate [END]
你 | 两头开枪 | non-hate | non-hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
easy girl | 骗我接盘 | Sexism | hate [END]
男人 | 不适宜的就忍受呗？ | non-hate | non-hate [END]
黑龙江人 | 概率不高 | non-hate | non-hate [END]
她 | 生完滚蛋，给别人生去 | Sexism | hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | hate [END]
前列腺 | 还好吗？ | non-hate | non-hate [END]
黑人 | 和他们的副产品打着“反对种族歧”的旗号惹事 | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | hate [END]
网上打拳的 | 男的有钱挣 | non-hate | non-hate [END]
广东人和广西人 | 丑人多 | Region | hate [END]
你 | 防了也不能全身而退 | non-hate | non-hate [END]
东方卫视 | 女拳卫士？ | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | Region | hate [END]
媚黑女 | 大部分女生根本看不上黑人啊 | Sexism | hate [END]
她们 | 这样的思想是现在这个时代的思想 | non-hate | non-hate [END]
